3#app#app13#app1376/p  0.116 0.435  0.057 0.541  0.010 0.423  0.010 0.258  0.010 0.093  -0.010 -0.070  -0.050 -0.230  -0.090 -0.390  -0.096 -0.555  -0.096 -0.720  -0.096 -0.885  -0.096 -1.050  -0.096 -1.215  -0.096 -1.380  -0.096 -1.545  -0.096 -1.711  -0.011 -1.791  0.005 -1.647  -0.020 -1.484  -0.046 -1.321  -0.071 -1.158  -0.096 -0.995  -0.121 -0.831  -0.146 -0.668  -0.171 -0.505  -0.196 -0.342  -0.221 -0.179  -0.246 -0.015  -0.272 0.148  -0.297 0.311  -0.322 0.474  -0.347 0.637  -0.372 0.801  -0.397 0.964  -0.414 1.128  -0.332 1.259  -0.215 1.376  -0.055 1.389  0.110 1.389  0.275 1.389  0.334 1.283  0.480 1.237  0.597 1.121  0.646 0.976  0.646 0.811  0.645 0.646  0.529 0.529  0.412 0.413  0.282 0.329  0.116 0.329
3#app#app13#app1376/i  -0.313 -0.186  -0.313 -0.285  -0.271 -0.341  -0.172 -0.341  -0.158 -0.426  -0.158 -0.525  -0.158 -0.623  -0.158 -0.722  -0.158 -0.821  -0.158 -0.920  -0.158 -1.019  -0.158 -1.117  -0.158 -1.216  -0.158 -1.315  -0.158 -1.414  -0.147 -1.342  -0.133 -1.244  -0.120 -1.146  -0.107 -1.048  -0.093 -0.951  -0.080 -0.853  -0.067 -0.755  -0.053 -0.657  -0.040 -0.559  -0.027 -0.461  -0.013 -0.363  0.000 -0.265  0.014 -0.167  0.027 -0.070  0.040 0.028  0.054 0.126  0.067 0.224  0.080 0.322  0.094 0.420  0.107 0.518  0.120 0.616  0.134 0.714  0.147 0.811  0.160 0.909  0.174 1.007  0.187 1.105  0.200 1.203  0.214 1.301  0.227 1.399  0.240 1.497  0.254 1.595  0.267 1.692  0.281 1.790  0.294 1.888  0.307 1.986
3#app#app13#app1376/n  -0.610 0.639  -0.769 0.639  -0.869 0.580  -0.869 0.421  -0.869 0.262  -0.869 0.103  -0.869 -0.056  -0.869 -0.215  -0.869 -0.374  -0.869 -0.533  -0.869 -0.692  -0.869 -0.851  -0.775 -0.915  -0.616 -0.915  -0.610 -1.068  -0.610 -1.121  -0.610 -0.962  -0.610 -0.803  -0.602 -0.648  -0.489 -0.535  -0.377 -0.423  -0.351 -0.274  -0.351 -0.116  -0.351 0.043  -0.294 0.179  -0.181 0.291  -0.069 0.403  0.043 0.516  0.156 0.628  0.167 0.783  0.198 0.929  0.310 1.041  0.422 1.154  0.580 1.157  0.685 1.103  0.685 0.944  0.765 0.818  0.877 0.706  0.944 0.574  0.944 0.415  0.944 0.256  0.944 0.098  0.944 -0.061  0.944 -0.220  0.944 -0.379  0.944 -0.538  0.985 -0.656  1.144 -0.656  1.203 -0.756  1.203 -0.915
3#app#app13#app1376/k  -0.694 1.732  -0.694 1.525  -0.694 1.318  -0.694 1.111  -0.694 0.904  -0.694 0.697  -0.694 0.490  -0.694 0.283  -0.694 0.076  -0.608 -0.096  -0.476 -0.248  -0.476 -0.455  -0.476 -0.662  -0.476 -0.869  -0.476 -1.076  -0.476 -1.283  -0.476 -1.490  -0.417 -1.382  -0.343 -1.189  -0.269 -0.996  -0.195 -0.802  -0.120 -0.609  -0.046 -0.416  0.028 -0.223  0.103 -0.030  0.177 0.163  0.251 0.357  0.326 0.550  0.400 0.743  0.474 0.936  0.548 1.129  0.593 1.276  0.446 1.130  0.261 1.078  0.177 0.955  0.177 0.748  0.177 0.541  0.177 0.334  0.177 0.127  0.177 -0.080  0.177 -0.287  0.226 -0.445  0.395 -0.483  0.414 -0.682  0.560 -0.829  0.746 -0.881  0.953 -0.881  1.048 -0.769  1.119 -0.592  1.266 -0.445
3#app#app13#app1376/,  0.150 1.718  0.150 1.645  0.150 1.573  0.150 1.500  0.150 1.427  0.150 1.355  0.150 1.282  0.150 1.209  0.150 1.137  0.150 1.064  0.150 0.991  0.150 0.919  0.150 0.846  0.150 0.773  0.150 0.701  0.150 0.628  0.150 0.556  0.150 0.483  0.150 0.410  0.150 0.338  0.150 0.265  0.150 0.192  0.150 0.120  0.150 0.047  0.150 -0.026  0.150 -0.098  0.150 -0.171  0.099 -0.223  0.048 -0.274  -0.003 -0.326  -0.055 -0.377  -0.106 -0.428  -0.157 -0.480  -0.209 -0.531  -0.229 -0.595  -0.229 -0.668  -0.229 -0.741  -0.229 -0.813  -0.229 -0.886  -0.229 -0.959  -0.229 -1.031  -0.229 -1.104  -0.229 -1.177  -0.229 -1.249  -0.229 -1.322  -0.229 -1.395  -0.229 -1.467  -0.229 -1.540  -0.229 -1.613  -0.229 -1.685
3#app#app13#app1376/i  -0.075 0.376  -0.157 0.294  -0.239 0.212  -0.265 0.107  -0.265 -0.009  -0.265 -0.125  -0.265 -0.241  -0.265 -0.357  -0.265 -0.473  -0.265 -0.589  -0.265 -0.705  -0.265 -0.821  -0.265 -0.937  -0.265 -1.053  -0.265 -1.169  -0.265 -1.285  -0.265 -1.401  -0.265 -1.517  -0.241 -1.423  -0.214 -1.310  -0.188 -1.197  -0.161 -1.084  -0.135 -0.971  -0.108 -0.858  -0.082 -0.745  -0.055 -0.632  -0.028 -0.519  -0.002 -0.406  0.025 -0.293  0.051 -0.180  0.078 -0.067  0.104 0.046  0.131 0.159  0.158 0.272  0.184 0.385  0.211 0.498  0.237 0.610  0.264 0.723  0.291 0.836  0.317 0.949  0.344 1.062  0.370 1.175  0.397 1.288  0.423 1.401  0.450 1.514  0.477 1.627  0.463 1.708  0.347 1.708  0.231 1.708  0.115 1.708
3#app#app13#app1376/s  -0.502 1.666  -0.502 1.564  -0.502 1.462  -0.502 1.359  -0.502 1.257  -0.513 1.160  -0.586 1.087  -0.658 1.015  -0.730 0.942  -0.750 0.848  -0.750 0.746  -0.750 0.643  -0.750 0.541  -0.750 0.439  -0.658 0.428  -0.556 0.428  -0.502 0.379  -0.502 0.277  -0.498 0.176  -0.426 0.104  -0.353 0.032  -0.281 -0.041  -0.190 -0.068  -0.087 -0.068  0.015 -0.068  0.117 -0.068  0.220 -0.068  0.322 -0.068  0.424 -0.068  0.527 -0.068  0.629 -0.068  0.731 -0.068  0.737 -0.165  0.737 -0.267  0.737 -0.369  0.737 -0.472  0.737 -0.574  0.737 -0.676  0.737 -0.779  0.737 -0.881  0.737 -0.983  0.710 -1.059  0.607 -1.059  0.505 -1.059  0.428 -1.120  0.356 -1.192  0.283 -1.264  0.198 -1.306  0.096 -1.306  -0.006 -1.306
3#app#app13#app1376/t  -0.141 0.187  -0.141 0.063  -0.141 -0.061  -0.141 -0.185  -0.141 -0.308  -0.141 -0.432  -0.141 -0.556  -0.141 -0.680  -0.141 -0.804  -0.141 -0.927  -0.141 -1.051  -0.141 -1.175  -0.141 -1.299  -0.141 -1.423  -0.141 -1.547  -0.149 -1.491  -0.160 -1.368  -0.171 -1.245  -0.183 -1.121  -0.194 -0.998  -0.205 -0.875  -0.216 -0.751  -0.228 -0.628  -0.239 -0.505  -0.250 -0.382  -0.261 -0.258  -0.272 -0.135  -0.284 -0.012  -0.295 0.112  -0.306 0.235  -0.317 0.358  -0.328 0.482  -0.340 0.605  -0.351 0.728  -0.360 0.850  -0.236 0.850  -0.121 0.870  -0.033 0.958  0.054 1.045  0.168 1.071  0.291 1.071  0.415 1.071  0.539 1.071  0.663 1.071  0.743 1.115  0.743 1.238  0.813 1.292  0.937 1.292  1.061 1.292  1.185 1.292
3#app#app13#app1376/h  -0.713 1.548  -0.713 1.384  -0.713 1.220  -0.713 1.056  -0.713 0.892  -0.713 0.728  -0.713 0.564  -0.713 0.400  -0.713 0.236  -0.713 0.072  -0.713 -0.092  -0.713 -0.256  -0.631 -0.385  -0.515 -0.501  -0.508 -0.662  -0.508 -0.826  -0.508 -0.990  -0.487 -1.146  -0.371 -1.261  -0.302 -1.265  -0.302 -1.101  -0.302 -0.937  -0.302 -0.773  -0.302 -0.609  -0.302 -0.445  -0.302 -0.281  -0.302 -0.117  -0.158 -0.097  -0.096 0.005  -0.096 0.169  -0.096 0.333  -0.096 0.497  0.045 0.520  0.109 0.619  0.167 0.725  0.331 0.725  0.495 0.725  0.659 0.725  0.795 0.657  0.910 0.541  0.932 0.386  0.997 0.249  1.113 0.133  1.137 -0.021  1.137 -0.185  1.137 -0.349  1.140 -0.511  1.256 -0.627  1.343 -0.756  1.343 -0.919
3#app#app13#app1376/e  -0.725 -0.638  -0.725 -0.795  -0.660 -0.887  -0.503 -0.887  -0.346 -0.887  -0.201 -0.860  -0.090 -0.749  0.021 -0.638  0.177 -0.638  0.315 -0.592  0.426 -0.482  0.536 -0.371  0.647 -0.260  0.758 -0.149  0.766 0.004  0.766 0.161  0.766 0.317  0.766 0.474  0.766 0.630  0.766 0.787  0.701 0.917  0.590 1.028  0.517 1.154  0.517 1.311  0.399 1.349  0.242 1.349  0.085 1.349  -0.071 1.349  -0.228 1.349  -0.228 1.192  -0.274 1.054  -0.384 0.944  -0.476 0.825  -0.476 0.668  -0.476 0.512  -0.476 0.355  -0.476 0.199  -0.476 0.042  -0.476 -0.115  -0.476 -0.271  -0.476 -0.428  -0.476 -0.584  -0.476 -0.741  -0.468 -0.894  -0.358 -1.005  -0.247 -1.116  -0.136 -1.227  -0.025 -1.337  0.112 -1.383  0.269 -1.383
3#app#app13#app1376/r  -1.038 0.288  -0.928 0.288  -0.818 0.288  -0.817 0.179  -0.817 0.069  -0.741 -0.009  -0.664 -0.087  -0.596 -0.169  -0.596 -0.279  -0.596 -0.389  -0.596 -0.499  -0.596 -0.609  -0.596 -0.719  -0.588 -0.825  -0.511 -0.903  -0.433 -0.981  -0.375 -1.067  -0.375 -1.177  -0.356 -1.241  -0.278 -1.163  -0.201 -1.085  -0.123 -1.007  -0.045 -0.930  0.032 -0.852  0.067 -0.756  0.067 -0.646  0.094 -0.543  0.143 -0.445  0.192 -0.346  0.241 -0.248  0.288 -0.149  0.288 -0.039  0.290 0.070  0.339 0.169  0.388 0.267  0.437 0.365  0.486 0.463  0.509 0.568  0.509 0.678  0.535 0.782  0.584 0.880  0.633 0.978  0.682 1.077  0.730 1.175  0.730 1.285  0.732 1.393  0.842 1.393  0.951 1.394  0.951 1.504  0.951 1.614
3#app#app13#app1376/e  -0.708 -0.320  -0.708 -0.489  -0.708 -0.657  -0.708 -0.826  -0.619 -0.905  -0.450 -0.905  -0.281 -0.905  -0.112 -0.905  0.056 -0.905  0.225 -0.905  0.394 -0.905  0.463 -0.806  0.463 -0.637  0.463 -0.468  0.477 -0.305  0.596 -0.186  0.716 -0.067  0.755 0.085  0.755 0.254  0.755 0.423  0.755 0.591  0.755 0.760  0.678 0.851  0.509 0.851  0.463 0.974  0.463 1.142  0.463 1.311  0.419 1.436  0.251 1.436  0.082 1.436  -0.087 1.436  -0.123 1.304  -0.129 1.137  -0.248 1.018  -0.367 0.899  -0.415 0.750  -0.415 0.581  -0.415 0.413  -0.415 0.244  -0.415 0.075  -0.415 -0.094  -0.415 -0.262  -0.415 -0.431  -0.415 -0.600  -0.415 -0.768  -0.415 -0.937  -0.415 -1.106  -0.361 -1.252  -0.242 -1.371  -0.123 -1.491
