1b#tos#t3#t3011062/A  -0.985 -1.374  -0.985 -1.159  -0.946 -0.951  -0.868 -0.760  -0.822 -0.562  -0.764 -0.356  -0.746 -0.144  -0.689 0.063  -0.588 0.250  -0.489 0.438  -0.436 0.635  -0.406 0.843  -0.319 1.007  -0.255 1.208  -0.162 1.342  -0.122 1.518  0.028 1.601  0.162 1.529  0.288 1.395  0.394 1.233  0.460 1.031  0.466 0.818  0.566 0.639  0.584 0.427  0.630 0.224  0.701 0.031  0.701 -0.184  0.728 -0.394  0.740 -0.607  0.776 -0.785  0.780 -0.997  0.814 -1.178  0.632 -1.093  0.446 -0.986  0.260 -0.879  0.074 -0.772  -0.112 -0.665  -0.298 -0.558  -0.485 -0.451  -0.671 -0.344  -0.824 -0.206  -0.640 -0.158  -0.449 -0.079  -0.234 -0.079  -0.019 -0.079  0.195 -0.079  0.410 -0.079  0.625 -0.079  0.839 -0.079  1.015 -0.119
1b#tos#t3#t3011062/E  -0.444 1.413  -0.599 1.314  -0.625 1.219  -0.401 1.219  -0.180 1.256  0.044 1.258  0.259 1.298  0.439 1.374  0.548 1.357  0.333 1.291  0.119 1.225  -0.096 1.159  -0.310 1.093  -0.366 0.977  -0.366 0.753  -0.327 0.535  -0.327 0.310  -0.289 0.092  -0.289 -0.132  -0.289 -0.357  -0.289 -0.581  -0.289 -0.806  -0.325 -0.994  -0.327 -1.216  -0.335 -1.014  -0.342 -0.789  -0.350 -0.565  -0.358 -0.341  -0.366 -0.116  -0.312 -0.023  -0.088 -0.023  0.111 0.054  0.336 0.054  0.560 0.054  0.609 -0.018  0.451 -0.177  0.292 -0.336  0.133 -0.495  -0.025 -0.653  -0.184 -0.812  -0.343 -0.971  -0.362 -1.072  -0.141 -1.056  0.078 -1.033  0.302 -1.033  0.527 -1.033  0.740 -0.985  0.948 -0.916  1.172 -0.916  1.342 -0.839
1b#tos#t3#t3011062/F  -0.820 0.691  -0.885 0.778  -0.697 0.802  -0.525 0.891  -0.332 0.909  -0.144 0.942  0.037 1.014  0.229 1.040  0.422 1.070  0.606 1.127  0.796 1.150  0.987 1.171  0.933 1.128  0.748 1.062  0.564 0.997  0.380 0.931  0.195 0.866  0.011 0.801  -0.174 0.735  -0.297 0.714  -0.297 0.518  -0.297 0.322  -0.340 0.137  -0.340 -0.059  -0.340 -0.254  -0.342 -0.450  -0.384 -0.640  -0.384 -0.836  -0.384 -1.031  -0.384 -1.227  -0.384 -1.423  -0.384 -1.618  -0.372 -1.684  -0.337 -1.491  -0.302 -1.299  -0.267 -1.106  -0.232 -0.914  -0.210 -0.720  -0.293 -0.616  -0.116 -0.572  0.080 -0.572  0.258 -0.528  0.435 -0.485  0.487 -0.341  0.487 -0.146  0.487 0.026  0.531 -0.159  0.531 -0.355  0.531 -0.551  0.531 -0.746
1b#tos#t3#t3011062/G  0.251 0.884  0.376 1.036  0.497 1.175  0.497 1.398  0.374 1.499  0.152 1.499  -0.037 1.464  -0.156 1.339  -0.338 1.239  -0.498 1.094  -0.607 0.941  -0.775 0.798  -0.816 0.582  -0.898 0.409  -0.980 0.211  -0.980 -0.012  -0.980 -0.235  -0.980 -0.457  -0.898 -0.598  -0.852 -0.802  -0.671 -0.931  -0.456 -0.969  -0.237 -1.002  -0.014 -1.002  0.209 -1.002  0.367 -0.862  0.499 -0.751  0.438 -0.580  0.277 -0.426  0.115 -0.273  -0.047 -0.119  -0.208 0.034  -0.326 0.105  -0.103 0.105  0.110 0.129  0.322 0.161  0.535 0.206  0.752 0.228  0.965 0.269  0.813 0.174  0.616 0.069  0.456 0.022  0.456 -0.117  0.415 -0.330  0.415 -0.553  0.415 -0.776  0.415 -0.999  0.415 -1.222  0.374 -1.435  0.333 -1.617
1b#tos#t3#t3011062/H  -0.984 0.782  -0.982 0.891  -0.875 0.772  -0.802 0.612  -0.732 0.458  -0.730 0.275  -0.730 0.092  -0.730 -0.092  -0.730 -0.275  -0.730 -0.459  -0.730 -0.642  -0.730 -0.826  -0.802 -0.979  -0.802 -1.163  -0.802 -1.085  -0.802 -0.901  -0.802 -0.718  -0.802 -0.534  -0.802 -0.351  -0.802 -0.167  -0.786 -0.045  -0.624 0.020  -0.444 0.046  -0.262 0.056  -0.095 0.129  0.087 0.149  0.266 0.187  0.447 0.206  0.624 0.249  0.805 0.274  0.853 0.392  0.819 0.572  0.785 0.752  0.750 0.933  0.724 1.114  0.724 1.212  0.760 1.044  0.760 0.860  0.760 0.677  0.805 0.501  0.833 0.321  0.833 0.138  0.833 -0.046  0.833 -0.229  0.833 -0.413  0.796 -0.590  0.796 -0.774  0.796 -0.958  0.796 -1.141  0.796 -1.325
1b#tos#t3#t3011062/K  -0.684 1.590  -0.647 1.465  -0.647 1.228  -0.647 0.990  -0.647 0.753  -0.647 0.516  -0.647 0.278  -0.647 0.041  -0.684 -0.188  -0.684 -0.425  -0.684 -0.662  -0.684 -0.900  -0.684 -1.137  -0.710 -1.370  -0.647 -1.298  -0.538 -1.086  -0.430 -0.875  -0.321 -0.664  -0.213 -0.453  -0.104 -0.242  0.004 -0.031  0.113 0.180  0.221 0.391  0.330 0.602  0.439 0.813  0.547 1.024  0.681 1.211  0.814 1.282  0.703 1.104  0.626 0.897  0.496 0.711  0.329 0.544  0.289 0.323  0.066 0.255  -0.091 0.086  -0.251 -0.080  -0.385 -0.194  -0.466 -0.177  -0.249 -0.082  -0.031 0.013  0.083 0.083  0.185 -0.097  0.378 -0.211  0.530 -0.380  0.668 -0.565  0.837 -0.717  1.004 -0.886  1.136 -1.076  1.288 -1.218  1.300 -1.368
1b#tos#t3#t3011062/O  0.094 0.732  0.127 0.876  0.089 0.991  -0.030 1.023  -0.162 0.961  -0.262 0.907  -0.392 0.845  -0.520 0.782  -0.537 0.634  -0.657 0.550  -0.715 0.422  -0.779 0.334  -0.800 0.186  -0.844 0.043  -0.844 -0.109  -0.844 -0.261  -0.844 -0.413  -0.814 -0.558  -0.766 -0.696  -0.715 -0.829  -0.648 -0.953  -0.575 -1.059  -0.461 -1.127  -0.325 -1.195  -0.177 -1.210  -0.025 -1.210  0.127 -1.210  0.279 -1.210  0.380 -1.107  0.516 -1.048  0.628 -0.951  0.709 -0.843  0.754 -0.701  0.807 -0.562  0.814 -0.411  0.871 -0.271  0.871 -0.119  0.871 0.034  0.871 0.186  0.839 0.330  0.820 0.478  0.740 0.605  0.651 0.726  0.553 0.829  0.407 0.851  0.277 0.930  0.130 0.958  -0.022 0.958  -0.174 0.958  -0.294 0.926
1b#tos#t3#t3011062/P  -0.438 0.945  -0.438 1.117  -0.438 0.914  -0.438 0.712  -0.438 0.509  -0.438 0.307  -0.400 0.109  -0.400 -0.094  -0.363 -0.292  -0.341 -0.492  -0.325 -0.693  -0.325 -0.895  -0.325 -1.098  -0.325 -1.300  -0.325 -1.503  -0.288 -1.697  -0.298 -1.537  -0.328 -1.337  -0.358 -1.136  -0.388 -0.936  -0.418 -0.736  -0.448 -0.535  -0.478 -0.335  -0.509 -0.135  -0.539 0.066  -0.569 0.266  -0.599 0.466  -0.603 0.645  -0.550 0.795  -0.433 0.947  -0.238 0.982  -0.036 0.982  0.167 0.982  0.370 0.982  0.572 0.982  0.774 0.976  0.951 0.888  1.130 0.802  1.250 0.686  1.287 0.521  1.212 0.365  1.161 0.175  1.024 0.032  0.916 -0.127  0.775 -0.249  0.588 -0.326  0.432 -0.405  0.267 -0.443  0.065 -0.443  -0.100 -0.405
1b#tos#t3#t3011062/R  -0.401 1.184  -0.468 1.251  -0.444 0.987  -0.434 0.721  -0.434 0.454  -0.434 0.187  -0.401 -0.076  -0.388 -0.342  -0.367 -0.606  -0.367 -0.874  -0.367 -1.141  -0.367 -1.408  -0.380 -1.311  -0.410 -1.046  -0.439 -0.781  -0.469 -0.515  -0.498 -0.250  -0.528 0.016  -0.557 0.281  -0.587 0.547  -0.730 0.706  -0.699 0.919  -0.553 1.091  -0.307 1.159  -0.049 1.217  0.218 1.217  0.485 1.217  0.727 1.127  0.873 0.950  0.971 0.755  1.004 0.521  0.867 0.326  0.737 0.143  0.534 0.011  0.360 -0.121  0.109 -0.188  -0.150 -0.221  -0.403 -0.255  -0.635 -0.305  -0.605 -0.346  -0.338 -0.329  -0.072 -0.311  0.195 -0.293  0.381 -0.334  0.553 -0.534  0.718 -0.734  0.909 -0.882  1.054 -1.082  1.248 -1.245  1.339 -1.459
1b#tos#t3#t3011062/T  -1.318 0.481  -1.456 0.481  -1.414 0.481  -1.276 0.481  -1.137 0.481  -0.999 0.481  -0.860 0.481  -0.722 0.481  -0.584 0.481  -0.445 0.481  -0.307 0.481  -0.169 0.481  -0.030 0.481  0.108 0.481  0.247 0.481  0.385 0.481  0.523 0.481  0.662 0.481  0.800 0.481  0.938 0.481  1.061 0.444  1.200 0.444  1.248 0.441  1.110 0.433  0.972 0.426  0.834 0.418  0.695 0.410  0.557 0.402  0.419 0.394  0.281 0.386  0.143 0.378  0.005 0.370  -0.124 0.360  -0.124 0.222  -0.124 0.083  -0.087 -0.049  -0.087 -0.188  -0.087 -0.326  -0.087 -0.464  -0.087 -0.603  -0.087 -0.741  -0.087 -0.879  -0.087 -1.018  -0.087 -1.156  -0.068 -1.292  -0.050 -1.427  -0.050 -1.565  -0.050 -1.704  -0.050 -1.842  -0.050 -1.980
1b#tos#t3#t3011062/U  -0.577 1.259  -0.611 1.241  -0.611 1.123  -0.644 1.013  -0.644 0.894  -0.678 0.784  -0.678 0.666  -0.678 0.548  -0.707 0.435  -0.711 0.317  -0.711 0.199  -0.712 0.081  -0.741 -0.034  -0.745 -0.151  -0.745 -0.270  -0.745 -0.388  -0.745 -0.506  -0.716 -0.612  -0.678 -0.714  -0.629 -0.785  -0.588 -0.874  -0.511 -0.935  -0.397 -0.952  -0.282 -0.965  -0.169 -0.986  -0.051 -0.986  0.067 -0.986  0.186 -0.986  0.256 -0.919  0.361 -0.885  0.406 -0.795  0.455 -0.697  0.528 -0.608  0.570 -0.500  0.615 -0.390  0.662 -0.282  0.699 -0.173  0.751 -0.081  0.763 0.025  0.791 0.139  0.827 0.249  0.830 0.366  0.830 0.484  0.855 0.598  0.863 0.715  0.863 0.833  0.863 0.952  0.863 1.070  0.897 1.174  0.897 1.292
