1c#apa#apa10#app1038/p  -0.090 1.027  -0.090 1.188  -0.090 1.093  -0.090 0.932  -0.090 0.770  -0.090 0.609  -0.090 0.447  -0.090 0.285  -0.090 0.124  -0.090 -0.038  -0.090 -0.200  -0.090 -0.361  -0.090 -0.523  -0.090 -0.684  -0.090 -0.846  -0.090 -1.008  -0.106 -1.167  -0.157 -1.320  -0.208 -1.473  -0.259 -1.627  -0.366 -1.702  -0.479 -1.654  -0.479 -1.492  -0.479 -1.331  -0.479 -1.169  -0.449 -1.012  -0.405 -0.856  -0.360 -0.701  -0.316 -0.546  -0.272 -0.390  -0.227 -0.235  -0.183 -0.079  -0.138 0.076  -0.094 0.231  -0.044 0.385  0.007 0.538  0.059 0.692  0.113 0.843  0.203 0.978  0.292 1.112  0.382 1.247  0.472 1.381  0.579 1.332  0.690 1.217  0.690 1.055  0.690 0.893  0.690 0.732  0.690 0.570  0.690 0.409  0.690 0.247
1c#apa#apa10#app1038/r  0.290 1.059  0.290 0.923  0.290 0.788  0.290 0.652  0.290 0.516  0.290 0.381  0.290 0.245  0.290 0.109  0.290 -0.027  0.290 -0.162  0.290 -0.298  0.290 -0.434  0.290 -0.569  0.290 -0.705  0.290 -0.841  0.212 -0.944  0.116 -1.040  0.020 -1.136  -0.076 -1.232  -0.172 -1.328  -0.299 -1.348  -0.435 -1.348  -0.570 -1.348  -0.673 -1.315  -0.673 -1.179  -0.673 -1.043  -0.673 -0.908  -0.630 -0.782  -0.570 -0.660  -0.509 -0.539  -0.448 -0.418  -0.388 -0.296  -0.327 -0.175  -0.266 -0.054  -0.206 0.068  -0.159 0.195  -0.116 0.324  -0.073 0.452  -0.030 0.581  0.013 0.710  0.056 0.839  0.099 0.967  0.142 1.096  0.185 1.225  0.228 1.354  0.271 1.482  0.364 1.541  0.500 1.541  0.636 1.541  0.771 1.541
1c#apa#apa10#app1038/e  0.153 -0.167  0.003 -0.167  -0.147 -0.167  -0.148 -0.017  -0.148 0.133  0.001 0.134  0.151 0.134  0.301 0.134  0.451 0.134  0.601 0.134  0.751 0.134  0.901 0.134  1.051 0.134  1.121 0.265  1.188 0.399  1.255 0.533  1.322 0.667  1.282 0.735  1.132 0.735  0.982 0.735  0.832 0.735  0.682 0.735  0.532 0.735  0.382 0.735  0.232 0.735  0.082 0.735  -0.068 0.735  -0.206 0.696  -0.331 0.613  -0.456 0.530  -0.581 0.447  -0.706 0.363  -0.830 0.280  -0.955 0.197  -1.050 0.097  -1.050 -0.053  -1.050 -0.203  -1.050 -0.353  -1.050 -0.503  -1.050 -0.653  -1.021 -0.787  -0.896 -0.871  -0.771 -0.954  -0.646 -1.037  -0.522 -1.120  -0.397 -1.203  -0.272 -1.287  -0.147 -1.369  0.003 -1.369  0.153 -1.369
1c#apa#apa10#app1038/s  -1.451 -0.778  -1.451 -0.889  -1.451 -0.999  -1.400 -0.986  -1.322 -0.908  -1.244 -0.829  -1.165 -0.751  -1.087 -0.673  -1.009 -0.595  -0.931 -0.517  -0.853 -0.439  -0.775 -0.361  -0.696 -0.282  -0.618 -0.204  -0.540 -0.126  -0.462 -0.048  -0.415 0.043  -0.415 0.154  -0.410 0.261  -0.318 0.323  -0.226 0.384  -0.134 0.445  -0.042 0.507  0.050 0.568  0.142 0.629  0.234 0.691  0.326 0.752  0.429 0.776  0.540 0.776  0.650 0.776  0.761 0.776  0.871 0.776  0.952 0.703  1.030 0.625  1.108 0.547  1.138 0.449  1.138 0.339  1.125 0.231  1.076 0.132  1.026 0.033  0.977 -0.065  0.927 -0.164  0.876 -0.260  0.766 -0.260  0.655 -0.260  0.545 -0.260  0.434 -0.260  0.324 -0.260  0.213 -0.260  0.103 -0.260
1c#apa#apa10#app1038/s  -1.805 -0.482  -1.683 -0.482  -1.562 -0.482  -1.444 -0.465  -1.335 -0.411  -1.226 -0.357  -1.117 -0.302  -1.009 -0.248  -0.900 -0.193  -0.797 -0.131  -0.711 -0.045  -0.625 0.041  -0.539 0.127  -0.453 0.213  -0.367 0.299  -0.281 0.385  -0.195 0.471  -0.109 0.557  -0.023 0.643  0.063 0.729  0.150 0.816  0.264 0.833  0.385 0.833  0.507 0.833  0.629 0.833  0.750 0.833  0.858 0.800  0.944 0.714  1.030 0.628  1.116 0.542  1.153 0.435  1.153 0.314  1.153 0.192  1.079 0.101  0.993 0.015  0.907 -0.071  0.821 -0.157  0.735 -0.243  0.649 -0.329  0.563 -0.415  0.477 -0.501  0.391 -0.587  0.305 -0.673  0.219 -0.759  0.118 -0.810  -0.004 -0.810  -0.125 -0.810  -0.247 -0.810  -0.368 -0.810  -0.490 -0.810
1c#apa#apa10#app1038/e  -1.550 -0.023  -1.382 -0.023  -1.214 -0.023  -1.046 -0.023  -0.878 -0.023  -0.710 -0.023  -0.542 -0.023  -0.374 -0.023  -0.206 -0.023  -0.038 -0.023  0.130 -0.023  0.282 0.016  0.401 0.135  0.513 0.259  0.588 0.409  0.663 0.559  0.738 0.710  0.756 0.873  0.717 1.002  0.549 1.002  0.381 1.002  0.213 1.002  0.045 1.002  -0.111 0.953  -0.262 0.878  -0.412 0.803  -0.554 0.717  -0.673 0.598  -0.781 0.475  -0.781 0.307  -0.781 0.139  -0.781 -0.029  -0.781 -0.197  -0.720 -0.340  -0.601 -0.459  -0.483 -0.578  -0.364 -0.697  -0.235 -0.791  -0.067 -0.791  0.101 -0.791  0.269 -0.791  0.437 -0.791  0.605 -0.791  0.773 -0.791  0.941 -0.791  1.109 -0.791  1.277 -0.791  1.445 -0.791  1.613 -0.791  1.781 -0.791
1c#apa#apa10#app1038/d  0.099 -0.440  0.094 -0.265  -0.086 -0.265  -0.266 -0.265  -0.441 -0.280  -0.568 -0.407  -0.696 -0.534  -0.823 -0.662  -0.950 -0.789  -0.952 -0.969  -0.946 -1.147  -0.819 -1.274  -0.656 -1.317  -0.489 -1.260  -0.328 -1.180  -0.199 -1.063  -0.099 -0.913  0.001 -0.763  0.100 -0.613  0.135 -0.436  0.171 -0.259  0.206 -0.082  0.241 0.094  0.278 0.271  0.335 0.442  0.392 0.613  0.449 0.784  0.450 0.964  0.450 1.144  0.450 1.324  0.450 1.505  0.450 1.685  0.450 1.809  0.426 1.639  0.299 1.511  0.254 1.343  0.228 1.164  0.203 0.986  0.177 0.807  0.152 0.629  0.126 0.450  0.101 0.272  0.099 0.092  0.099 -0.088  0.099 -0.269  0.099 -0.449  0.103 -0.628  0.160 -0.799  0.217 -0.970  0.274 -1.141
1c#apa#apa10#app1038/t  0.327 1.602  0.213 1.716  0.099 1.830  0.095 1.680  0.095 1.519  0.095 1.358  0.095 1.197  0.095 1.036  0.087 0.876  0.048 0.719  0.009 0.563  -0.030 0.407  -0.069 0.251  -0.108 0.095  -0.137 -0.063  -0.137 -0.224  -0.137 -0.385  -0.137 -0.546  -0.137 -0.707  -0.137 -0.868  -0.137 -1.029  -0.137 -1.190  -0.137 -1.351  -0.137 -1.512  -0.111 -1.646  0.050 -1.646  0.147 -1.542  0.219 -1.398  0.291 -1.254  0.287 -1.112  0.207 -0.972  0.127 -0.832  0.047 -0.693  -0.033 -0.553  -0.113 -0.413  -0.192 -0.273  -0.272 -0.134  -0.352 0.006  -0.432 0.146  -0.512 0.286  -0.592 0.426  -0.459 0.442  -0.298 0.442  -0.137 0.442  0.024 0.442  0.180 0.471  0.333 0.521  0.485 0.572  0.638 0.623  0.791 0.674
1c#apa#apa10#app1038/h  0.148 1.410  0.055 1.502  -0.038 1.595  -0.088 1.585  -0.088 1.454  -0.115 1.327  -0.157 1.203  -0.198 1.079  -0.239 0.955  -0.281 0.830  -0.322 0.706  -0.371 0.584  -0.419 0.463  -0.468 0.341  -0.517 0.219  -0.565 0.098  -0.614 -0.024  -0.663 -0.145  -0.711 -0.267  -0.760 -0.389  -0.794 -0.513  -0.794 -0.644  -0.794 -0.775  -0.794 -0.906  -0.727 -1.010  -0.635 -1.102  -0.542 -1.163  -0.450 -1.070  -0.357 -0.978  -0.264 -0.885  -0.172 -0.792  -0.079 -0.700  0.014 -0.607  0.106 -0.514  0.199 -0.422  0.291 -0.329  0.384 -0.237  0.477 -0.144  0.569 -0.051  0.662 0.041  0.755 0.134  0.847 0.227  0.940 0.147  1.033 0.054  1.089 -0.053  1.089 -0.184  1.089 -0.315  1.089 -0.446  1.089 -0.577  1.089 -0.708
1c#apa#apa10#app1038/e  -1.203 0.420  -1.203 0.249  -1.162 0.096  -1.041 -0.024  -0.921 -0.144  -0.769 -0.221  -0.617 -0.297  -0.464 -0.373  -0.312 -0.405  -0.160 -0.329  -0.008 -0.253  0.145 -0.176  0.297 -0.100  0.449 -0.024  0.601 0.052  0.754 0.128  0.773 0.287  0.773 0.457  0.773 0.627  0.773 0.797  0.773 0.968  0.664 1.093  0.544 1.213  0.395 1.266  0.225 1.266  0.071 1.198  -0.081 1.122  -0.233 1.046  -0.367 0.953  -0.421 0.791  -0.474 0.630  -0.528 0.468  -0.582 0.307  -0.636 0.145  -0.639 -0.024  -0.616 -0.189  -0.540 -0.342  -0.464 -0.494  -0.388 -0.646  -0.264 -0.746  -0.106 -0.809  0.052 -0.873  0.210 -0.936  0.368 -0.999  0.527 -1.062  0.685 -1.126  0.843 -1.189  1.001 -1.252  1.167 -1.274  1.337 -1.274
1c#apa#apa10#app1038/e  0.213 0.044  0.062 0.119  -0.090 0.195  -0.241 0.271  -0.379 0.264  -0.498 0.144  -0.572 0.044  -0.403 0.044  -0.234 0.044  -0.065 0.044  0.104 0.044  0.256 0.087  0.375 0.206  0.498 0.322  0.649 0.397  0.800 0.473  0.952 0.548  1.025 0.672  1.025 0.842  1.025 1.011  0.971 1.126  0.802 1.126  0.633 1.126  0.466 1.118  0.315 1.042  0.163 0.966  0.012 0.891  -0.122 0.791  -0.242 0.672  -0.361 0.552  -0.481 0.433  -0.600 0.313  -0.720 0.193  -0.840 0.074  -0.870 -0.083  -0.870 -0.252  -0.870 -0.421  -0.870 -0.590  -0.870 -0.759  -0.736 -0.857  -0.596 -0.951  -0.455 -1.045  -0.314 -1.139  -0.173 -1.232  -0.031 -1.323  0.121 -1.399  0.272 -1.474  0.423 -1.550  0.585 -1.580  0.754 -1.580
