3#apa#apa01#app0191/P  -0.254 0.557  -0.254 0.586  -0.209 0.387  -0.130 0.202  -0.040 0.005  -0.006 -0.205  -0.006 -0.423  0.031 -0.633  0.118 -0.830  0.118 -1.048  0.118 -1.266  0.118 -1.485  0.145 -1.675  0.172 -1.576  0.046 -1.398  -0.080 -1.220  -0.205 -1.042  -0.331 -0.864  -0.457 -0.686  -0.583 -0.507  -0.708 -0.329  -0.834 -0.151  -0.960 0.027  -1.086 0.205  -1.212 0.383  -1.088 0.433  -0.908 0.523  -0.703 0.557  -0.609 0.681  -0.502 0.792  -0.378 0.886  -0.203 0.929  -0.027 1.031  0.182 1.053  0.366 1.087  0.494 1.177  0.712 1.177  0.806 1.053  0.900 0.929  0.986 0.796  1.058 0.608  1.110 0.411  1.028 0.227  0.962 0.036  0.807 -0.118  0.618 -0.187  0.490 -0.277  0.306 -0.311  0.088 -0.311  -0.006 -0.187
3#apa#apa01#app0191/e  -0.376 0.027  -0.233 0.027  -0.114 0.084  -0.014 0.185  0.109 0.232  0.239 0.245  0.239 0.387  0.305 0.503  0.406 0.604  0.444 0.730  0.444 0.873  0.444 1.015  0.444 1.158  0.401 1.257  0.258 1.257  0.116 1.257  -0.027 1.257  -0.169 1.257  -0.171 1.116  -0.226 0.997  -0.327 0.896  -0.450 0.847  -0.581 0.836  -0.581 0.693  -0.581 0.551  -0.581 0.408  -0.581 0.266  -0.581 0.123  -0.581 -0.019  -0.581 -0.162  -0.581 -0.304  -0.581 -0.447  -0.581 -0.590  -0.581 -0.732  -0.499 -0.793  -0.376 -0.812  -0.376 -0.955  -0.277 -0.998  -0.134 -0.998  0.008 -0.998  0.117 -1.081  0.218 -1.181  0.351 -1.203  0.494 -1.203  0.636 -1.203  0.779 -1.203  0.902 -1.155  1.002 -1.055  1.122 -0.998  1.264 -0.998
3#apa#apa01#app0191/r  -0.586 0.537  -0.434 0.537  -0.313 0.506  -0.313 0.355  -0.270 0.221  -0.163 0.114  -0.056 0.007  -0.041 -0.139  -0.041 -0.290  -0.041 -0.442  -0.001 -0.554  0.150 -0.554  0.232 -0.624  0.232 -0.775  0.232 -0.927  0.232 -1.079  0.363 -1.099  0.504 -1.109  0.504 -1.261  0.464 -1.372  0.312 -1.372  0.232 -1.300  0.232 -1.149  0.130 -1.099  -0.022 -1.099  -0.134 -1.005  -0.242 -0.898  -0.313 -0.777  -0.313 -0.625  -0.313 -0.473  -0.313 -0.322  -0.313 -0.170  -0.313 -0.019  -0.313 0.133  -0.313 0.284  -0.313 0.436  -0.313 0.588  -0.313 0.739  -0.313 0.891  -0.313 1.042  -0.234 1.161  -0.127 1.268  -0.011 1.355  0.140 1.355  0.292 1.355  0.443 1.355  0.504 1.445  0.504 1.597  0.625 1.627  0.777 1.627
3#apa#apa01#app0191/h  -0.954 1.723  -0.954 1.573  -0.954 1.422  -0.806 1.419  -0.801 1.273  -0.801 1.123  -0.801 0.972  -0.702 0.863  -0.649 0.734  -0.649 0.583  -0.576 0.506  -0.497 0.434  -0.497 0.284  -0.497 0.133  -0.497 -0.017  -0.497 -0.168  -0.452 -0.300  -0.346 -0.406  -0.345 -0.557  -0.240 -0.664  -0.193 -0.795  -0.193 -0.945  -0.193 -0.936  -0.193 -0.785  -0.193 -0.635  -0.193 -0.484  -0.193 -0.333  -0.193 -0.183  -0.193 -0.032  -0.144 0.098  -0.037 0.205  0.069 0.311  0.202 0.354  0.352 0.354  0.503 0.354  0.568 0.268  0.652 0.202  0.720 0.119  0.720 -0.031  0.720 -0.182  0.720 -0.332  0.796 -0.407  0.873 -0.481  0.873 -0.632  0.923 -0.762  1.025 -0.870  1.029 -1.016  1.177 -1.019  1.178 -1.168  1.329 -1.168
3#apa#apa01#app0191/a  0.306 0.928  0.152 0.928  -0.003 0.928  -0.157 0.928  -0.311 0.928  -0.465 0.928  -0.619 0.928  -0.756 0.886  -0.865 0.777  -0.974 0.668  -1.083 0.559  -1.192 0.450  -1.223 0.308  -1.223 0.154  -1.223 -0.000  -1.223 -0.154  -1.223 -0.308  -1.105 -0.345  -0.956 -0.357  -0.847 -0.466  -0.738 -0.575  -0.594 -0.600  -0.440 -0.600  -0.286 -0.600  -0.132 -0.600  0.023 -0.600  0.177 -0.600  0.306 -0.575  0.306 -0.421  0.306 -0.266  0.306 -0.112  0.306 0.042  0.306 0.196  0.306 0.350  0.391 0.419  0.545 0.419  0.700 0.419  0.815 0.380  0.815 0.226  0.815 0.072  0.815 -0.082  0.815 -0.236  0.860 -0.345  1.015 -0.345  1.070 -0.444  1.070 -0.598  1.178 -0.708  1.287 -0.817  1.325 -0.955  1.325 -1.110
3#apa#apa01#app0191/p  -0.440 0.975  -0.297 0.897  -0.297 0.676  -0.297 0.454  -0.177 0.282  -0.154 0.071  -0.154 -0.151  -0.154 -0.372  -0.154 -0.594  -0.154 -0.815  -0.154 -1.037  -0.154 -1.258  -0.154 -1.480  -0.154 -1.701  -0.030 -1.872  -0.046 -1.712  -0.154 -1.535  -0.154 -1.313  -0.154 -1.092  -0.267 -0.917  -0.297 -0.708  -0.297 -0.487  -0.440 -0.409  -0.440 -0.187  -0.440 0.034  -0.440 0.256  -0.584 0.334  -0.584 0.556  -0.521 0.751  -0.440 0.939  -0.297 1.017  -0.177 1.119  -0.099 1.262  0.123 1.262  0.344 1.262  0.566 1.262  0.764 1.205  0.920 1.048  0.993 0.857  0.993 0.635  0.993 0.414  0.926 0.259  0.849 0.114  0.692 -0.042  0.524 -0.171  0.302 -0.171  0.081 -0.171  -0.010 -0.041  -0.154 0.037  -0.154 0.259
3#apa#apa01#app0191/s  0.362 1.237  0.210 1.237  0.095 1.150  -0.018 1.056  -0.169 1.056  -0.180 0.916  -0.291 0.875  -0.443 0.875  -0.579 0.838  -0.686 0.731  -0.822 0.695  -0.903 0.624  -0.944 0.514  -1.071 0.514  -0.920 0.514  -0.768 0.514  -0.617 0.514  -0.465 0.514  -0.314 0.514  -0.180 0.497  -0.180 0.345  -0.040 0.333  0.111 0.333  0.262 0.333  0.414 0.333  0.543 0.311  0.543 0.159  0.687 0.153  0.805 0.071  0.904 -0.040  0.904 -0.191  0.904 -0.342  0.904 -0.494  0.904 -0.645  0.904 -0.797  0.887 -0.931  0.735 -0.931  0.723 -1.070  0.613 -1.112  0.462 -1.112  0.310 -1.112  0.159 -1.112  0.008 -1.112  -0.144 -1.112  -0.295 -1.112  -0.422 -1.051  -0.529 -0.944  -0.675 -0.931  -0.796 -0.858  -0.903 -0.750
3#apa#apa01#app0191/t  -0.261 1.972  -0.261 1.785  -0.147 1.646  -0.050 1.499  -0.050 1.312  -0.050 1.125  -0.050 0.938  0.065 0.799  0.162 0.652  0.162 0.465  0.162 0.279  0.162 0.092  0.162 -0.095  0.260 -0.241  0.373 -0.381  0.373 -0.568  0.373 -0.755  0.373 -0.942  0.373 -1.129  0.373 -1.315  0.463 -1.412  0.585 -1.478  0.585 -1.584  0.574 -1.401  0.450 -1.261  0.326 -1.121  0.202 -0.982  0.078 -0.842  -0.047 -0.702  -0.171 -0.563  -0.295 -0.423  -0.419 -0.283  -0.543 -0.144  -0.667 -0.004  -0.791 0.135  -0.915 0.275  -1.040 0.415  -1.023 0.491  -0.836 0.491  -0.685 0.456  -0.674 0.280  -0.487 0.280  -0.300 0.280  -0.113 0.280  0.073 0.280  0.260 0.280  0.447 0.280  0.634 0.280  0.821 0.280  1.008 0.280
3#apa#apa01#app0191/h  -0.680 1.997  -0.680 1.857  -0.680 1.717  -0.680 1.577  -0.680 1.437  -0.592 1.333  -0.537 1.216  -0.537 1.076  -0.537 0.936  -0.501 0.811  -0.402 0.712  -0.393 0.575  -0.393 0.435  -0.393 0.295  -0.311 0.189  -0.249 0.074  -0.249 -0.066  -0.249 -0.206  -0.249 -0.346  -0.249 -0.486  -0.249 -0.626  -0.249 -0.766  -0.249 -0.906  -0.249 -1.046  -0.249 -1.149  -0.234 -1.024  -0.105 -1.012  -0.105 -0.872  -0.105 -0.732  -0.105 -0.592  -0.105 -0.452  -0.044 -0.326  0.019 -0.201  0.039 -0.066  0.130 -0.017  0.183 0.071  0.266 0.127  0.407 0.127  0.547 0.127  0.614 0.055  0.663 -0.065  0.762 -0.164  0.861 -0.263  0.902 -0.387  0.902 -0.527  0.902 -0.667  0.902 -0.807  0.949 -0.927  1.050 -1.024  1.190 -1.024
3#apa#apa01#app0191/e  -0.619 -0.071  -0.454 -0.071  -0.288 -0.071  -0.125 -0.065  -0.008 0.052  0.110 0.169  0.274 0.173  0.358 0.255  0.360 0.419  0.477 0.537  0.594 0.654  0.602 0.816  0.602 0.982  0.602 1.148  0.438 1.150  0.273 1.150  0.107 1.150  -0.059 1.150  -0.197 1.084  -0.314 0.967  -0.455 0.906  -0.619 0.905  -0.619 0.739  -0.707 0.661  -0.863 0.652  -0.863 0.486  -0.863 0.320  -0.863 0.155  -0.863 -0.011  -0.863 -0.177  -0.837 -0.315  -0.671 -0.315  -0.619 -0.429  -0.584 -0.560  -0.418 -0.560  -0.375 -0.682  -0.331 -0.804  -0.165 -0.804  0.000 -0.804  0.166 -0.804  0.332 -0.804  0.358 -0.944  0.419 -1.048  0.585 -1.048  0.750 -1.048  0.916 -1.048  1.082 -1.048  1.247 -1.048  1.413 -1.048  1.579 -1.048
3#apa#apa01#app0191/g  0.176 0.780  0.141 0.883  0.073 0.953  -0.001 1.060  -0.029 1.187  -0.162 1.192  -0.300 1.192  -0.438 1.192  -0.544 1.159  -0.544 1.021  -0.544 0.883  -0.647 0.848  -0.647 0.710  -0.572 0.603  -0.544 0.477  -0.450 0.378  -0.352 0.280  -0.220 0.266  -0.082 0.266  -0.029 0.351  0.086 0.381  0.176 0.482  0.176 0.620  0.257 0.677  0.279 0.768  0.279 0.630  0.279 0.492  0.279 0.354  0.279 0.216  0.340 0.103  0.382 -0.018  0.382 -0.156  0.414 -0.281  0.485 -0.389  0.485 -0.527  0.485 -0.665  0.485 -0.803  0.485 -0.941  0.485 -1.079  0.455 -1.205  0.357 -1.302  0.279 -1.408  0.216 -1.483  0.078 -1.483  -0.060 -1.483  -0.198 -1.483  -0.336 -1.483  -0.441 -1.450  -0.509 -1.380  -0.647 -1.380
