1d#apb#apb36#app3665/.  -1.019 -0.213  -1.185 -0.169  -1.113 0.047  -1.040 0.264  -1.019 0.170  -1.019 -0.058  -1.019 -0.286  -1.019 -0.514  -1.019 -0.741  -1.019 -0.904  -0.943 -0.781  -0.727 -0.853  -0.511 -0.925  -0.370 -0.777  -0.244 -0.587  -0.117 -0.398  0.060 -0.255  0.238 -0.112  0.415 0.030  0.593 0.172  0.771 0.315  0.881 0.512  0.983 0.716  1.085 0.920  1.186 1.124  1.288 1.328  1.200 1.414  0.972 1.414  0.825 1.240  0.679 1.065  0.534 0.890  0.388 0.715  0.242 0.540  0.096 0.365  -0.034 0.178  -0.161 -0.011  -0.287 -0.201  -0.296 -0.426  -0.296 -0.654  -0.296 -0.882  -0.296 -1.110  -0.097 -1.082  0.005 -0.878  0.107 -0.674  0.208 -0.471  0.247 -0.252  0.381 -0.080  0.542 0.082  0.608 0.282  0.608 0.510
1d#apb#apb36#app3665/,  -0.290 1.445  -0.363 1.445  -0.425 1.438  -0.392 1.372  -0.419 1.388  -0.407 1.343  -0.379 1.275  -0.352 1.207  -0.323 1.139  -0.293 1.072  -0.263 1.005  -0.232 0.938  -0.202 0.872  -0.171 0.805  -0.141 0.738  -0.111 0.671  -0.080 0.604  -0.049 0.537  -0.018 0.471  0.013 0.404  0.043 0.337  0.074 0.271  0.105 0.204  0.136 0.137  0.166 0.070  0.187 0.000  0.205 -0.071  0.223 -0.142  0.241 -0.214  0.259 -0.285  0.276 -0.356  0.294 -0.427  0.312 -0.499  0.301 -0.571  0.289 -0.644  0.277 -0.716  0.264 -0.789  0.252 -0.861  0.240 -0.934  0.228 -1.006  0.209 -1.076  0.174 -1.141  0.139 -1.206  0.105 -1.270  0.070 -1.335  0.035 -1.400  0.000 -1.464  -0.035 -1.529  -0.070 -1.594  -0.104 -1.658
1d#apb#apb36#app3665/;  -0.136 0.948  -0.084 0.977  -0.119 0.960  -0.169 0.876  -0.224 0.794  -0.246 0.698  -0.188 0.683  -0.096 0.718  -0.013 0.770  0.066 0.829  0.144 0.888  0.204 0.961  0.231 1.055  0.231 1.146  0.133 1.146  0.052 1.098  -0.022 1.034  -0.099 0.973  -0.183 0.921  -0.257 0.860  -0.285 0.770  -0.265 0.673  -0.246 0.577  -0.226 0.480  -0.207 0.383  -0.187 0.287  -0.168 0.190  -0.148 0.094  -0.128 -0.003  -0.109 -0.099  -0.089 -0.196  -0.070 -0.292  -0.050 -0.389  -0.030 -0.485  -0.011 -0.582  0.009 -0.679  0.043 -0.769  0.092 -0.855  0.138 -0.942  0.182 -1.030  0.226 -1.119  0.253 -1.213  0.274 -1.309  0.294 -1.405  0.300 -1.502  0.293 -1.601  0.285 -1.699  0.252 -1.789  0.201 -1.873  0.150 -1.958
1d#apb#apb36#app3665/:  -0.233 1.100  -0.122 1.055  -0.062 1.109  -0.036 1.227  -0.015 1.291  -0.080 1.191  -0.144 1.089  -0.189 0.978  -0.240 0.869  -0.294 0.761  -0.327 0.648  -0.284 0.571  -0.193 0.642  -0.098 0.713  0.012 0.761  0.078 0.837  0.078 0.958  0.078 1.078  -0.020 1.100  -0.040 1.006  -0.031 0.886  -0.022 0.766  -0.013 0.646  -0.004 0.526  0.004 0.406  0.013 0.286  0.022 0.166  0.031 0.046  0.039 -0.074  0.048 -0.194  0.057 -0.314  0.066 -0.434  0.075 -0.554  0.083 -0.674  0.092 -0.794  0.101 -0.914  0.110 -1.034  0.118 -1.154  0.127 -1.274  0.136 -1.394  0.079 -1.453  0.078 -1.573  0.102 -1.530  0.151 -1.420  0.189 -1.306  0.203 -1.188  0.119 -1.225  0.083 -1.338  -0.004 -1.414  0.078 -1.453
1d#apb#apb36#app3665/$  0.522 0.402  0.470 0.561  0.221 0.586  -0.027 0.640  -0.275 0.591  -0.508 0.492  -0.736 0.382  -0.925 0.224  -0.930 0.020  -0.716 -0.117  -0.492 -0.235  -0.263 -0.345  -0.033 -0.450  0.203 -0.545  0.438 -0.640  0.664 -0.753  0.642 -0.933  0.428 -1.070  0.177 -1.102  -0.076 -1.102  -0.326 -1.119  -0.573 -1.178  -0.580 -1.011  -0.506 -0.769  -0.432 -0.526  -0.359 -0.283  -0.285 -0.040  -0.211 0.202  -0.137 0.445  -0.064 0.688  0.010 0.930  0.084 1.173  0.158 1.416  0.231 1.659  0.305 1.901  0.342 1.765  0.342 1.512  0.342 1.258  0.342 1.004  0.342 0.751  0.329 0.497  0.316 0.244  0.303 -0.009  0.272 -0.261  0.242 -0.513  0.211 -0.765  0.178 -1.016  0.145 -1.268  0.113 -1.520  0.083 -1.771
1d#apb#apb36#app3665/#  -0.304 1.262  -0.341 0.874  -0.380 0.459  -0.433 0.045  -0.499 -0.367  -0.551 -0.781  -0.602 -1.195  -0.470 -1.485  -0.306 -1.114  -0.159 -0.724  -0.012 -0.333  0.134 0.058  0.281 0.448  0.428 0.839  0.575 1.230  0.722 1.620  0.807 1.755  0.786 1.345  0.697 0.938  0.598 0.532  0.495 0.128  0.387 -0.276  0.263 -0.674  0.157 -1.077  0.114 -1.490  0.156 -1.554  -0.045 -1.188  -0.246 -0.823  -0.448 -0.457  -0.649 -0.092  -0.851 0.274  -0.995 0.541  -0.579 0.519  -0.165 0.564  0.250 0.613  0.665 0.654  1.080 0.701  1.121 0.646  0.742 0.472  0.363 0.297  -0.016 0.123  -0.395 -0.052  -0.774 -0.226  -1.154 -0.401  -1.105 -0.528  -0.691 -0.550  -0.276 -0.510  0.134 -0.437  0.538 -0.333  0.951 -0.271
1d#apb#apb36#app3665/&  0.764 -0.892  0.591 -1.005  0.380 -0.837  0.201 -0.604  0.073 -0.342  -0.056 -0.079  -0.129 0.204  -0.199 0.488  -0.244 0.778  -0.336 1.053  -0.385 1.341  -0.212 1.546  0.071 1.593  0.352 1.509  0.567 1.324  0.546 1.053  0.404 0.801  0.163 0.671  -0.111 0.585  -0.260 0.337  -0.323 0.054  -0.242 -0.225  -0.084 -0.471  0.180 -0.586  0.463 -0.666  0.736 -0.753  0.949 -0.755  0.817 -0.493  0.684 -0.231  0.552 0.031  0.420 0.293  0.287 0.555  0.155 0.817  -0.078 0.916  -0.342 0.806  -0.542 0.591  -0.767 0.402  -0.950 0.172  -1.088 -0.085  -1.182 -0.361  -1.228 -0.649  -1.131 -0.918  -0.899 -1.081  -0.612 -1.142  -0.322 -1.188  -0.033 -1.150  0.244 -1.056  0.489 -0.902  0.698 -0.760  0.971 -0.685
1d#apb#apb36#app3665/!  0.270 1.660  0.267 1.627  0.259 1.556  0.251 1.485  0.225 1.418  0.199 1.351  0.174 1.284  0.148 1.217  0.123 1.150  0.097 1.083  0.081 1.013  0.066 0.943  0.051 0.873  0.036 0.803  0.020 0.733  0.005 0.662  -0.011 0.593  -0.029 0.523  -0.046 0.453  -0.063 0.384  -0.079 0.314  -0.079 0.242  -0.079 0.171  -0.079 0.099  -0.092 0.029  -0.115 -0.039  -0.118 -0.110  -0.118 -0.182  -0.117 -0.253  -0.110 -0.325  -0.104 -0.396  -0.097 -0.468  -0.090 -0.539  -0.084 -0.610  -0.077 -0.682  -0.071 -0.753  -0.064 -0.825  -0.057 -0.896  -0.051 -0.967  -0.044 -1.039  -0.038 -1.110  -0.031 -1.182  -0.025 -1.253  -0.018 -1.325  -0.011 -1.396  -0.005 -1.467  -0.027 -1.477  -0.093 -1.464  -0.110 -1.462  -0.040 -1.445
1d#apb#apb36#app3665/?  -0.086 0.730  -0.162 0.730  -0.262 0.730  -0.350 0.686  -0.404 0.710  -0.337 0.782  -0.259 0.845  -0.176 0.900  -0.093 0.956  -0.009 1.011  0.078 1.060  0.164 1.110  0.255 1.144  0.355 1.144  0.455 1.144  0.521 1.082  0.566 0.996  0.540 0.900  0.515 0.803  0.476 0.712  0.421 0.629  0.365 0.545  0.310 0.462  0.248 0.384  0.183 0.307  0.119 0.231  0.052 0.157  -0.016 0.083  -0.083 0.009  -0.149 -0.066  -0.214 -0.142  -0.269 -0.225  -0.289 -0.322  -0.293 -0.422  -0.276 -0.520  -0.247 -0.615  -0.205 -0.706  -0.160 -0.795  -0.117 -0.886  -0.087 -0.981  -0.090 -1.081  -0.094 -1.181  -0.098 -1.281  -0.101 -1.381  -0.105 -1.480  -0.108 -1.580  -0.112 -1.680  -0.116 -1.780  -0.119 -1.880  -0.138 -1.978
1d#apb#apb36#app3665/  0.722 1.505  0.676 1.486  0.645 1.423  0.614 1.361  0.582 1.299  0.550 1.237  0.517 1.176  0.485 1.114  0.453 1.052  0.427 0.988  0.407 0.921  0.386 0.854  0.366 0.787  0.346 0.721  0.326 0.654  0.305 0.587  0.281 0.522  0.253 0.458  0.224 0.395  0.195 0.331  0.167 0.268  0.138 0.204  0.110 0.141  0.081 0.077  0.052 0.013  0.022 -0.050  -0.009 -0.112  -0.040 -0.174  -0.071 -0.237  -0.102 -0.299  -0.134 -0.361  -0.165 -0.424  -0.196 -0.486  -0.228 -0.548  -0.261 -0.609  -0.295 -0.670  -0.328 -0.732  -0.361 -0.793  -0.395 -0.854  -0.428 -0.915  -0.462 -0.976  -0.500 -1.034  -0.541 -1.091  -0.582 -1.147  -0.623 -1.204  -0.664 -1.260  -0.703 -1.317  -0.729 -1.382  -0.755 -1.447  -0.757 -1.452
1d#apb#apb36#app3665/'  -0.029 1.517  0.021 1.567  0.051 1.576  0.041 1.507  0.031 1.438  0.021 1.368  0.011 1.299  0.001 1.229  -0.009 1.160  -0.019 1.091  -0.029 1.021  -0.029 0.951  -0.029 0.881  -0.029 0.811  -0.029 0.741  -0.029 0.671  -0.029 0.601  -0.029 0.530  -0.029 0.460  -0.029 0.390  -0.029 0.320  -0.029 0.250  -0.029 0.180  -0.029 0.110  -0.029 0.040  -0.024 -0.030  -0.018 -0.100  -0.012 -0.170  -0.006 -0.240  -0.000 -0.310  0.005 -0.380  0.011 -0.450  0.017 -0.519  0.023 -0.589  0.029 -0.659  0.035 -0.729  0.040 -0.799  0.046 -0.869  0.052 -0.939  0.049 -1.008  0.041 -1.078  0.033 -1.148  0.026 -1.217  0.018 -1.287  0.010 -1.357  0.002 -1.427  -0.005 -1.496  -0.013 -1.566  -0.021 -1.636  -0.029 -1.705
