3#app#app12#app1253/i  -0.088 1.490  -0.015 1.490  0.058 1.490  0.131 1.490  0.160 1.446  0.160 1.373  0.160 1.300  0.160 1.227  0.160 1.154  0.160 1.081  0.160 1.008  0.160 0.935  0.160 0.862  0.160 0.789  0.160 0.716  0.160 0.643  0.160 0.570  0.160 0.497  0.109 0.445  0.057 0.394  0.005 0.342  -0.046 0.290  -0.088 0.235  -0.088 0.162  -0.088 0.089  -0.088 0.016  -0.088 -0.057  -0.088 -0.130  -0.088 -0.203  -0.088 -0.276  -0.088 -0.349  -0.088 -0.422  -0.088 -0.495  -0.088 -0.568  -0.088 -0.641  -0.088 -0.714  -0.088 -0.787  -0.088 -0.860  -0.088 -0.933  -0.088 -1.006  -0.088 -1.079  -0.088 -1.153  -0.088 -1.226  -0.088 -1.299  -0.088 -1.372  -0.088 -1.445  -0.088 -1.518  -0.088 -1.591  -0.088 -1.664  -0.088 -1.737
3#app#app12#app1253/n  -1.052 0.786  -0.939 0.673  -0.827 0.561  -0.806 0.411  -0.806 0.252  -0.806 0.093  -0.806 -0.066  -0.806 -0.224  -0.806 -0.383  -0.806 -0.542  -0.806 -0.701  -0.806 -0.860  -0.720 -0.932  -0.561 -0.932  -0.561 -1.091  -0.488 -1.177  -0.330 -1.177  -0.316 -1.032  -0.316 -0.873  -0.316 -0.714  -0.316 -0.555  -0.316 -0.397  -0.316 -0.238  -0.316 -0.079  -0.294 0.071  -0.182 0.183  -0.070 0.296  -0.070 0.455  -0.019 0.592  0.094 0.704  0.175 0.830  0.175 0.988  0.257 1.113  0.369 1.226  0.482 1.215  0.594 1.103  0.666 0.974  0.666 0.815  0.724 0.670  0.795 0.528  0.866 0.386  0.911 0.237  0.911 0.079  1.003 -0.042  1.115 -0.155  1.156 -0.296  1.156 -0.455  1.156 -0.614  1.156 -0.773  1.156 -0.932
3#app#app12#app1253/o  0.387 1.208  0.246 1.208  0.106 1.208  -0.012 1.152  -0.111 1.053  -0.211 0.953  -0.310 0.854  -0.410 0.754  -0.470 0.639  -0.494 0.522  -0.635 0.522  -0.642 0.388  -0.715 0.278  -0.813 0.178  -0.813 0.037  -0.813 -0.103  -0.813 -0.244  -0.813 -0.385  -0.813 -0.525  -0.813 -0.666  -0.813 -0.807  -0.813 -0.947  -0.746 -1.021  -0.616 -1.047  -0.516 -1.146  -0.395 -1.192  -0.254 -1.192  -0.118 -1.183  -0.018 -1.083  0.081 -0.984  0.181 -0.884  0.297 -0.808  0.423 -0.745  0.549 -0.683  0.650 -0.586  0.743 -0.481  0.806 -0.355  0.868 -0.229  0.901 -0.097  0.901 0.044  0.901 0.185  0.901 0.325  0.901 0.466  0.901 0.607  0.848 0.694  0.714 0.710  0.614 0.809  0.497 0.865  0.356 0.865  0.216 0.865
3#app#app12#app1253/n  -1.200 1.164  -1.014 1.164  -0.956 1.037  -0.956 0.851  -0.945 0.676  -0.759 0.676  -0.712 0.537  -0.712 0.351  -0.696 0.172  -0.564 0.041  -0.467 -0.105  -0.467 -0.291  -0.467 -0.477  -0.384 -0.628  -0.253 -0.760  -0.223 -0.933  -0.223 -1.119  -0.223 -1.249  -0.223 -1.063  -0.223 -0.877  -0.223 -0.691  -0.223 -0.506  -0.223 -0.320  -0.223 -0.134  -0.223 0.052  -0.223 0.238  -0.223 0.424  -0.045 0.432  0.021 0.552  0.021 0.737  0.021 0.923  0.021 1.109  0.152 1.164  0.265 1.092  0.275 0.910  0.406 0.779  0.509 0.635  0.509 0.449  0.509 0.264  0.587 0.110  0.718 -0.022  0.753 -0.193  0.753 -0.379  0.767 -0.559  0.899 -0.690  1.018 -0.830  1.101 -0.997  1.185 -1.163  1.300 -1.277  1.486 -1.277
3#app#app12#app1253/e  -0.867 -0.609  -0.696 -0.609  -0.526 -0.609  -0.355 -0.609  -0.184 -0.609  -0.052 -0.517  0.069 -0.396  0.228 -0.368  0.337 -0.307  0.337 -0.136  0.499 -0.127  0.578 -0.035  0.594 0.129  0.714 0.250  0.819 0.377  0.819 0.548  0.906 0.682  1.027 0.803  1.060 0.960  1.006 1.077  0.835 1.077  0.710 1.186  0.589 1.307  0.423 1.318  0.337 1.233  0.322 1.077  0.152 1.077  0.015 0.995  -0.106 0.875  -0.227 0.754  -0.347 0.633  -0.385 0.478  -0.419 0.321  -0.539 0.201  -0.626 0.066  -0.626 -0.105  -0.774 -0.127  -0.867 -0.205  -0.867 -0.376  -0.867 -0.547  -0.791 -0.686  -0.670 -0.807  -0.626 -0.959  -0.587 -1.091  -0.417 -1.091  -0.287 -1.190  -0.166 -1.310  -0.004 -1.332  0.166 -1.332  0.337 -1.332
3#app#app12#app1253/c  0.536 0.622  0.536 0.739  0.536 0.855  0.536 0.972  0.536 1.088  0.536 1.205  0.451 1.236  0.334 1.236  0.218 1.236  0.109 1.218  0.026 1.136  -0.056 1.053  -0.078 0.946  -0.078 0.829  -0.192 0.827  -0.301 0.808  -0.383 0.726  -0.466 0.644  -0.487 0.536  -0.487 0.420  -0.568 0.337  -0.650 0.254  -0.692 0.155  -0.692 0.038  -0.692 -0.078  -0.692 -0.195  -0.692 -0.311  -0.692 -0.428  -0.692 -0.544  -0.692 -0.661  -0.692 -0.777  -0.633 -0.869  -0.550 -0.952  -0.460 -1.015  -0.344 -1.015  -0.227 -1.015  -0.111 -1.015  0.006 -1.015  0.123 -1.015  0.239 -1.015  0.348 -0.998  0.431 -0.915  0.513 -0.833  0.620 -0.810  0.737 -0.810  0.820 -0.731  0.903 -0.648  0.985 -0.566  1.068 -0.483  1.150 -0.401
3#app#app12#app1253/l  -0.319 1.667  -0.319 1.595  -0.319 1.522  -0.319 1.450  -0.319 1.377  -0.319 1.305  -0.319 1.232  -0.319 1.160  -0.319 1.088  -0.319 1.015  -0.319 0.943  -0.300 0.878  -0.249 0.826  -0.198 0.775  -0.164 0.717  -0.164 0.644  -0.164 0.572  -0.164 0.499  -0.164 0.427  -0.164 0.354  -0.164 0.282  -0.164 0.209  -0.164 0.137  -0.122 0.082  -0.071 0.031  -0.019 -0.020  0.004 -0.087  0.022 -0.157  0.039 -0.228  0.057 -0.298  0.075 -0.368  0.092 -0.439  0.110 -0.509  0.127 -0.579  0.144 -0.650  0.144 -0.722  0.144 -0.795  0.174 -0.860  0.206 -0.925  0.238 -0.990  0.271 -1.054  0.306 -1.117  0.357 -1.168  0.409 -1.220  0.453 -1.274  0.453 -1.346  0.453 -1.419  0.504 -1.470  0.556 -1.521  0.607 -1.572
3#app#app12#app1253/a  -1.005 1.538  -0.878 1.411  -0.740 1.312  -0.560 1.312  -0.380 1.312  -0.326 1.187  -0.248 1.086  -0.100 1.054  -0.100 0.874  -0.026 0.712  0.054 0.551  0.145 0.407  0.324 0.407  0.353 0.256  0.457 0.181  0.579 0.123  0.590 -0.046  0.770 -0.046  0.805 -0.190  0.903 -0.272  1.032 -0.221  1.032 -0.042  1.032 0.138  0.894 0.181  0.715 0.181  0.579 0.224  0.579 0.404  0.402 0.407  0.261 0.315  0.134 0.188  -0.043 0.181  -0.100 0.058  -0.176 -0.046  -0.355 -0.046  -0.535 -0.046  -0.553 -0.208  -0.634 -0.354  -0.761 -0.481  -0.779 -0.653  -0.779 -0.833  -0.779 -1.012  -0.764 -1.177  -0.585 -1.177  -0.405 -1.177  -0.326 -1.278  -0.272 -1.404  -0.093 -1.404  0.087 -1.404  0.226 -1.304  0.353 -1.177
3#app#app12#app1253/w  -1.101 1.275  -1.101 1.111  -1.101 0.947  -1.101 0.783  -1.101 0.620  -1.101 0.456  -1.101 0.292  -1.023 0.161  -0.907 0.045  -0.894 -0.113  -0.894 -0.277  -0.836 -0.383  -0.687 -0.397  -0.687 -0.561  -0.687 -0.724  -0.596 -0.797  -0.432 -0.797  -0.272 -0.793  -0.272 -0.629  -0.272 -0.466  -0.215 -0.326  -0.099 -0.210  -0.065 -0.060  -0.065 0.103  -0.065 0.267  -0.065 0.431  -0.065 0.595  -0.065 0.758  -0.065 0.799  -0.052 0.640  0.063 0.524  0.142 0.393  0.142 0.230  0.142 0.066  0.234 -0.060  0.349 -0.176  0.422 -0.322  0.496 -0.469  0.584 -0.590  0.748 -0.590  0.912 -0.590  1.076 -0.590  1.221 -0.546  1.337 -0.431  1.385 -0.287  1.422 -0.138  1.538 -0.023  1.592 0.119  1.592 0.282  1.592 0.446
3#app#app12#app1253/e  -0.931 -0.369  -0.760 -0.369  -0.589 -0.369  -0.419 -0.369  -0.256 -0.349  -0.135 -0.228  0.003 -0.150  0.174 -0.150  0.345 -0.150  0.379 -0.014  0.468 0.068  0.598 0.109  0.598 0.279  0.714 0.402  0.816 0.531  0.816 0.701  0.816 0.872  0.816 1.043  0.816 1.213  0.810 1.378  0.639 1.378  0.506 1.287  0.386 1.166  0.217 1.160  0.080 1.079  -0.041 0.958  -0.204 0.941  -0.276 0.842  -0.312 0.686  -0.433 0.566  -0.554 0.445  -0.675 0.324  -0.713 0.169  -0.713 -0.001  -0.713 -0.172  -0.713 -0.343  -0.713 -0.514  -0.713 -0.684  -0.713 -0.855  -0.711 -1.024  -0.540 -1.024  -0.406 -1.112  -0.285 -1.233  -0.118 -1.242  0.053 -1.242  0.223 -1.242  0.390 -1.232  0.511 -1.111  0.645 -1.024  0.816 -1.024
3#app#app12#app1253/d  -0.266 2.107  -0.257 1.964  -0.154 1.861  -0.132 1.724  -0.132 1.578  -0.128 1.434  -0.024 1.330  0.001 1.195  0.001 1.049  0.001 0.903  0.011 0.760  0.114 0.657  0.135 0.520  0.135 0.374  0.141 0.230  0.244 0.126  0.269 -0.009  0.269 -0.156  0.365 -0.262  0.402 -0.392  0.508 -0.433  0.536 -0.551  0.666 -0.567  0.670 -0.424  0.654 -0.284  0.551 -0.181  0.536 -0.041  0.402 -0.029  0.386 0.102  0.240 0.102  0.135 0.061  0.082 -0.032  -0.064 -0.032  -0.132 -0.110  -0.223 -0.166  -0.266 -0.269  -0.348 -0.381  -0.451 -0.484  -0.534 -0.596  -0.534 -0.742  -0.572 -0.873  -0.667 -0.979  -0.667 -1.125  -0.642 -1.261  -0.538 -1.364  -0.396 -1.365  -0.293 -1.262  -0.157 -1.235  -0.011 -1.235  0.135 -1.235
