2#app#app32#app3261/I  0.065 1.131  0.065 1.205  0.065 1.280  0.065 1.354  0.057 1.420  -0.018 1.420  -0.079 1.407  -0.079 1.332  -0.079 1.258  -0.079 1.183  -0.079 1.109  -0.079 1.034  -0.079 0.960  -0.079 0.885  -0.079 0.811  -0.079 0.736  -0.079 0.662  -0.079 0.587  -0.079 0.513  -0.079 0.438  -0.079 0.364  -0.079 0.290  -0.079 0.215  -0.079 0.141  -0.079 0.066  -0.079 -0.008  -0.054 -0.077  -0.021 -0.144  0.012 -0.210  0.046 -0.277  0.065 -0.347  0.065 -0.421  0.065 -0.496  0.065 -0.570  0.065 -0.645  0.065 -0.719  0.065 -0.794  0.065 -0.868  0.065 -0.943  0.065 -1.017  0.065 -1.091  0.065 -1.166  0.065 -1.240  0.065 -1.315  0.065 -1.389  0.065 -1.464  0.065 -1.538  0.065 -1.613  0.065 -1.687  0.065 -1.762
2#app#app32#app3261/f  0.236 1.985  0.107 1.963  0.022 1.859  0.022 1.721  0.022 1.582  0.022 1.444  0.022 1.305  0.022 1.166  0.022 1.028  0.022 0.889  0.022 0.751  0.022 0.612  0.022 0.473  0.022 0.335  0.022 0.196  0.022 0.058  0.022 -0.081  0.022 -0.220  0.022 -0.358  0.022 -0.497  0.060 -0.620  0.129 -0.730  0.129 -0.868  0.129 -1.007  0.129 -1.145  0.129 -1.284  0.129 -1.423  0.129 -1.561  0.115 -1.607  0.074 -1.475  0.033 -1.342  -0.009 -1.210  -0.050 -1.078  -0.091 -0.945  -0.133 -0.813  -0.174 -0.681  -0.215 -0.549  -0.257 -0.416  -0.298 -0.284  -0.340 -0.152  -0.381 -0.019  -0.406 0.115  -0.318 0.166  -0.192 0.179  -0.148 0.273  -0.017 0.307  0.107 0.369  0.210 0.461  0.326 0.532  0.450 0.594
2#app#app32#app3261/M  -0.488 0.817  -0.488 0.573  -0.488 0.330  -0.488 0.086  -0.488 -0.158  -0.555 -0.385  -0.585 -0.622  -0.585 -0.865  -0.585 -1.109  -0.585 -1.353  -0.585 -1.596  -0.590 -1.381  -0.599 -1.138  -0.607 -0.894  -0.616 -0.651  -0.625 -0.407  -0.633 -0.164  -0.642 0.080  -0.651 0.323  -0.659 0.566  -0.668 0.810  -0.677 1.053  -0.617 1.140  -0.488 0.951  -0.439 0.719  -0.391 0.486  -0.294 0.283  -0.293 0.040  -0.190 -0.161  -0.080 -0.348  0.095 -0.474  0.247 -0.487  0.350 -0.287  0.386 -0.058  0.483 0.146  0.524 0.372  0.580 0.593  0.594 0.831  0.697 1.031  0.812 1.205  0.871 1.021  0.968 0.817  0.968 0.574  1.012 0.341  1.065 0.110  1.065 -0.134  1.155 -0.340  1.190 -0.570  1.260 -0.784  1.357 -0.931
2#app#app32#app3261/y  -0.429 1.201  -0.429 1.373  -0.429 1.305  -0.429 1.132  -0.429 0.959  -0.429 0.786  -0.429 0.613  -0.420 0.450  -0.322 0.375  -0.187 0.467  -0.114 0.600  -0.054 0.713  -0.011 0.868  0.021 1.028  0.074 1.179  0.096 1.343  0.182 1.265  0.246 1.119  0.320 0.976  0.321 0.804  0.321 0.631  0.321 0.458  0.350 0.290  0.396 0.125  0.396 -0.048  0.396 -0.221  0.396 -0.394  0.396 -0.567  0.363 -0.736  0.321 -0.904  0.321 -1.077  0.321 -1.250  0.271 -1.402  0.202 -1.546  0.133 -1.690  -0.025 -1.727  -0.129 -1.658  -0.204 -1.516  -0.275 -1.360  -0.279 -1.188  -0.279 -1.015  -0.279 -0.842  -0.254 -0.672  -0.225 -0.501  -0.204 -0.330  -0.174 -0.164  -0.096 -0.010  0.002 0.130  0.124 0.253  0.246 0.375
2#app#app32#app3261/N  -0.127 1.204  -0.127 1.193  -0.127 0.970  -0.225 0.789  -0.299 0.580  -0.338 0.364  -0.407 0.153  -0.443 -0.063  -0.543 -0.262  -0.549 -0.483  -0.618 -0.694  -0.655 -0.910  -0.760 -1.027  -0.760 -1.249  -0.760 -1.471  -0.736 -1.389  -0.701 -1.170  -0.666 -0.951  -0.631 -0.731  -0.595 -0.512  -0.560 -0.292  -0.525 -0.073  -0.490 0.147  -0.455 0.366  -0.420 0.586  -0.385 0.805  -0.350 1.025  -0.338 0.951  -0.267 0.745  -0.130 0.573  -0.064 0.371  0.059 0.186  0.084 -0.028  0.207 -0.203  0.313 -0.397  0.401 -0.583  0.583 -0.667  0.718 -0.834  0.867 -0.907  0.929 -0.747  0.929 -0.525  0.929 -0.302  0.929 -0.080  0.929 0.142  0.930 0.364  1.001 0.575  1.034 0.792  1.034 1.014  1.034 1.236  1.140 1.415
2#app#app32#app3261/a  0.516 0.667  0.516 0.832  0.516 0.998  0.516 1.163  0.516 1.329  0.516 1.494  0.447 1.591  0.312 1.519  0.195 1.402  0.077 1.285  -0.030 1.161  -0.104 1.013  -0.197 0.879  -0.277 0.747  -0.277 0.581  -0.361 0.450  -0.478 0.333  -0.560 0.196  -0.600 0.036  -0.640 -0.125  -0.693 -0.278  -0.805 -0.397  -0.805 -0.563  -0.805 -0.728  -0.805 -0.894  -0.805 -1.059  -0.805 -1.225  -0.730 -1.315  -0.565 -1.315  -0.402 -1.308  -0.285 -1.191  -0.168 -1.074  -0.051 -0.957  -0.013 -0.807  0.090 -0.684  0.207 -0.567  0.324 -0.450  0.384 -0.309  0.384 -0.143  0.450 0.006  0.529 0.151  0.646 0.268  0.516 0.240  0.516 0.074  0.516 -0.091  0.516 -0.257  0.516 -0.422  0.516 -0.588  0.516 -0.753  0.516 -0.919
2#app#app32#app3261/m  -0.707 1.158  -0.707 0.930  -0.802 0.724  -0.828 0.502  -0.828 0.274  -0.828 0.045  -0.828 -0.183  -0.828 -0.411  -0.828 -0.640  -0.828 -0.868  -0.950 -0.975  -0.950 -0.861  -0.950 -0.633  -0.950 -0.404  -0.894 -0.189  -0.770 -0.001  -0.707 0.202  -0.651 0.417  -0.529 0.606  -0.388 0.785  -0.261 0.975  -0.066 1.037  0.122 0.939  0.145 0.720  0.145 0.492  0.145 0.263  0.145 0.035  0.145 -0.194  0.145 -0.422  0.071 -0.620  0.024 -0.828  -0.080 -1.014  -0.098 -0.830  0.024 -0.652  0.110 -0.459  0.225 -0.264  0.327 -0.060  0.439 0.139  0.566 0.329  0.709 0.505  0.870 0.666  1.097 0.672  1.265 0.526  1.362 0.338  1.362 0.110  1.362 -0.119  1.362 -0.347  1.362 -0.576  1.362 -0.804  1.362 -1.032
2#app#app32#app3261/e  -0.665 0.651  -0.590 0.500  -0.539 0.343  -0.442 0.271  -0.313 0.172  -0.283 0.017  -0.127 -0.014  0.003 -0.110  0.172 -0.110  0.306 -0.194  0.457 -0.237  0.626 -0.237  0.776 -0.283  0.912 -0.363  0.983 -0.265  0.983 -0.096  0.983 0.073  0.885 0.144  0.856 0.284  0.856 0.453  0.856 0.622  0.847 0.787  0.729 0.908  0.729 1.077  0.642 1.158  0.473 1.158  0.304 1.158  0.135 1.158  0.004 1.066  -0.116 0.947  -0.207 0.807  -0.283 0.656  -0.401 0.535  -0.481 0.387  -0.566 0.243  -0.678 0.118  -0.754 -0.033  -0.792 -0.193  -0.792 -0.362  -0.792 -0.531  -0.792 -0.700  -0.792 -0.869  -0.792 -1.038  -0.733 -1.183  -0.614 -1.303  -0.476 -1.378  -0.338 -1.452  -0.190 -1.505  -0.061 -1.601  0.095 -1.631
2#app#app32#app3261/=  -1.070 0.436  -0.938 0.436  -0.884 0.515  -0.859 0.623  -0.726 0.623  -0.593 0.623  -0.475 0.658  -0.382 0.752  -0.272 0.809  -0.140 0.809  -0.007 0.809  0.103 0.864  0.197 0.957  0.314 0.995  0.446 0.995  0.579 0.995  0.712 0.995  0.844 0.995  0.977 0.995  0.899 0.896  0.815 0.793  0.731 0.690  0.647 0.588  0.563 0.485  0.479 0.382  0.395 0.279  0.311 0.177  0.227 0.074  0.143 -0.029  0.059 -0.131  -0.025 -0.234  -0.109 -0.337  -0.193 -0.439  -0.277 -0.542  -0.361 -0.645  -0.445 -0.747  -0.529 -0.850  -0.613 -0.953  -0.697 -1.055  -0.603 -1.149  -0.509 -1.242  -0.376 -1.242  -0.244 -1.242  -0.111 -1.242  0.022 -1.242  0.154 -1.242  0.287 -1.242  0.420 -1.242  0.514 -1.149  0.608 -1.055
2#app#app32#app3261/\"  -0.599 1.104  -0.599 1.253  -0.599 1.235  -0.599 1.086  -0.599 0.937  -0.599 0.788  -0.599 0.639  -0.599 0.490  -0.684 0.375  -0.789 0.270  -0.814 0.131  -0.814 -0.018  -0.814 -0.167  -0.814 -0.316  -0.814 -0.465  -0.814 -0.614  -0.814 -0.764  -0.729 -0.828  -0.599 -0.847  -0.599 -0.996  -0.599 -1.145  -0.578 -1.227  -0.493 -1.105  -0.407 -0.983  -0.321 -0.861  -0.236 -0.739  -0.150 -0.616  -0.065 -0.494  0.021 -0.372  0.106 -0.250  0.192 -0.128  0.277 -0.006  0.363 0.117  0.448 0.239  0.534 0.361  0.619 0.483  0.705 0.605  0.790 0.727  0.876 0.850  0.904 0.789  0.928 0.650  1.034 0.545  1.118 0.430  1.118 0.281  1.118 0.132  1.118 -0.017  1.118 -0.166  1.118 -0.315  1.118 -0.464  1.118 -0.613
2#app#app32#app3261/Y  -0.790 0.657  -0.790 0.823  -0.684 0.857  -0.684 0.691  -0.591 0.564  -0.549 0.416  -0.472 0.283  -0.472 0.118  -0.472 -0.048  -0.456 -0.207  -0.366 -0.335  -0.366 -0.500  -0.316 -0.616  -0.224 -0.513  -0.169 -0.357  -0.114 -0.201  -0.060 -0.045  -0.005 0.112  0.050 0.268  0.104 0.424  0.159 0.580  0.214 0.736  0.268 0.893  0.323 1.049  0.378 1.205  0.432 1.361  0.483 1.494  0.433 1.350  0.377 1.207  0.377 1.042  0.377 0.877  0.377 0.711  0.342 0.551  0.289 0.394  0.271 0.232  0.252 0.070  0.199 -0.087  0.165 -0.247  0.165 -0.413  0.165 -0.578  0.165 -0.744  0.165 -0.909  0.165 -1.074  0.165 -1.240  0.165 -1.405  0.165 -1.571  0.165 -1.736  0.112 -1.889  0.059 -2.042  0.059 -2.208
