1b#ced#rigi0287_s_jc/P  0.299 1.243  0.263 1.411  0.228 1.578  0.184 1.543  0.184 1.370  0.184 1.197  0.184 1.023  0.160 0.853  0.120 0.685  0.099 0.514  0.080 0.341  0.064 0.169  0.052 -0.003  0.030 -0.175  0.010 -0.347  -0.009 -0.519  -0.034 -0.690  -0.065 -0.860  -0.085 -1.032  -0.108 -1.204  -0.143 -1.373  -0.171 -1.544  -0.201 -1.714  -0.235 -1.797  -0.266 -1.627  -0.297 -1.457  -0.329 -1.286  -0.360 -1.116  -0.391 -0.946  -0.422 -0.776  -0.452 -0.605  -0.470 -0.433  -0.463 -0.261  -0.458 -0.088  -0.443 0.085  -0.405 0.253  -0.365 0.422  -0.317 0.588  -0.244 0.745  -0.133 0.874  0.024 0.944  0.194 0.926  0.348 0.847  0.494 0.756  0.617 0.636  0.696 0.483  0.715 0.313  0.651 0.153  0.560 0.008  0.427 -0.103
1b#ced#rigi0287_s_jc/A  0.516 -0.248  0.585 -0.082  0.664 0.075  0.730 0.238  0.784 0.408  0.839 0.579  0.826 0.756  0.736 0.909  0.593 1.015  0.422 1.011  0.248 0.985  0.084 0.912  -0.071 0.822  -0.222 0.724  -0.374 0.629  -0.517 0.521  -0.645 0.396  -0.760 0.258  -0.875 0.120  -0.990 -0.017  -1.095 -0.162  -1.186 -0.316  -1.259 -0.480  -1.309 -0.652  -1.328 -0.830  -1.328 -1.009  -1.202 -1.128  -1.026 -1.155  -0.847 -1.153  -0.672 -1.112  -0.505 -1.048  -0.352 -0.954  -0.204 -0.853  -0.064 -0.741  0.074 -0.626  0.183 -0.485  0.298 -0.349  0.419 -0.216  0.519 -0.068  0.607 0.088  0.695 0.242  0.770 0.405  0.847 0.567  0.868 0.743  0.748 0.650  0.721 0.475  0.701 0.300  0.740 0.125  0.776 -0.051  0.839 -0.218
1b#ced#rigi0287_s_jc/C  0.792 -0.566  0.819 -0.464  0.819 -0.359  0.819 -0.253  0.819 -0.148  0.819 -0.042  0.819 0.064  0.809 0.168  0.792 0.272  0.792 0.378  0.792 0.483  0.779 0.588  0.758 0.691  0.734 0.794  0.687 0.888  0.645 0.983  0.568 1.054  0.474 1.101  0.369 1.094  0.270 1.061  0.183 1.001  0.099 0.938  0.016 0.872  -0.059 0.799  -0.127 0.717  -0.190 0.633  -0.248 0.545  -0.309 0.459  -0.370 0.373  -0.427 0.284  -0.479 0.192  -0.529 0.099  -0.576 0.004  -0.623 -0.090  -0.670 -0.184  -0.717 -0.279  -0.742 -0.382  -0.768 -0.484  -0.781 -0.589  -0.794 -0.694  -0.795 -0.799  -0.792 -0.905  -0.777 -1.009  -0.745 -1.107  -0.691 -1.198  -0.625 -1.281  -0.550 -1.353  -0.459 -1.407  -0.363 -1.450  -0.266 -1.491
1b#ced#rigi0287_s_jc/K  0.301 0.826  0.281 1.032  0.277 1.240  0.261 1.447  0.257 1.655  0.177 1.806  0.084 1.630  0.016 1.433  -0.040 1.233  -0.096 1.032  -0.162 0.834  -0.214 0.633  -0.249 0.427  -0.288 0.223  -0.338 0.020  -0.388 -0.182  -0.426 -0.387  -0.458 -0.593  -0.491 -0.799  -0.516 -1.006  -0.535 -1.213  -0.555 -1.421  -0.564 -1.629  -0.459 -1.497  -0.340 -1.326  -0.222 -1.154  -0.103 -0.983  0.015 -0.811  0.134 -0.640  0.252 -0.468  0.370 -0.296  0.502 -0.135  0.602 0.047  0.703 0.226  0.815 0.399  0.931 0.572  0.888 0.678  0.693 0.619  0.542 0.478  0.371 0.359  0.218 0.218  0.064 0.078  -0.093 -0.059  -0.242 -0.203  -0.394 -0.341  -0.517 -0.506  -0.519 -0.706  -0.367 -0.836  -0.184 -0.937  0.006 -1.022
1b#ced#rigi0287_s_jc/M  -0.583 -1.238  -0.716 -1.283  -0.784 -1.289  -0.784 -1.092  -0.790 -0.901  -0.807 -0.708  -0.807 -0.511  -0.826 -0.316  -0.829 -0.119  -0.829 0.078  -0.829 0.274  -0.829 0.471  -0.829 0.668  -0.829 0.865  -0.762 0.941  -0.695 0.765  -0.650 0.577  -0.577 0.394  -0.526 0.205  -0.451 0.023  -0.371 -0.156  -0.282 -0.331  -0.206 -0.512  -0.109 -0.683  0.005 -0.840  0.090 -0.770  0.131 -0.580  0.148 -0.385  0.183 -0.191  0.216 0.003  0.247 0.197  0.299 0.386  0.329 0.581  0.405 0.761  0.460 0.950  0.524 1.134  0.598 1.310  0.695 1.251  0.717 1.058  0.750 0.864  0.804 0.675  0.829 0.481  0.861 0.288  0.895 0.095  0.956 -0.092  1.000 -0.283  1.057 -0.471  1.111 -0.660  1.168 -0.848  1.222 -1.037
1b#ced#rigi0287_s_jc/Y  -0.711 0.648  -0.694 0.760  -0.680 0.834  -0.598 0.735  -0.515 0.638  -0.425 0.545  -0.345 0.444  -0.268 0.341  -0.187 0.240  -0.096 0.149  -0.003 0.101  0.095 0.185  0.193 0.269  0.291 0.353  0.389 0.437  0.487 0.521  0.585 0.605  0.677 0.692  0.691 0.820  0.691 0.949  0.670 1.075  0.641 1.194  0.546 1.176  0.491 1.066  0.455 0.943  0.420 0.819  0.386 0.695  0.355 0.571  0.312 0.450  0.278 0.325  0.237 0.203  0.196 0.080  0.158 -0.043  0.117 -0.165  0.071 -0.286  0.023 -0.406  -0.014 -0.529  -0.061 -0.649  -0.114 -0.767  -0.165 -0.885  -0.211 -1.006  -0.269 -1.122  -0.321 -1.240  -0.377 -1.356  -0.435 -1.471  -0.495 -1.585  -0.557 -1.698  -0.606 -1.816  -0.661 -1.932  -0.644 -1.906
1b#ced#rigi0287_s_jc/W  -0.569 0.288  -0.590 0.440  -0.624 0.596  -0.688 0.742  -0.768 0.879  -0.908 0.945  -0.960 0.808  -0.960 0.647  -0.947 0.486  -0.942 0.325  -0.942 0.163  -0.928 0.003  -0.908 -0.158  -0.889 -0.318  -0.883 -0.479  -0.859 -0.639  -0.829 -0.798  -0.775 -0.948  -0.662 -1.044  -0.519 -0.977  -0.413 -0.855  -0.316 -0.726  -0.226 -0.592  -0.148 -0.451  -0.068 -0.310  0.000 -0.164  0.071 -0.019  0.131 0.130  0.160 0.185  0.168 0.024  0.195 -0.134  0.195 -0.295  0.250 -0.444  0.310 -0.590  0.424 -0.705  0.580 -0.723  0.709 -0.628  0.805 -0.500  0.886 -0.362  0.959 -0.219  1.010 -0.066  1.061 0.088  1.107 0.243  1.144 0.399  1.167 0.559  1.191 0.719  1.217 0.878  1.217 1.040  1.199 1.199  1.164 1.355
1b#ced#rigi0287_s_jc/I  0.131 0.344  0.131 0.435  0.131 0.526  0.131 0.617  0.131 0.708  0.131 0.799  0.131 0.889  0.131 0.980  0.111 1.068  0.104 1.157  0.078 1.244  0.051 1.328  0.025 1.402  0.051 1.317  0.051 1.226  0.051 1.135  0.051 1.045  0.051 0.954  0.045 0.863  0.030 0.774  0.025 0.684  0.025 0.593  0.025 0.502  0.023 0.411  0.010 0.321  -0.002 0.231  -0.002 0.141  -0.002 0.050  -0.002 -0.041  -0.002 -0.132  -0.002 -0.223  -0.005 -0.313  -0.018 -0.403  -0.030 -0.493  -0.042 -0.583  -0.053 -0.673  -0.065 -0.763  -0.078 -0.853  -0.081 -0.944  -0.081 -1.034  -0.092 -1.124  -0.107 -1.214  -0.122 -1.304  -0.134 -1.393  -0.134 -1.484  -0.152 -1.573  -0.161 -1.663  -0.161 -1.754  -0.161 -1.845  -0.161 -1.935
1b#ced#rigi0287_s_jc/T  -0.205 0.071  -0.115 0.219  -0.035 0.373  0.054 0.522  0.103 0.591  0.103 0.415  0.115 0.240  0.109 0.066  0.103 -0.109  0.103 -0.284  0.083 -0.458  0.083 -0.634  0.065 -0.809  0.064 -0.985  0.064 -1.160  0.064 -1.336  0.050 -1.510  0.063 -1.679  0.031 -1.611  -0.022 -1.444  -0.075 -1.276  -0.127 -1.108  -0.180 -0.940  -0.233 -0.773  -0.286 -0.605  -0.338 -0.437  -0.391 -0.269  -0.444 -0.102  -0.496 0.066  -0.549 0.234  -0.670 0.335  -0.837 0.390  -1.003 0.432  -1.086 0.494  -0.923 0.555  -0.754 0.601  -0.585 0.645  -0.412 0.679  -0.243 0.728  -0.071 0.758  0.103 0.786  0.277 0.815  0.451 0.838  0.626 0.856  0.796 0.898  0.970 0.923  1.140 0.964  1.314 0.994  1.488 1.010  1.660 1.032
1b#ced#rigi0287_s_jc/H  -0.744 0.366  -0.767 0.645  -0.812 0.916  -0.864 0.872  -0.907 0.595  -0.953 0.316  -0.996 0.038  -1.034 -0.242  -1.046 -0.523  -1.063 -0.804  -0.824 -0.696  -0.572 -0.568  -0.321 -0.440  -0.070 -0.312  0.182 -0.184  0.308 0.066  0.412 0.328  0.514 0.591  0.604 0.857  0.702 1.122  0.782 1.391  0.805 1.357  0.782 1.078  0.782 0.796  0.782 0.514  0.805 0.233  0.805 -0.049  0.826 -0.329  0.827 -0.611  0.850 -0.891  0.871 -1.171  0.804 -1.317  0.571 -1.157  0.339 -0.998  0.106 -0.838  -0.126 -0.678  -0.359 -0.519  -0.591 -0.359  -0.847 -0.249  -1.123 -0.218  -1.172 -0.178  -0.900 -0.120  -0.630 -0.043  -0.359 0.028  -0.085 0.093  0.194 0.136  0.469 0.194  0.744 0.254  1.017 0.323  1.283 0.389
1b#ced#rigi0287_s_jc/L  -0.121 0.755  -0.138 0.860  -0.160 0.963  -0.192 1.063  -0.218 1.165  -0.273 1.253  -0.327 1.327  -0.426 1.318  -0.449 1.217  -0.468 1.113  -0.468 1.005  -0.468 0.898  -0.482 0.792  -0.499 0.686  -0.519 0.580  -0.536 0.474  -0.553 0.368  -0.572 0.262  -0.584 0.156  -0.584 0.048  -0.601 -0.058  -0.603 -0.165  -0.620 -0.271  -0.623 -0.378  -0.623 -0.485  -0.623 -0.593  -0.623 -0.700  -0.579 -0.793  -0.489 -0.851  -0.386 -0.865  -0.280 -0.851  -0.176 -0.825  -0.073 -0.795  0.028 -0.761  0.131 -0.733  0.232 -0.695  0.334 -0.662  0.435 -0.625  0.531 -0.577  0.633 -0.543  0.736 -0.515  0.839 -0.483  0.944 -0.461  1.049 -0.440  1.153 -0.415  1.253 -0.383  1.359 -0.367  1.463 -0.344  1.571 -0.344  1.643 -0.325
