1b#tos#t1#t1017065/B  -0.157 1.256  -0.209 1.031  -0.209 0.756  -0.317 0.512  -0.364 0.242  -0.386 -0.029  -0.415 -0.298  -0.425 -0.571  -0.467 -0.837  -0.467 -1.113  -0.515 -0.903  -0.508 -0.628  -0.502 -0.352  -0.495 -0.076  -0.489 0.199  -0.482 0.475  -0.475 0.751  -0.469 1.027  -0.364 1.199  -0.114 1.256  0.098 1.359  0.373 1.359  0.637 1.307  0.760 1.125  0.772 0.852  0.621 0.689  0.410 0.584  0.258 0.431  0.004 0.378  -0.117 0.223  -0.341 0.171  -0.524 0.171  -0.248 0.171  0.028 0.171  0.303 0.171  0.527 0.119  0.743 0.031  0.876 -0.123  1.007 -0.350  1.031 -0.620  0.949 -0.825  0.795 -1.000  0.618 -1.147  0.411 -1.260  0.208 -1.360  -0.054 -1.390  -0.289 -1.430  -0.513 -1.378  -0.683 -1.255  -0.829 -1.069
1b#tos#t1#t1017065/D  -0.163 0.959  -0.360 0.953  -0.458 0.850  -0.458 0.648  -0.458 0.446  -0.458 0.244  -0.507 0.063  -0.557 -0.119  -0.557 -0.320  -0.557 -0.522  -0.599 -0.707  -0.690 -0.854  -0.700 -0.971  -0.680 -0.770  -0.660 -0.569  -0.640 -0.368  -0.620 -0.167  -0.600 0.033  -0.580 0.234  -0.560 0.435  -0.540 0.636  -0.520 0.837  -0.428 0.959  -0.246 1.008  -0.052 1.039  0.146 1.057  0.347 1.057  0.547 1.046  0.690 0.959  0.869 0.898  0.919 0.746  1.017 0.642  1.066 0.461  1.165 0.357  1.165 0.155  1.165 -0.046  1.066 -0.150  1.017 -0.303  0.882 -0.369  0.805 -0.532  0.625 -0.615  0.522 -0.715  0.427 -0.858  0.243 -0.897  0.079 -1.009  -0.097 -1.057  -0.212 -1.190  -0.399 -1.205  -0.601 -1.205  -0.803 -1.205
1b#tos#t1#t1017065/F  -0.145 1.123  -0.311 0.975  -0.441 0.802  -0.441 0.557  -0.491 0.323  -0.491 0.078  -0.491 -0.168  -0.491 -0.413  -0.491 -0.658  -0.540 -0.883  -0.590 -1.079  -0.590 -1.324  -0.590 -1.570  -0.687 -1.733  -0.652 -1.490  -0.616 -1.247  -0.581 -1.004  -0.546 -0.762  -0.510 -0.519  -0.475 -0.276  -0.440 -0.033  -0.404 0.210  -0.369 0.452  -0.334 0.695  -0.299 0.938  -0.164 0.916  0.058 0.975  0.304 0.975  0.549 0.975  0.794 0.975  1.039 0.975  1.264 0.925  1.465 0.913  1.257 0.783  1.049 0.654  0.840 0.524  0.632 0.395  0.424 0.265  0.215 0.136  0.007 0.006  -0.201 -0.124  -0.372 -0.261  -0.449 -0.430  -0.210 -0.458  -0.026 -0.360  0.220 -0.360  0.465 -0.360  0.710 -0.360  0.956 -0.360  1.189 -0.310
1b#tos#t1#t1017065/H  -0.569 0.887  -0.704 0.841  -0.737 0.674  -0.793 0.505  -0.824 0.332  -0.838 0.154  -0.883 -0.016  -0.900 -0.194  -0.928 -0.371  -1.018 -0.488  -1.018 -0.669  -1.018 -0.850  -1.018 -1.030  -0.983 -0.875  -0.946 -0.698  -0.909 -0.521  -0.872 -0.344  -0.835 -0.167  -0.799 0.010  -0.928 0.014  -0.816 -0.055  -0.635 -0.055  -0.460 -0.018  -0.288 0.019  -0.111 0.035  0.052 0.080  0.232 0.080  0.413 0.080  0.594 0.080  0.730 0.125  0.841 0.210  0.922 0.371  1.003 0.533  1.084 0.695  1.165 0.857  1.178 0.977  1.001 0.974  0.956 0.838  0.956 0.657  0.911 0.495  0.875 0.322  0.866 0.144  0.839 -0.010  0.821 -0.173  0.776 -0.309  0.776 -0.490  0.731 -0.652  0.731 -0.833  0.687 -0.995  0.687 -1.176
1b#tos#t1#t1017065/J  0.583 1.405  0.545 1.289  0.506 1.175  0.541 1.056  0.560 0.910  0.583 0.761  0.583 0.608  0.583 0.454  0.583 0.300  0.583 0.146  0.622 0.009  0.622 -0.145  0.622 -0.299  0.583 -0.437  0.565 -0.579  0.484 -0.691  0.428 -0.802  0.351 -0.879  0.273 -0.955  0.196 -1.031  0.045 -1.035  0.008 -1.151  -0.146 -1.151  -0.300 -1.151  -0.454 -1.151  -0.607 -1.151  -0.684 -1.073  -0.784 -0.984  -0.850 -0.880  -0.926 -0.802  -0.927 -0.649  -0.927 -0.496  -0.966 -0.381  -0.968 -0.256  -0.867 -0.140  -0.767 -0.024  -0.666 0.092  -0.566 0.209  -0.465 0.325  -0.364 0.441  -0.264 0.558  -0.163 0.674  -0.063 0.790  0.038 0.907  0.139 1.023  0.231 1.128  0.270 1.056  0.392 0.979  0.545 0.979  0.660 1.018
1b#tos#t1#t1017065/K  -0.425 1.242  -0.631 1.178  -0.733 0.981  -0.785 0.763  -0.785 0.524  -0.785 0.285  -0.785 0.046  -0.836 -0.181  -0.836 -0.420  -0.838 -0.658  -0.887 -0.848  -0.887 -1.087  -0.816 -1.148  -0.650 -0.975  -0.485 -0.802  -0.320 -0.629  -0.154 -0.456  0.011 -0.283  0.176 -0.111  0.342 0.062  0.507 0.235  0.672 0.408  0.838 0.581  1.003 0.754  1.168 0.927  1.334 1.099  1.256 1.061  1.063 0.985  0.906 0.831  0.756 0.713  0.557 0.645  0.372 0.554  0.193 0.472  0.003 0.353  -0.206 0.271  -0.381 0.164  -0.563 0.026  -0.733 -0.113  -0.855 -0.196  -0.688 -0.298  -0.477 -0.326  -0.318 -0.437  -0.103 -0.504  0.093 -0.609  0.298 -0.713  0.499 -0.779  0.705 -0.812  0.858 -0.898  1.081 -0.914  1.269 -0.966
1b#tos#t1#t1017065/L  -0.099 1.618  -0.191 1.604  -0.191 1.499  -0.237 1.439  -0.241 1.335  -0.283 1.239  -0.283 1.134  -0.329 1.048  -0.329 0.942  -0.396 0.888  -0.420 0.788  -0.420 0.683  -0.420 0.577  -0.420 0.472  -0.466 0.385  -0.470 0.281  -0.512 0.185  -0.523 0.083  -0.558 -0.015  -0.558 -0.120  -0.604 -0.180  -0.620 -0.278  -0.650 -0.372  -0.650 -0.477  -0.650 -0.582  -0.650 -0.688  -0.668 -0.720  -0.563 -0.720  -0.460 -0.714  -0.371 -0.674  -0.267 -0.667  -0.171 -0.628  -0.099 -0.595  -0.006 -0.583  0.100 -0.583  0.205 -0.583  0.298 -0.552  0.397 -0.537  0.501 -0.533  0.589 -0.491  0.694 -0.491  0.800 -0.491  0.905 -0.491  1.010 -0.491  1.116 -0.491  1.221 -0.491  1.327 -0.491  1.432 -0.491  1.537 -0.491  1.643 -0.491
1b#tos#t1#t1017065/M  -0.975 -0.729  -1.060 -0.822  -1.156 -0.875  -1.158 -0.739  -1.158 -0.601  -1.158 -0.463  -1.158 -0.325  -1.111 -0.198  -1.085 -0.066  -1.085 0.072  -1.048 0.201  -1.012 0.303  -0.978 0.432  -0.939 0.533  -0.902 0.635  -0.826 0.614  -0.730 0.547  -0.655 0.446  -0.557 0.401  -0.464 0.328  -0.362 0.270  -0.295 0.158  -0.198 0.109  -0.133 0.036  -0.068 -0.036  0.033 -0.073  0.155 -0.057  0.228 0.008  0.261 0.126  0.357 0.182  0.471 0.242  0.579 0.314  0.706 0.348  0.767 0.438  0.869 0.474  0.945 0.571  0.994 0.646  0.994 0.508  0.994 0.370  1.031 0.268  1.031 0.130  1.031 -0.008  1.031 -0.146  1.067 -0.275  1.067 -0.413  1.104 -0.514  1.104 -0.652  1.131 -0.784  1.148 -0.912  1.177 -1.021
1b#tos#t1#t1017065/N  -0.815 -0.704  -0.899 -0.760  -0.926 -0.871  -0.982 -0.789  -1.024 -0.692  -1.024 -0.553  -1.052 -0.426  -1.066 -0.293  -1.066 -0.154  -1.066 -0.015  -1.066 0.123  -1.054 0.260  -1.024 0.395  -1.024 0.534  -0.981 0.630  -0.866 0.555  -0.774 0.504  -0.717 0.422  -0.578 0.422  -0.481 0.380  -0.430 0.287  -0.315 0.245  -0.286 0.113  -0.165 0.076  -0.074 -0.019  0.041 -0.090  0.155 -0.162  0.211 -0.246  0.311 -0.285  0.377 -0.396  0.509 -0.412  0.597 -0.493  0.691 -0.543  0.801 -0.611  0.894 -0.687  0.978 -0.667  0.978 -0.528  0.978 -0.389  0.978 -0.250  0.978 -0.112  0.978 0.027  0.978 0.166  0.978 0.304  0.978 0.443  1.020 0.540  1.041 0.674  1.061 0.808  1.061 0.946  1.078 1.081  1.103 1.214
1b#tos#t1#t1017065/P  0.046 1.141  -0.164 1.086  -0.232 0.935  -0.232 0.716  -0.288 0.510  -0.304 0.308  -0.343 0.128  -0.343 -0.091  -0.398 -0.301  -0.421 -0.515  -0.455 -0.726  -0.515 -0.920  -0.566 -1.118  -0.566 -1.336  -0.566 -1.555  -0.676 -1.690  -0.641 -1.474  -0.606 -1.258  -0.571 -1.042  -0.535 -0.826  -0.500 -0.610  -0.465 -0.394  -0.429 -0.178  -0.394 0.038  -0.359 0.254  -0.324 0.470  -0.288 0.687  -0.253 0.903  -0.254 1.030  -0.038 1.044  0.167 1.108  0.381 1.141  0.600 1.141  0.768 1.090  0.927 1.030  0.979 0.863  1.031 0.697  1.157 0.561  1.136 0.363  1.084 0.197  0.976 0.085  0.879 -0.079  0.768 -0.229  0.657 -0.337  0.477 -0.386  0.310 -0.470  0.147 -0.526  -0.072 -0.526  -0.291 -0.526  -0.399 -0.415
1b#tos#t1#t1017065/R  -0.001 1.176  -0.237 1.079  -0.276 0.851  -0.276 0.595  -0.276 0.339  -0.331 0.096  -0.363 -0.153  -0.386 -0.403  -0.444 -0.650  -0.525 -0.893  -0.551 -1.145  -0.606 -1.346  -0.758 -1.507  -0.729 -1.287  -0.684 -1.035  -0.638 -0.783  -0.593 -0.531  -0.548 -0.279  -0.502 -0.027  -0.457 0.225  -0.411 0.477  -0.366 0.729  -0.321 0.981  -0.276 1.233  -0.072 1.286  0.116 1.396  0.372 1.396  0.604 1.373  0.786 1.214  0.850 0.985  0.934 0.764  0.874 0.565  0.693 0.384  0.616 0.186  0.439 0.106  0.248 -0.006  0.003 -0.035  -0.198 -0.090  -0.399 -0.145  -0.502 -0.090  -0.287 -0.188  -0.061 -0.307  0.126 -0.420  0.314 -0.530  0.439 -0.693  0.604 -0.784  0.730 -0.915  0.931 -0.970  1.073 -1.094  1.320 -1.135
