1c#tos#f3#f3047059/b  -0.063 1.895  -0.257 1.895  -0.377 1.820  -0.377 1.626  -0.377 1.432  -0.377 1.238  -0.377 1.044  -0.377 0.850  -0.377 0.656  -0.346 0.466  -0.324 0.274  -0.324 0.080  -0.324 -0.114  -0.322 -0.307  -0.275 -0.496  -0.272 -0.689  -0.272 -0.883  -0.272 -1.077  -0.272 -1.271  -0.268 -1.220  -0.262 -1.026  -0.255 -0.832  -0.249 -0.638  -0.242 -0.444  -0.236 -0.250  -0.229 -0.056  -0.223 0.138  -0.316 0.272  -0.457 0.328  -0.452 0.491  -0.286 0.537  -0.092 0.537  0.102 0.537  0.296 0.537  0.490 0.537  0.679 0.526  0.824 0.453  0.855 0.266  0.929 0.089  0.929 -0.105  0.929 -0.299  0.929 -0.493  0.802 -0.634  0.729 -0.789  0.579 -0.909  0.438 -1.040  0.270 -1.137  0.102 -1.234  -0.078 -1.290  -0.272 -1.290
1c#tos#f3#f3047059/c  -0.088 1.226  -0.153 1.161  -0.217 1.097  -0.309 1.097  -0.400 1.097  -0.491 1.097  -0.540 1.054  -0.589 0.983  -0.636 0.905  -0.669 0.821  -0.669 0.730  -0.732 0.678  -0.798 0.627  -0.798 0.536  -0.798 0.444  -0.798 0.353  -0.783 0.263  -0.761 0.175  -0.739 0.086  -0.733 -0.005  -0.733 -0.096  -0.692 -0.171  -0.628 -0.235  -0.604 -0.317  -0.525 -0.338  -0.460 -0.402  -0.391 -0.459  -0.304 -0.488  -0.217 -0.516  -0.126 -0.517  -0.035 -0.517  0.053 -0.542  0.139 -0.571  0.229 -0.581  0.320 -0.581  0.412 -0.581  0.503 -0.581  0.595 -0.581  0.686 -0.581  0.777 -0.581  0.869 -0.581  0.960 -0.581  1.051 -0.581  1.142 -0.568  1.231 -0.550  1.321 -0.532  1.409 -0.510  1.491 -0.469  1.573 -0.428  1.654 -0.388
1c#tos#f3#f3047059/d  -0.031 0.411  -0.149 0.356  -0.324 0.371  -0.514 0.371  -0.697 0.325  -0.871 0.269  -0.955 0.105  -1.098 0.016  -1.242 -0.087  -1.287 -0.259  -1.287 -0.450  -1.261 -0.623  -1.170 -0.772  -1.040 -0.842  -0.919 -0.960  -0.742 -1.002  -0.561 -1.042  -0.371 -1.042  -0.236 -0.942  -0.065 -0.879  0.047 -0.729  0.210 -0.637  0.308 -0.480  0.448 -0.357  0.482 -0.176  0.596 -0.047  0.587 0.143  0.572 0.332  0.557 0.522  0.542 0.711  0.527 0.901  0.512 1.090  0.497 1.280  0.482 1.469  0.329 1.509  0.322 1.327  0.322 1.137  0.322 0.946  0.322 0.756  0.322 0.566  0.400 0.395  0.405 0.206  0.479 0.033  0.512 -0.153  0.545 -0.338  0.639 -0.502  0.743 -0.644  0.812 -0.776  0.917 -0.885  1.067 -0.924
1c#tos#f3#f3047059/e  -0.716 -0.131  -0.568 -0.131  -0.419 -0.131  -0.271 -0.131  -0.153 -0.059  -0.043 0.032  0.102 0.036  0.171 0.156  0.231 0.281  0.313 0.404  0.374 0.496  0.374 0.644  0.374 0.792  0.320 0.886  0.190 0.904  0.102 0.996  0.033 1.102  -0.105 1.144  -0.246 1.177  -0.394 1.177  -0.537 1.157  -0.618 1.057  -0.716 0.981  -0.723 0.834  -0.770 0.697  -0.770 0.549  -0.770 0.401  -0.770 0.253  -0.770 0.105  -0.770 -0.044  -0.770 -0.192  -0.700 -0.311  -0.593 -0.413  -0.470 -0.495  -0.361 -0.595  -0.248 -0.687  -0.116 -0.740  -0.019 -0.818  0.120 -0.869  0.258 -0.924  0.393 -0.985  0.537 -1.003  0.685 -1.003  0.833 -1.003  0.981 -1.003  1.129 -1.003  1.272 -0.986  1.395 -0.904  1.537 -0.862  1.682 -0.840
1c#tos#f3#f3047059/f  -1.201 -0.043  -1.374 -0.043  -1.324 -0.043  -1.151 -0.043  -0.978 -0.043  -0.854 -0.121  -0.681 -0.121  -0.509 -0.134  -0.339 -0.160  -0.169 -0.178  0.001 -0.199  0.174 -0.199  0.347 -0.199  0.520 -0.199  0.693 -0.199  0.866 -0.199  1.039 -0.199  1.117 -0.141  1.040 0.014  0.962 0.168  0.885 0.323  0.808 0.478  0.730 0.632  0.653 0.787  0.576 0.942  0.498 1.096  0.421 1.251  0.271 1.284  0.101 1.250  -0.072 1.248  -0.209 1.157  -0.301 1.056  -0.340 0.922  -0.340 0.749  -0.338 0.576  -0.301 0.409  -0.279 0.238  -0.262 0.067  -0.239 -0.101  -0.184 -0.264  -0.174 -0.435  -0.132 -0.603  -0.105 -0.773  -0.105 -0.946  -0.073 -1.109  -0.027 -1.268  0.032 -1.423  0.070 -1.587  0.129 -1.748  0.129 -1.921
1c#tos#f3#f3047059/g  0.110 0.442  0.148 0.481  0.225 0.657  0.224 0.865  0.110 1.019  0.089 1.205  -0.068 1.301  -0.218 1.434  -0.426 1.434  -0.627 1.409  -0.730 1.243  -0.768 1.050  -0.768 0.843  -0.768 0.635  -0.729 0.433  -0.604 0.278  -0.407 0.251  -0.237 0.213  -0.045 0.262  0.092 0.411  0.209 0.541  0.257 0.735  0.263 0.783  0.263 0.575  0.263 0.367  0.263 0.160  0.263 -0.048  0.263 -0.256  0.263 -0.463  0.263 -0.671  0.263 -0.879  0.263 -1.086  0.263 -1.294  0.263 -1.502  0.225 -1.694  0.019 -1.696  -0.189 -1.696  -0.282 -1.581  -0.339 -1.408  -0.348 -1.202  -0.331 -0.997  -0.224 -0.823  -0.124 -0.654  0.025 -0.526  0.187 -0.397  0.313 -0.233  0.487 -0.147  0.660 -0.031  0.745 0.119  0.950 0.137
1c#tos#f3#f3047059/i  -0.191 1.392  -0.271 1.381  -0.348 1.355  -0.355 1.300  -0.304 1.252  -0.227 1.241  -0.163 1.191  -0.090 1.158  -0.008 1.158  0.039 1.094  0.084 1.026  0.161 1.018  0.229 1.005  0.223 0.924  0.216 0.842  0.210 0.761  0.204 0.680  0.198 0.598  0.191 0.517  0.185 0.436  0.183 0.354  0.183 0.273  0.116 0.229  0.046 0.188  -0.024 0.146  -0.051 0.079  -0.068 0.002  -0.097 -0.073  -0.097 -0.155  -0.097 -0.236  -0.097 -0.318  -0.097 -0.399  -0.097 -0.481  -0.097 -0.562  -0.065 -0.636  -0.051 -0.714  -0.051 -0.796  -0.051 -0.878  -0.051 -0.959  -0.051 -1.041  -0.051 -1.122  -0.033 -1.197  0.024 -1.254  0.043 -1.328  0.043 -1.410  0.043 -1.491  0.102 -1.536  0.136 -1.597  0.136 -1.678  0.183 -1.740
1c#tos#f3#f3047059/j  -0.065 1.753  -0.201 1.753  -0.219 1.753  -0.109 1.690  -0.002 1.619  0.113 1.563  0.104 1.427  0.088 1.291  0.072 1.156  0.056 1.021  0.042 0.885  -0.001 0.785  -0.023 0.650  -0.029 0.515  -0.029 0.378  -0.029 0.242  -0.029 0.106  0.006 -0.025  0.047 -0.155  0.078 -0.287  0.078 -0.424  0.078 -0.560  0.078 -0.697  0.088 -0.830  0.113 -0.961  0.112 -1.097  0.078 -1.225  0.006 -1.290  -0.005 -1.416  -0.141 -1.416  -0.277 -1.416  -0.354 -1.306  -0.421 -1.211  -0.452 -1.078  -0.456 -0.943  -0.456 -0.806  -0.446 -0.672  -0.369 -0.571  -0.344 -0.449  -0.248 -0.353  -0.159 -0.251  -0.065 -0.158  0.045 -0.078  0.163 -0.015  0.294 0.024  0.420 0.074  0.520 0.166  0.630 0.240  0.762 0.273  0.861 0.329
1c#tos#f3#f3047059/l  -0.025 1.483  -0.097 1.483  -0.168 1.483  -0.199 1.483  -0.151 1.444  -0.122 1.380  -0.122 1.309  -0.122 1.237  -0.122 1.166  -0.122 1.095  -0.122 1.023  -0.122 0.952  -0.122 0.881  -0.122 0.809  -0.092 0.745  -0.060 0.681  -0.028 0.618  -0.025 0.547  -0.025 0.476  -0.025 0.404  -0.025 0.333  -0.025 0.262  -0.025 0.190  -0.025 0.119  -0.025 0.048  -0.025 -0.024  -0.025 -0.095  -0.013 -0.165  0.005 -0.234  0.022 -0.303  0.036 -0.373  0.050 -0.443  0.064 -0.513  0.071 -0.583  0.071 -0.655  0.071 -0.726  0.071 -0.797  0.071 -0.869  0.071 -0.940  0.078 -1.010  0.095 -1.080  0.112 -1.149  0.133 -1.217  0.155 -1.285  0.168 -1.354  0.168 -1.425  0.168 -1.497  0.168 -1.568  0.168 -1.639  0.168 -1.711
1c#tos#f3#f3047059/m  -1.412 0.665  -1.404 0.608  -1.336 0.506  -1.292 0.393  -1.279 0.273  -1.230 0.172  -1.185 0.066  -1.155 -0.052  -1.128 -0.169  -1.102 -0.285  -1.059 -0.397  -0.983 -0.445  -0.863 -0.436  -0.768 -0.366  -0.700 -0.264  -0.613 -0.178  -0.584 -0.060  -0.526 0.043  -0.407 0.073  -0.347 0.148  -0.343 0.268  -0.258 0.337  -0.197 0.399  -0.090 0.363  -0.035 0.264  0.008 0.160  0.008 0.037  0.026 -0.081  0.087 -0.186  0.141 -0.292  0.185 -0.403  0.266 -0.445  0.381 -0.427  0.471 -0.346  0.581 -0.291  0.677 -0.219  0.718 -0.114  0.762 -0.002  0.851 0.065  0.903 0.150  1.021 0.177  1.132 0.221  1.250 0.217  1.288 0.132  1.365 0.082  1.483 0.052  1.556 -0.035  1.605 -0.112  1.705 -0.134  1.827 -0.134
1c#tos#f3#f3047059/o  -0.101 0.713  -0.192 0.768  -0.339 0.768  -0.486 0.768  -0.633 0.768  -0.757 0.713  -0.820 0.629  -0.820 0.482  -0.820 0.335  -0.820 0.188  -0.820 0.041  -0.820 -0.105  -0.820 -0.252  -0.820 -0.399  -0.789 -0.541  -0.716 -0.664  -0.654 -0.785  -0.621 -0.914  -0.499 -0.996  -0.393 -1.098  -0.253 -1.113  -0.106 -1.113  0.041 -1.113  0.188 -1.113  0.335 -1.113  0.457 -1.054  0.561 -0.950  0.665 -0.846  0.769 -0.742  0.873 -0.638  0.976 -0.534  1.039 -0.405  1.061 -0.262  1.061 -0.115  1.044 0.028  1.006 0.166  0.971 0.294  0.849 0.375  0.764 0.494  0.670 0.606  0.566 0.710  0.445 0.784  0.303 0.819  0.214 0.897  0.071 0.933  -0.075 0.934  -0.222 0.934  -0.369 0.934  -0.512 0.908  -0.654 0.879
