2#apa#apa10#app1041/A  -0.643 -0.030  -0.643 -0.214  -0.643 -0.398  -0.643 -0.582  -0.643 -0.766  -0.643 -0.950  -0.643 -1.134  -0.643 -1.057  -0.643 -0.873  -0.643 -0.689  -0.610 -0.510  -0.552 -0.336  -0.494 -0.161  -0.435 0.014  -0.377 0.188  -0.305 0.357  -0.222 0.522  -0.140 0.686  -0.057 0.851  0.038 1.008  0.133 1.166  0.227 1.324  0.322 1.482  0.451 1.603  0.616 1.685  0.660 1.573  0.694 1.393  0.730 1.212  0.766 1.032  0.803 0.851  0.751 0.676  0.692 0.501  0.634 0.327  0.576 0.152  0.518 -0.023  0.436 -0.188  0.371 -0.356  0.371 -0.540  0.371 -0.725  0.322 -0.901  0.263 -1.075  0.226 -1.253  0.168 -1.245  0.066 -1.092  -0.037 -0.939  -0.139 -0.786  -0.241 -0.633  -0.343 -0.480  -0.470 -0.347  -0.353 -0.319
2#apa#apa10#app1041/h  0.064 1.021  0.021 1.153  -0.023 1.284  -0.067 1.416  -0.111 1.547  -0.155 1.679  -0.175 1.667  -0.175 1.528  -0.175 1.389  -0.175 1.251  -0.175 1.112  -0.175 0.973  -0.175 0.835  -0.196 0.699  -0.230 0.564  -0.263 0.430  -0.297 0.295  -0.331 0.161  -0.364 0.026  -0.398 -0.108  -0.415 -0.245  -0.415 -0.384  -0.415 -0.522  -0.415 -0.661  -0.415 -0.800  -0.457 -0.896  -0.595 -0.896  -0.599 -0.840  -0.501 -0.742  -0.403 -0.644  -0.305 -0.546  -0.207 -0.448  -0.108 -0.350  -0.010 -0.252  0.088 -0.154  0.186 -0.056  0.284 0.042  0.353 -0.036  0.415 -0.160  0.477 -0.284  0.539 -0.408  0.584 -0.539  0.628 -0.670  0.672 -0.802  0.716 -0.933  0.760 -1.065  0.784 -1.200  0.784 -1.338  0.784 -1.477  0.784 -1.616
2#apa#apa10#app1041/i  0.048 0.071  -0.083 0.071  -0.214 0.071  -0.344 0.071  -0.475 0.071  -0.605 0.071  -0.710 0.008  -0.802 -0.084  -0.879 -0.184  -0.879 -0.314  -0.879 -0.445  -0.879 -0.576  -0.879 -0.706  -0.879 -0.837  -0.778 -0.906  -0.662 -0.964  -0.545 -1.022  -0.428 -1.081  -0.305 -1.050  -0.181 -1.009  -0.057 -0.967  0.067 -0.926  0.191 -0.885  0.306 -0.829  0.398 -0.736  0.491 -0.644  0.602 -0.578  0.719 -0.520  0.836 -0.461  0.953 -0.403  0.926 -0.297  0.868 -0.180  0.809 -0.063  0.751 0.054  0.693 0.171  0.634 0.288  0.576 0.404  0.517 0.521  0.459 0.638  0.400 0.755  0.342 0.872  0.284 0.989  0.225 1.106  0.167 1.222  0.108 1.339  0.050 1.456  -0.065 1.517  -0.182 1.575  -0.299 1.634  -0.415 1.692
2#apa#apa10#app1041/t  0.517 1.379  0.517 1.537  0.517 1.695  0.443 1.780  0.303 1.751  0.232 1.610  0.161 1.468  0.098 1.323  0.048 1.173  -0.002 1.023  -0.052 0.873  -0.105 0.724  -0.164 0.577  -0.223 0.430  -0.281 0.283  -0.340 0.137  -0.399 -0.010  -0.458 -0.157  -0.484 -0.310  -0.484 -0.469  -0.484 -0.627  -0.484 -0.785  -0.484 -0.943  -0.484 -1.101  -0.460 -1.250  -0.349 -1.362  -0.217 -1.426  -0.063 -1.412  0.069 -1.324  0.200 -1.237  0.332 -1.149  0.464 -1.061  0.517 -0.932  0.481 -0.788  0.369 -0.677  0.257 -0.565  0.145 -0.453  0.033 -0.341  -0.079 -0.229  -0.219 -0.156  -0.360 -0.086  -0.465 -0.024  -0.307 -0.024  -0.188 0.072  -0.073 0.177  0.085 0.177  0.243 0.177  0.401 0.177  0.559 0.177  0.718 0.177
2#apa#apa10#app1041/h  0.461 1.838  0.351 1.838  0.267 1.799  0.226 1.697  0.185 1.595  0.144 1.493  0.103 1.390  0.062 1.288  0.021 1.186  -0.020 1.083  -0.061 0.981  -0.093 0.876  -0.120 0.769  -0.146 0.662  -0.173 0.555  -0.200 0.448  -0.226 0.342  -0.253 0.235  -0.280 0.128  -0.307 0.021  -0.333 -0.086  -0.360 -0.193  -0.387 -0.300  -0.413 -0.407  -0.435 -0.514  -0.435 -0.624  -0.435 -0.734  -0.435 -0.845  -0.435 -0.955  -0.435 -1.065  -0.435 -1.175  -0.360 -1.210  -0.253 -1.205  -0.204 -1.107  -0.155 -1.008  -0.105 -0.910  -0.044 -0.820  0.034 -0.742  0.111 -0.664  0.189 -0.586  0.267 -0.508  0.345 -0.430  0.423 -0.352  0.517 -0.314  0.628 -0.314  0.641 -0.411  0.641 -0.521  0.641 -0.631  0.641 -0.742  0.641 -0.852
2#apa#apa10#app1041/e  0.072 -0.101  -0.077 -0.027  -0.225 0.047  -0.374 0.122  -0.417 0.171  -0.251 0.171  -0.085 0.171  0.082 0.171  0.248 0.171  0.414 0.171  0.580 0.171  0.746 0.171  0.905 0.188  1.022 0.305  1.140 0.422  1.160 0.580  1.138 0.737  1.021 0.854  0.904 0.972  0.744 0.987  0.579 0.980  0.416 0.947  0.253 0.915  0.090 0.882  -0.073 0.849  -0.236 0.817  -0.399 0.784  -0.561 0.752  -0.724 0.719  -0.791 0.577  -0.843 0.420  -0.896 0.262  -0.948 0.105  -1.001 -0.053  -0.980 -0.210  -0.928 -0.368  -0.875 -0.526  -0.823 -0.683  -0.770 -0.841  -0.685 -0.978  -0.567 -1.095  -0.440 -1.190  -0.274 -1.190  -0.108 -1.190  0.058 -1.190  0.224 -1.190  0.390 -1.190  0.556 -1.190  0.722 -1.190  0.888 -1.190
2#apa#apa10#app1041/r  -0.025 0.705  -0.025 0.574  -0.025 0.443  -0.031 0.312  -0.073 0.188  -0.114 0.063  -0.156 -0.062  -0.198 -0.186  -0.239 -0.311  -0.281 -0.436  -0.322 -0.560  -0.364 -0.685  -0.399 -0.811  -0.399 -0.942  -0.399 -1.074  -0.399 -1.205  -0.399 -1.337  -0.399 -1.468  -0.399 -1.475  -0.399 -1.344  -0.399 -1.213  -0.399 -1.081  -0.399 -0.950  -0.399 -0.818  -0.399 -0.687  -0.399 -0.555  -0.399 -0.424  -0.399 -0.293  -0.399 -0.161  -0.399 -0.030  -0.399 0.102  -0.399 0.233  -0.366 0.332  -0.234 0.332  -0.103 0.332  0.013 0.369  0.106 0.462  0.199 0.555  0.292 0.648  0.385 0.741  0.477 0.834  0.570 0.927  0.663 1.020  0.765 1.100  0.883 1.159  1.000 1.218  1.118 1.277  1.235 1.336  1.353 1.394  1.470 1.453
2#apa#apa10#app1041/t  0.672 1.871  0.567 1.767  0.463 1.662  0.358 1.557  0.254 1.450  0.165 1.332  0.076 1.213  -0.013 1.094  -0.102 0.976  -0.190 0.857  -0.279 0.738  -0.355 0.614  -0.384 0.468  -0.413 0.323  -0.442 0.177  -0.471 0.032  -0.500 -0.114  -0.529 -0.259  -0.552 -0.405  -0.552 -0.553  -0.512 -0.695  -0.466 -0.836  -0.419 -0.977  -0.372 -1.118  -0.283 -1.222  -0.150 -1.288  -0.017 -1.354  0.122 -1.393  0.268 -1.389  0.373 -1.284  0.478 -1.179  0.583 -1.074  0.658 -0.968  0.566 -0.852  0.473 -0.736  0.380 -0.620  0.288 -0.504  0.195 -0.389  0.102 -0.273  0.010 -0.157  -0.083 -0.041  -0.180 0.071  -0.285 0.176  -0.306 0.281  -0.201 0.386  -0.077 0.443  0.070 0.448  0.203 0.515  0.336 0.581  0.468 0.647
2#apa#apa10#app1041/o  0.037 0.339  -0.075 0.451  -0.188 0.563  -0.300 0.675  -0.412 0.787  -0.453 0.728  -0.467 0.583  -0.625 0.583  -0.759 0.522  -0.871 0.410  -0.942 0.281  -0.942 0.123  -0.942 -0.036  -0.942 -0.194  -0.942 -0.353  -0.891 -0.499  -0.820 -0.641  -0.749 -0.782  -0.667 -0.916  -0.555 -1.028  -0.438 -1.130  -0.280 -1.130  -0.121 -1.130  0.037 -1.130  0.196 -1.130  0.342 -1.089  0.474 -1.001  0.606 -0.914  0.738 -0.826  0.870 -0.738  1.002 -0.650  1.016 -0.499  1.016 -0.340  1.016 -0.182  1.016 -0.023  1.016 0.135  1.016 0.294  1.016 0.452  0.991 0.596  0.849 0.667  0.708 0.737  0.566 0.808  0.412 0.828  0.253 0.828  0.095 0.828  -0.064 0.828  -0.222 0.828  -0.381 0.828  -0.539 0.828  -0.698 0.828
2#apa#apa10#app1041/u  -0.642 0.919  -0.745 0.919  -0.849 0.919  -0.886 0.852  -0.886 0.748  -0.886 0.645  -0.886 0.541  -0.886 0.437  -0.886 0.333  -0.886 0.230  -0.886 0.126  -0.886 0.022  -0.879 -0.080  -0.846 -0.179  -0.813 -0.277  -0.780 -0.375  -0.748 -0.474  -0.715 -0.572  -0.682 -0.671  -0.649 -0.769  -0.562 -0.792  -0.458 -0.792  -0.355 -0.792  -0.251 -0.792  -0.147 -0.792  -0.043 -0.792  0.060 -0.792  0.156 -0.759  0.249 -0.713  0.342 -0.667  0.435 -0.620  0.528 -0.574  0.600 -0.507  0.647 -0.415  0.693 -0.322  0.739 -0.229  0.786 -0.136  0.830 -0.043  0.863 0.056  0.896 0.154  0.928 0.253  0.961 0.351  0.994 0.449  1.027 0.548  1.060 0.646  1.069 0.748  1.069 0.852  1.069 0.956  1.069 1.059  1.069 1.163
2#apa#apa10#app1041/n  -0.085 -0.073  -0.213 -0.009  -0.340 0.055  -0.467 0.118  -0.595 0.182  -0.706 0.199  -0.770 0.072  -0.834 -0.055  -0.897 -0.183  -0.961 -0.310  -0.994 -0.445  -0.994 -0.587  -0.994 -0.729  -0.994 -0.872  -0.994 -0.948  -0.994 -0.806  -0.989 -0.664  -0.944 -0.529  -0.899 -0.394  -0.854 -0.259  -0.809 -0.124  -0.764 0.011  -0.719 0.146  -0.640 0.247  -0.505 0.292  -0.370 0.337  -0.235 0.382  -0.100 0.427  0.035 0.472  0.170 0.517  0.300 0.574  0.427 0.638  0.555 0.702  0.682 0.765  0.809 0.829  0.950 0.836  1.093 0.836  1.126 0.727  1.126 0.585  1.126 0.442  1.126 0.300  1.126 0.158  1.126 0.015  1.126 -0.127  1.126 -0.269  1.126 -0.412  1.126 -0.554  1.126 -0.696  1.126 -0.839  1.126 -0.981
2#apa#apa10#app1041/n  -0.773 -0.210  -0.773 -0.073  -0.773 0.064  -0.773 0.202  -0.773 0.339  -0.773 0.416  -0.773 0.279  -0.773 0.142  -0.773 0.005  -0.773 -0.132  -0.800 -0.263  -0.861 -0.386  -0.922 -0.509  -0.984 -0.631  -1.045 -0.754  -1.092 -0.857  -0.995 -0.760  -0.898 -0.663  -0.801 -0.566  -0.773 -0.441  -0.773 -0.304  -0.737 -0.186  -0.623 -0.110  -0.509 -0.034  -0.395 0.042  -0.280 0.118  -0.166 0.194  -0.052 0.271  0.062 0.347  0.176 0.423  0.296 0.489  0.419 0.550  0.541 0.611  0.664 0.673  0.787 0.734  0.914 0.774  1.052 0.774  1.189 0.774  1.195 0.643  1.195 0.506  1.195 0.369  1.195 0.231  1.195 0.094  1.195 -0.043  1.195 -0.180  1.195 -0.317  1.195 -0.454  1.195 -0.592  1.195 -0.729  1.195 -0.866
2#apa#apa10#app1041/o  -0.265 0.566  -0.392 0.566  -0.518 0.566  -0.634 0.525  -0.747 0.469  -0.860 0.412  -0.973 0.356  -1.086 0.299  -1.125 0.197  -1.125 0.071  -1.110 -0.053  -1.070 -0.173  -1.030 -0.292  -0.990 -0.412  -0.950 -0.532  -0.910 -0.652  -0.871 -0.771  -0.813 -0.867  -0.687 -0.867  -0.561 -0.867  -0.434 -0.867  -0.308 -0.867  -0.186 -0.841  -0.066 -0.801  0.053 -0.761  0.173 -0.721  0.293 -0.681  0.413 -0.641  0.532 -0.601  0.628 -0.530  0.698 -0.425  0.768 -0.320  0.838 -0.215  0.908 -0.110  0.978 -0.005  1.048 0.100  1.118 0.205  1.168 0.317  1.168 0.443  1.166 0.568  1.077 0.658  0.987 0.747  0.898 0.836  0.779 0.853  0.653 0.853  0.526 0.853  0.400 0.853  0.274 0.853  0.148 0.853  0.021 0.853
