3#apb#apb22#app2207/O  0.072 0.914  -0.061 0.929  -0.193 0.923  -0.320 0.883  -0.424 0.804  -0.500 0.696  -0.559 0.577  -0.611 0.454  -0.653 0.327  -0.695 0.201  -0.735 0.074  -0.767 -0.056  -0.798 -0.186  -0.830 -0.315  -0.858 -0.446  -0.876 -0.578  -0.895 -0.710  -0.914 -0.842  -0.869 -0.968  -0.825 -1.093  -0.705 -1.144  -0.580 -1.188  -0.459 -1.147  -0.338 -1.089  -0.218 -1.031  -0.103 -0.965  0.005 -0.887  0.113 -0.808  0.221 -0.730  0.329 -0.651  0.425 -0.560  0.516 -0.462  0.607 -0.364  0.698 -0.267  0.782 -0.164  0.846 -0.047  0.911 0.069  0.976 0.186  1.008 0.313  1.026 0.446  1.036 0.577  0.991 0.703  0.944 0.826  0.839 0.909  0.734 0.991  0.601 1.004  0.469 1.016  0.339 1.003  0.213 0.959  0.087 0.914
3#apb#apb22#app2207/n  -0.044 0.908  -0.176 0.817  -0.241 0.712  -0.352 0.594  -0.394 0.438  -0.437 0.281  -0.515 0.140  -0.597 -0.000  -0.675 -0.143  -0.744 -0.290  -0.812 -0.437  -0.883 -0.583  -0.960 -0.725  -1.038 -0.868  -1.111 -1.012  -1.143 -1.165  -1.098 -1.019  -0.996 -0.892  -0.895 -0.765  -0.802 -0.632  -0.709 -0.499  -0.616 -0.366  -0.523 -0.233  -0.427 -0.103  -0.325 0.023  -0.224 0.150  -0.122 0.277  -0.010 0.394  0.105 0.508  0.219 0.623  0.336 0.736  0.466 0.833  0.595 0.930  0.732 1.016  0.884 1.073  1.001 1.005  1.077 0.865  1.124 0.710  1.172 0.555  1.132 0.400  1.084 0.244  1.034 0.090  0.980 -0.063  0.926 -0.216  0.872 -0.369  0.788 -0.507  0.703 -0.646  0.619 -0.784  0.547 -0.930  0.474 -1.075
3#apb#apb22#app2207/e  -0.371 -0.490  -0.302 -0.386  -0.201 -0.317  -0.093 -0.256  0.013 -0.192  0.112 -0.117  0.212 -0.043  0.311 0.032  0.411 0.107  0.504 0.188  0.582 0.284  0.661 0.380  0.740 0.476  0.819 0.572  0.893 0.672  0.965 0.773  1.037 0.874  1.047 0.995  1.019 1.091  0.894 1.091  0.770 1.091  0.661 1.032  0.553 0.970  0.445 0.909  0.338 0.847  0.230 0.786  0.133 0.708  0.042 0.624  -0.049 0.540  -0.141 0.455  -0.232 0.371  -0.323 0.287  -0.384 0.179  -0.442 0.069  -0.500 -0.041  -0.558 -0.150  -0.617 -0.260  -0.675 -0.370  -0.708 -0.488  -0.729 -0.611  -0.749 -0.733  -0.770 -0.856  -0.790 -0.978  -0.811 -1.101  -0.782 -1.217  -0.732 -1.331  -0.683 -1.445  -0.633 -1.559  -0.583 -1.673  -0.533 -1.787
3#apb#apb22#app2207/D  -0.027 1.145  0.031 1.279  0.063 1.249  0.047 1.107  -0.007 0.971  -0.053 0.833  -0.099 0.695  -0.145 0.557  -0.192 0.419  -0.241 0.282  -0.291 0.145  -0.341 0.008  -0.395 -0.127  -0.449 -0.262  -0.503 -0.397  -0.556 -0.533  -0.604 -0.670  -0.652 -0.808  -0.700 -0.945  -0.748 -1.083  -0.797 -1.220  -0.831 -1.362  -0.807 -1.425  -0.698 -1.328  -0.585 -1.236  -0.468 -1.150  -0.353 -1.061  -0.250 -0.958  -0.147 -0.855  -0.038 -0.758  0.076 -0.667  0.189 -0.576  0.298 -0.480  0.398 -0.374  0.498 -0.268  0.592 -0.157  0.670 -0.034  0.747 0.089  0.809 0.219  0.856 0.358  0.897 0.497  0.907 0.642  0.886 0.780  0.817 0.909  0.713 1.001  0.583 1.066  0.441 1.096  0.297 1.121  0.153 1.139  0.009 1.127
3#apb#apb22#app2207/u  -0.500 0.998  -0.500 1.155  -0.589 1.132  -0.632 0.981  -0.683 0.833  -0.739 0.687  -0.796 0.541  -0.851 0.395  -0.903 0.247  -0.956 0.100  -1.009 -0.047  -1.028 -0.202  -1.039 -0.358  -1.050 -0.514  -1.056 -0.670  -1.056 -0.827  -1.001 -0.965  -0.884 -1.022  -0.734 -0.977  -0.584 -0.932  -0.450 -0.852  -0.317 -0.770  -0.183 -0.688  -0.059 -0.596  0.047 -0.481  0.154 -0.366  0.260 -0.251  0.365 -0.135  0.466 -0.015  0.567 0.104  0.668 0.224  0.766 0.345  0.836 0.485  0.906 0.625  0.984 0.761  1.071 0.891  1.093 0.955  1.031 0.815  0.953 0.680  0.891 0.536  0.831 0.392  0.771 0.247  0.725 0.098  0.682 -0.053  0.639 -0.203  0.600 -0.355  0.569 -0.508  0.539 -0.662  0.573 -0.814  0.611 -0.966
3#apb#apb22#app2207/v  -0.265 0.945  -0.231 1.071  -0.231 1.203  -0.193 1.173  -0.164 1.048  -0.172 0.918  -0.210 0.792  -0.248 0.666  -0.278 0.538  -0.302 0.408  -0.327 0.279  -0.351 0.149  -0.382 0.022  -0.426 -0.102  -0.470 -0.227  -0.514 -0.351  -0.558 -0.475  -0.590 -0.603  -0.617 -0.731  -0.645 -0.860  -0.671 -0.989  -0.671 -1.121  -0.671 -1.252  -0.671 -1.384  -0.581 -1.366  -0.488 -1.273  -0.397 -1.178  -0.308 -1.080  -0.219 -0.983  -0.131 -0.886  -0.048 -0.783  0.031 -0.678  0.110 -0.573  0.189 -0.467  0.268 -0.362  0.338 -0.251  0.399 -0.134  0.460 -0.018  0.521 0.099  0.582 0.216  0.643 0.333  0.704 0.449  0.763 0.567  0.822 0.685  0.881 0.803  0.940 0.920  1.000 1.038  1.063 1.153  1.126 1.269  1.189 1.385
3#apb#apb22#app2207/a  -1.187 -1.405  -1.187 -1.248  -1.153 -1.094  -1.103 -0.946  -1.032 -0.806  -0.962 -0.665  -0.892 -0.525  -0.822 -0.384  -0.751 -0.244  -0.680 -0.104  -0.584 0.021  -0.489 0.146  -0.393 0.271  -0.296 0.394  -0.197 0.516  -0.098 0.638  0.001 0.760  0.108 0.876  0.214 0.991  0.321 1.107  0.432 1.218  0.543 1.329  0.643 1.450  0.736 1.406  0.769 1.253  0.769 1.096  0.763 0.939  0.753 0.782  0.744 0.625  0.719 0.470  0.691 0.315  0.664 0.161  0.620 0.010  0.574 -0.141  0.529 -0.291  0.480 -0.440  0.424 -0.587  0.369 -0.735  0.315 -0.882  0.263 -1.030  0.209 -1.156  0.141 -1.014  0.074 -0.872  0.006 -0.730  -0.061 -0.588  -0.129 -0.446  -0.196 -0.304  -0.263 -0.162  -0.270 -0.022  -0.130 0.048
3#apb#apb22#app2207/l  0.256 1.742  0.321 1.761  0.291 1.672  0.261 1.582  0.228 1.494  0.194 1.406  0.160 1.317  0.126 1.229  0.092 1.141  0.056 1.054  0.019 0.967  -0.018 0.880  -0.055 0.794  -0.093 0.707  -0.129 0.620  -0.159 0.530  -0.189 0.441  -0.219 0.351  -0.249 0.262  -0.278 0.172  -0.308 0.082  -0.338 -0.007  -0.364 -0.098  -0.390 -0.189  -0.416 -0.280  -0.442 -0.370  -0.468 -0.461  -0.490 -0.553  -0.510 -0.645  -0.531 -0.737  -0.552 -0.829  -0.575 -0.921  -0.523 -0.977  -0.428 -0.977  -0.336 -0.960  -0.245 -0.937  -0.153 -0.914  -0.061 -0.891  0.030 -0.870  0.123 -0.852  0.216 -0.835  0.309 -0.817  0.402 -0.800  0.494 -0.783  0.587 -0.767  0.682 -0.760  0.776 -0.754  0.870 -0.747  0.964 -0.740  1.058 -0.733
3#apb#apb22#app2207/P  -0.027 0.331  -0.126 0.202  -0.213 0.065  -0.288 -0.079  -0.356 -0.226  -0.412 -0.379  -0.466 -0.532  -0.525 -0.684  -0.597 -0.829  -0.669 -0.975  -0.727 -1.127  -0.791 -1.276  -0.864 -1.422  -0.883 -1.429  -0.869 -1.267  -0.832 -1.109  -0.787 -0.953  -0.722 -0.804  -0.656 -0.655  -0.591 -0.506  -0.527 -0.357  -0.463 -0.207  -0.389 -0.063  -0.311 0.080  -0.233 0.223  -0.138 0.354  -0.034 0.479  0.070 0.604  0.177 0.726  0.285 0.847  0.393 0.969  0.511 1.081  0.630 1.191  0.756 1.295  0.893 1.375  1.034 1.348  1.066 1.189  1.035 1.031  0.996 0.873  0.944 0.719  0.890 0.566  0.824 0.417  0.751 0.272  0.674 0.129  0.575 0.001  0.470 -0.122  0.336 -0.215  0.202 -0.307  0.067 -0.397  -0.087 -0.447
3#apb#apb22#app2207/l  0.669 1.561  0.647 1.495  0.618 1.432  0.587 1.370  0.557 1.307  0.531 1.243  0.505 1.179  0.479 1.114  0.453 1.050  0.422 0.988  0.391 0.926  0.360 0.864  0.329 0.801  0.298 0.739  0.267 0.677  0.239 0.614  0.212 0.550  0.184 0.486  0.156 0.423  0.128 0.359  0.100 0.295  0.075 0.231  0.052 0.165  0.029 0.100  0.006 0.034  -0.017 -0.031  -0.040 -0.097  -0.062 -0.162  -0.085 -0.228  -0.108 -0.294  -0.132 -0.359  -0.163 -0.421  -0.194 -0.483  -0.225 -0.545  -0.256 -0.607  -0.287 -0.669  -0.318 -0.731  -0.349 -0.793  -0.380 -0.856  -0.411 -0.918  -0.434 -0.983  -0.453 -1.050  -0.472 -1.116  -0.491 -1.183  -0.510 -1.250  -0.530 -1.316  -0.556 -1.381  -0.582 -1.445  -0.607 -1.510  -0.633 -1.574
3#apb#apb22#app2207/a  -1.067 -1.325  -1.080 -1.172  -1.020 -1.022  -0.955 -0.874  -0.890 -0.727  -0.817 -0.583  -0.728 -0.449  -0.638 -0.315  -0.544 -0.184  -0.444 -0.057  -0.344 0.070  -0.245 0.197  -0.146 0.325  -0.048 0.453  0.051 0.581  0.152 0.707  0.254 0.832  0.356 0.957  0.469 1.072  0.583 1.186  0.697 1.300  0.812 1.414  0.908 1.543  0.909 1.383  0.882 1.224  0.856 1.065  0.802 0.915  0.729 0.770  0.657 0.626  0.608 0.472  0.560 0.318  0.512 0.164  0.464 0.010  0.417 -0.144  0.369 -0.299  0.287 -0.438  0.204 -0.576  0.128 -0.719  0.056 -0.863  -0.019 -1.005  -0.100 -1.146  -0.201 -1.061  -0.306 -0.938  -0.411 -0.816  -0.516 -0.693  -0.621 -0.571  -0.623 -0.481  -0.466 -0.442  -0.319 -0.377  -0.175 -0.305
