1c#tos#f1#f1006061/a  -0.102 0.159  -0.102 0.330  -0.102 0.500  -0.102 0.670  -0.102 0.841  -0.173 0.941  -0.211 1.073  -0.381 1.073  -0.536 1.049  -0.617 0.899  -0.711 0.758  -0.792 0.608  -0.884 0.464  -0.964 0.316  -1.017 0.154  -1.017 -0.017  -1.017 -0.187  -1.017 -0.357  -1.017 -0.528  -1.017 -0.698  -0.903 -0.755  -0.732 -0.755  -0.562 -0.755  -0.454 -0.692  -0.403 -0.538  -0.305 -0.399  -0.163 -0.313  -0.087 -0.161  -0.010 -0.008  0.038 0.151  0.038 0.321  0.074 0.476  0.109 0.633  0.109 0.641  0.208 0.532  0.360 0.455  0.390 0.303  0.406 0.138  0.508 0.002  0.608 -0.136  0.684 -0.288  0.776 -0.426  0.918 -0.521  1.060 -0.615  1.189 -0.723  1.283 -0.864  1.437 -0.895  1.603 -0.925  1.766 -0.966  1.937 -0.966
1c#tos#f1#f1006061/b  -0.053 2.046  -0.203 2.046  -0.282 1.976  -0.225 1.850  -0.225 1.700  -0.225 1.550  -0.225 1.400  -0.225 1.250  -0.225 1.101  -0.225 0.951  -0.225 0.801  -0.225 0.651  -0.225 0.501  -0.225 0.351  -0.225 0.202  -0.225 0.052  -0.225 -0.098  -0.225 -0.248  -0.225 -0.398  -0.225 -0.548  -0.209 -0.695  -0.168 -0.838  -0.168 -0.988  -0.282 -0.926  -0.313 -0.788  -0.452 -0.762  -0.512 -0.672  -0.512 -0.522  -0.512 -0.372  -0.373 -0.361  -0.281 -0.302  -0.175 -0.196  -0.028 -0.189  0.087 -0.106  0.224 -0.074  0.374 -0.074  0.523 -0.074  0.673 -0.074  0.707 -0.196  0.807 -0.284  0.807 -0.434  0.807 -0.584  0.807 -0.734  0.691 -0.800  0.635 -0.910  0.522 -0.990  0.396 -1.048  0.247 -1.048  0.097 -1.048  -0.053 -1.048
1c#tos#f1#f1006061/c  1.154 0.615  1.038 0.615  0.921 0.615  0.812 0.623  0.812 0.740  0.762 0.836  0.660 0.872  0.629 0.958  0.512 0.958  0.395 0.958  0.278 0.958  0.161 0.958  0.044 0.958  -0.065 0.938  -0.147 0.855  -0.235 0.780  -0.346 0.743  -0.457 0.706  -0.485 0.607  -0.582 0.543  -0.679 0.478  -0.755 0.394  -0.807 0.289  -0.847 0.179  -0.884 0.068  -0.901 -0.046  -0.901 -0.162  -0.901 -0.279  -0.901 -0.396  -0.894 -0.512  -0.842 -0.616  -0.790 -0.721  -0.738 -0.825  -0.630 -0.841  -0.513 -0.841  -0.397 -0.841  -0.280 -0.841  -0.163 -0.841  -0.046 -0.841  0.071 -0.841  0.188 -0.841  0.305 -0.841  0.422 -0.841  0.539 -0.841  0.656 -0.841  0.772 -0.841  0.874 -0.794  0.967 -0.724  1.061 -0.654  1.154 -0.584
1c#tos#f1#f1006061/d  0.504 1.955  0.375 1.955  0.246 1.955  0.224 1.848  0.224 1.720  0.197 1.595  0.184 1.468  0.184 1.339  0.184 1.210  0.170 1.083  0.144 0.957  0.144 0.828  0.121 0.702  0.104 0.575  0.104 0.446  0.104 0.317  0.104 0.188  0.104 0.059  0.104 -0.070  0.104 -0.198  0.105 -0.327  0.144 -0.447  0.144 -0.576  0.184 -0.665  0.184 -0.794  0.200 -0.919  0.224 -0.889  0.197 -0.765  0.184 -0.638  0.153 -0.514  0.144 -0.386  0.104 -0.298  0.008 -0.253  -0.092 -0.205  -0.221 -0.205  -0.336 -0.219  -0.411 -0.297  -0.490 -0.399  -0.536 -0.508  -0.616 -0.557  -0.616 -0.686  -0.616 -0.815  -0.532 -0.894  -0.462 -1.000  -0.394 -1.108  -0.289 -1.166  -0.160 -1.166  -0.039 -1.148  0.064 -1.086  0.144 -1.005
1c#tos#f1#f1006061/e  -0.447 0.442  -0.515 0.344  -0.387 0.306  -0.222 0.306  -0.057 0.306  0.108 0.306  0.273 0.306  0.439 0.306  0.604 0.306  0.769 0.306  0.934 0.306  1.099 0.306  1.091 0.457  0.974 0.574  0.838 0.644  0.721 0.760  0.565 0.781  0.427 0.847  0.261 0.847  0.096 0.847  -0.069 0.847  -0.234 0.847  -0.399 0.847  -0.564 0.847  -0.675 0.772  -0.748 0.644  -0.907 0.617  -0.988 0.502  -0.988 0.336  -0.988 0.171  -0.988 0.006  -0.988 -0.159  -0.988 -0.324  -0.934 -0.477  -0.825 -0.599  -0.712 -0.718  -0.650 -0.869  -0.539 -0.965  -0.391 -1.039  -0.231 -1.072  -0.073 -1.112  0.092 -1.112  0.257 -1.112  0.422 -1.112  0.578 -1.073  0.726 -0.999  0.858 -0.910  1.023 -0.910  1.106 -0.776  1.242 -0.707
1c#tos#f1#f1006061/g  0.129 0.693  0.129 0.882  0.129 1.070  -0.036 1.113  -0.150 1.252  -0.336 1.255  -0.524 1.255  -0.657 1.200  -0.788 1.143  -0.826 0.992  -0.826 0.804  -0.771 0.638  -0.638 0.505  -0.465 0.469  -0.276 0.469  -0.140 0.593  -0.046 0.743  0.087 0.876  0.129 1.046  0.129 0.939  0.129 0.750  0.129 0.562  0.143 0.377  0.213 0.202  0.241 0.019  0.241 -0.169  0.241 -0.357  0.241 -0.545  0.241 -0.734  0.241 -0.922  0.188 -1.098  0.129 -1.272  0.069 -1.445  -0.074 -1.553  -0.263 -1.553  -0.376 -1.479  -0.376 -1.291  -0.376 -1.103  -0.376 -0.914  -0.376 -0.726  -0.227 -0.655  -0.055 -0.614  0.103 -0.542  0.264 -0.460  0.447 -0.430  0.635 -0.430  0.823 -0.430  0.988 -0.374  1.176 -0.374  1.365 -0.374
1c#tos#f1#f1006061/j  0.137 1.016  0.035 1.016  -0.066 1.016  -0.074 1.038  0.020 1.067  0.117 1.095  0.212 1.130  0.304 1.169  0.406 1.169  0.507 1.169  0.590 1.124  0.689 1.118  0.672 1.035  0.609 0.956  0.546 0.877  0.482 0.798  0.419 0.718  0.356 0.639  0.292 0.560  0.236 0.476  0.188 0.389  0.188 0.288  0.188 0.186  0.188 0.085  0.197 -0.013  0.239 -0.097  0.239 -0.198  0.239 -0.300  0.239 -0.401  0.239 -0.502  0.211 -0.599  0.188 -0.697  0.188 -0.798  0.132 -0.877  0.049 -0.923  0.035 -1.009  -0.047 -1.052  -0.144 -1.076  -0.246 -1.076  -0.347 -1.076  -0.449 -1.076  -0.550 -1.076  -0.649 -1.065  -0.740 -1.020  -0.830 -0.975  -0.932 -0.974  -1.004 -0.904  -1.086 -0.847  -1.169 -0.790  -1.241 -0.718
1c#tos#f1#f1006061/k  -0.700 2.032  -0.514 2.032  -0.408 1.925  -0.391 1.745  -0.391 1.559  -0.329 1.387  -0.329 1.201  -0.329 1.014  -0.329 0.828  -0.329 0.641  -0.329 0.455  -0.372 0.278  -0.454 0.111  -0.499 -0.070  -0.515 -0.254  -0.515 -0.441  -0.515 -0.627  -0.515 -0.813  -0.515 -1.000  -0.478 -1.066  -0.375 -0.910  -0.271 -0.755  -0.168 -0.600  -0.065 -0.445  0.039 -0.290  0.142 -0.135  0.246 0.020  0.349 0.176  0.452 0.331  0.556 0.486  0.563 0.443  0.496 0.301  0.383 0.210  0.251 0.078  0.083 0.034  -0.049 -0.098  -0.221 -0.131  -0.268 -0.271  -0.127 -0.317  -0.082 -0.459  0.055 -0.516  0.216 -0.602  0.289 -0.735  0.461 -0.750  0.571 -0.873  0.747 -0.899  0.844 -1.056  1.028 -1.059  1.215 -1.059  1.401 -1.059
1c#tos#f1#f1006061/l  -0.120 1.722  -0.120 1.648  -0.120 1.574  -0.079 1.517  -0.027 1.465  -0.010 1.398  -0.010 1.324  -0.010 1.250  -0.010 1.176  -0.010 1.102  -0.010 1.028  -0.010 0.954  -0.010 0.880  -0.010 0.806  -0.010 0.732  -0.010 0.658  -0.010 0.584  -0.010 0.510  -0.010 0.436  -0.010 0.362  -0.010 0.288  -0.010 0.214  -0.010 0.140  -0.010 0.065  -0.010 -0.009  -0.010 -0.083  -0.010 -0.157  -0.010 -0.231  -0.010 -0.305  -0.010 -0.379  -0.039 -0.441  -0.065 -0.504  -0.065 -0.578  -0.065 -0.652  -0.065 -0.726  -0.065 -0.800  -0.065 -0.874  -0.065 -0.948  -0.010 -0.967  -0.010 -1.041  -0.010 -1.115  -0.000 -1.179  0.044 -1.208  0.093 -1.234  0.099 -1.302  0.131 -1.343  0.205 -1.343  0.209 -1.414  0.209 -1.488  0.263 -1.507
1c#tos#f1#f1006061/m  -0.974 0.857  -0.917 0.754  -0.917 0.595  -0.917 0.435  -0.985 0.296  -1.032 0.151  -1.032 -0.009  -1.032 -0.168  -1.089 -0.314  -1.089 -0.474  -1.088 -0.518  -0.988 -0.396  -0.917 -0.257  -0.903 -0.104  -0.805 0.022  -0.745 0.163  -0.677 0.294  -0.573 0.411  -0.573 0.570  -0.424 0.616  -0.267 0.627  -0.143 0.570  -0.115 0.417  -0.115 0.257  -0.115 0.098  -0.115 -0.062  -0.115 -0.221  -0.057 -0.255  -0.036 -0.117  0.114 -0.108  0.114 0.052  0.157 0.169  0.229 0.300  0.324 0.398  0.484 0.398  0.643 0.398  0.802 0.398  0.859 0.295  0.945 0.198  1.062 0.107  1.089 -0.046  1.089 -0.206  1.112 -0.361  1.146 -0.515  1.201 -0.658  1.297 -0.785  1.376 -0.922  1.426 -1.073  1.564 -1.129  1.719 -1.149
1c#tos#f1#f1006061/o  -0.101 0.935  -0.238 0.935  -0.374 0.935  -0.415 0.839  -0.551 0.839  -0.613 0.736  -0.656 0.606  -0.674 0.473  -0.674 0.336  -0.674 0.200  -0.674 0.064  -0.674 -0.073  -0.674 -0.209  -0.674 -0.345  -0.674 -0.482  -0.674 -0.618  -0.674 -0.754  -0.674 -0.891  -0.674 -1.027  -0.674 -1.163  -0.538 -1.164  -0.401 -1.164  -0.265 -1.164  -0.129 -1.164  0.008 -1.164  0.144 -1.164  0.280 -1.164  0.323 -1.035  0.367 -0.905  0.410 -0.776  0.453 -0.647  0.500 -0.519  0.551 -0.392  0.601 -0.266  0.652 -0.139  0.697 -0.010  0.740 0.119  0.757 0.252  0.757 0.389  0.757 0.525  0.757 0.662  0.757 0.798  0.757 0.934  0.757 1.071  0.676 1.125  0.540 1.125  0.403 1.125  0.267 1.125  0.131 1.125  -0.006 1.125
