3#apa#apa03#app0354/a  0.532 0.506  0.446 0.613  0.404 0.763  0.297 0.849  0.189 0.985  0.053 1.071  -0.090 1.193  -0.197 1.279  -0.390 1.279  -0.548 1.193  -0.655 1.107  -0.756 0.965  -0.808 0.780  -0.880 0.602  -0.928 0.420  -0.928 0.227  -0.928 0.034  -0.928 -0.159  -0.928 -0.352  -0.928 -0.545  -0.928 -0.738  -0.883 -0.913  -0.707 -0.954  -0.514 -0.954  -0.373 -0.829  -0.213 -0.726  -0.066 -0.605  0.017 -0.431  0.098 -0.272  0.218 -0.123  0.321 0.037  0.360 0.214  0.360 0.407  0.360 0.600  0.360 0.734  0.360 0.541  0.274 0.383  0.274 0.190  0.274 -0.003  0.333 -0.186  0.360 -0.375  0.391 -0.556  0.467 -0.717  0.603 -0.854  0.679 -1.015  0.841 -1.091  1.002 -1.167  1.177 -1.212  1.305 -1.147  1.219 -1.040
3#apa#apa03#app0354/b  -0.409 1.773  -0.409 1.763  -0.478 1.624  -0.488 1.459  -0.488 1.290  -0.488 1.122  -0.488 0.953  -0.488 0.785  -0.488 0.616  -0.488 0.447  -0.488 0.279  -0.488 0.110  -0.488 -0.059  -0.488 -0.227  -0.488 -0.396  -0.488 -0.565  -0.488 -0.733  -0.454 -0.661  -0.409 -0.511  -0.329 -0.375  -0.266 -0.233  -0.250 -0.071  -0.170 0.065  -0.147 0.228  -0.090 0.383  -0.031 0.538  0.076 0.666  0.215 0.738  0.383 0.738  0.527 0.678  0.646 0.559  0.765 0.439  0.828 0.297  0.891 0.154  0.944 0.008  0.944 -0.161  0.894 -0.318  0.865 -0.480  0.841 -0.638  0.785 -0.784  0.715 -0.924  0.596 -1.043  0.454 -1.106  0.313 -1.172  0.161 -1.245  -0.006 -1.252  -0.175 -1.252  -0.339 -1.242  -0.479 -1.172  -0.568 -1.093
3#apa#apa03#app0354/c  0.676 0.948  0.567 0.959  0.488 1.038  0.383 1.050  0.363 1.143  0.250 1.143  0.138 1.143  0.025 1.143  -0.064 1.087  -0.144 1.007  -0.229 0.935  -0.330 0.885  -0.414 0.818  -0.464 0.717  -0.526 0.625  -0.601 0.542  -0.651 0.441  -0.708 0.345  -0.788 0.265  -0.838 0.164  -0.886 0.063  -0.886 -0.050  -0.886 -0.162  -0.886 -0.275  -0.886 -0.388  -0.886 -0.500  -0.817 -0.584  -0.737 -0.664  -0.649 -0.732  -0.548 -0.782  -0.442 -0.808  -0.329 -0.808  -0.217 -0.808  -0.104 -0.808  0.009 -0.808  0.112 -0.786  0.194 -0.711  0.306 -0.711  0.415 -0.695  0.516 -0.644  0.621 -0.613  0.717 -0.572  0.806 -0.516  0.918 -0.516  1.031 -0.516  1.144 -0.516  1.164 -0.423  1.268 -0.411  1.348 -0.331  1.456 -0.321
3#apa#apa03#app0354/d  0.233 -0.194  0.189 -0.038  0.093 0.102  -0.068 0.195  -0.267 0.195  -0.467 0.195  -0.664 0.181  -0.853 0.118  -0.995 -0.022  -1.091 -0.196  -1.166 -0.364  -1.166 -0.564  -1.166 -0.763  -1.135 -0.955  -1.004 -1.091  -0.845 -1.204  -0.645 -1.204  -0.452 -1.190  -0.288 -1.104  -0.124 -0.994  0.054 -0.905  0.174 -0.749  0.298 -0.595  0.388 -0.433  0.466 -0.266  0.466 -0.066  0.466 0.133  0.466 0.333  0.466 0.532  0.466 0.732  0.466 0.931  0.466 1.131  0.466 1.330  0.466 1.529  0.466 1.729  0.388 1.602  0.388 1.403  0.388 1.204  0.325 1.014  0.311 0.817  0.311 0.618  0.311 0.418  0.311 0.219  0.388 0.038  0.388 -0.162  0.466 -0.329  0.466 -0.528  0.466 -0.728  0.466 -0.927  0.466 -1.127
3#apa#apa03#app0354/e  -0.932 -0.034  -0.849 0.057  -0.766 -0.034  -0.592 -0.034  -0.435 0.006  -0.281 0.057  -0.107 0.057  0.067 0.057  0.203 0.149  0.342 0.234  0.496 0.314  0.622 0.376  0.712 0.513  0.805 0.595  0.805 0.770  0.748 0.909  0.598 0.995  0.452 1.063  0.278 1.063  0.103 1.063  -0.071 1.063  -0.245 1.063  -0.382 0.973  -0.532 0.914  -0.679 0.824  -0.749 0.693  -0.811 0.544  -0.932 0.420  -0.932 0.246  -0.932 0.072  -0.932 -0.102  -0.890 -0.259  -0.835 -0.412  -0.757 -0.567  -0.638 -0.694  -0.493 -0.765  -0.365 -0.876  -0.220 -0.948  -0.084 -1.040  0.090 -1.040  0.264 -1.040  0.439 -1.040  0.575 -0.948  0.739 -0.923  0.886 -0.857  0.988 -0.785  1.143 -0.765  1.279 -0.674  1.362 -0.583  1.445 -0.674
3#apa#apa03#app0354/f  0.979 0.867  1.065 0.781  1.100 0.798  1.007 0.867  0.933 0.983  0.818 1.098  0.682 1.164  0.547 1.230  0.407 1.285  0.255 1.258  0.110 1.216  -0.039 1.159  -0.151 1.046  -0.234 0.908  -0.275 0.762  -0.333 0.613  -0.345 0.453  -0.345 0.290  -0.345 0.128  -0.345 -0.035  -0.345 -0.198  -0.323 -0.358  -0.291 -0.518  -0.275 -0.679  -0.275 -0.842  -0.275 -1.005  -0.275 -1.167  -0.275 -1.330  -0.275 -1.493  -0.291 -1.640  -0.345 -1.532  -0.375 -1.373  -0.412 -1.214  -0.450 -1.056  -0.487 -0.897  -0.524 -0.739  -0.561 -0.581  -0.599 -0.422  -0.623 -0.262  -0.568 -0.122  -0.440 -0.038  -0.306 0.031  -0.162 0.075  -0.010 0.101  0.153 0.101  0.316 0.101  0.478 0.101  0.638 0.093  0.775 0.031  0.909 -0.038
3#apa#apa03#app0354/g  0.278 0.715  0.253 0.849  0.211 0.966  0.084 1.047  -0.073 1.051  -0.232 1.051  -0.391 1.051  -0.523 0.987  -0.655 0.922  -0.795 0.848  -0.862 0.705  -0.862 0.546  -0.862 0.387  -0.802 0.253  -0.646 0.246  -0.487 0.246  -0.328 0.246  -0.170 0.246  -0.024 0.279  0.116 0.333  0.263 0.380  0.380 0.482  0.479 0.561  0.479 0.720  0.458 0.870  0.333 0.893  0.278 0.748  0.278 0.589  0.290 0.435  0.345 0.299  0.373 0.152  0.412 0.009  0.489 -0.120  0.540 -0.271  0.578 -0.421  0.613 -0.572  0.613 -0.731  0.613 -0.889  0.598 -1.042  0.486 -1.154  0.412 -1.295  0.282 -1.363  0.151 -1.430  -0.003 -1.442  -0.139 -1.497  -0.298 -1.497  -0.450 -1.468  -0.578 -1.378  -0.710 -1.313  -0.795 -1.229
3#apa#apa03#app0354/h  -0.418 1.689  -0.455 1.532  -0.545 1.395  -0.585 1.247  -0.661 1.112  -0.669 0.950  -0.669 0.784  -0.669 0.619  -0.669 0.453  -0.669 0.288  -0.669 0.122  -0.669 -0.044  -0.669 -0.209  -0.641 -0.372  -0.609 -0.534  -0.585 -0.698  -0.585 -0.863  -0.585 -1.029  -0.543 -1.152  -0.502 -1.027  -0.418 -0.896  -0.418 -0.731  -0.358 -0.590  -0.335 -0.434  -0.313 -0.274  -0.243 -0.124  -0.190 0.033  -0.168 0.195  -0.126 0.351  -0.034 0.486  0.034 0.603  0.166 0.685  0.331 0.686  0.496 0.686  0.662 0.686  0.752 0.610  0.835 0.528  0.919 0.397  0.919 0.232  0.919 0.066  0.919 -0.100  0.919 -0.265  0.919 -0.431  0.919 -0.596  0.840 -0.729  0.835 -0.893  0.783 -1.037  0.752 -1.190  0.835 -1.150  0.919 -1.068
3#apa#apa03#app0354/i  -0.024 -0.019  0.049 0.023  0.037 0.128  -0.024 0.073  -0.035 -0.040  -0.087 -0.145  -0.106 -0.257  -0.158 -0.361  -0.177 -0.473  -0.229 -0.577  -0.245 -0.689  -0.245 -0.806  -0.245 -0.922  -0.245 -1.039  -0.245 -1.155  -0.245 -1.271  -0.245 -1.388  -0.234 -1.493  -0.165 -1.439  -0.151 -1.323  -0.136 -1.208  -0.122 -1.092  -0.107 -0.977  -0.093 -0.861  -0.078 -0.746  -0.064 -0.630  -0.049 -0.515  -0.035 -0.399  -0.021 -0.284  -0.006 -0.168  0.008 -0.053  0.023 0.063  0.037 0.178  0.052 0.294  0.066 0.409  0.080 0.525  0.095 0.641  0.109 0.756  0.124 0.872  0.138 0.987  0.153 1.103  0.167 1.218  0.182 1.334  0.196 1.449  0.270 1.535  0.270 1.651  0.344 1.694  0.406 1.749  0.449 1.822  0.565 1.822
3#apa#apa03#app0354/j  0.085 0.329  0.085 0.213  0.085 0.097  0.085 -0.019  0.085 -0.136  0.085 -0.252  0.085 -0.368  0.085 -0.484  0.085 -0.600  0.085 -0.716  0.085 -0.833  0.085 -0.949  0.085 -1.065  0.085 -1.181  -0.012 -1.201  -0.128 -1.201  -0.244 -1.201  -0.361 -1.201  -0.477 -1.201  -0.563 -1.127  -0.645 -1.045  -0.680 -0.944  -0.680 -0.827  -0.629 -0.724  -0.574 -0.622  -0.518 -0.520  -0.463 -0.418  -0.408 -0.316  -0.352 -0.214  -0.297 -0.111  -0.241 -0.009  -0.186 0.093  -0.130 0.195  -0.075 0.297  -0.020 0.399  0.036 0.501  0.091 0.603  0.147 0.705  0.202 0.808  0.258 0.910  0.313 1.012  0.369 1.114  0.424 1.216  0.479 1.318  0.531 1.421  0.574 1.520  0.656 1.602  0.707 1.668  0.797 1.732  0.913 1.732
3#apa#apa03#app0354/k  -0.545 1.804  -0.545 1.593  -0.634 1.418  -0.644 1.211  -0.644 1.000  -0.674 0.793  -0.726 0.588  -0.743 0.379  -0.743 0.168  -0.743 -0.043  -0.743 -0.255  -0.743 -0.466  -0.743 -0.677  -0.743 -0.888  -0.743 -1.099  -0.637 -1.249  -0.511 -1.079  -0.386 -0.909  -0.260 -0.739  -0.135 -0.569  -0.009 -0.400  0.116 -0.230  0.242 -0.060  0.367 0.110  0.493 0.280  0.618 0.450  0.744 0.619  0.869 0.789  0.995 0.959  0.991 0.915  0.896 0.775  0.708 0.717  0.596 0.619  0.431 0.508  0.255 0.421  0.074 0.349  -0.051 0.248  -0.213 0.161  -0.348 0.006  -0.348 -0.205  -0.244 -0.374  -0.072 -0.468  0.119 -0.553  0.303 -0.624  0.497 -0.665  0.667 -0.764  0.768 -0.892  0.847 -1.070  0.936 -1.244  1.035 -1.357
