2#app#app25#app2538/a  0.774 1.045  0.574 1.045  0.374 1.045  0.174 1.045  -0.026 1.045  -0.226 1.045  -0.426 1.045  -0.626 1.045  -0.635 0.854  -0.745 0.700  -0.886 0.559  -1.028 0.418  -1.104 0.249  -1.104 0.049  -1.104 -0.150  -1.104 -0.350  -1.104 -0.550  -1.104 -0.750  -1.104 -0.950  -1.022 -1.067  -0.822 -1.067  -0.622 -1.067  -0.422 -1.067  -0.274 -0.941  -0.165 -0.787  -0.154 -0.598  0.046 -0.598  0.194 -0.473  0.348 -0.363  0.539 -0.354  0.539 -0.154  0.539 0.046  0.678 0.106  0.774 0.211  0.823 0.390  0.964 0.532  1.008 0.713  0.936 0.738  0.794 0.596  0.653 0.455  0.512 0.314  0.370 0.172  0.304 -0.000  0.304 -0.200  0.304 -0.400  0.306 -0.598  0.506 -0.598  0.657 -0.716  0.808 -0.833  1.008 -0.833
2#app#app25#app2538/b  0.574 2.172  0.501 2.027  0.429 1.882  0.411 1.725  0.289 1.685  0.249 1.563  0.249 1.401  0.128 1.361  0.087 1.240  0.087 1.078  0.087 0.917  0.087 0.755  0.087 0.593  0.003 0.466  -0.075 0.337  -0.075 0.175  -0.075 0.013  -0.111 -0.134  -0.225 -0.248  -0.237 -0.405  -0.237 -0.567  -0.381 -0.584  -0.501 -0.686  -0.561 -0.823  -0.561 -0.833  -0.486 -0.747  -0.399 -0.671  -0.399 -0.510  -0.325 -0.422  -0.163 -0.422  -0.075 -0.348  -0.075 -0.187  -0.075 -0.025  -0.075 -0.009  -0.002 -0.098  0.159 -0.098  0.249 -0.170  0.321 -0.260  0.411 -0.331  0.411 -0.493  0.411 -0.655  0.411 -0.817  0.342 -0.909  0.249 -0.978  0.180 -1.071  0.019 -1.071  -0.123 -1.119  -0.238 -1.233  -0.400 -1.233  -0.561 -1.233
2#app#app25#app2538/c  1.115 0.532  1.027 0.620  0.928 0.683  0.813 0.693  0.813 0.818  0.736 0.911  0.662 1.005  0.662 1.130  0.544 1.136  0.419 1.136  0.360 1.071  0.320 0.985  0.209 0.972  0.209 0.848  0.097 0.834  -0.028 0.834  -0.094 0.775  -0.126 0.683  -0.245 0.677  -0.245 0.552  -0.319 0.458  -0.396 0.365  -0.396 0.240  -0.511 0.230  -0.610 0.167  -0.698 0.079  -0.698 -0.046  -0.698 -0.171  -0.749 -0.274  -0.837 -0.362  -0.849 -0.482  -0.849 -0.607  -0.849 -0.732  -0.849 -0.857  -0.846 -0.979  -0.721 -0.979  -0.596 -0.979  -0.471 -0.979  -0.347 -0.979  -0.222 -0.979  -0.097 -0.979  0.028 -0.979  0.153 -0.979  0.278 -0.979  0.390 -0.948  0.478 -0.860  0.589 -0.828  0.714 -0.828  0.839 -0.828  0.964 -0.828
2#app#app25#app2538/d  0.387 0.004  0.193 0.052  -0.002 0.101  -0.196 0.149  -0.394 0.174  -0.594 0.174  -0.795 0.174  -0.940 0.041  -1.082 -0.100  -1.149 -0.273  -1.149 -0.474  -1.315 -0.508  -1.320 -0.704  -1.320 -0.905  -1.235 -1.020  -1.034 -1.020  -0.834 -1.020  -0.637 -1.017  -0.603 -0.850  -0.421 -0.805  -0.273 -0.679  -0.125 -0.627  -0.067 -0.450  0.075 -0.308  0.217 -0.167  0.387 -0.136  0.430 0.046  0.558 0.194  0.593 0.380  0.735 0.522  0.876 0.664  0.899 0.855  1.039 0.997  1.070 1.185  1.202 1.331  1.094 1.369  1.066 1.194  0.924 1.053  0.782 0.911  0.673 0.746  0.583 0.566  0.456 0.414  0.314 0.272  0.172 0.130  0.046 -0.018  0.046 -0.218  0.046 -0.419  0.046 -0.619  0.187 -0.679  0.387 -0.679
2#app#app25#app2538/e  -0.226 0.169  -0.070 0.169  0.086 0.169  0.243 0.169  0.399 0.169  0.555 0.169  0.712 0.169  0.868 0.169  0.904 0.289  0.992 0.357  1.092 0.413  1.092 0.570  1.092 0.726  0.944 0.734  0.822 0.816  0.710 0.922  0.553 0.922  0.397 0.922  0.241 0.922  0.084 0.922  -0.072 0.922  -0.226 0.921  -0.226 0.764  -0.352 0.734  -0.415 0.640  -0.477 0.546  -0.624 0.525  -0.735 0.414  -0.791 0.281  -0.835 0.169  -0.980 0.157  -0.980 0.001  -0.980 -0.156  -0.980 -0.312  -0.980 -0.468  -0.980 -0.624  -0.972 -0.773  -0.815 -0.773  -0.698 -0.866  -0.581 -0.961  -0.425 -0.961  -0.268 -0.961  -0.146 -1.042  -0.034 -1.150  0.122 -1.150  0.279 -1.150  0.435 -1.150  0.591 -1.150  0.748 -1.150  0.904 -1.150
2#app#app25#app2538/f  1.202 1.483  1.030 1.483  0.858 1.483  0.686 1.483  0.541 1.456  0.508 1.318  0.336 1.318  0.211 1.270  0.211 1.098  0.150 0.987  -0.021 0.987  -0.119 0.913  -0.119 0.741  -0.207 0.657  -0.284 0.562  -0.284 0.391  -0.284 0.219  -0.284 0.047  -0.284 -0.125  -0.156 -0.169  -0.119 -0.304  -0.119 -0.476  0.029 -0.499  0.046 -0.654  0.046 -0.826  0.211 -0.833  0.211 -1.005  0.194 -1.160  0.022 -1.160  -0.119 -1.190  -0.156 -1.325  -0.328 -1.325  -0.450 -1.376  -0.450 -1.433  -0.450 -1.261  -0.450 -1.089  -0.450 -0.917  -0.450 -0.745  -0.450 -0.574  -0.450 -0.402  -0.450 -0.230  -0.450 -0.058  -0.450 0.114  -0.325 0.161  -0.153 0.161  0.019 0.161  0.191 0.161  0.363 0.161  0.535 0.161  0.707 0.161
2#app#app25#app2538/g  0.715 1.309  0.519 1.309  0.323 1.309  0.150 1.253  0.011 1.115  -0.127 0.976  -0.316 0.958  -0.454 0.819  -0.593 0.681  -0.644 0.506  -0.493 0.460  -0.467 0.290  -0.281 0.267  -0.142 0.128  0.050 0.120  0.246 0.120  0.442 0.120  0.545 0.214  0.665 0.290  0.818 0.393  0.884 0.562  1.012 0.630  1.054 0.784  0.884 0.789  0.859 0.604  0.720 0.465  0.715 0.271  0.715 0.075  0.644 -0.050  0.545 -0.147  0.458 -0.307  0.375 -0.468  0.270 -0.559  0.074 -0.559  0.035 -0.717  -0.095 -0.859  -0.274 -0.899  -0.304 -1.065  -0.440 -1.204  -0.622 -1.238  -0.818 -1.238  -1.014 -1.238  -1.153 -1.181  -1.153 -0.985  -1.044 -0.899  -0.983 -0.763  -0.822 -0.729  -0.681 -0.596  -0.500 -0.559  -0.304 -0.559
2#app#app25#app2538/h  0.565 2.130  0.565 1.932  0.565 1.735  0.453 1.584  0.313 1.444  0.173 1.305  0.131 1.125  0.078 0.940  -0.010 0.763  -0.086 0.584  -0.086 0.386  -0.086 0.189  -0.218 0.046  -0.303 -0.116  -0.329 -0.308  -0.417 -0.484  -0.505 -0.661  -0.520 -0.855  -0.520 -1.052  -0.646 -1.123  -0.736 -1.230  -0.799 -1.278  -0.938 -1.138  -0.953 -0.947  -0.842 -0.795  -0.736 -0.642  -0.708 -0.472  -0.520 -0.464  -0.520 -0.266  -0.333 -0.255  -0.135 -0.255  0.019 -0.151  0.131 0.000  0.145 0.192  0.284 0.331  0.348 0.503  0.436 0.612  0.633 0.612  0.782 0.563  0.782 0.365  0.774 0.171  0.635 0.031  0.565 -0.137  0.509 -0.312  0.369 -0.451  0.348 -0.640  0.243 -0.794  0.170 -0.906  0.367 -0.906  0.565 -0.906
2#app#app25#app2538/i  0.426 0.452  0.340 0.365  0.265 0.274  0.265 0.152  0.194 0.059  0.108 -0.027  0.021 -0.113  -0.056 -0.203  -0.056 -0.326  -0.056 -0.448  -0.097 -0.553  -0.183 -0.639  -0.217 -0.748  -0.217 -0.870  -0.217 -0.992  -0.217 -1.114  -0.217 -1.236  -0.217 -1.358  -0.217 -1.473  -0.217 -1.350  -0.304 -1.316  -0.366 -1.268  -0.338 -1.149  -0.310 -1.031  -0.281 -0.912  -0.253 -0.793  -0.225 -0.674  -0.196 -0.555  -0.168 -0.436  -0.140 -0.318  -0.112 -0.199  -0.083 -0.080  -0.055 0.039  -0.027 0.158  0.002 0.276  0.030 0.395  0.058 0.514  0.086 0.633  0.115 0.752  0.143 0.871  0.171 0.989  0.200 1.108  0.228 1.227  0.256 1.346  0.285 1.465  0.313 1.583  0.341 1.702  0.369 1.821  0.398 1.940  0.426 2.059
2#app#app25#app2538/j  0.646 0.694  0.626 0.557  0.528 0.452  0.504 0.317  0.411 0.211  0.382 0.077  0.293 -0.031  0.293 -0.176  0.293 -0.322  0.221 -0.437  0.175 -0.563  0.098 -0.677  0.058 -0.805  -0.024 -0.916  -0.126 -1.019  -0.229 -1.122  -0.347 -1.188  -0.492 -1.188  -0.637 -1.188  -0.766 -1.171  -0.766 -1.026  -0.766 -0.880  -0.766 -0.735  -0.648 -0.708  -0.622 -0.573  -0.514 -0.482  -0.413 -0.526  -0.413 -0.671  -0.314 -0.717  -0.286 -0.600  -0.168 -0.564  -0.132 -0.424  -0.095 -0.283  -0.058 -0.143  -0.022 -0.002  0.015 0.138  0.052 0.279  0.088 0.419  0.125 0.560  0.162 0.700  0.198 0.841  0.235 0.981  0.272 1.122  0.308 1.262  0.345 1.403  0.382 1.543  0.418 1.684  0.455 1.825  0.492 1.965  0.528 2.106
2#app#app25#app2538/k  0.557 2.142  0.357 2.107  0.307 1.892  0.157 1.718  0.157 1.482  0.157 1.246  0.064 1.049  -0.044 0.858  -0.162 0.741  -0.244 0.586  -0.244 0.351  -0.244 0.115  -0.271 -0.114  -0.376 -0.325  -0.444 -0.545  -0.444 -0.781  -0.599 -0.861  -0.644 -1.052  -0.644 -1.288  -0.644 -1.400  -0.584 -1.186  -0.436 -1.002  -0.289 -0.817  -0.142 -0.633  0.006 -0.449  0.153 -0.265  0.300 -0.081  0.447 0.103  0.595 0.287  0.742 0.471  0.889 0.655  0.831 0.741  0.757 0.578  0.559 0.540  0.524 0.340  0.357 0.271  0.253 0.140  0.058 0.041  -0.136 -0.060  -0.334 -0.151  -0.444 -0.341  -0.560 -0.461  -0.493 -0.461  -0.257 -0.461  -0.221 -0.661  -0.044 -0.719  0.050 -0.861  0.157 -0.990  0.157 -1.226  0.357 -1.262
