1b#ced#risn4711_s_1i/M  -0.418 -0.079  -0.418 0.163  -0.459 0.398  -0.479 0.638  -0.560 0.494  -0.620 0.260  -0.672 0.025  -0.723 -0.211  -0.767 -0.448  -0.832 -0.681  -0.878 -0.918  -0.928 -1.155  -0.920 -1.228  -0.860 -0.994  -0.812 -0.758  -0.754 -0.523  -0.723 -0.283  -0.665 -0.049  -0.599 0.184  -0.547 0.420  -0.507 0.658  -0.445 0.892  -0.382 1.125  -0.261 1.252  -0.191 1.022  -0.148 0.784  -0.104 0.546  -0.066 0.307  -0.021 0.070  0.073 -0.152  0.198 -0.345  0.382 -0.211  0.512 -0.008  0.628 0.204  0.726 0.425  0.808 0.652  0.877 0.883  0.984 1.098  1.005 0.950  0.984 0.711  0.962 0.470  0.930 0.230  0.902 -0.010  0.883 -0.251  0.870 -0.492  0.843 -0.732  0.813 -0.972  0.801 -1.214  0.797 -1.455  0.781 -1.695
1b#ced#risn4711_s_1i/Y  -0.694 0.459  -0.713 0.608  -0.747 0.754  -0.789 0.900  -0.808 1.033  -0.747 0.895  -0.672 0.763  -0.604 0.628  -0.528 0.497  -0.438 0.375  -0.356 0.248  -0.254 0.136  -0.179 0.008  -0.079 -0.094  0.051 -0.173  0.192 -0.211  0.311 -0.125  0.413 -0.018  0.470 0.123  0.533 0.261  0.586 0.403  0.619 0.550  0.669 0.693  0.711 0.839  0.741 0.987  0.778 1.134  0.730 1.120  0.657 0.988  0.599 0.848  0.539 0.708  0.476 0.571  0.408 0.435  0.345 0.298  0.301 0.152  0.242 0.013  0.184 -0.127  0.128 -0.268  0.074 -0.410  0.014 -0.549  -0.038 -0.691  -0.085 -0.835  -0.147 -0.974  -0.196 -1.117  -0.252 -1.258  -0.295 -1.403  -0.347 -1.545  -0.394 -1.689  -0.430 -1.836  -0.478 -1.979  -0.500 -2.127
1b#ced#risn4711_s_1i/B  -0.734 -0.164  -0.649 0.039  -0.572 0.247  -0.507 0.460  -0.426 0.475  -0.459 0.255  -0.518 0.041  -0.574 -0.174  -0.618 -0.391  -0.688 -0.603  -0.762 -0.814  -0.851 -0.995  -0.817 -0.781  -0.747 -0.569  -0.672 -0.360  -0.597 -0.150  -0.511 0.055  -0.419 0.259  -0.317 0.458  -0.212 0.654  -0.103 0.849  0.018 1.036  0.153 1.214  0.286 1.392  0.430 1.562  0.636 1.630  0.775 1.483  0.777 1.260  0.728 1.044  0.678 0.827  0.590 0.622  0.491 0.422  0.401 0.219  0.255 0.051  0.091 -0.099  0.002 -0.126  0.213 -0.064  0.432 -0.073  0.638 -0.151  0.827 -0.268  0.952 -0.446  0.966 -0.667  0.862 -0.862  0.694 -1.009  0.503 -1.123  0.300 -1.216  0.088 -1.285  -0.127 -1.344  -0.342 -1.401  -0.564 -1.420
1b#ced#risn4711_s_1i/O  -0.167 0.398  -0.167 0.544  -0.125 0.683  -0.114 0.828  -0.099 0.971  -0.090 1.115  -0.181 1.172  -0.267 1.067  -0.358 0.954  -0.449 0.839  -0.523 0.714  -0.579 0.579  -0.634 0.444  -0.658 0.300  -0.690 0.159  -0.729 0.018  -0.753 -0.126  -0.773 -0.270  -0.773 -0.416  -0.773 -0.562  -0.753 -0.707  -0.726 -0.850  -0.668 -0.983  -0.596 -1.109  -0.487 -1.206  -0.358 -1.266  -0.215 -1.297  -0.072 -1.277  0.071 -1.248  0.206 -1.192  0.309 -1.088  0.412 -0.985  0.537 -0.910  0.621 -0.791  0.692 -0.664  0.749 -0.530  0.793 -0.391  0.833 -0.250  0.854 -0.106  0.875 0.039  0.878 0.183  0.855 0.327  0.817 0.468  0.767 0.605  0.684 0.724  0.585 0.831  0.482 0.935  0.374 1.033  0.263 1.128  0.123 1.162
1b#ced#risn4711_s_1i/X  -1.083 1.265  -1.143 1.324  -1.063 1.163  -0.968 1.010  -0.865 0.864  -0.760 0.719  -0.639 0.586  -0.539 0.437  -0.401 0.321  -0.301 0.171  -0.185 0.033  -0.068 -0.104  0.049 -0.242  0.167 -0.377  0.292 -0.507  0.407 -0.646  0.525 -0.781  0.662 -0.898  0.790 -1.026  0.918 -1.153  1.008 -1.179  0.965 -1.004  0.922 -0.829  0.879 -0.654  0.836 -0.478  0.793 -0.303  0.750 -0.128  0.707 0.047  0.664 0.222  0.621 0.397  0.578 0.572  0.535 0.748  0.524 0.927  0.511 1.082  0.395 1.000  0.278 0.863  0.182 0.713  0.072 0.570  -0.046 0.434  -0.163 0.297  -0.265 0.148  -0.361 -0.004  -0.452 -0.159  -0.530 -0.321  -0.635 -0.467  -0.725 -0.624  -0.823 -0.775  -0.901 -0.937  -1.000 -1.086  -1.109 -1.230
1b#ced#risn4711_s_1i/W  -0.700 0.506  -0.773 0.635  -0.826 0.774  -0.899 0.904  -0.987 0.982  -0.990 0.836  -0.982 0.688  -0.982 0.538  -0.982 0.389  -0.974 0.240  -0.955 0.092  -0.935 -0.056  -0.917 -0.204  -0.882 -0.349  -0.873 -0.497  -0.848 -0.644  -0.813 -0.788  -0.745 -0.914  -0.613 -0.919  -0.522 -0.804  -0.432 -0.684  -0.364 -0.553  -0.289 -0.425  -0.218 -0.294  -0.159 -0.158  -0.086 -0.028  -0.021 0.107  0.075 0.215  0.204 0.262  0.287 0.143  0.354 0.009  0.388 -0.136  0.428 -0.279  0.492 -0.413  0.540 -0.553  0.617 -0.679  0.745 -0.727  0.848 -0.626  0.922 -0.497  0.992 -0.366  1.037 -0.224  1.076 -0.080  1.119 0.063  1.167 0.204  1.196 0.350  1.215 0.498  1.254 0.642  1.263 0.790  1.273 0.938  1.273 1.088
1b#ced#risn4711_s_1i/I  -0.201 0.491  -0.180 0.576  -0.157 0.660  -0.125 0.741  -0.093 0.822  -0.068 0.906  -0.047 0.991  -0.020 1.074  -0.003 1.159  -0.003 1.246  0.013 1.331  0.039 1.392  0.056 1.306  0.073 1.221  0.076 1.134  0.076 1.046  0.055 0.961  0.037 0.876  0.037 0.789  0.037 0.702  0.022 0.616  0.005 0.530  -0.003 0.443  -0.003 0.356  -0.003 0.269  -0.003 0.181  -0.003 0.094  -0.003 0.006  -0.003 -0.081  -0.003 -0.168  -0.003 -0.256  -0.003 -0.343  -0.003 -0.430  -0.003 -0.518  -0.003 -0.605  -0.003 -0.693  -0.003 -0.780  -0.003 -0.867  -0.003 -0.955  -0.003 -1.042  -0.003 -1.129  0.009 -1.216  0.026 -1.301  0.037 -1.388  0.037 -1.475  0.039 -1.562  0.056 -1.648  0.073 -1.734  0.076 -1.821  0.076 -1.908
1b#ced#risn4711_s_1i/T  0.326 -0.268  0.439 -0.169  0.537 -0.056  0.591 0.053  0.561 -0.092  0.490 -0.223  0.421 -0.356  0.396 -0.501  0.372 -0.649  0.325 -0.791  0.294 -0.938  0.260 -1.084  0.242 -1.232  0.221 -1.379  0.165 -1.445  0.089 -1.316  0.013 -1.186  -0.063 -1.057  -0.138 -0.927  -0.214 -0.797  -0.290 -0.668  -0.366 -0.538  -0.442 -0.409  -0.518 -0.279  -0.594 -0.150  -0.664 -0.017  -0.731 0.117  -0.836 0.225  -0.949 0.322  -1.084 0.385  -1.208 0.467  -1.201 0.550  -1.060 0.590  -0.914 0.622  -0.767 0.652  -0.619 0.682  -0.471 0.703  -0.322 0.727  -0.174 0.749  -0.025 0.771  0.123 0.792  0.271 0.816  0.420 0.837  0.569 0.859  0.717 0.883  0.866 0.904  1.013 0.932  1.162 0.941  1.311 0.960  1.456 0.988
1b#ced#risn4711_s_1i/H  0.088 0.715  0.067 0.912  0.088 1.115  0.088 1.321  0.058 1.455  -0.072 1.298  -0.175 1.120  -0.253 0.930  -0.325 0.739  -0.389 0.545  -0.462 0.353  -0.510 0.153  -0.566 -0.044  -0.615 -0.244  -0.656 -0.445  -0.721 -0.640  -0.755 -0.842  -0.823 -1.036  -0.872 -1.235  -0.918 -1.140  -0.965 -0.940  -1.012 -0.740  -1.045 -0.538  -1.009 -0.337  -0.924 -0.155  -0.737 -0.074  -0.534 -0.090  -0.336 -0.080  -0.138 -0.114  0.061 -0.074  0.266 -0.074  0.465 -0.027  0.654 0.054  0.826 0.163  0.922 0.342  0.952 0.542  1.019 0.732  1.008 0.901  0.913 0.721  0.846 0.526  0.776 0.334  0.761 0.130  0.718 -0.070  0.676 -0.272  0.655 -0.475  0.631 -0.678  0.591 -0.880  0.574 -1.084  0.574 -1.289  0.533 -1.490
1b#ced#risn4711_s_1i/D  -0.318 0.448  -0.242 0.614  -0.167 0.778  -0.280 0.778  -0.318 0.602  -0.350 0.421  -0.390 0.240  -0.427 0.058  -0.473 -0.120  -0.498 -0.302  -0.525 -0.484  -0.549 -0.667  -0.576 -0.826  -0.591 -0.641  -0.607 -0.457  -0.622 -0.273  -0.637 -0.088  -0.652 0.096  -0.652 0.281  -0.675 0.464  -0.678 0.648  -0.669 0.830  -0.521 0.938  -0.345 0.994  -0.161 1.001  0.024 1.001  0.208 0.990  0.391 0.957  0.573 0.925  0.747 0.865  0.912 0.791  1.058 0.678  1.177 0.538  1.251 0.369  1.251 0.184  1.221 0.002  1.144 -0.166  1.045 -0.323  0.923 -0.459  0.781 -0.578  0.635 -0.691  0.485 -0.799  0.337 -0.909  0.172 -0.992  0.011 -1.083  -0.144 -1.185  -0.312 -1.261  -0.482 -1.334  -0.656 -1.396  -0.832 -1.455
1b#ced#risn4711_s_1i/O  -0.017 0.770  -0.017 0.897  -0.076 1.005  -0.146 1.111  -0.251 1.179  -0.368 1.155  -0.450 1.061  -0.497 0.943  -0.554 0.831  -0.616 0.721  -0.678 0.612  -0.713 0.490  -0.769 0.377  -0.800 0.254  -0.830 0.132  -0.856 0.008  -0.867 -0.117  -0.867 -0.244  -0.867 -0.370  -0.861 -0.496  -0.829 -0.618  -0.779 -0.734  -0.701 -0.833  -0.607 -0.917  -0.497 -0.976  -0.375 -1.011  -0.251 -1.027  -0.124 -1.027  0.001 -1.017  0.124 -0.989  0.237 -0.933  0.354 -0.885  0.463 -0.822  0.567 -0.751  0.677 -0.691  0.753 -0.589  0.828 -0.488  0.899 -0.383  0.964 -0.275  0.994 -0.152  1.019 -0.028  1.029 0.097  1.010 0.220  0.959 0.335  0.934 0.459  0.866 0.563  0.782 0.658  0.693 0.747  0.601 0.834  0.506 0.917
