2#app#app13#app1342/P  -0.071 0.427  -0.130 0.311  -0.186 0.193  -0.071 0.066  -0.071 -0.110  -0.071 -0.285  -0.071 -0.460  -0.071 -0.635  -0.071 -0.811  -0.085 -0.980  -0.187 -1.113  -0.187 -1.288  -0.187 -1.464  -0.187 -1.639  -0.187 -1.744  -0.187 -1.569  -0.210 -1.396  -0.236 -1.222  -0.262 -1.049  -0.288 -0.876  -0.314 -0.702  -0.340 -0.529  -0.366 -0.356  -0.392 -0.182  -0.418 -0.009  -0.444 0.164  -0.470 0.338  -0.496 0.511  -0.522 0.684  -0.536 0.859  -0.510 1.008  -0.420 1.093  -0.318 1.226  -0.187 1.279  -0.089 1.356  0.086 1.356  0.261 1.356  0.390 1.243  0.548 1.202  0.626 1.058  0.714 0.920  0.756 0.762  0.858 0.629  0.858 0.454  0.858 0.278  0.793 0.130  0.742 -0.024  0.627 -0.152  0.452 -0.154  0.277 -0.154
2#app#app13#app1342/e  -0.504 -0.065  -0.504 -0.227  -0.390 -0.275  -0.228 -0.275  -0.072 -0.262  0.042 -0.148  0.170 -0.065  0.332 -0.065  0.447 0.047  0.561 0.161  0.675 0.275  0.790 0.390  0.904 0.504  0.964 0.641  0.964 0.803  0.964 0.964  0.862 1.084  0.745 1.192  0.584 1.192  0.422 1.192  0.260 1.192  0.106 1.174  -0.008 1.059  -0.122 0.945  -0.236 0.831  -0.374 0.773  -0.504 0.741  -0.504 0.579  -0.607 0.460  -0.713 0.343  -0.713 0.181  -0.802 0.056  -0.916 -0.058  -0.923 -0.217  -0.923 -0.379  -0.923 -0.540  -0.917 -0.700  -0.803 -0.814  -0.682 -0.919  -0.538 -0.992  -0.393 -1.064  -0.243 -1.113  -0.081 -1.113  0.080 -1.113  0.242 -1.113  0.404 -1.113  0.565 -1.113  0.727 -1.113  0.849 -1.018  0.964 -0.904
2#app#app13#app1342/r  -0.644 -0.008  -0.644 -0.123  -0.616 -0.210  -0.501 -0.210  -0.441 -0.266  -0.441 -0.382  -0.441 -0.497  -0.441 -0.612  -0.441 -0.727  -0.417 -0.818  -0.302 -0.818  -0.239 -0.871  -0.239 -0.986  -0.239 -1.101  -0.239 -1.216  -0.239 -1.332  -0.239 -1.404  -0.239 -1.289  -0.239 -1.174  -0.239 -1.058  -0.239 -0.943  -0.239 -0.828  -0.192 -0.724  -0.140 -0.621  -0.089 -0.517  -0.037 -0.414  -0.036 -0.299  -0.036 -0.184  -0.036 -0.069  -0.012 0.041  0.039 0.144  0.091 0.247  0.142 0.350  0.166 0.460  0.166 0.575  0.166 0.690  0.168 0.805  0.250 0.886  0.331 0.968  0.369 1.067  0.369 1.183  0.369 1.298  0.372 1.410  0.487 1.410  0.602 1.410  0.718 1.410  0.833 1.410  0.948 1.410  0.976 1.323  0.976 1.207
2#app#app13#app1342/h  -0.540 1.844  -0.540 1.681  -0.540 1.518  -0.540 1.355  -0.540 1.192  -0.540 1.029  -0.540 0.866  -0.540 0.703  -0.540 0.540  -0.540 0.377  -0.540 0.214  -0.540 0.051  -0.540 -0.111  -0.540 -0.274  -0.564 -0.432  -0.637 -0.577  -0.699 -0.726  -0.699 -0.889  -0.699 -1.052  -0.664 -1.179  -0.501 -1.179  -0.381 -1.136  -0.381 -0.973  -0.345 -0.825  -0.230 -0.709  -0.222 -0.550  -0.152 -0.403  -0.080 -0.257  -0.007 -0.112  0.066 0.034  0.164 0.162  0.255 0.287  0.255 0.450  0.297 0.571  0.414 0.617  0.464 0.730  0.573 0.677  0.631 0.571  0.733 0.510  0.733 0.347  0.763 0.191  0.836 0.046  0.892 -0.104  0.892 -0.267  0.892 -0.430  0.892 -0.593  0.930 -0.740  1.045 -0.855  1.051 -1.016  1.051 -1.179
2#app#app13#app1342/a  0.167 1.149  0.167 1.297  0.101 1.381  -0.048 1.381  -0.196 1.381  -0.297 1.333  -0.297 1.184  -0.410 1.149  -0.529 1.119  -0.529 0.970  -0.529 0.821  -0.541 0.685  -0.690 0.685  -0.761 0.607  -0.761 0.458  -0.761 0.309  -0.761 0.161  -0.761 0.012  -0.761 -0.137  -0.761 -0.286  -0.761 -0.434  -0.761 -0.583  -0.761 -0.732  -0.761 -0.881  -0.672 -0.940  -0.523 -0.940  -0.374 -0.940  -0.225 -0.940  -0.077 -0.940  0.072 -0.940  0.167 -0.886  0.167 -0.737  0.286 -0.708  0.424 -0.682  0.530 -0.577  0.631 -0.470  0.631 -0.321  0.631 -0.172  0.631 -0.024  0.767 -0.011  0.863 0.042  0.863 0.191  0.863 0.102  0.863 -0.047  0.863 -0.196  0.863 -0.345  0.863 -0.493  0.863 -0.642  0.946 -0.708  1.095 -0.708
2#app#app13#app1342/p  -0.282 0.940  -0.282 0.769  -0.282 0.597  -0.282 0.425  -0.282 0.253  -0.282 0.081  -0.282 -0.090  -0.282 -0.262  -0.282 -0.434  -0.282 -0.606  -0.282 -0.778  -0.282 -0.949  -0.282 -1.121  -0.282 -1.293  -0.282 -1.465  -0.282 -1.637  -0.282 -1.808  -0.274 -1.703  -0.265 -1.532  -0.256 -1.360  -0.247 -1.189  -0.238 -1.017  -0.229 -0.846  -0.220 -0.674  -0.211 -0.502  -0.202 -0.331  -0.193 -0.159  -0.184 0.012  -0.175 0.184  -0.166 0.355  -0.157 0.527  -0.148 0.699  -0.139 0.870  -0.130 1.042  -0.121 1.213  -0.001 1.268  0.171 1.268  0.343 1.268  0.515 1.268  0.643 1.162  0.700 1.014  0.799 0.940  0.864 0.834  0.864 0.662  0.864 0.490  0.733 0.449  0.700 0.310  0.553 0.286  0.381 0.286  0.209 0.286
2#app#app13#app1342/s  0.214 1.515  0.121 1.515  0.029 1.515  -0.064 1.515  -0.129 1.489  -0.129 1.396  -0.129 1.304  -0.129 1.211  -0.183 1.172  -0.276 1.172  -0.301 1.105  -0.301 1.013  -0.301 0.920  -0.301 0.828  -0.301 0.735  -0.301 0.643  -0.301 0.550  -0.301 0.458  -0.301 0.365  -0.301 0.273  -0.301 0.180  -0.301 0.088  -0.301 -0.005  -0.253 -0.077  -0.187 -0.143  -0.129 -0.211  -0.129 -0.304  -0.105 -0.372  -0.013 -0.372  0.080 -0.372  0.172 -0.372  0.265 -0.372  0.357 -0.372  0.385 -0.437  0.385 -0.529  0.385 -0.622  0.385 -0.714  0.385 -0.807  0.385 -0.899  0.385 -0.992  0.385 -1.084  0.385 -1.177  0.346 -1.230  0.254 -1.230  0.214 -1.283  0.214 -1.375  0.148 -1.402  0.056 -1.402  -0.037 -1.402  -0.129 -1.402
2#app#app13#app1342/t  -0.200 0.470  -0.061 0.470  -0.036 0.356  -0.036 0.217  -0.036 0.079  -0.036 -0.060  -0.036 -0.199  -0.036 -0.338  -0.036 -0.476  -0.036 -0.615  -0.036 -0.754  -0.036 -0.892  -0.036 -1.031  -0.036 -1.170  -0.036 -1.309  -0.036 -1.447  -0.036 -1.586  -0.049 -1.591  -0.077 -1.455  -0.104 -1.319  -0.131 -1.183  -0.158 -1.047  -0.185 -0.911  -0.213 -0.775  -0.240 -0.639  -0.267 -0.503  -0.294 -0.367  -0.321 -0.231  -0.349 -0.095  -0.376 0.041  -0.403 0.177  -0.430 0.313  -0.457 0.449  -0.485 0.585  -0.512 0.721  -0.466 0.797  -0.338 0.823  -0.240 0.921  -0.117 0.961  0.021 0.961  0.150 0.984  0.249 1.082  0.370 1.124  0.508 1.124  0.647 1.124  0.785 1.127  0.883 1.225  0.996 1.288  1.134 1.288  1.273 1.288
2#app#app13#app1342/h  -0.924 1.394  -0.924 1.249  -0.924 1.104  -0.924 0.959  -0.924 0.814  -0.870 0.691  -0.767 0.589  -0.708 0.468  -0.708 0.323  -0.708 0.178  -0.708 0.033  -0.708 -0.112  -0.708 -0.257  -0.708 -0.402  -0.708 -0.547  -0.708 -0.692  -0.708 -0.837  -0.708 -0.982  -0.708 -0.837  -0.634 -0.766  -0.492 -0.763  -0.492 -0.618  -0.438 -0.495  -0.335 -0.393  -0.233 -0.290  -0.130 -0.188  -0.028 -0.085  0.075 0.017  0.156 0.129  0.156 0.274  0.230 0.388  0.332 0.491  0.435 0.593  0.537 0.696  0.662 0.746  0.806 0.744  0.908 0.641  1.011 0.539  1.019 0.397  1.019 0.252  1.019 0.107  1.019 -0.038  1.019 -0.183  1.019 -0.328  1.019 -0.473  1.019 -0.618  1.019 -0.763  1.019 -0.908  1.019 -1.053  1.019 -1.198
2#app#app13#app1342/e  -0.202 -0.142  -0.069 -0.142  0.064 -0.142  0.162 -0.058  0.256 0.036  0.350 0.130  0.359 0.259  0.359 0.392  0.465 0.419  0.598 0.419  0.639 0.511  0.639 0.644  0.639 0.777  0.639 0.910  0.639 1.043  0.639 1.176  0.590 1.260  0.457 1.260  0.324 1.260  0.191 1.260  0.078 1.239  0.078 1.106  0.074 0.975  -0.020 0.881  -0.114 0.787  -0.208 0.693  -0.302 0.599  -0.396 0.505  -0.482 0.408  -0.482 0.275  -0.482 0.142  -0.482 0.009  -0.482 -0.124  -0.482 -0.257  -0.482 -0.390  -0.482 -0.523  -0.482 -0.656  -0.482 -0.789  -0.482 -0.922  -0.482 -1.055  -0.482 -1.188  -0.425 -1.263  -0.292 -1.263  -0.202 -1.306  -0.202 -1.439  -0.173 -1.543  -0.040 -1.543  0.093 -1.543  0.226 -1.543  0.359 -1.543
2#app#app13#app1342/g  0.419 1.353  0.299 1.353  0.178 1.353  0.058 1.353  -0.063 1.353  -0.183 1.353  -0.297 1.336  -0.382 1.250  -0.449 1.152  -0.503 1.044  -0.557 0.937  -0.558 0.816  -0.558 0.696  -0.558 0.575  -0.558 0.455  -0.516 0.376  -0.395 0.376  -0.275 0.376  -0.154 0.376  -0.034 0.376  0.087 0.376  0.207 0.376  0.328 0.376  0.440 0.355  0.525 0.270  0.559 0.164  0.559 0.043  0.559 -0.077  0.559 -0.198  0.559 -0.319  0.559 -0.439  0.559 -0.560  0.480 -0.601  0.419 -0.661  0.419 -0.782  0.404 -0.896  0.319 -0.981  0.280 -1.086  0.234 -1.160  0.140 -1.187  0.132 -1.300  0.012 -1.300  -0.109 -1.300  -0.230 -1.300  -0.329 -1.249  -0.414 -1.164  -0.500 -1.079  -0.558 -0.982  -0.558 -0.862  -0.558 -0.741
