2#apb#apb41#app4196/O  0.294 0.405  0.336 0.555  0.376 0.705  0.395 0.855  0.293 0.973  0.137 0.973  -0.010 0.940  -0.150 0.870  -0.289 0.800  -0.409 0.703  -0.527 0.601  -0.644 0.498  -0.758 0.393  -0.847 0.266  -0.936 0.138  -1.025 0.010  -1.062 -0.139  -1.086 -0.292  -1.109 -0.446  -1.092 -0.599  -1.058 -0.750  -1.018 -0.899  -0.884 -0.977  -0.749 -1.055  -0.605 -1.088  -0.450 -1.069  -0.296 -1.050  -0.141 -1.031  0.005 -0.985  0.145 -0.917  0.285 -0.850  0.425 -0.782  0.563 -0.710  0.695 -0.628  0.827 -0.545  0.959 -0.463  1.050 -0.337  1.136 -0.208  1.146 -0.058  1.137 0.097  1.056 0.228  0.968 0.356  0.851 0.454  0.716 0.532  0.582 0.611  0.444 0.682  0.301 0.742  0.157 0.802  0.010 0.844  -0.146 0.844
2#apb#apb41#app4196/'  -0.697 0.331  -0.620 0.396  -0.544 0.462  -0.467 0.527  -0.390 0.593  -0.314 0.659  -0.237 0.724  -0.161 0.790  -0.084 0.856  -0.006 0.919  0.075 0.980  0.155 1.040  0.236 1.101  0.317 1.161  0.397 1.128  0.478 1.068  0.559 1.007  0.639 0.947  0.710 0.881  0.710 0.781  0.710 0.680  0.710 0.579  0.690 0.484  0.639 0.397  0.589 0.309  0.538 0.222  0.487 0.135  0.436 0.048  0.385 -0.039  0.335 -0.126  0.284 -0.213  0.233 -0.300  0.182 -0.387  0.131 -0.474  0.081 -0.561  0.020 -0.641  -0.051 -0.712  -0.123 -0.784  -0.194 -0.855  -0.265 -0.926  -0.336 -0.998  -0.408 -1.069  -0.479 -1.140  -0.550 -1.211  -0.622 -1.283  -0.693 -1.354  -0.764 -1.425  -0.836 -1.497  -0.907 -1.568  -0.978 -1.639
2#apb#apb41#app4196/B  -0.452 0.640  -0.538 0.497  -0.564 0.332  -0.564 0.162  -0.555 -0.008  -0.548 -0.178  -0.548 -0.348  -0.567 -0.516  -0.596 -0.684  -0.596 -0.854  -0.630 -0.746  -0.640 -0.576  -0.644 -0.406  -0.644 -0.236  -0.647 -0.066  -0.654 0.104  -0.659 0.274  -0.644 0.443  -0.630 0.613  -0.580 0.774  -0.514 0.931  -0.433 1.080  -0.324 1.208  -0.172 1.284  -0.017 1.352  0.134 1.336  0.223 1.195  0.270 1.033  0.257 0.868  0.216 0.704  0.213 0.551  0.365 0.489  0.512 0.411  0.652 0.314  0.792 0.218  0.909 0.100  0.990 -0.049  1.058 -0.205  1.098 -0.366  1.088 -0.536  1.026 -0.691  0.947 -0.841  0.833 -0.964  0.706 -1.077  0.569 -1.176  0.420 -1.258  0.264 -1.317  0.094 -1.326  -0.064 -1.287  -0.212 -1.202
2#apb#apb41#app4196/r  -0.487 0.182  -0.359 0.173  -0.306 0.049  -0.253 -0.074  -0.183 -0.188  -0.106 -0.298  -0.029 -0.407  0.048 -0.517  0.109 -0.637  0.169 -0.757  0.229 -0.877  0.289 -0.997  0.339 -1.121  0.386 -1.247  0.437 -1.370  0.510 -1.483  0.452 -1.445  0.374 -1.336  0.307 -1.219  0.241 -1.103  0.174 -0.986  0.108 -0.870  0.042 -0.753  -0.021 -0.635  -0.084 -0.516  -0.148 -0.398  -0.211 -0.279  -0.274 -0.161  -0.344 -0.046  -0.414 0.068  -0.484 0.182  -0.554 0.296  -0.618 0.414  -0.650 0.544  -0.683 0.674  -0.674 0.804  -0.615 0.916  -0.507 0.997  -0.400 1.077  -0.286 1.141  -0.153 1.159  -0.020 1.177  0.113 1.195  0.246 1.212  0.380 1.224  0.514 1.232  0.648 1.239  0.782 1.246  0.916 1.254  1.050 1.261
2#apb#apb41#app4196/i  0.298 0.616  0.298 0.499  0.298 0.382  0.298 0.266  0.310 0.150  0.328 0.035  0.345 -0.080  0.363 -0.196  0.379 -0.311  0.387 -0.427  0.396 -0.544  0.405 -0.660  0.414 -0.776  0.423 -0.893  0.432 -1.009  0.441 -1.125  0.450 -1.241  0.488 -1.348  0.496 -1.414  0.426 -1.345  0.381 -1.237  0.337 -1.129  0.292 -1.021  0.247 -0.914  0.203 -0.806  0.158 -0.698  0.114 -0.590  0.069 -0.482  0.025 -0.375  -0.020 -0.267  -0.064 -0.159  -0.109 -0.051  -0.153 0.056  -0.198 0.164  -0.243 0.272  -0.287 0.380  -0.332 0.488  -0.376 0.595  -0.421 0.703  -0.465 0.811  -0.510 0.919  -0.554 1.026  -0.599 1.134  -0.643 1.242  -0.688 1.350  -0.733 1.457  -0.809 1.531  -0.851 1.597  -0.771 1.678  -0.678 1.748
2#apb#apb41#app4196/e  -0.546 -0.123  -0.411 -0.122  -0.282 -0.079  -0.154 -0.037  -0.026 0.006  0.108 0.023  0.242 0.038  0.376 0.053  0.477 0.142  0.577 0.232  0.678 0.323  0.778 0.413  0.882 0.500  0.987 0.584  1.077 0.683  1.101 0.795  1.026 0.908  0.951 1.020  0.817 1.033  0.682 1.045  0.548 1.057  0.418 1.042  0.295 0.986  0.172 0.929  0.050 0.873  -0.073 0.816  -0.176 0.731  -0.271 0.635  -0.367 0.540  -0.462 0.444  -0.558 0.349  -0.614 0.230  -0.651 0.101  -0.688 -0.029  -0.726 -0.159  -0.763 -0.289  -0.757 -0.423  -0.748 -0.558  -0.739 -0.693  -0.730 -0.828  -0.719 -0.962  -0.630 -1.063  -0.541 -1.165  -0.452 -1.267  -0.342 -1.338  -0.216 -1.385  -0.089 -1.432  0.037 -1.480  0.164 -1.527  0.290 -1.575
2#apb#apb41#app4196/n  -1.414 0.435  -1.357 0.336  -1.300 0.236  -1.234 0.142  -1.167 0.048  -1.091 -0.038  -1.010 -0.119  -0.944 -0.211  -0.901 -0.318  -0.859 -0.424  -0.801 -0.523  -0.728 -0.612  -0.652 -0.696  -0.609 -0.678  -0.573 -0.569  -0.569 -0.455  -0.569 -0.340  -0.569 -0.225  -0.554 -0.111  -0.533 0.002  -0.512 0.115  -0.464 0.218  -0.409 0.320  -0.355 0.421  -0.300 0.522  -0.202 0.581  -0.102 0.638  0.008 0.670  0.119 0.698  0.232 0.693  0.345 0.672  0.458 0.652  0.568 0.617  0.676 0.578  0.784 0.538  0.866 0.464  0.937 0.373  1.007 0.282  1.067 0.184  1.122 0.083  1.177 -0.017  1.210 -0.124  1.210 -0.239  1.210 -0.354  1.210 -0.469  1.185 -0.581  1.160 -0.694  1.122 -0.802  1.075 -0.907  1.029 -1.012
2#apb#apb41#app4196/P  -0.120 0.215  -0.169 0.052  -0.193 -0.117  -0.203 -0.287  -0.205 -0.458  -0.196 -0.629  -0.187 -0.799  -0.187 -0.970  -0.187 -1.141  -0.187 -1.312  -0.187 -1.483  -0.193 -1.654  -0.228 -1.707  -0.258 -1.540  -0.267 -1.370  -0.275 -1.199  -0.261 -1.029  -0.247 -0.858  -0.233 -0.688  -0.231 -0.517  -0.231 -0.346  -0.231 -0.175  -0.243 -0.005  -0.257 0.166  -0.271 0.336  -0.257 0.505  -0.229 0.674  -0.191 0.840  -0.127 0.998  -0.064 1.157  0.040 1.281  0.187 1.369  0.321 1.475  0.464 1.564  0.627 1.575  0.735 1.464  0.758 1.300  0.731 1.131  0.705 0.962  0.641 0.804  0.575 0.646  0.500 0.494  0.398 0.357  0.295 0.220  0.192 0.084  0.075 -0.041  -0.042 -0.166  -0.159 -0.290  -0.295 -0.394  -0.431 -0.496
2#apb#apb41#app4196/r  -0.266 0.494  -0.326 0.614  -0.314 0.733  -0.231 0.674  -0.179 0.552  -0.157 0.421  -0.135 0.289  -0.113 0.158  -0.100 0.025  -0.100 -0.108  -0.100 -0.241  -0.100 -0.375  -0.100 -0.508  -0.100 -0.642  -0.100 -0.775  -0.100 -0.908  -0.100 -1.042  -0.134 -1.168  -0.188 -1.289  -0.243 -1.411  -0.266 -1.540  -0.248 -1.594  -0.188 -1.475  -0.174 -1.343  -0.163 -1.210  -0.153 -1.077  -0.143 -0.944  -0.107 -0.816  -0.067 -0.689  -0.027 -0.562  0.013 -0.435  0.053 -0.307  0.093 -0.180  0.122 -0.050  0.144 0.081  0.166 0.213  0.188 0.344  0.210 0.476  0.232 0.607  0.226 0.740  0.217 0.873  0.208 1.006  0.199 1.140  0.200 1.271  0.239 1.399  0.277 1.527  0.315 1.655  0.425 1.728  0.538 1.799  0.651 1.870
2#apb#apb41#app4196/a  0.404 1.033  0.265 1.033  0.126 1.033  -0.014 1.033  -0.147 0.993  -0.280 0.953  -0.407 0.898  -0.525 0.824  -0.642 0.749  -0.752 0.667  -0.818 0.544  -0.884 0.421  -0.950 0.299  -1.004 0.171  -1.045 0.038  -1.086 -0.095  -1.121 -0.228  -1.096 -0.365  -1.071 -0.503  -1.034 -0.635  -0.966 -0.757  -0.899 -0.878  -0.778 -0.911  -0.639 -0.911  -0.500 -0.911  -0.363 -0.884  -0.227 -0.857  -0.090 -0.829  0.040 -0.790  0.138 -0.691  0.237 -0.593  0.335 -0.494  0.429 -0.392  0.513 -0.280  0.596 -0.169  0.680 -0.058  0.735 0.067  0.769 0.202  0.803 0.337  0.834 0.473  0.843 0.556  0.788 0.430  0.816 0.294  0.843 0.157  0.913 0.046  1.019 -0.045  1.128 -0.131  1.245 -0.206  1.363 -0.281  1.480 -0.356
2#apb#apb41#app4196/t  0.060 2.013  0.106 1.910  0.145 1.805  0.157 1.693  0.168 1.580  0.180 1.468  0.199 1.357  0.220 1.246  0.241 1.135  0.262 1.024  0.284 0.913  0.306 0.803  0.328 0.692  0.350 0.581  0.370 0.470  0.370 0.357  0.370 0.245  0.370 0.132  0.370 0.019  0.370 -0.094  0.370 -0.207  0.370 -0.320  0.370 -0.433  0.370 -0.546  0.364 -0.659  0.357 -0.771  0.350 -0.884  0.332 -0.995  0.312 -1.106  0.227 -1.093  0.124 -1.046  0.022 -0.998  -0.081 -0.951  -0.184 -0.904  -0.286 -0.857  -0.389 -0.810  -0.491 -0.763  -0.594 -0.716  -0.697 -0.669  -0.799 -0.622  -0.902 -0.575  -0.907 -0.520  -0.813 -0.457  -0.711 -0.413  -0.601 -0.388  -0.491 -0.362  -0.380 -0.340  -0.268 -0.328  -0.156 -0.315  -0.044 -0.303
