1d#tos#t3#t3021066/\"  -0.960 -0.205  -0.996 -0.065  -0.873 -0.240  -0.821 -0.470  -0.803 -0.534  -0.756 -0.296  -0.708 -0.058  -0.660 0.180  -0.613 0.418  -0.473 0.522  -0.606 0.631  -0.779 0.561  -0.821 0.360  -0.725 0.213  -0.542 0.314  -0.608 0.492  -0.682 0.270  -0.640 0.053  -0.473 -0.060  -0.334 -0.217  -0.334 -0.460  -0.334 -0.702  -0.463 -0.891  -0.473 -1.130  -0.576 -1.336  -0.610 -1.287  -0.470 -1.088  -0.331 -0.889  -0.191 -0.691  -0.052 -0.492  0.088 -0.293  0.227 -0.095  0.367 0.104  0.507 0.303  0.646 0.501  0.786 0.700  0.925 0.898  1.065 1.097  1.136 1.188  0.920 1.162  0.920 0.919  1.014 0.770  1.117 0.631  1.221 0.492  1.268 0.296  1.253 0.059  1.198 -0.161  1.069 -0.274  1.059 -0.507  0.920 -0.692
1d#tos#t3#t3021066/#  -1.144 0.075  -0.820 0.091  -0.430 0.215  -0.038 0.337  0.388 0.389  0.808 0.451  0.992 0.433  0.613 0.228  0.234 0.023  -0.145 -0.182  -0.524 -0.387  -0.903 -0.593  -1.281 -0.798  -1.159 -0.761  -0.735 -0.708  -0.332 -0.590  0.081 -0.493  0.506 -0.447  0.912 -0.365  1.314 -0.290  1.342 -0.155  0.998 0.105  0.654 0.365  0.311 0.625  -0.033 0.885  -0.377 1.144  -0.570 1.401  -0.622 1.058  -0.622 0.627  -0.622 0.196  -0.622 -0.235  -0.622 -0.665  -0.622 -1.096  -0.622 -1.527  -0.472 -1.303  -0.336 -0.895  -0.199 -0.486  -0.063 -0.077  0.073 0.332  0.209 0.740  0.346 1.149  0.485 1.557  0.423 1.457  0.423 1.026  0.423 0.595  0.423 0.164  0.423 -0.267  0.476 -0.689  0.528 -1.114  0.528 -1.544
1d#tos#t3#t3021066/&  1.440 -0.907  1.207 -0.907  0.974 -0.907  0.741 -0.907  0.557 -0.789  0.376 -0.668  0.258 -0.553  0.084 -0.494  -0.051 -0.316  -0.166 -0.198  -0.321 -0.092  -0.419 0.065  -0.590 0.197  -0.629 0.420  -0.688 0.594  -0.708 0.807  -0.747 1.001  -0.734 1.221  -0.678 1.398  -0.511 1.498  -0.355 1.575  -0.146 1.516  0.007 1.367  0.139 1.256  0.219 1.102  0.258 0.908  0.185 0.748  0.080 0.619  -0.038 0.470  -0.170 0.334  -0.281 0.209  -0.375 0.038  -0.511 -0.059  -0.580 -0.257  -0.629 -0.441  -0.688 -0.615  -0.688 -0.848  -0.574 -0.966  -0.459 -1.085  -0.226 -1.085  -0.052 -1.026  0.122 -0.966  0.258 -0.869  0.386 -0.730  0.553 -0.664  0.671 -0.549  0.772 -0.393  0.849 -0.191  0.908 -0.017  0.967 0.157
1d#tos#t3#t3021066/(  0.318 1.429  0.287 1.480  0.267 1.418  0.226 1.378  0.165 1.356  0.114 1.326  0.114 1.244  0.102 1.173  0.020 1.173  0.012 1.100  -0.040 1.069  -0.073 1.020  -0.091 0.956  -0.091 0.874  -0.143 0.814  -0.193 0.752  -0.193 0.670  -0.193 0.588  -0.195 0.507  -0.244 0.446  -0.244 0.364  -0.244 0.282  -0.244 0.200  -0.244 0.118  -0.244 0.036  -0.244 -0.046  -0.244 -0.128  -0.244 -0.210  -0.229 -0.289  -0.193 -0.362  -0.193 -0.444  -0.164 -0.520  -0.142 -0.596  -0.137 -0.677  -0.100 -0.750  -0.047 -0.812  -0.020 -0.871  0.062 -0.871  0.063 -0.953  0.070 -1.032  0.134 -1.076  0.165 -1.126  0.186 -1.199  0.256 -1.229  0.267 -1.300  0.267 -1.382  0.328 -1.433  0.369 -1.474  0.420 -1.505  0.420 -1.485
1d#tos#t3#t3021066/+  -1.119 -0.055  -1.274 0.021  -1.250 0.021  -1.076 0.021  -0.903 0.021  -0.730 0.021  -0.556 0.021  -0.383 0.021  -0.210 0.021  -0.037 0.025  0.127 0.080  0.298 0.098  0.471 0.098  0.644 0.098  0.818 0.098  0.978 0.151  1.146 0.175  1.319 0.175  1.332 0.215  1.180 0.298  1.028 0.381  0.876 0.464  0.724 0.547  0.572 0.630  0.420 0.713  0.267 0.796  0.115 0.879  -0.037 0.962  -0.189 1.045  -0.244 1.159  -0.200 1.171  -0.200 0.997  -0.200 0.824  -0.200 0.651  -0.200 0.478  -0.200 0.304  -0.200 0.131  -0.200 -0.042  -0.200 -0.216  -0.200 -0.389  -0.200 -0.562  -0.200 -0.736  -0.200 -0.909  -0.200 -1.082  -0.200 -1.255  -0.200 -1.429  -0.277 -1.526  -0.277 -1.699  -0.277 -1.872  -0.277 -2.045
1d#tos#t3#t3021066/,  0.526 1.624  0.526 1.550  0.526 1.475  0.526 1.401  0.526 1.326  0.526 1.252  0.526 1.177  0.526 1.103  0.526 1.028  0.509 0.957  0.486 0.886  0.462 0.815  0.439 0.745  0.415 0.674  0.378 0.612  0.325 0.559  0.279 0.504  0.279 0.429  0.279 0.355  0.279 0.280  0.237 0.223  0.184 0.170  0.132 0.118  0.079 0.065  0.031 0.010  0.031 -0.064  0.031 -0.139  0.031 -0.213  0.005 -0.282  -0.028 -0.348  -0.061 -0.415  -0.092 -0.482  -0.092 -0.557  -0.114 -0.622  -0.167 -0.675  -0.219 -0.727  -0.272 -0.780  -0.325 -0.833  -0.377 -0.885  -0.430 -0.938  -0.483 -0.991  -0.535 -1.043  -0.589 -1.095  -0.663 -1.095  -0.738 -1.095  -0.812 -1.095  -0.857 -1.142  -0.891 -1.208  -0.924 -1.275  -0.957 -1.342
1d#tos#t3#t3021066/  -1.729 -0.084  -1.655 -0.084  -1.581 -0.084  -1.507 -0.084  -1.433 -0.084  -1.359 -0.084  -1.285 -0.084  -1.211 -0.084  -1.137 -0.084  -1.063 -0.084  -0.989 -0.084  -0.915 -0.084  -0.841 -0.084  -0.767 -0.084  -0.693 -0.084  -0.619 -0.084  -0.545 -0.084  -0.471 -0.084  -0.434 -0.047  -0.409 0.002  -0.335 0.002  -0.261 0.002  -0.187 0.002  -0.113 0.002  -0.039 0.002  0.035 0.002  0.109 0.002  0.183 0.002  0.257 0.002  0.331 0.002  0.405 0.002  0.479 0.002  0.553 0.002  0.602 0.027  0.615 0.088  0.689 0.088  0.763 0.088  0.837 0.088  0.911 0.088  0.985 0.088  1.059 0.088  1.133 0.088  1.207 0.088  1.281 0.088  1.355 0.088  1.429 0.088  1.503 0.088  1.577 0.088  1.639 0.101  1.639 0.175
1d#tos#t3#t3021066/<  0.487 1.221  0.570 1.242  0.526 1.303  0.422 1.303  0.343 1.242  0.248 1.221  0.239 1.125  0.206 1.044  0.107 1.011  0.008 0.978  -0.070 0.912  -0.144 0.838  -0.218 0.764  -0.291 0.690  -0.365 0.617  -0.433 0.538  -0.479 0.445  -0.547 0.373  -0.641 0.326  -0.721 0.261  -0.753 0.170  -0.753 0.066  -0.835 0.044  -0.835 -0.060  -0.898 -0.102  -0.834 -0.103  -0.760 -0.177  -0.660 -0.189  -0.567 -0.236  -0.474 -0.283  -0.380 -0.329  -0.298 -0.391  -0.211 -0.433  -0.114 -0.463  -0.020 -0.509  0.056 -0.580  0.130 -0.654  0.204 -0.728  0.293 -0.763  0.397 -0.763  0.494 -0.776  0.540 -0.870  0.597 -0.956  0.671 -1.029  0.747 -1.100  0.840 -1.146  0.934 -1.193  1.027 -1.240  1.066 -1.320  1.148 -1.342
1d#tos#t3#t3021066/[  0.506 1.131  0.549 1.215  0.516 1.253  0.422 1.253  0.327 1.253  0.233 1.253  0.139 1.253  0.044 1.253  -0.050 1.253  -0.140 1.236  -0.225 1.194  -0.290 1.163  -0.290 1.069  -0.290 0.975  -0.290 0.880  -0.290 0.786  -0.290 0.692  -0.290 0.597  -0.290 0.503  -0.290 0.409  -0.290 0.314  -0.290 0.220  -0.290 0.126  -0.290 0.031  -0.290 -0.063  -0.290 -0.157  -0.290 -0.252  -0.290 -0.346  -0.290 -0.440  -0.290 -0.535  -0.290 -0.629  -0.290 -0.723  -0.290 -0.818  -0.312 -0.890  -0.351 -0.945  -0.324 -1.013  -0.230 -1.013  -0.136 -1.013  -0.041 -1.013  0.053 -1.013  0.147 -1.013  0.242 -1.013  0.336 -1.013  0.430 -1.013  0.506 -1.031  0.558 -1.074  0.652 -1.074  0.746 -1.074  0.841 -1.074  0.935 -1.074
1d#tos#t3#t3021066/`  0.101 1.486  0.101 1.380  0.101 1.275  0.101 1.169  0.101 1.063  0.101 0.957  -0.005 0.957  -0.110 0.957  -0.201 0.920  -0.276 0.845  -0.350 0.770  -0.425 0.695  -0.500 0.620  -0.575 0.545  -0.650 0.471  -0.738 0.428  -0.844 0.428  -0.950 0.428  -0.957 0.330  -0.885 0.296  -0.825 0.250  -0.806 0.163  -0.700 0.163  -0.594 0.163  -0.488 0.163  -0.408 0.123  -0.360 0.028  -0.313 -0.067  -0.236 -0.131  -0.141 -0.179  -0.046 -0.226  0.032 -0.296  0.101 -0.373  0.101 -0.479  0.163 -0.559  0.237 -0.634  0.312 -0.709  0.396 -0.763  0.498 -0.766  0.498 -0.872  0.581 -0.895  0.687 -0.895  0.784 -0.916  0.859 -0.991  0.934 -1.066  1.008 -1.141  1.027 -1.239  1.080 -1.292  1.186 -1.292  1.292 -1.292
1d#tos#t3#t3021066/{  0.487 1.410  0.450 1.349  0.364 1.336  0.281 1.373  0.191 1.381  0.122 1.410  0.043 1.391  -0.014 1.316  -0.068 1.240  -0.077 1.151  -0.136 1.088  -0.142 0.991  -0.142 0.893  -0.142 0.795  -0.102 0.734  -0.071 0.641  0.006 0.589  0.006 0.491  0.006 0.393  0.043 0.331  0.080 0.270  0.080 0.172  0.080 0.074  0.014 0.042  -0.080 0.030  -0.167 0.005  -0.229 -0.032  -0.179 -0.032  -0.127 -0.106  -0.040 -0.134  -0.031 -0.229  -0.031 -0.327  -0.031 -0.425  -0.031 -0.523  -0.068 -0.606  -0.073 -0.703  -0.142 -0.772  -0.169 -0.864  -0.216 -0.944  -0.216 -1.043  -0.216 -1.141  -0.189 -1.233  -0.142 -1.302  -0.054 -1.341  -0.011 -1.421  0.073 -1.471  0.118 -1.548  0.216 -1.548  0.302 -1.561  0.376 -1.585
