1c#apa#apa03#app0363/v  -0.992 0.588  -0.861 0.588  -0.837 0.695  -0.920 0.743  -0.992 0.802  -0.992 0.862  -0.992 0.731  -0.992 0.600  -0.907 0.504  -0.837 0.402  -0.832 0.273  -0.739 0.180  -0.659 0.078  -0.601 -0.039  -0.542 -0.156  -0.527 -0.284  -0.527 -0.415  -0.492 -0.531  -0.399 -0.623  -0.373 -0.743  -0.303 -0.805  -0.218 -0.851  -0.196 -0.960  -0.065 -0.960  -0.063 -1.089  0.042 -1.115  0.173 -1.115  0.287 -1.074  0.380 -0.981  0.401 -0.859  0.478 -0.805  0.556 -0.752  0.556 -0.621  0.556 -0.490  0.556 -0.359  0.556 -0.228  0.619 -0.123  0.711 -0.030  0.711 0.101  0.711 0.232  0.711 0.363  0.730 0.491  0.771 0.615  0.813 0.739  0.854 0.863  0.866 0.993  0.866 1.124  0.913 1.207  1.020 1.183  1.020 1.052
1c#apa#apa03#app0363/e  -0.202 0.193  -0.348 0.186  -0.334 0.047  -0.180 0.047  -0.027 0.047  0.123 0.062  0.261 0.131  0.400 0.193  0.547 0.209  0.656 0.317  0.800 0.340  0.825 0.469  0.961 0.486  0.971 0.630  0.971 0.783  0.961 0.926  0.825 0.944  0.800 1.073  0.646 1.073  0.493 1.073  0.339 1.073  0.201 1.035  0.092 0.927  -0.060 0.922  -0.168 0.813  -0.277 0.704  -0.386 0.596  -0.494 0.487  -0.603 0.378  -0.712 0.270  -0.788 0.148  -0.825 0.009  -0.934 -0.099  -0.935 -0.253  -0.935 -0.406  -0.935 -0.560  -0.935 -0.714  -0.901 -0.833  -0.759 -0.863  -0.650 -0.971  -0.507 -1.025  -0.362 -1.073  -0.216 -1.122  -0.063 -1.127  0.075 -1.192  0.213 -1.261  0.364 -1.273  0.517 -1.273  0.671 -1.273  0.825 -1.273
1c#apa#apa03#app0363/x  -1.172 0.582  -1.172 0.402  -1.028 0.366  -0.956 0.258  -0.884 0.151  -0.715 0.125  -0.587 -0.002  -0.434 -0.065  -0.270 -0.104  -0.143 -0.231  -0.015 -0.359  0.112 -0.486  0.287 -0.497  0.430 -0.588  0.558 -0.713  0.738 -0.713  0.771 -0.860  0.882 -0.929  0.979 -0.854  0.961 -0.675  0.944 -0.496  0.926 -0.317  0.908 -0.138  0.890 0.041  0.872 0.220  0.854 0.399  0.836 0.578  0.818 0.757  0.800 0.936  0.782 1.115  0.771 1.165  0.742 1.014  0.562 1.014  0.401 0.937  0.240 0.856  0.123 0.748  0.114 0.573  -0.014 0.445  -0.141 0.318  -0.268 0.191  -0.395 0.064  -0.523 -0.064  -0.650 -0.191  -0.777 -0.318  -0.904 -0.445  -1.032 -0.573  -1.159 -0.700  -1.286 -0.827  -1.388 -0.965  -1.388 -1.145
1c#apa#apa03#app0363/i  0.239 0.062  0.239 -0.047  0.239 -0.156  0.239 -0.265  0.239 -0.373  0.194 -0.437  0.086 -0.437  0.073 -0.534  0.046 -0.631  -0.031 -0.708  -0.094 -0.791  -0.094 -0.900  -0.145 -0.988  -0.222 -1.065  -0.260 -1.158  -0.260 -1.267  -0.260 -1.376  -0.253 -1.389  -0.238 -1.281  -0.223 -1.173  -0.207 -1.066  -0.192 -0.958  -0.176 -0.850  -0.161 -0.742  -0.146 -0.635  -0.130 -0.527  -0.115 -0.419  -0.099 -0.311  -0.084 -0.203  -0.069 -0.096  -0.053 0.012  -0.038 0.120  -0.022 0.228  -0.007 0.335  0.008 0.443  0.024 0.551  0.039 0.659  0.055 0.767  0.070 0.874  0.085 0.982  0.101 1.090  0.116 1.198  0.132 1.305  0.147 1.413  0.162 1.521  0.178 1.629  0.193 1.737  0.209 1.844  0.224 1.952  0.239 2.060
1c#apa#apa03#app0363/n  -0.914 0.178  -0.914 0.049  -0.914 -0.079  -0.969 -0.185  -1.059 -0.275  -1.068 -0.400  -1.132 -0.502  -1.222 -0.592  -1.222 -0.720  -1.222 -0.849  -1.146 -0.900  -1.032 -0.864  -0.942 -0.774  -0.851 -0.683  -0.760 -0.592  -0.670 -0.502  -0.579 -0.411  -0.488 -0.320  -0.452 -0.207  -0.416 -0.094  -0.325 -0.003  -0.235 0.087  -0.144 0.178  -0.053 0.269  0.009 0.371  0.019 0.495  0.110 0.586  0.200 0.676  0.291 0.767  0.408 0.793  0.471 0.858  0.511 0.947  0.639 0.947  0.767 0.947  0.861 0.865  0.952 0.775  1.043 0.684  1.087 0.574  1.087 0.446  1.087 0.318  1.087 0.190  1.087 0.062  1.023 -0.040  0.933 -0.131  0.933 -0.259  0.933 -0.387  0.856 -0.438  0.779 -0.490  0.779 -0.618  0.779 -0.746
1c#apa#apa03#app0363/g  -0.002 0.643  0.097 0.708  0.190 0.835  0.197 0.996  0.197 1.161  0.109 1.238  -0.040 1.201  -0.179 1.139  -0.231 1.009  -0.300 0.873  -0.399 0.807  -0.469 0.672  -0.586 0.555  -0.598 0.396  -0.598 0.231  -0.598 0.066  -0.452 0.047  -0.320 0.126  -0.175 0.172  -0.058 0.289  0.083 0.345  0.197 0.396  0.296 0.461  0.296 0.626  0.395 0.750  0.395 0.914  0.494 0.902  0.492 0.738  0.419 0.590  0.395 0.431  0.395 0.267  0.395 0.102  0.388 -0.060  0.296 -0.186  0.296 -0.351  0.296 -0.516  0.296 -0.680  0.340 -0.835  0.395 -0.986  0.395 -1.151  0.344 -1.294  0.296 -1.439  0.134 -1.442  -0.017 -1.499  -0.171 -1.541  -0.336 -1.541  -0.501 -1.541  -0.665 -1.541  -0.830 -1.541  -0.995 -1.541
1c#apa#apa03#app0363/d  0.138 -0.221  0.079 -0.049  -0.059 0.089  -0.244 0.115  -0.440 0.115  -0.636 0.115  -0.810 0.062  -0.981 0.003  -1.092 -0.147  -1.179 -0.307  -1.204 -0.492  -1.204 -0.688  -1.204 -0.884  -1.129 -1.004  -0.933 -1.004  -0.737 -1.004  -0.552 -0.958  -0.377 -0.870  -0.202 -0.782  -0.062 -0.645  0.076 -0.507  0.214 -0.368  0.274 -0.197  0.362 -0.038  0.392 0.145  0.474 0.307  0.474 0.503  0.474 0.699  0.474 0.895  0.586 1.044  0.586 1.240  0.626 1.426  0.698 1.605  0.614 1.597  0.586 1.413  0.574 1.222  0.474 1.068  0.412 0.886  0.362 0.702  0.362 0.507  0.362 0.311  0.362 0.115  0.362 -0.081  0.362 -0.277  0.362 -0.473  0.362 -0.668  0.362 -0.864  0.362 -1.060  0.362 -1.256  0.474 -1.340
1c#apa#apa03#app0363/a  0.235 0.384  0.372 0.521  0.400 0.703  0.400 0.896  0.400 1.089  0.323 1.206  0.130 1.206  -0.063 1.206  -0.209 1.091  -0.381 1.042  -0.575 1.042  -0.599 0.865  -0.735 0.728  -0.872 0.592  -0.974 0.430  -1.061 0.257  -1.186 0.113  -1.244 -0.057  -1.244 -0.250  -1.244 -0.443  -1.219 -0.626  -1.083 -0.763  -0.946 -0.899  -0.766 -0.931  -0.573 -0.931  -0.379 -0.931  -0.186 -0.931  0.007 -0.931  0.187 -0.873  0.360 -0.786  0.505 -0.661  0.673 -0.602  0.728 -0.464  0.728 -0.271  0.728 -0.077  0.728 0.116  0.728 0.309  0.610 0.384  0.564 0.531  0.400 0.537  0.400 0.344  0.400 0.150  0.400 -0.043  0.490 -0.199  0.564 -0.361  0.564 -0.554  0.710 -0.602  0.852 -0.725  0.893 -0.902  1.057 -0.931
1c#apa#apa03#app0363/f  1.209 1.527  1.061 1.527  0.986 1.454  0.877 1.416  0.729 1.416  0.581 1.416  0.540 1.308  0.406 1.281  0.317 1.169  0.275 1.039  0.170 0.934  0.066 0.829  -0.017 0.716  -0.017 0.568  -0.091 0.450  -0.129 0.318  -0.137 0.172  -0.204 0.039  -0.240 -0.100  -0.240 -0.248  -0.240 -0.396  -0.240 -0.544  -0.240 -0.692  -0.259 -0.833  -0.352 -0.942  -0.352 -1.090  -0.352 -1.238  -0.341 -1.382  -0.235 -1.483  -0.144 -1.445  -0.197 -1.306  -0.250 -1.168  -0.303 -1.030  -0.356 -0.892  -0.409 -0.754  -0.462 -0.616  -0.516 -0.477  -0.569 -0.339  -0.622 -0.201  -0.675 -0.063  -0.569 -0.034  -0.421 -0.034  -0.273 -0.034  -0.125 -0.034  0.023 -0.034  0.171 -0.034  0.319 -0.034  0.467 -0.034  0.615 -0.034  0.763 -0.034
1c#apa#apa03#app0363/t  0.315 1.470  0.166 1.423  0.099 1.255  -0.063 1.173  -0.131 1.045  -0.150 0.857  -0.285 0.716  -0.373 0.541  -0.428 0.358  -0.428 0.162  -0.428 -0.034  -0.428 -0.230  -0.428 -0.426  -0.355 -0.604  -0.261 -0.775  -0.131 -0.917  -0.089 -1.095  0.049 -1.234  0.197 -1.351  0.393 -1.351  0.589 -1.351  0.760 -1.326  0.832 -1.202  0.993 -1.118  1.131 -0.979  1.128 -0.857  0.962 -0.753  0.796 -0.649  0.630 -0.545  0.463 -0.442  0.297 -0.338  0.131 -0.234  -0.035 -0.130  -0.201 -0.026  -0.367 0.078  -0.533 0.181  -0.699 0.285  -0.865 0.389  -1.032 0.493  -1.137 0.579  -0.942 0.579  -0.746 0.579  -0.601 0.703  -0.415 0.728  -0.220 0.728  -0.024 0.728  0.172 0.728  0.368 0.728  0.564 0.728  0.760 0.728
1c#apa#apa03#app0363/j  0.344 0.379  0.385 0.379  0.338 0.291  0.219 0.254  0.168 0.141  0.119 0.018  0.080 -0.107  0.080 -0.241  0.080 -0.376  0.085 -0.509  0.145 -0.629  0.168 -0.758  0.168 -0.893  0.231 -1.001  0.245 -1.114  0.110 -1.114  -0.024 -1.114  -0.159 -1.114  -0.291 -1.104  -0.411 -1.044  -0.514 -0.960  -0.639 -0.938  -0.774 -0.938  -0.876 -0.861  -0.918 -0.763  -0.926 -0.700  -0.844 -0.594  -0.762 -0.487  -0.680 -0.381  -0.598 -0.274  -0.516 -0.168  -0.434 -0.061  -0.352 0.046  -0.270 0.152  -0.188 0.259  -0.106 0.365  -0.024 0.472  0.058 0.578  0.140 0.685  0.222 0.791  0.304 0.898  0.386 1.004  0.468 1.111  0.549 1.217  0.631 1.324  0.713 1.431  0.803 1.521  0.918 1.568  1.013 1.663  1.134 1.696
