2#apb#apb17#app1719/a  0.230 0.490  0.304 0.674  0.387 0.856  0.398 1.053  0.345 1.246  0.201 1.379  0.007 1.339  -0.169 1.249  -0.320 1.116  -0.445 0.959  -0.558 0.795  -0.648 0.615  -0.735 0.434  -0.816 0.250  -0.895 0.066  -0.920 -0.134  -0.945 -0.333  -0.946 -0.534  -0.943 -0.734  -0.915 -0.933  -0.861 -1.121  -0.712 -1.249  -0.519 -1.252  -0.385 -1.103  -0.256 -0.949  -0.139 -0.786  -0.024 -0.621  0.066 -0.442  0.155 -0.262  0.219 -0.072  0.275 0.121  0.303 0.319  0.326 0.519  0.323 0.719  0.299 0.918  0.283 0.960  0.283 0.759  0.253 0.561  0.230 0.363  0.232 0.162  0.259 -0.037  0.290 -0.235  0.365 -0.422  0.450 -0.603  0.548 -0.778  0.671 -0.936  0.837 -1.043  1.017 -1.133  1.212 -1.158  1.381 -1.053
2#apb#apb17#app1719/b  -0.525 1.915  -0.455 1.997  -0.399 1.840  -0.399 1.661  -0.399 1.481  -0.418 1.303  -0.443 1.125  -0.441 0.946  -0.431 0.767  -0.421 0.588  -0.412 0.408  -0.403 0.229  -0.387 0.050  -0.364 -0.128  -0.341 -0.306  -0.316 -0.484  -0.281 -0.660  -0.224 -0.830  -0.222 -1.009  -0.203 -1.096  -0.254 -0.924  -0.287 -0.747  -0.298 -0.569  -0.291 -0.390  -0.264 -0.212  -0.230 -0.036  -0.170 0.130  -0.056 0.269  0.048 0.415  0.173 0.543  0.339 0.577  0.517 0.600  0.666 0.509  0.773 0.369  0.868 0.217  0.924 0.052  0.944 -0.126  0.983 -0.302  0.990 -0.481  0.955 -0.655  0.863 -0.806  0.729 -0.924  0.554 -0.938  0.375 -0.943  0.196 -0.959  0.017 -0.949  -0.162 -0.938  -0.342 -0.938  -0.499 -0.856  -0.576 -0.786
2#apb#apb17#app1719/c  0.513 0.982  0.462 1.058  0.502 1.139  0.492 1.224  0.415 1.262  0.333 1.303  0.259 1.276  0.188 1.219  0.103 1.187  0.017 1.158  -0.066 1.123  -0.136 1.065  -0.206 1.007  -0.254 0.929  -0.303 0.852  -0.343 0.771  -0.370 0.684  -0.397 0.597  -0.424 0.510  -0.440 0.421  -0.446 0.330  -0.453 0.239  -0.459 0.148  -0.466 0.058  -0.473 -0.033  -0.480 -0.124  -0.487 -0.215  -0.480 -0.306  -0.472 -0.396  -0.464 -0.487  -0.435 -0.573  -0.401 -0.657  -0.367 -0.742  -0.324 -0.822  -0.273 -0.897  -0.199 -0.950  -0.125 -1.003  -0.041 -1.034  0.047 -1.056  0.137 -1.070  0.228 -1.070  0.319 -1.070  0.410 -1.067  0.500 -1.054  0.590 -1.041  0.680 -1.028  0.769 -1.010  0.855 -0.978  0.940 -0.947  1.026 -0.916
2#apb#apb17#app1719/d  0.574 -0.233  0.497 -0.035  0.428 0.163  0.283 0.302  0.080 0.359  -0.132 0.359  -0.332 0.315  -0.511 0.201  -0.678 0.070  -0.803 -0.102  -0.909 -0.285  -0.974 -0.484  -1.004 -0.694  -1.042 -0.903  -0.995 -1.107  -0.877 -1.279  -0.712 -1.388  -0.507 -1.345  -0.314 -1.256  -0.151 -1.122  -0.004 -0.970  0.117 -0.796  0.208 -0.605  0.273 -0.405  0.298 -0.194  0.303 0.017  0.285 0.229  0.268 0.441  0.267 0.653  0.267 0.865  0.242 1.075  0.201 1.283  0.172 1.493  0.155 1.704  0.114 1.786  0.114 1.574  0.114 1.362  0.114 1.150  0.117 0.937  0.137 0.726  0.158 0.515  0.206 0.308  0.256 0.102  0.301 -0.106  0.344 -0.313  0.403 -0.517  0.467 -0.719  0.577 -0.901  0.720 -1.057  0.881 -1.175
2#apb#apb17#app1719/e  -0.669 0.437  -0.769 0.337  -0.744 0.211  -0.616 0.184  -0.475 0.176  -0.335 0.156  -0.198 0.193  -0.062 0.230  0.072 0.276  0.205 0.326  0.339 0.371  0.467 0.424  0.561 0.531  0.654 0.638  0.742 0.748  0.784 0.881  0.742 1.011  0.657 1.119  0.532 1.179  0.398 1.170  0.268 1.112  0.140 1.052  0.012 0.991  -0.120 0.941  -0.241 0.872  -0.349 0.779  -0.436 0.670  -0.511 0.549  -0.555 0.416  -0.589 0.279  -0.604 0.141  -0.577 0.002  -0.549 -0.137  -0.522 -0.276  -0.499 -0.416  -0.476 -0.556  -0.418 -0.684  -0.354 -0.811  -0.291 -0.937  -0.208 -1.052  -0.120 -1.162  -0.021 -1.258  0.114 -1.303  0.248 -1.347  0.384 -1.387  0.521 -1.424  0.660 -1.444  0.801 -1.444  0.937 -1.405  1.071 -1.360
2#apb#apb17#app1719/f  0.653 0.766  0.552 0.864  0.478 0.985  0.384 1.093  0.276 1.186  0.181 1.291  0.083 1.396  -0.020 1.495  -0.133 1.579  -0.254 1.615  -0.190 1.490  -0.107 1.376  -0.049 1.245  -0.007 1.109  0.030 0.971  0.064 0.832  0.099 0.694  0.109 0.552  0.117 0.409  0.125 0.266  0.132 0.124  0.139 -0.019  0.140 -0.161  0.140 -0.304  0.139 -0.447  0.125 -0.589  0.111 -0.731  0.095 -0.873  0.076 -1.014  0.059 -1.156  0.047 -1.298  0.031 -1.440  0.002 -1.562  -0.037 -1.425  -0.114 -1.305  -0.191 -1.184  -0.268 -1.064  -0.345 -0.944  -0.422 -0.824  -0.499 -0.703  -0.576 -0.583  -0.653 -0.463  -0.559 -0.422  -0.417 -0.436  -0.275 -0.423  -0.133 -0.423  0.010 -0.432  0.149 -0.419  0.283 -0.369  0.416 -0.319
2#apb#apb17#app1719/g  0.251 0.817  0.209 0.946  0.133 1.058  0.048 1.160  -0.079 1.203  -0.215 1.203  -0.337 1.170  -0.433 1.074  -0.529 0.978  -0.584 0.854  -0.606 0.723  -0.606 0.587  -0.603 0.452  -0.563 0.321  -0.507 0.198  -0.400 0.115  -0.280 0.102  -0.161 0.167  -0.070 0.265  0.005 0.378  0.055 0.504  0.102 0.632  0.147 0.760  0.171 0.893  0.167 0.910  0.167 0.774  0.178 0.640  0.214 0.509  0.239 0.376  0.272 0.244  0.312 0.114  0.333 -0.020  0.351 -0.154  0.376 -0.288  0.401 -0.422  0.418 -0.556  0.435 -0.691  0.450 -0.826  0.465 -0.961  0.453 -1.095  0.423 -1.227  0.366 -1.351  0.285 -1.458  0.187 -1.548  0.061 -1.600  -0.071 -1.612  -0.206 -1.602  -0.342 -1.601  -0.472 -1.562  -0.606 -1.552
2#apb#apb17#app1719/h  -0.530 1.770  -0.503 1.630  -0.475 1.472  -0.443 1.314  -0.439 1.154  -0.439 0.994  -0.439 0.833  -0.439 0.672  -0.453 0.512  -0.471 0.353  -0.486 0.193  -0.494 0.032  -0.502 -0.128  -0.515 -0.288  -0.535 -0.448  -0.553 -0.607  -0.553 -0.768  -0.553 -0.928  -0.553 -1.089  -0.530 -1.246  -0.520 -1.131  -0.491 -0.973  -0.455 -0.816  -0.429 -0.658  -0.410 -0.498  -0.388 -0.339  -0.349 -0.183  -0.310 -0.028  -0.248 0.120  -0.181 0.266  -0.110 0.410  -0.024 0.540  0.117 0.618  0.263 0.685  0.413 0.739  0.561 0.745  0.685 0.651  0.751 0.504  0.781 0.348  0.804 0.189  0.828 0.030  0.852 -0.129  0.875 -0.288  0.898 -0.447  0.922 -0.606  0.950 -0.764  1.000 -0.916  1.046 -1.070  1.041 -1.226  1.035 -1.200
2#apb#apb17#app1719/i  0.357 0.432  0.270 0.503  0.214 0.400  0.190 0.281  0.167 0.161  0.145 0.041  0.123 -0.080  0.145 -0.199  0.170 -0.318  0.196 -0.438  0.200 -0.559  0.200 -0.682  0.199 -0.804  0.186 -0.925  0.171 -1.046  0.149 -1.166  0.127 -1.286  0.121 -1.408  0.097 -1.524  0.069 -1.522  0.069 -1.400  0.059 -1.278  0.046 -1.157  0.032 -1.036  0.019 -0.914  0.006 -0.793  -0.007 -0.672  -0.021 -0.550  -0.034 -0.429  -0.047 -0.308  -0.060 -0.186  -0.074 -0.065  -0.087 0.057  -0.100 0.178  -0.113 0.299  -0.127 0.421  -0.140 0.542  -0.153 0.663  -0.166 0.785  -0.180 0.906  -0.193 1.028  -0.206 1.149  -0.219 1.270  -0.233 1.392  -0.246 1.513  -0.259 1.634  -0.286 1.745  -0.324 1.816  -0.288 1.766  -0.166 1.766
2#apb#apb17#app1719/j  -0.039 1.501  -0.095 1.545  -0.070 1.553  -0.013 1.547  -0.006 1.475  -0.001 1.401  0.003 1.327  0.008 1.253  0.012 1.179  0.016 1.105  0.021 1.031  0.025 0.957  0.030 0.883  0.034 0.809  0.038 0.735  0.043 0.661  0.047 0.587  0.048 0.513  0.054 0.439  0.068 0.367  0.080 0.294  0.088 0.220  0.100 0.147  0.122 0.076  0.144 0.006  0.158 -0.067  0.168 -0.140  0.179 -0.214  0.190 -0.287  0.201 -0.360  0.206 -0.433  0.195 -0.507  0.185 -0.580  0.171 -0.653  0.154 -0.725  0.138 -0.797  0.108 -0.865  0.077 -0.932  0.045 -0.999  0.010 -1.065  -0.026 -1.130  -0.076 -1.182  -0.135 -1.226  -0.192 -1.273  -0.249 -1.321  -0.313 -1.357  -0.380 -1.388  -0.454 -1.388  -0.525 -1.373  -0.593 -1.344
2#apb#apb17#app1719/k  -0.719 1.094  -0.717 1.020  -0.659 0.811  -0.618 0.598  -0.568 0.387  -0.521 0.175  -0.476 -0.037  -0.438 -0.250  -0.411 -0.465  -0.393 -0.681  -0.387 -0.897  -0.426 -1.110  -0.426 -1.327  -0.394 -1.276  -0.332 -1.068  -0.271 -0.860  -0.210 -0.652  -0.149 -0.444  -0.088 -0.236  -0.027 -0.028  0.035 0.180  0.096 0.388  0.157 0.596  0.218 0.804  0.279 1.012  0.341 1.221  0.402 1.429  0.463 1.637  0.445 1.511  0.374 1.307  0.292 1.106  0.200 0.910  0.092 0.723  -0.047 0.557  -0.178 0.384  -0.307 0.209  -0.475 0.077  -0.624 -0.056  -0.422 -0.050  -0.233 -0.152  -0.052 -0.271  0.121 -0.400  0.275 -0.553  0.443 -0.690  0.603 -0.836  0.762 -0.983  0.943 -1.102  1.129 -1.211  1.341 -1.250  1.557 -1.250
