1c#apa#apa00#app0041/f  0.564 1.324  0.470 1.437  0.391 1.510  0.332 1.603  0.179 1.603  0.048 1.553  0.004 1.419  -0.089 1.360  -0.089 1.208  -0.089 1.055  -0.089 0.903  -0.089 0.751  -0.089 0.598  -0.089 0.446  -0.045 0.304  0.004 0.163  0.004 0.011  0.004 -0.141  0.004 -0.294  0.004 -0.446  0.004 -0.598  0.056 -0.738  0.098 -0.881  0.098 -1.033  0.098 -1.186  0.098 -1.338  0.098 -1.490  0.098 -1.643  0.087 -1.712  0.048 -1.564  0.010 -1.417  -0.028 -1.270  -0.067 -1.122  -0.105 -0.975  -0.144 -0.827  -0.182 -0.680  -0.221 -0.533  -0.259 -0.385  -0.298 -0.238  -0.336 -0.090  -0.375 0.057  -0.413 0.204  -0.451 0.352  -0.350 0.391  -0.198 0.391  -0.046 0.391  0.107 0.391  0.259 0.391  0.411 0.391  0.564 0.391
1c#apa#apa00#app0041/y  -0.815 1.066  -0.784 1.202  -0.665 1.275  -0.606 1.185  -0.606 1.036  -0.606 0.887  -0.606 0.738  -0.606 0.590  -0.606 0.441  -0.606 0.292  -0.606 0.143  -0.512 0.033  -0.407 -0.072  -0.367 -0.185  -0.218 -0.185  -0.085 -0.169  -0.024 -0.081  0.020 0.024  0.124 0.129  0.124 0.278  0.124 0.427  0.219 0.536  0.228 0.681  0.228 0.830  0.228 0.979  0.228 1.128  0.228 1.065  0.261 0.930  0.332 0.811  0.332 0.662  0.332 0.513  0.332 0.364  0.332 0.215  0.332 0.067  0.332 -0.082  0.332 -0.231  0.332 -0.380  0.375 -0.522  0.422 -0.663  0.437 -0.809  0.437 -0.958  0.437 -1.107  0.437 -1.255  0.437 -1.404  0.355 -1.519  0.323 -1.655  0.214 -1.750  0.082 -1.791  -0.040 -1.854  -0.189 -1.854
1c#apa#apa00#app0041/a  -0.743 1.079  -0.594 1.086  -0.581 1.228  -0.431 1.242  -0.321 1.352  -0.176 1.377  -0.020 1.377  0.135 1.377  0.291 1.377  0.447 1.377  0.450 1.225  0.450 1.069  0.450 0.914  0.433 0.765  0.323 0.655  0.301 0.509  0.209 0.391  0.152 0.259  0.152 0.104  0.090 -0.026  0.003 -0.146  -0.036 -0.262  -0.147 -0.308  -0.199 -0.411  -0.337 -0.453  -0.448 -0.560  -0.594 -0.570  -0.610 -0.709  -0.743 -0.732  -0.743 -0.888  -0.717 -1.033  -0.607 -1.143  -0.497 -1.253  -0.364 -1.306  -0.208 -1.306  -0.053 -1.306  0.103 -1.306  0.227 -1.230  0.337 -1.120  0.447 -1.010  0.450 -0.855  0.450 -0.700  0.450 -0.544  0.450 -0.389  0.450 -0.233  0.450 -0.078  0.450 0.078  0.415 0.219  0.305 0.329  0.301 0.483
1c#apa#apa00#app0041/m  -1.005 1.031  -1.005 0.815  -1.005 0.598  -1.005 0.381  -1.005 0.164  -1.005 -0.052  -1.005 -0.269  -1.005 -0.486  -1.005 -0.703  -1.005 -0.919  -0.892 -1.089  -0.833 -1.205  -0.738 -1.028  -0.738 -0.811  -0.738 -0.594  -0.738 -0.377  -0.634 -0.203  -0.481 -0.050  -0.470 0.162  -0.364 0.335  -0.292 0.496  -0.203 0.623  0.007 0.630  0.065 0.471  0.065 0.254  0.065 0.038  0.065 -0.179  0.065 -0.396  0.104 -0.574  0.199 -0.453  0.199 -0.236  0.307 -0.064  0.333 0.142  0.425 0.321  0.483 0.513  0.600 0.681  0.695 0.859  0.762 1.031  0.979 1.031  1.062 0.898  1.135 0.754  1.135 0.538  1.135 0.321  1.047 0.141  1.002 -0.057  1.002 -0.274  1.002 -0.491  1.002 -0.707  1.098 -0.901  1.135 -1.109
1c#apa#apa00#app0041/e  -0.575 -0.250  -0.422 -0.250  -0.415 -0.105  -0.277 -0.090  -0.162 0.003  -0.037 0.070  0.115 0.070  0.256 0.100  0.364 0.208  0.472 0.317  0.580 0.425  0.688 0.533  0.834 0.550  0.865 0.671  0.865 0.824  0.865 0.977  0.766 1.030  0.705 1.122  0.620 1.190  0.467 1.190  0.322 1.158  0.185 1.090  0.052 1.017  -0.056 0.909  -0.193 0.870  -0.255 0.779  -0.339 0.710  -0.415 0.634  -0.464 0.501  -0.572 0.393  -0.680 0.285  -0.735 0.155  -0.735 0.002  -0.735 -0.151  -0.735 -0.304  -0.735 -0.456  -0.735 -0.609  -0.713 -0.753  -0.605 -0.861  -0.497 -0.969  -0.389 -1.077  -0.281 -1.185  -0.138 -1.211  -0.018 -1.288  0.101 -1.371  0.254 -1.371  0.407 -1.371  0.559 -1.371  0.712 -1.371  0.865 -1.371
1c#apa#apa00#app0041/o  0.049 0.983  0.189 0.983  0.206 1.105  0.101 1.140  -0.013 1.078  -0.114 0.983  -0.254 0.983  -0.356 0.892  -0.443 0.785  -0.505 0.660  -0.568 0.534  -0.693 0.511  -0.737 0.415  -0.793 0.298  -0.892 0.199  -0.894 0.060  -0.894 -0.080  -0.894 -0.219  -0.894 -0.359  -0.894 -0.499  -0.894 -0.639  -0.864 -0.760  -0.739 -0.823  -0.614 -0.886  -0.508 -0.974  -0.404 -1.060  -0.264 -1.060  -0.124 -1.060  0.016 -1.060  0.156 -1.060  0.296 -1.060  0.414 -1.009  0.513 -0.910  0.650 -0.903  0.678 -0.790  0.745 -0.678  0.835 -0.576  0.835 -0.436  0.835 -0.296  0.835 -0.156  0.835 -0.017  0.797 0.115  0.735 0.240  0.678 0.366  0.678 0.506  0.678 0.646  0.678 0.785  0.678 0.925  0.619 1.041  0.520 1.140
1c#apa#apa00#app0041/u  -1.259 0.950  -1.074 0.999  -0.928 1.145  -0.755 1.222  -0.549 1.222  -0.343 1.222  -0.138 1.222  -0.034 1.121  -0.155 0.965  -0.218 0.814  -0.306 0.696  -0.390 0.511  -0.442 0.317  -0.554 0.158  -0.632 -0.029  -0.697 -0.224  -0.714 -0.427  -0.714 -0.632  -0.714 -0.838  -0.714 -1.044  -0.603 -1.203  -0.458 -1.349  -0.272 -1.330  -0.109 -1.228  -0.034 -1.098  0.102 -1.028  0.197 -0.862  0.246 -0.676  0.391 -0.531  0.511 -0.375  0.558 -0.180  0.647 0.004  0.647 0.210  0.750 0.373  0.783 0.565  0.783 0.770  0.893 0.814  0.783 0.719  0.647 0.649  0.549 0.542  0.511 0.374  0.410 0.270  0.375 0.099  0.375 -0.107  0.375 -0.313  0.375 -0.518  0.375 -0.724  0.375 -0.929  0.502 -1.083  0.647 -1.228
1c#apa#apa00#app0041/r  -0.524 0.911  -0.524 0.776  -0.524 0.641  -0.524 0.506  -0.524 0.371  -0.524 0.237  -0.524 0.102  -0.524 -0.033  -0.524 -0.168  -0.524 -0.303  -0.524 -0.437  -0.428 -0.533  -0.375 -0.645  -0.375 -0.780  -0.375 -0.915  -0.375 -1.050  -0.375 -1.185  -0.240 -1.186  -0.225 -1.305  -0.225 -1.440  -0.225 -1.396  -0.225 -1.261  -0.225 -1.126  -0.225 -0.991  -0.225 -0.856  -0.225 -0.721  -0.225 -0.586  -0.225 -0.452  -0.225 -0.317  -0.150 -0.213  -0.075 -0.109  -0.075 0.026  -0.075 0.161  -0.075 0.296  0.009 0.396  0.075 0.503  0.101 0.611  0.224 0.623  0.224 0.758  0.356 0.761  0.479 0.813  0.599 0.874  0.725 0.911  0.856 0.927  0.977 0.988  1.098 1.048  1.198 1.136  1.302 1.210  1.437 1.210  1.572 1.210
1c#apa#apa00#app0041/r  -0.700 1.346  -0.551 1.346  -0.540 1.208  -0.540 1.060  -0.540 0.912  -0.540 0.763  -0.540 0.615  -0.540 0.467  -0.540 0.318  -0.540 0.170  -0.519 0.027  -0.453 -0.106  -0.386 -0.239  -0.380 -0.386  -0.293 -0.498  -0.221 -0.616  -0.221 -0.764  -0.197 -0.888  -0.061 -0.902  -0.061 -1.050  -0.061 -1.198  -0.061 -1.347  -0.061 -1.495  -0.144 -1.444  -0.221 -1.328  -0.221 -1.180  -0.221 -1.031  -0.221 -0.883  -0.221 -0.735  -0.221 -0.586  -0.221 -0.438  -0.221 -0.290  -0.221 -0.141  -0.221 0.007  -0.134 0.069  -0.061 0.144  0.003 0.229  0.136 0.266  0.240 0.371  0.382 0.388  0.497 0.468  0.612 0.548  0.753 0.565  0.858 0.669  0.991 0.707  1.115 0.766  1.220 0.871  1.325 0.976  1.429 1.081  1.534 1.186
1c#apa#apa00#app0041/i  0.211 0.397  0.211 0.278  0.146 0.185  0.064 0.099  0.064 -0.020  -0.004 -0.111  -0.083 -0.198  -0.083 -0.318  -0.083 -0.437  -0.083 -0.557  -0.083 -0.676  -0.083 -0.796  -0.083 -0.915  -0.083 -1.035  -0.083 -1.154  -0.083 -1.274  -0.056 -1.366  0.063 -1.366  0.064 -1.485  0.060 -1.421  0.054 -1.302  0.049 -1.183  0.043 -1.063  0.038 -0.944  0.032 -0.825  0.027 -0.705  0.022 -0.586  0.016 -0.466  0.011 -0.347  0.005 -0.228  -0.000 -0.108  -0.006 0.011  -0.011 0.130  -0.016 0.250  -0.022 0.369  -0.027 0.489  -0.033 0.608  -0.038 0.727  -0.043 0.847  -0.049 0.966  -0.054 1.085  -0.060 1.205  -0.065 1.324  -0.071 1.444  -0.076 1.563  -0.081 1.682  -0.001 1.719  0.064 1.774  0.091 1.866  0.211 1.866
1c#apa#apa00#app0041/e  -0.272 0.090  -0.141 0.090  -0.010 0.090  0.012 0.199  0.110 0.232  0.216 0.293  0.313 0.374  0.442 0.378  0.535 0.471  0.628 0.564  0.720 0.656  0.851 0.658  0.864 0.775  0.971 0.800  1.006 0.895  0.922 0.942  0.791 0.942  0.660 0.942  0.529 0.942  0.398 0.942  0.267 0.942  0.154 0.924  0.147 0.800  0.016 0.800  -0.115 0.800  -0.130 0.684  -0.204 0.584  -0.272 0.481  -0.289 0.357  -0.382 0.264  -0.414 0.146  -0.467 0.037  -0.559 -0.055  -0.652 -0.148  -0.698 -0.260  -0.698 -0.391  -0.698 -0.522  -0.698 -0.653  -0.683 -0.777  -0.590 -0.870  -0.519 -0.978  -0.460 -1.095  -0.414 -1.216  -0.414 -1.347  -0.409 -1.475  -0.292 -1.533  -0.175 -1.592  -0.073 -1.671  0.023 -1.756  0.154 -1.756
