1c#apa#apa03#app0327/b  -0.819 1.874  -0.819 1.702  -0.819 1.530  -0.819 1.358  -0.819 1.186  -0.819 1.014  -0.815 0.843  -0.738 0.690  -0.674 0.533  -0.674 0.361  -0.674 0.189  -0.674 0.018  -0.674 -0.154  -0.562 -0.280  -0.528 -0.438  -0.526 -0.609  -0.404 -0.730  -0.382 -0.893  -0.382 -1.065  -0.382 -1.144  -0.382 -0.972  -0.312 -0.829  -0.236 -0.689  -0.236 -0.517  -0.236 -0.345  -0.136 -0.215  -0.090 -0.062  -0.090 0.110  0.023 0.235  0.144 0.357  0.202 0.505  0.318 0.561  0.490 0.561  0.662 0.561  0.785 0.512  0.785 0.341  0.885 0.269  0.931 0.143  1.077 0.117  1.077 -0.055  1.077 -0.227  1.077 -0.399  0.967 -0.461  0.931 -0.597  0.785 -0.623  0.743 -0.752  0.639 -0.820  0.545 -0.898  0.374 -0.898  0.202 -0.898
1c#apa#apa03#app0327/e  -0.600 -0.138  -0.450 -0.138  -0.301 -0.138  -0.152 -0.138  -0.003 -0.138  0.143 -0.129  0.249 -0.023  0.354 0.082  0.460 0.188  0.565 0.293  0.623 0.418  0.623 0.568  0.623 0.717  0.623 0.866  0.623 1.015  0.567 1.141  0.462 1.247  0.347 1.330  0.198 1.330  0.134 1.244  0.134 1.095  -0.006 1.085  -0.110 1.041  -0.110 0.892  -0.209 0.841  -0.357 0.839  -0.463 0.733  -0.568 0.628  -0.600 0.491  -0.600 0.342  -0.600 0.193  -0.600 0.044  -0.600 -0.106  -0.600 -0.255  -0.600 -0.404  -0.600 -0.553  -0.524 -0.627  -0.374 -0.627  -0.355 -0.757  -0.331 -0.896  -0.225 -1.001  -0.120 -1.107  -0.014 -1.212  0.091 -1.318  0.223 -1.360  0.372 -1.360  0.480 -1.461  0.585 -1.567  0.719 -1.605  0.868 -1.605
1c#apa#apa03#app0327/w  -1.391 0.420  -1.391 0.283  -1.391 0.147  -1.391 0.010  -1.391 -0.127  -1.391 -0.263  -1.324 -0.372  -1.271 -0.487  -1.193 -0.546  -1.056 -0.546  -0.919 -0.546  -0.783 -0.546  -0.667 -0.525  -0.630 -0.425  -0.546 -0.372  -0.477 -0.304  -0.340 -0.304  -0.305 -0.203  -0.222 -0.101  -0.184 0.020  -0.184 0.157  -0.069 0.179  -0.063 0.309  -0.063 0.394  -0.063 0.257  -0.063 0.121  0.011 0.058  0.058 -0.032  0.133 -0.138  0.178 -0.256  0.266 -0.304  0.299 -0.408  0.419 -0.425  0.556 -0.425  0.693 -0.425  0.815 -0.392  0.916 -0.304  1.024 -0.275  1.055 -0.152  1.144 -0.052  1.144 0.085  1.144 0.222  1.144 0.358  1.144 0.495  1.144 0.632  1.144 0.769  1.144 0.905  1.132 1.037  1.035 1.133  1.024 1.265
1c#apa#apa03#app0327/i  -0.155 0.334  -0.155 0.220  -0.155 0.105  -0.155 -0.010  -0.155 -0.124  -0.155 -0.239  -0.155 -0.354  -0.081 -0.437  0.000 -0.518  0.019 -0.625  0.019 -0.740  0.019 -0.855  0.019 -0.969  0.036 -1.077  0.117 -1.158  0.193 -1.241  0.193 -1.356  0.255 -1.408  0.367 -1.405  0.343 -1.293  0.319 -1.181  0.296 -1.069  0.272 -0.956  0.249 -0.844  0.225 -0.732  0.201 -0.620  0.178 -0.508  0.154 -0.395  0.130 -0.283  0.107 -0.171  0.083 -0.059  0.060 0.053  0.036 0.166  0.012 0.278  -0.011 0.390  -0.035 0.502  -0.059 0.614  -0.082 0.726  -0.106 0.839  -0.129 0.951  -0.153 1.063  -0.177 1.175  -0.200 1.287  -0.224 1.400  -0.247 1.512  -0.271 1.624  -0.295 1.736  -0.318 1.848  -0.270 1.902  -0.155 1.902
1c#apa#apa03#app0327/l  -0.039 1.735  -0.039 1.663  -0.039 1.591  -0.039 1.519  -0.039 1.447  -0.039 1.375  -0.039 1.303  -0.039 1.230  -0.039 1.158  -0.039 1.086  -0.039 1.014  -0.039 0.942  -0.039 0.870  -0.039 0.798  -0.039 0.726  -0.039 0.654  -0.039 0.582  -0.039 0.509  -0.039 0.437  -0.039 0.365  -0.039 0.293  -0.039 0.221  -0.039 0.149  -0.039 0.077  -0.039 0.005  -0.039 -0.067  -0.039 -0.140  -0.039 -0.212  -0.039 -0.284  -0.039 -0.356  -0.039 -0.428  -0.039 -0.500  -0.039 -0.572  -0.039 -0.644  -0.039 -0.716  -0.039 -0.788  -0.039 -0.861  -0.039 -0.933  -0.039 -1.005  -0.039 -1.077  -0.021 -1.132  0.051 -1.132  0.112 -1.142  0.112 -1.214  0.115 -1.285  0.166 -1.336  0.217 -1.387  0.263 -1.440  0.263 -1.512  0.263 -1.584
1c#apa#apa03#app0327/d  -0.097 2.288  -0.097 2.118  -0.066 1.961  0.050 1.839  0.050 1.670  0.050 1.500  0.050 1.330  0.050 1.160  0.050 0.990  0.147 0.861  0.198 0.712  0.198 0.542  0.198 0.372  0.198 0.202  0.198 0.032  0.198 -0.138  0.198 -0.307  0.198 -0.477  0.198 -0.647  0.346 -0.669  0.346 -0.839  0.346 -0.919  0.346 -0.749  0.283 -0.605  0.198 -0.471  0.198 -0.301  0.198 -0.131  0.082 -0.077  0.050 0.061  -0.097 0.083  -0.132 0.218  -0.301 0.218  -0.471 0.218  -0.541 0.118  -0.663 0.071  -0.689 -0.074  -0.689 -0.244  -0.689 -0.413  -0.689 -0.583  -0.613 -0.706  -0.461 -0.782  -0.393 -0.910  -0.277 -0.964  -0.148 -1.062  0.001 -1.112  0.171 -1.112  0.341 -1.112  0.511 -1.112  0.669 -1.084  0.789 -0.964
1c#apa#apa03#app0327/e  -0.300 -0.572  -0.155 -0.572  -0.031 -0.522  0.072 -0.419  0.189 -0.353  0.335 -0.353  0.356 -0.230  0.406 -0.135  0.551 -0.135  0.575 -0.014  0.575 0.132  0.575 0.277  0.575 0.422  0.575 0.567  0.575 0.712  0.575 0.857  0.575 1.002  0.575 1.147  0.495 1.259  0.392 1.362  0.262 1.398  0.123 1.383  0.020 1.281  -0.083 1.179  -0.228 1.179  -0.300 1.106  -0.300 0.961  -0.402 0.858  -0.505 0.756  -0.519 0.616  -0.519 0.471  -0.519 0.326  -0.519 0.181  -0.519 0.036  -0.519 -0.109  -0.519 -0.254  -0.519 -0.399  -0.519 -0.544  -0.436 -0.655  -0.334 -0.758  -0.300 -0.889  -0.300 -1.034  -0.300 -1.179  -0.205 -1.229  -0.081 -1.251  -0.081 -1.396  -0.016 -1.514  0.087 -1.616  0.211 -1.667  0.356 -1.667
1c#apa#apa03#app0327/r  -0.485 0.825  -0.386 0.727  -0.288 0.628  -0.226 0.515  -0.226 0.376  -0.226 0.237  -0.226 0.098  -0.163 -0.015  -0.064 -0.113  0.033 -0.212  0.033 -0.350  0.033 -0.489  0.033 -0.628  0.061 -0.756  0.159 -0.854  0.257 -0.952  0.292 -1.077  0.292 -1.216  0.292 -1.355  0.292 -1.494  0.164 -1.505  0.033 -1.497  0.033 -1.358  0.014 -1.227  -0.084 -1.128  -0.183 -1.030  -0.226 -0.909  -0.226 -0.770  -0.226 -0.631  -0.226 -0.492  -0.226 -0.353  -0.226 -0.214  -0.226 -0.075  -0.226 0.064  -0.226 0.203  -0.226 0.342  -0.226 0.481  -0.202 0.614  -0.139 0.738  -0.077 0.863  -0.015 0.987  0.055 1.105  0.153 1.204  0.252 1.302  0.292 1.424  0.292 1.563  0.393 1.601  0.532 1.601  0.671 1.601  0.810 1.601
1c#apa#apa03#app0327/e  -0.765 -0.394  -0.598 -0.394  -0.431 -0.394  -0.264 -0.394  -0.097 -0.394  0.070 -0.394  0.238 -0.394  0.400 -0.383  0.518 -0.265  0.644 -0.163  0.811 -0.163  0.851 -0.036  0.851 0.131  0.851 0.298  0.851 0.465  0.851 0.633  0.851 0.800  0.851 0.967  0.750 1.092  0.632 1.211  0.469 1.222  0.302 1.222  0.135 1.222  -0.032 1.222  -0.199 1.222  -0.304 1.159  -0.304 0.992  -0.470 0.991  -0.535 0.889  -0.535 0.721  -0.535 0.554  -0.635 0.429  -0.754 0.310  -0.765 0.148  -0.765 -0.019  -0.755 -0.184  -0.680 -0.333  -0.606 -0.483  -0.535 -0.633  -0.535 -0.800  -0.423 -0.856  -0.304 -0.904  -0.304 -1.071  -0.152 -1.087  -0.073 -1.175  -0.049 -1.318  0.118 -1.318  0.286 -1.318  0.453 -1.318  0.620 -1.318
1c#apa#apa03#app0327/d  0.392 2.166  0.392 2.021  0.392 1.876  0.392 1.731  0.392 1.586  0.392 1.441  0.392 1.296  0.392 1.151  0.392 1.006  0.392 0.861  0.392 0.716  0.392 0.571  0.392 0.425  0.392 0.280  0.392 0.135  0.392 -0.010  0.392 -0.155  0.392 -0.300  0.392 -0.445  0.392 -0.590  0.318 -0.661  0.264 -0.571  0.264 -0.426  0.177 -0.317  0.135 -0.189  0.032 -0.147  -0.113 -0.147  -0.130 -0.019  -0.275 -0.019  -0.415 -0.037  -0.545 -0.102  -0.679 -0.147  -0.764 -0.207  -0.841 -0.276  -0.893 -0.369  -0.970 -0.482  -1.021 -0.606  -0.958 -0.724  -0.855 -0.827  -0.748 -0.918  -0.603 -0.918  -0.458 -0.918  -0.313 -0.918  -0.168 -0.918  -0.023 -0.918  0.122 -0.918  0.229 -0.825  0.359 -0.790  0.504 -0.790  0.521 -0.661
1c#apa#apa03#app0327/c  0.648 1.286  0.565 1.286  0.483 1.286  0.400 1.286  0.317 1.286  0.235 1.286  0.152 1.286  0.075 1.273  0.016 1.215  -0.042 1.157  -0.100 1.098  -0.159 1.040  -0.217 0.981  -0.276 0.923  -0.287 0.845  -0.287 0.762  -0.287 0.680  -0.287 0.597  -0.287 0.515  -0.287 0.432  -0.287 0.349  -0.287 0.267  -0.287 0.184  -0.287 0.101  -0.287 0.019  -0.287 -0.064  -0.287 -0.146  -0.287 -0.229  -0.287 -0.312  -0.287 -0.394  -0.287 -0.477  -0.287 -0.559  -0.245 -0.625  -0.187 -0.683  -0.128 -0.742  -0.070 -0.800  -0.011 -0.858  0.047 -0.917  0.087 -0.983  0.087 -1.065  0.091 -1.144  0.174 -1.144  0.257 -1.144  0.274 -1.209  0.274 -1.292  0.317 -1.331  0.400 -1.331  0.483 -1.331  0.565 -1.331  0.648 -1.331
1c#apa#apa03#app0327/h  -0.320 2.161  -0.320 2.021  -0.320 1.881  -0.320 1.741  -0.320 1.601  -0.320 1.461  -0.320 1.321  -0.320 1.181  -0.320 1.041  -0.320 0.901  -0.320 0.761  -0.320 0.621  -0.320 0.480  -0.320 0.340  -0.320 0.200  -0.320 0.060  -0.320 -0.080  -0.320 -0.220  -0.320 -0.360  -0.320 -0.500  -0.320 -0.640  -0.320 -0.780  -0.320 -0.920  -0.320 -1.060  -0.320 -1.200  -0.320 -1.191  -0.232 -1.138  -0.193 -1.038  -0.193 -0.898  -0.103 -0.795  -0.066 -0.670  -0.066 -0.530  0.014 -0.423  0.113 -0.324  0.187 -0.215  0.187 -0.075  0.249 0.004  0.314 0.078  0.402 0.130  0.542 0.130  0.568 0.017  0.568 -0.123  0.568 -0.263  0.594 -0.377  0.695 -0.417  0.732 -0.541  0.822 -0.644  0.822 -0.784  0.850 -0.913  0.949 -1.012
1c#apa#apa03#app0327/a  -0.052 1.279  -0.246 1.279  -0.287 1.125  -0.400 1.043  -0.573 0.993  -0.711 0.855  -0.758 0.680  -0.819 0.511  -0.957 0.374  -0.993 0.194  -0.993 0.000  -0.993 -0.194  -0.993 -0.389  -0.993 -0.583  -0.993 -0.778  -0.860 -0.839  -0.758 -0.931  -0.706 -1.075  -0.512 -1.075  -0.318 -1.075  -0.123 -1.075  -0.052 -0.952  0.030 -0.839  0.184 -0.798  0.184 -0.604  0.184 -0.409  0.292 -0.260  0.419 -0.118  0.419 0.077  0.419 0.271  0.510 0.428  0.647 0.566  0.654 0.757  0.654 0.951  0.654 1.146  0.654 1.217  0.654 1.023  0.654 0.828  0.654 0.634  0.560 0.479  0.423 0.341  0.419 0.148  0.419 -0.046  0.495 -0.209  0.633 -0.347  0.654 -0.532  0.654 -0.727  0.654 -0.921  0.654 -1.115  0.654 -1.310
1c#apa#apa03#app0327/r  -0.662 1.258  -0.662 1.105  -0.662 0.952  -0.662 0.799  -0.604 0.704  -0.451 0.704  -0.385 0.617  -0.385 0.464  -0.385 0.311  -0.385 0.158  -0.385 0.005  -0.385 -0.148  -0.385 -0.300  -0.335 -0.403  -0.182 -0.403  -0.108 -0.482  -0.108 -0.635  -0.108 -0.788  -0.108 -0.941  -0.108 -1.094  -0.099 -1.243  0.009 -1.351  0.118 -1.460  0.089 -1.511  -0.064 -1.511  -0.108 -1.402  -0.108 -1.249  -0.108 -1.096  -0.108 -0.943  -0.108 -0.790  -0.108 -0.637  -0.108 -0.484  -0.108 -0.331  -0.108 -0.178  -0.063 -0.036  0.006 0.101  0.074 0.237  0.143 0.374  0.169 0.521  0.169 0.674  0.256 0.791  0.364 0.899  0.483 0.981  0.636 0.981  0.789 0.981  0.942 0.981  1.000 1.076  1.000 1.229  1.124 1.258  1.277 1.258
1c#apa#apa03#app0327/m  -1.016 1.010  -1.016 0.808  -1.016 0.606  -1.016 0.404  -1.016 0.202  -1.016 -0.000  -1.016 -0.202  -1.016 -0.404  -1.016 -0.607  -1.016 -0.809  -0.931 -0.926  -0.854 -0.800  -0.851 -0.600  -0.708 -0.457  -0.679 -0.267  -0.536 -0.124  -0.532 0.077  -0.478 0.257  -0.370 0.414  -0.307 0.590  -0.209 0.624  -0.209 0.422  -0.209 0.220  -0.209 0.017  -0.209 -0.185  -0.209 -0.387  -0.209 -0.589  -0.209 -0.791  -0.142 -0.926  0.029 -0.850  0.114 -0.683  0.201 -0.517  0.344 -0.374  0.468 -0.217  0.559 -0.037  0.679 0.123  0.759 0.291  0.850 0.456  0.921 0.629  1.022 0.789  1.082 0.966  1.240 1.010  1.243 0.812  1.243 0.610  1.243 0.407  1.243 0.205  1.243 0.003  1.243 -0.199  1.243 -0.401  1.243 -0.603
