2#tos#t1#t1009064/&  0.949 0.194  0.768 0.124  0.644 -0.050  0.538 -0.228  0.400 -0.415  0.265 -0.610  0.044 -0.663  -0.084 -0.832  -0.275 -0.892  -0.525 -0.892  -0.776 -0.892  -0.906 -0.771  -1.036 -0.651  -1.106 -0.470  -1.102 -0.336  -0.982 -0.206  -0.953 0.027  -0.713 0.073  -0.488 0.134  -0.297 0.194  -0.047 0.194  0.084 0.315  0.334 0.315  0.466 0.433  0.580 0.616  0.649 0.799  0.661 0.978  0.556 1.160  0.426 1.280  0.285 1.391  0.059 1.461  -0.131 1.522  -0.261 1.401  -0.391 1.280  -0.439 1.077  -0.439 0.826  -0.378 0.590  -0.318 0.399  -0.223 0.207  -0.137 0.033  -0.054 -0.152  0.036 -0.386  0.149 -0.530  0.254 -0.711  0.313 -0.919  0.466 -1.036  0.587 -1.166  0.708 -1.296  0.829 -1.426  1.010 -1.495
2#tos#t1#t1009064/)  -0.538 1.426  -0.600 1.364  -0.613 1.322  -0.538 1.308  -0.538 1.220  -0.451 1.218  -0.381 1.199  -0.329 1.162  -0.329 1.074  -0.253 1.061  -0.217 1.009  -0.152 0.969  -0.106 0.897  -0.026 0.857  0.009 0.800  0.037 0.739  0.037 0.650  0.066 0.591  0.151 0.582  0.193 0.511  0.193 0.422  0.193 0.333  0.193 0.245  0.211 0.173  0.245 0.120  0.245 0.031  0.268 -0.035  0.298 -0.094  0.298 -0.183  0.298 -0.271  0.298 -0.360  0.298 -0.449  0.298 -0.537  0.281 -0.610  0.245 -0.662  0.245 -0.751  0.245 -0.840  0.240 -0.923  0.193 -0.965  0.193 -1.053  0.131 -1.080  0.089 -1.126  0.075 -1.211  0.037 -1.291  -0.002 -1.341  -0.049 -1.408  -0.115 -1.445  -0.152 -1.497  -0.188 -1.549  -0.224 -1.602
2#tos#t1#t1009064/+  -1.192 0.026  -1.276 -0.142  -1.291 -0.268  -1.103 -0.268  -0.916 -0.268  -0.728 -0.268  -0.540 -0.268  -0.352 -0.268  -0.165 -0.268  0.023 -0.268  0.211 -0.268  0.399 -0.268  0.586 -0.268  0.774 -0.268  0.889 -0.341  1.076 -0.341  1.134 -0.382  1.039 -0.221  0.943 -0.059  0.847 0.102  0.751 0.264  0.656 0.425  0.560 0.587  0.464 0.749  0.369 0.910  0.273 1.072  0.177 1.233  0.082 1.395  -0.014 1.556  -0.180 1.492  -0.239 1.363  -0.239 1.176  -0.239 0.988  -0.271 0.832  -0.313 0.686  -0.284 0.510  -0.239 0.341  -0.239 0.153  -0.239 -0.035  -0.166 -0.149  -0.166 -0.337  -0.166 -0.525  -0.161 -0.707  -0.093 -0.827  -0.093 -1.015  -0.093 -1.203  -0.093 -1.390  -0.019 -1.505  -0.052 -1.660  -0.093 -1.807
2#tos#t1#t1009064/,  0.917 1.324  0.830 1.324  0.743 1.324  0.739 1.240  0.739 1.153  0.739 1.066  0.739 0.978  0.662 0.969  0.574 0.969  0.487 0.969  0.399 0.969  0.384 0.897  0.384 0.810  0.384 0.722  0.384 0.635  0.384 0.548  0.384 0.460  0.322 0.435  0.234 0.435  0.206 0.376  0.206 0.289  0.206 0.202  0.206 0.114  0.153 0.079  0.066 0.079  0.006 0.035  -0.033 -0.043  -0.072 -0.121  -0.111 -0.199  -0.150 -0.277  -0.150 -0.365  -0.150 -0.452  -0.235 -0.454  -0.323 -0.454  -0.328 -0.536  -0.328 -0.624  -0.328 -0.711  -0.328 -0.798  -0.381 -0.864  -0.443 -0.925  -0.505 -0.987  -0.567 -1.049  -0.629 -1.111  -0.693 -1.166  -0.780 -1.166  -0.868 -1.166  -0.955 -1.166  -1.039 -1.169  -1.039 -1.256  -1.039 -1.344
2#tos#t1#t1009064/.  0.025 0.378  -0.219 0.378  -0.464 0.378  -0.475 0.378  -0.231 0.378  0.013 0.378  0.257 0.378  0.502 0.378  0.746 0.378  0.990 0.378  1.234 0.378  1.258 0.158  1.258 -0.087  1.165 -0.238  0.921 -0.238  0.676 -0.238  0.641 -0.447  0.641 -0.692  0.560 -0.855  0.316 -0.855  0.072 -0.855  -0.173 -0.855  -0.417 -0.855  -0.661 -0.855  -0.906 -0.855  -1.150 -0.855  -1.208 -0.669  -1.208 -0.425  -1.208 -0.180  -1.208 0.064  -1.208 0.308  -1.208 0.553  -1.208 0.797  -1.162 0.995  -0.918 0.995  -0.674 0.995  -0.429 0.995  -0.185 0.995  0.049 0.971  0.222 0.798  0.395 0.625  0.567 0.452  0.641 0.239  0.641 -0.006  0.641 -0.250  0.641 -0.494  0.641 -0.738  0.513 -0.855  0.269 -0.855  0.025 -0.855
2#tos#t1#t1009064/:  0.111 1.422  0.010 1.422  -0.026 1.486  0.001 1.560  0.102 1.560  0.180 1.537  0.180 1.436  0.180 1.335  0.129 1.285  0.029 1.285  -0.023 1.239  -0.017 1.139  -0.011 1.038  -0.005 0.938  0.001 0.837  0.007 0.737  0.013 0.636  0.019 0.536  0.025 0.435  0.032 0.335  0.038 0.235  0.044 0.134  0.050 0.034  0.056 -0.067  0.062 -0.167  0.068 -0.268  0.074 -0.368  0.080 -0.469  0.086 -0.569  0.092 -0.670  0.098 -0.770  0.105 -0.871  0.111 -0.971  0.045 -1.044  0.043 -1.144  -0.017 -1.184  -0.050 -1.253  -0.150 -1.253  -0.163 -1.166  -0.163 -1.065  -0.222 -0.989  -0.214 -0.910  -0.163 -0.860  -0.218 -0.841  -0.163 -0.796  -0.154 -0.841  -0.095 -0.883  -0.095 -0.983  -0.095 -1.084  -0.026 -1.116
2#tos#t1#t1009064/<  0.572 1.692  0.538 1.591  0.505 1.490  0.427 1.451  0.411 1.360  0.386 1.265  0.331 1.181  0.331 1.075  0.250 1.050  0.144 1.050  0.091 0.998  0.091 0.891  0.074 0.792  -0.001 0.717  -0.070 0.639  -0.070 0.533  -0.070 0.427  -0.148 0.369  -0.243 0.322  -0.338 0.274  -0.424 0.215  -0.511 0.167  -0.551 0.102  -0.551 -0.004  -0.551 -0.110  -0.614 -0.153  -0.712 -0.162  -0.677 -0.234  -0.571 -0.234  -0.551 -0.320  -0.523 -0.408  -0.428 -0.456  -0.326 -0.474  -0.311 -0.565  -0.274 -0.635  -0.168 -0.635  -0.142 -0.715  -0.046 -0.739  0.034 -0.807  0.129 -0.855  0.197 -0.929  0.245 -1.024  0.263 -1.116  0.358 -1.143  0.411 -1.227  0.468 -1.277  0.574 -1.277  0.652 -1.305  0.652 -1.411  0.732 -1.437
2#tos#t1#t1009064/=  -0.992 0.878  -1.104 0.800  -1.104 0.611  -1.227 0.544  -1.236 0.544  -1.047 0.544  -0.857 0.544  -0.668 0.544  -0.479 0.544  -0.289 0.544  -0.100 0.544  0.089 0.544  0.279 0.544  0.468 0.544  0.657 0.544  0.847 0.544  1.010 0.518  1.114 0.433  1.303 0.433  1.417 0.433  1.234 0.394  1.056 0.329  0.878 0.264  0.700 0.199  0.522 0.135  0.344 0.070  0.167 0.005  -0.011 -0.059  -0.189 -0.124  -0.367 -0.189  -0.545 -0.254  -0.723 -0.318  -0.901 -0.383  -1.079 -0.448  -1.104 -0.620  -1.196 -0.679  -1.007 -0.679  -0.817 -0.679  -0.628 -0.679  -0.439 -0.679  -0.249 -0.679  -0.060 -0.679  0.129 -0.679  0.319 -0.679  0.508 -0.679  0.697 -0.679  0.887 -0.679  1.076 -0.679  1.265 -0.679  1.455 -0.679
2#tos#t1#t1009064/@  0.624 -1.141  0.536 -1.315  0.400 -1.423  0.190 -1.431  -0.024 -1.431  -0.238 -1.431  -0.344 -1.292  -0.419 -1.140  -0.576 -1.083  -0.708 -0.968  -0.709 -0.754  -0.709 -0.541  -0.709 -0.327  -0.752 -0.155  -0.767 0.043  -0.767 0.257  -0.767 0.471  -0.739 0.656  -0.699 0.830  -0.651 0.996  -0.482 1.117  -0.361 1.212  -0.229 1.294  -0.015 1.294  0.199 1.294  0.355 1.236  0.510 1.176  0.584 1.004  0.682 0.888  0.682 0.674  0.718 0.468  0.740 0.260  0.740 0.046  0.682 -0.110  0.645 -0.308  0.576 -0.494  0.482 -0.619  0.268 -0.619  0.054 -0.619  -0.044 -0.503  -0.142 -0.387  -0.187 -0.219  -0.187 -0.005  -0.129 0.151  -0.129 0.364  0.025 0.424  0.156 0.540  0.370 0.540  0.584 0.540  0.682 0.540
2#tos#t1#t1009064/]  -0.527 1.156  -0.622 1.156  -0.712 1.152  -0.712 1.057  -0.640 1.033  -0.545 1.033  -0.450 1.033  -0.355 1.033  -0.260 1.033  -0.165 1.033  -0.070 1.033  0.025 1.033  0.120 1.033  0.215 1.033  0.276 0.999  0.276 0.904  0.315 0.848  0.338 0.776  0.338 0.681  0.338 0.586  0.338 0.491  0.338 0.396  0.285 0.354  0.276 0.267  0.276 0.172  0.276 0.077  0.276 -0.018  0.276 -0.113  0.276 -0.208  0.276 -0.303  0.276 -0.398  0.276 -0.493  0.276 -0.588  0.276 -0.683  0.276 -0.778  0.276 -0.873  0.276 -0.968  0.276 -1.063  0.246 -1.128  0.151 -1.128  0.066 -1.153  -0.013 -1.190  -0.047 -1.252  -0.142 -1.252  -0.237 -1.252  -0.280 -1.304  -0.365 -1.314  -0.460 -1.314  -0.555 -1.314  -0.650 -1.314
2#tos#t1#t1009064/}  -0.343 1.690  -0.341 1.590  -0.293 1.535  -0.237 1.489  -0.151 1.448  -0.103 1.389  -0.042 1.347  -0.042 1.244  0.008 1.163  0.008 1.060  0.008 0.958  0.008 0.855  0.008 0.753  -0.028 0.686  -0.092 0.648  -0.092 0.546  -0.092 0.443  -0.092 0.341  -0.046 0.285  0.007 0.235  0.058 0.184  0.111 0.135  0.164 0.084  0.259 0.077  0.318 0.034  0.298 0.034  0.195 0.034  0.143 -0.016  0.058 -0.034  0.038 -0.116  -0.014 -0.166  -0.042 -0.241  -0.042 -0.343  -0.042 -0.446  0.008 -0.498  0.008 -0.601  0.033 -0.693  0.058 -0.785  0.071 -0.882  0.108 -0.969  0.108 -1.071  0.108 -1.174  0.108 -1.276  0.108 -1.379  0.098 -1.471  0.058 -1.533  -0.002 -1.582  -0.088 -1.622  -0.143 -1.670  -0.193 -1.722
