1c#app#app32#app3264/y  -0.268 1.202  -0.332 1.213  -0.343 1.052  -0.407 0.912  -0.418 0.751  -0.418 0.585  -0.387 0.450  -0.268 0.497  -0.161 0.600  -0.096 0.718  -0.022 0.866  0.033 1.019  0.108 1.154  0.184 1.289  0.184 1.455  0.184 1.385  0.184 1.219  0.259 1.084  0.259 0.918  0.259 0.752  0.259 0.586  0.264 0.421  0.291 0.257  0.318 0.093  0.334 -0.072  0.334 -0.238  0.334 -0.404  0.334 -0.570  0.334 -0.736  0.334 -0.902  0.334 -1.068  0.313 -1.225  0.259 -1.369  0.185 -1.504  0.144 -1.660  0.022 -1.731  -0.114 -1.659  -0.179 -1.519  -0.192 -1.359  -0.268 -1.224  -0.268 -1.058  -0.268 -0.892  -0.268 -0.726  -0.268 -0.560  -0.268 -0.394  -0.268 -0.228  -0.216 -0.071  -0.192 0.092  -0.116 0.226  -0.042 0.375
1c#app#app32#app3264/o  -0.229 0.959  -0.119 0.959  -0.229 0.919  -0.270 0.787  -0.358 0.675  -0.383 0.533  -0.466 0.408  -0.549 0.284  -0.618 0.156  -0.618 0.007  -0.646 -0.136  -0.713 -0.269  -0.748 -0.411  -0.748 -0.560  -0.748 -0.709  -0.747 -0.858  -0.641 -0.964  -0.618 -1.103  -0.488 -1.123  -0.462 -1.246  -0.313 -1.246  -0.164 -1.246  -0.015 -1.246  0.135 -1.246  0.248 -1.159  0.353 -1.053  0.459 -0.948  0.549 -0.836  0.578 -0.699  0.679 -0.591  0.698 -0.450  0.803 -0.344  0.809 -0.197  0.809 -0.048  0.809 0.102  0.809 0.251  0.809 0.400  0.809 0.549  0.718 0.661  0.679 0.794  0.598 0.910  0.493 1.015  0.373 1.088  0.224 1.088  0.075 1.088  -0.074 1.088  -0.224 1.088  -0.369 1.078  -0.474 0.972  -0.488 0.829
1c#app#app32#app3264/u  -1.074 0.966  -1.074 0.853  -1.032 0.751  -0.982 0.650  -0.943 0.547  -0.943 0.435  -0.943 0.323  -0.943 0.211  -0.943 0.098  -0.943 -0.014  -0.913 -0.114  -0.833 -0.193  -0.812 -0.297  -0.767 -0.390  -0.688 -0.470  -0.681 -0.579  -0.622 -0.667  -0.539 -0.739  -0.427 -0.739  -0.345 -0.812  -0.257 -0.870  -0.145 -0.870  -0.032 -0.870  0.080 -0.870  0.192 -0.870  0.305 -0.870  0.403 -0.836  0.482 -0.756  0.587 -0.739  0.679 -0.690  0.759 -0.611  0.762 -0.500  0.762 -0.388  0.762 -0.275  0.762 -0.163  0.762 -0.051  0.762 0.061  0.762 0.174  0.762 0.286  0.762 0.398  0.762 0.511  0.762 0.623  0.762 0.735  0.762 0.847  0.762 0.960  0.667 1.013  0.566 1.063  0.499 1.134  0.499 1.247  0.499 1.359
1c#app#app32#app3264/k  -0.772 1.583  -0.652 1.404  -0.770 1.224  -0.772 0.995  -0.772 0.766  -0.772 0.537  -0.772 0.308  -0.772 0.079  -0.772 -0.151  -0.772 -0.380  -0.673 -0.568  -0.652 -0.788  -0.652 -1.017  -0.652 -1.247  -0.681 -1.463  -0.717 -1.470  -0.592 -1.278  -0.467 -1.086  -0.342 -0.894  -0.217 -0.702  -0.091 -0.510  0.034 -0.318  0.159 -0.126  0.284 0.066  0.409 0.258  0.535 0.450  0.660 0.642  0.785 0.834  0.910 1.026  1.036 1.218  0.964 1.026  0.802 0.864  0.640 0.702  0.478 0.540  0.316 0.378  0.153 0.216  -0.036 0.099  -0.254 0.026  -0.360 -0.106  -0.352 -0.227  -0.140 -0.152  0.041 -0.017  0.257 0.014  0.486 0.014  0.704 -0.014  0.796 -0.205  0.917 -0.384  1.038 -0.493  1.038 -0.722  1.038 -0.951
1c#app#app32#app3264/n  -0.360 1.630  -0.360 1.457  -0.360 1.285  -0.360 1.112  -0.360 0.940  -0.428 0.783  -0.502 0.628  -0.519 0.460  -0.596 0.306  -0.644 0.144  -0.644 -0.028  -0.644 -0.200  -0.644 -0.373  -0.644 -0.545  -0.644 -0.718  -0.644 -0.890  -0.644 -1.063  -0.644 -1.188  -0.644 -1.016  -0.644 -0.843  -0.644 -0.671  -0.642 -0.499  -0.520 -0.377  -0.500 -0.213  -0.422 -0.058  -0.337 0.090  -0.216 0.213  -0.139 0.367  -0.062 0.521  0.015 0.675  0.125 0.777  0.271 0.840  0.411 0.919  0.584 0.919  0.720 0.833  0.818 0.694  0.895 0.540  0.919 0.373  0.919 0.200  0.919 0.028  0.919 -0.144  0.919 -0.317  0.919 -0.489  0.777 -0.520  0.777 -0.692  0.777 -0.865  0.777 -1.037  0.678 -1.169  0.635 -1.323  0.635 -1.496
1c#app#app32#app3264/o  0.288 1.107  0.133 1.107  -0.021 1.107  -0.138 1.069  -0.189 0.965  -0.325 0.920  -0.422 0.805  -0.443 0.659  -0.553 0.550  -0.564 0.400  -0.671 0.289  -0.706 0.149  -0.706 -0.006  -0.706 -0.160  -0.706 -0.315  -0.706 -0.470  -0.706 -0.625  -0.678 -0.768  -0.569 -0.877  -0.460 -0.987  -0.350 -1.096  -0.225 -1.166  -0.138 -1.235  -0.057 -1.308  0.098 -1.308  0.252 -1.308  0.372 -1.224  0.503 -1.166  0.572 -1.081  0.671 -1.024  0.714 -0.913  0.714 -0.759  0.714 -0.604  0.714 -0.449  0.714 -0.294  0.714 -0.140  0.714 0.015  0.714 0.170  0.665 0.304  0.555 0.413  0.446 0.523  0.371 0.657  0.302 0.796  0.288 0.947  0.151 0.965  -0.002 0.970  -0.111 1.080  -0.255 1.107  -0.409 1.107  -0.564 1.107
1c#app#app32#app3264/w  -1.039 0.796  -1.044 0.684  -1.125 0.603  -1.146 0.497  -1.211 0.409  -1.254 0.312  -1.254 0.197  -1.254 0.083  -1.254 -0.032  -1.254 -0.146  -1.190 -0.234  -1.109 -0.316  -1.023 -0.385  -0.909 -0.385  -0.803 -0.364  -0.722 -0.283  -0.609 -0.278  -0.528 -0.197  -0.425 -0.171  -0.335 -0.111  -0.254 -0.030  -0.173 0.051  -0.092 0.132  -0.072 0.239  0.022 0.259  0.035 0.158  0.035 0.043  0.041 -0.069  0.122 -0.150  0.143 -0.256  0.208 -0.344  0.289 -0.425  0.376 -0.493  0.490 -0.493  0.605 -0.493  0.719 -0.493  0.820 -0.460  0.901 -0.379  0.982 -0.298  1.063 -0.217  1.144 -0.136  1.217 -0.051  1.225 0.062  1.277 0.164  1.330 0.265  1.411 0.346  1.431 0.452  1.431 0.567  1.431 0.681  1.324 0.689
1c#app#app32#app3264/w  -1.065 0.501  -1.193 0.501  -1.196 0.376  -1.196 0.248  -1.196 0.120  -1.196 -0.008  -1.196 -0.136  -1.196 -0.263  -1.122 -0.360  -1.065 -0.465  -1.065 -0.593  -1.024 -0.679  -0.896 -0.679  -0.778 -0.655  -0.688 -0.564  -0.597 -0.474  -0.507 -0.384  -0.417 -0.293  -0.326 -0.203  -0.278 -0.095  -0.278 0.033  -0.240 0.145  -0.150 0.236  -0.147 0.114  -0.147 -0.014  -0.147 -0.142  -0.066 -0.236  0.024 -0.326  0.114 -0.417  0.242 -0.417  0.370 -0.417  0.498 -0.417  0.626 -0.417  0.754 -0.417  0.849 -0.339  0.901 -0.232  0.952 -0.155  1.066 -0.122  1.156 -0.031  1.164 0.094  1.164 0.222  1.164 0.349  1.164 0.477  1.164 0.605  1.164 0.733  1.120 0.851  1.063 0.965  0.990 1.068  0.898 1.156  0.770 1.156
1c#app#app32#app3264/h  -0.187 2.055  -0.187 1.903  -0.187 1.751  -0.187 1.599  -0.193 1.448  -0.261 1.312  -0.306 1.171  -0.306 1.019  -0.306 0.867  -0.306 0.715  -0.306 0.564  -0.306 0.412  -0.306 0.260  -0.306 0.108  -0.339 -0.037  -0.407 -0.172  -0.426 -0.320  -0.426 -0.472  -0.426 -0.624  -0.426 -0.776  -0.426 -0.928  -0.426 -1.080  -0.495 -1.162  -0.545 -1.265  -0.545 -1.146  -0.510 -1.009  -0.426 -0.892  -0.426 -0.740  -0.382 -0.598  -0.314 -0.462  -0.211 -0.352  -0.134 -0.222  -0.066 -0.086  0.002 0.050  0.080 0.178  0.188 0.285  0.298 0.387  0.450 0.387  0.602 0.387  0.722 0.311  0.766 0.177  0.821 0.038  0.885 -0.099  0.885 -0.251  0.885 -0.402  0.885 -0.554  0.885 -0.706  0.885 -0.858  0.885 -1.010  0.885 -1.162
1c#app#app32#app3264/a  1.019 0.899  1.009 1.057  0.894 1.172  0.741 1.194  0.578 1.194  0.416 1.194  0.261 1.175  0.146 1.060  0.004 0.982  -0.141 0.909  -0.286 0.837  -0.432 0.764  -0.517 0.632  -0.590 0.486  -0.696 0.365  -0.811 0.250  -0.917 0.129  -0.989 -0.017  -1.070 -0.156  -1.185 -0.271  -1.196 -0.429  -1.196 -0.592  -1.168 -0.726  -1.048 -0.769  -0.991 -0.874  -0.828 -0.874  -0.666 -0.874  -0.503 -0.874  -0.341 -0.874  -0.217 -0.780  -0.077 -0.726  0.056 -0.655  0.171 -0.540  0.288 -0.431  0.428 -0.408  0.455 -0.256  0.570 -0.142  0.685 -0.027  0.800 0.088  0.871 0.221  0.871 0.232  0.781 0.160  0.724 0.055  0.639 -0.072  0.576 -0.209  0.576 -0.371  0.576 -0.534  0.576 -0.696  0.576 -0.859  0.576 -1.021
1c#app#app32#app3264/t  -0.983 0.167  -0.983 0.013  -0.926 -0.084  -0.772 -0.084  -0.618 -0.084  -0.464 -0.084  -0.310 -0.084  -0.157 -0.084  -0.003 -0.084  0.151 -0.084  0.305 -0.084  0.459 -0.084  0.613 -0.084  0.767 -0.084  0.739 0.060  0.705 0.210  0.670 0.360  0.635 0.510  0.601 0.660  0.566 0.810  0.532 0.960  0.497 1.110  0.463 1.260  0.428 1.409  0.396 1.532  0.396 1.379  0.396 1.225  0.352 1.081  0.283 0.944  0.271 0.793  0.202 0.655  0.133 0.518  0.064 0.380  0.020 0.237  0.020 0.083  -0.042 -0.052  -0.128 -0.180  -0.213 -0.308  -0.285 -0.444  -0.354 -0.581  -0.367 -0.732  -0.435 -0.870  -0.481 -1.013  -0.481 -1.167  -0.481 -1.320  -0.481 -1.474  -0.481 -1.628  -0.481 -1.782  -0.384 -1.839  -0.356 -1.964
