1d#tos#t2#t2025064/#  -0.482 0.418  -0.832 0.351  -0.660 0.351  -0.243 0.351  0.174 0.351  0.581 0.418  0.827 0.530  0.463 0.326  0.099 0.122  -0.266 -0.081  -0.630 -0.285  -1.013 -0.434  -0.889 -0.594  -0.476 -0.570  -0.076 -0.459  0.339 -0.452  0.717 -0.324  0.846 -0.062  0.606 0.279  0.366 0.620  0.125 0.962  -0.115 1.303  -0.361 1.633  -0.482 1.338  -0.482 0.920  -0.424 0.512  -0.347 0.112  -0.347 -0.305  -0.347 -0.722  -0.347 -1.140  -0.347 -1.557  -0.250 -1.877  -0.172 -1.501  -0.103 -1.089  -0.035 -0.678  0.034 -0.266  0.102 0.146  0.171 0.558  0.240 0.969  0.308 1.381  0.097 1.566  0.193 1.271  0.298 0.875  0.328 0.461  0.328 0.043  0.328 -0.374  0.395 -0.775  0.456 -1.183  0.575 -1.561  0.733 -1.877
1d#tos#t2#t2025064/$  0.889 0.812  0.635 0.812  0.381 0.812  0.132 0.803  -0.033 0.639  -0.261 0.526  -0.382 0.347  -0.359 0.107  -0.232 -0.055  0.022 -0.055  0.252 -0.112  0.482 -0.168  0.674 -0.310  0.773 -0.534  0.773 -0.788  0.585 -0.921  0.339 -0.944  0.135 -1.094  -0.116 -1.106  -0.359 -1.152  -0.612 -1.152  -0.818 -1.268  -0.771 -1.052  -0.689 -0.812  -0.607 -0.571  -0.526 -0.331  -0.444 -0.091  -0.363 0.150  -0.281 0.390  -0.199 0.630  -0.118 0.871  -0.036 1.111  0.045 1.351  0.127 1.592  0.156 1.794  -0.035 1.731  -0.035 1.477  -0.035 1.224  -0.035 0.970  -0.035 0.716  -0.035 0.462  -0.035 0.209  0.022 -0.021  0.022 -0.275  0.070 -0.524  0.080 -0.777  0.109 -1.022  0.239 -1.239  0.254 -1.490  0.254 -1.672
1d#tos#t2#t2025064/'  -0.598 1.270  -0.698 1.270  -0.787 1.258  -0.787 1.158  -0.787 1.057  -0.787 0.956  -0.787 0.856  -0.787 0.755  -0.738 0.703  -0.638 0.703  -0.537 0.703  -0.436 0.703  -0.336 0.703  -0.235 0.703  -0.134 0.703  -0.034 0.703  0.067 0.703  0.168 0.703  0.268 0.703  0.349 0.682  0.349 0.582  0.349 0.481  0.349 0.380  0.393 0.324  0.494 0.324  0.538 0.268  0.538 0.167  0.538 0.066  0.538 -0.035  0.538 -0.135  0.538 -0.236  0.538 -0.337  0.538 -0.437  0.538 -0.538  0.522 -0.622  0.421 -0.622  0.349 -0.651  0.349 -0.751  0.320 -0.840  0.249 -0.911  0.178 -0.983  0.107 -1.054  0.036 -1.125  -0.033 -1.198  -0.078 -1.288  -0.123 -1.378  -0.169 -1.468  -0.214 -1.558  -0.219 -1.657  -0.219 -1.758
1d#tos#t2#t2025064/*  0.152 1.735  -0.152 1.719  -0.076 1.474  -0.076 1.153  -0.076 0.832  -0.076 0.511  -0.076 0.190  -0.076 -0.131  -0.009 -0.441  0.056 -0.726  0.152 -0.987  0.152 -1.308  0.190 -1.292  0.262 -0.979  0.333 -0.667  0.405 -0.354  0.476 -0.041  0.548 0.272  0.619 0.584  0.691 0.897  0.754 1.203  0.457 1.179  0.387 0.882  0.171 0.671  0.111 0.381  -0.042 0.101  -0.155 -0.199  -0.228 -0.507  -0.489 -0.650  -0.621 -0.889  -0.758 -1.033  -0.745 -0.712  -0.731 -0.392  -0.718 -0.071  -0.705 0.250  -0.691 0.570  -0.828 0.747  -1.140 0.738  -0.963 0.595  -0.794 0.443  -0.513 0.347  -0.269 0.141  -0.129 -0.105  0.143 -0.275  0.442 -0.389  0.565 -0.654  0.792 -0.881  0.913 -1.152  1.065 -1.321  1.293 -1.458
1d#tos#t2#t2025064/+  -0.521 0.220  -0.701 0.220  -0.819 0.159  -0.999 0.159  -1.103 0.018  -1.245 -0.024  -1.066 -0.024  -0.886 -0.024  -0.707 -0.024  -0.527 -0.024  -0.351 0.004  -0.175 0.037  0.004 0.037  0.167 0.107  0.328 0.187  0.500 0.220  0.679 0.220  0.859 0.220  1.003 0.255  1.099 0.300  0.953 0.403  0.806 0.507  0.659 0.610  0.513 0.714  0.366 0.817  0.219 0.921  0.089 1.033  0.072 1.196  -0.107 1.196  -0.206 1.257  -0.155 1.128  -0.155 0.949  -0.155 0.769  -0.126 0.593  -0.094 0.418  -0.094 0.238  -0.088 0.059  -0.058 -0.118  -0.021 -0.293  0.042 -0.459  0.077 -0.635  0.127 -0.808  0.150 -0.984  0.150 -1.163  0.189 -1.338  0.211 -1.515  0.222 -1.692  0.272 -1.860  0.275 -2.036  0.333 -2.158
1d#tos#t2#t2025064/,  0.488 1.426  0.414 1.426  0.340 1.426  0.265 1.426  0.191 1.426  0.138 1.404  0.138 1.330  0.138 1.256  0.138 1.181  0.138 1.107  0.138 1.033  0.138 0.958  0.138 0.884  0.138 0.810  0.138 0.735  0.138 0.661  0.138 0.586  0.138 0.512  0.138 0.438  0.138 0.363  0.138 0.289  0.138 0.215  0.138 0.140  0.138 0.066  0.113 0.002  0.061 -0.051  0.008 -0.103  -0.044 -0.156  -0.097 -0.208  -0.149 -0.261  -0.202 -0.313  -0.211 -0.384  -0.211 -0.458  -0.211 -0.533  -0.211 -0.607  -0.211 -0.681  -0.211 -0.756  -0.211 -0.830  -0.211 -0.904  -0.211 -0.979  -0.211 -1.053  -0.211 -1.127  -0.211 -1.202  -0.211 -1.276  -0.211 -1.351  -0.211 -1.425  -0.211 -1.499  -0.211 -1.574  -0.211 -1.648  -0.211 -1.722
1d#tos#t2#t2025064/  -0.811 0.106  -0.829 0.038  -0.911 0.022  -0.992 0.006  -1.074 -0.011  -1.154 -0.029  -1.233 -0.056  -1.312 -0.082  -1.329 -0.152  -1.375 -0.152  -1.292 -0.152  -1.209 -0.152  -1.126 -0.152  -1.043 -0.152  -0.960 -0.152  -0.877 -0.152  -0.794 -0.152  -0.711 -0.152  -0.628 -0.152  -0.545 -0.152  -0.462 -0.152  -0.379 -0.152  -0.298 -0.137  -0.217 -0.117  -0.137 -0.097  -0.068 -0.056  -0.009 0.003  0.058 0.042  0.141 0.042  0.224 0.042  0.307 0.042  0.390 0.042  0.473 0.042  0.556 0.042  0.631 0.060  0.695 0.106  0.778 0.106  0.861 0.106  0.944 0.106  1.027 0.106  1.105 0.126  1.180 0.164  1.261 0.171  1.344 0.171  1.427 0.171  1.510 0.171  1.593 0.171  1.676 0.171  1.759 0.171  1.842 0.171
1d#tos#t2#t2025064/  0.884 1.215  0.884 1.287  0.861 1.303  0.810 1.252  0.773 1.195  0.773 1.123  0.749 1.056  0.716 0.992  0.648 0.969  0.579 0.946  0.525 0.903  0.482 0.846  0.439 0.788  0.395 0.730  0.360 0.667  0.328 0.603  0.296 0.538  0.262 0.474  0.225 0.413  0.188 0.351  0.150 0.289  0.113 0.227  0.071 0.168  0.028 0.110  -0.015 0.053  -0.059 -0.005  -0.092 -0.069  -0.124 -0.134  -0.156 -0.198  -0.189 -0.263  -0.221 -0.328  -0.253 -0.392  -0.285 -0.457  -0.318 -0.521  -0.358 -0.580  -0.414 -0.625  -0.470 -0.670  -0.527 -0.715  -0.583 -0.760  -0.618 -0.816  -0.618 -0.888  -0.618 -0.960  -0.628 -1.030  -0.660 -1.094  -0.692 -1.159  -0.725 -1.224  -0.729 -1.295  -0.729 -1.367  -0.729 -1.439  -0.729 -1.511
1d#tos#t2#t2025064/;  -0.047 1.388  -0.123 1.388  -0.198 1.388  -0.274 1.388  -0.290 1.329  -0.290 1.253  -0.290 1.178  -0.334 1.146  -0.371 1.107  -0.338 1.065  -0.262 1.065  -0.204 1.043  -0.188 0.969  -0.172 0.895  -0.156 0.821  -0.140 0.747  -0.124 0.673  -0.108 0.599  -0.092 0.525  -0.076 0.451  -0.060 0.378  -0.044 0.304  -0.027 0.230  -0.011 0.156  0.005 0.082  0.021 0.008  0.037 -0.066  0.053 -0.140  0.069 -0.214  0.085 -0.288  0.101 -0.362  0.117 -0.435  0.133 -0.509  0.149 -0.583  0.165 -0.657  0.181 -0.731  0.196 -0.805  0.196 -0.881  0.196 -0.956  0.247 -1.011  0.277 -1.074  0.277 -1.150  0.277 -1.225  0.277 -1.301  0.277 -1.377  0.272 -1.450  0.218 -1.504  0.165 -1.557  0.115 -1.612  0.115 -1.688
1d#tos#t2#t2025064/<  0.653 1.563  0.593 1.489  0.541 1.442  0.468 1.378  0.403 1.305  0.359 1.216  0.314 1.128  0.254 1.054  0.171 0.999  0.087 0.946  -0.001 0.902  -0.061 0.825  -0.116 0.743  -0.187 0.675  -0.266 0.616  -0.345 0.556  -0.419 0.491  -0.489 0.421  -0.575 0.372  -0.623 0.302  -0.642 0.214  -0.724 0.159  -0.805 0.103  -0.764 0.044  -0.674 0.009  -0.604 -0.054  -0.558 -0.142  -0.483 -0.199  -0.384 -0.199  -0.319 -0.233  -0.319 -0.332  -0.271 -0.397  -0.177 -0.428  -0.136 -0.498  -0.104 -0.571  -0.008 -0.596  0.088 -0.620  0.132 -0.700  0.163 -0.794  0.228 -0.867  0.298 -0.937  0.373 -1.001  0.462 -1.045  0.471 -1.138  0.518 -1.218  0.588 -1.288  0.653 -1.324  0.660 -1.421  0.737 -1.475  0.836 -1.475
1d#tos#t2#t2025064/=  -1.003 0.577  -1.134 0.446  -1.298 0.368  -1.365 0.327  -1.254 0.400  -1.078 0.410  -0.893 0.410  -0.708 0.410  -0.522 0.410  -0.337 0.410  -0.152 0.410  0.033 0.410  0.219 0.410  0.404 0.410  0.563 0.473  0.740 0.494  0.925 0.494  0.898 0.461  0.721 0.405  0.545 0.348  0.368 0.292  0.192 0.236  0.015 0.180  -0.162 0.124  -0.338 0.067  -0.515 0.011  -0.691 -0.045  -0.836 -0.124  -0.884 -0.277  -1.056 -0.346  -1.228 -0.415  -1.113 -0.496  -0.931 -0.509  -0.745 -0.509  -0.560 -0.509  -0.375 -0.509  -0.190 -0.509  -0.004 -0.509  0.181 -0.509  0.366 -0.509  0.545 -0.466  0.723 -0.425  0.909 -0.425  1.094 -0.425  1.279 -0.425  1.381 -0.342  1.566 -0.342  1.717 -0.258  1.902 -0.258  2.087 -0.258
