1d#ced#sncn4237/:  -0.556 0.911  -0.514 0.912  -0.431 0.951  -0.332 0.951  -0.312 0.950  -0.272 0.951  -0.231 0.892  -0.227 0.870  -0.286 0.829  -0.345 0.870  -0.376 0.956  -0.393 1.052  -0.353 1.134  -0.285 1.182  -0.190 1.195  -0.109 1.153  -0.090 1.055  -0.072 0.957  -0.053 0.860  -0.034 0.762  -0.016 0.664  0.003 0.566  0.021 0.468  0.040 0.370  0.058 0.273  0.077 0.175  0.095 0.077  0.114 -0.021  0.133 -0.119  0.151 -0.217  0.170 -0.315  0.188 -0.412  0.207 -0.510  0.225 -0.608  0.244 -0.706  0.262 -0.804  0.281 -0.902  0.300 -0.999  0.318 -1.097  0.337 -1.195  0.297 -1.285  0.255 -1.365  0.176 -1.345  0.214 -1.284  0.297 -1.325  0.297 -1.424  0.297 -1.524  0.230 -1.514  0.136 -1.528  0.054 -1.487
1d#ced#sncn4237/=  -0.844 0.542  -0.921 0.467  -1.074 0.392  -1.105 0.467  -0.937 0.533  -0.757 0.546  -0.579 0.579  -0.400 0.616  -0.217 0.617  -0.039 0.654  0.144 0.658  0.322 0.700  0.503 0.729  0.686 0.729  0.867 0.745  1.048 0.767  1.231 0.767  1.414 0.767  1.302 0.688  1.143 0.598  0.983 0.507  0.824 0.416  0.665 0.326  0.506 0.235  0.346 0.145  0.187 0.054  0.028 -0.037  -0.131 -0.127  -0.290 -0.218  -0.450 -0.309  -0.609 -0.399  -0.768 -0.490  -0.927 -0.581  -1.080 -0.667  -1.210 -0.664  -1.272 -0.731  -1.089 -0.731  -0.905 -0.731  -0.722 -0.731  -0.539 -0.731  -0.356 -0.731  -0.173 -0.731  0.011 -0.731  0.194 -0.731  0.375 -0.711  0.557 -0.693  0.740 -0.693  0.923 -0.693  1.106 -0.693  1.289 -0.693
1d#ced#sncn4237/(  0.803 1.109  0.848 1.164  0.873 1.230  0.843 1.255  0.780 1.227  0.725 1.180  0.665 1.140  0.610 1.093  0.555 1.047  0.502 0.998  0.457 0.942  0.412 0.885  0.367 0.829  0.322 0.772  0.278 0.714  0.236 0.656  0.194 0.597  0.152 0.538  0.113 0.477  0.075 0.416  0.037 0.354  -0.002 0.293  -0.040 0.232  -0.078 0.170  -0.116 0.109  -0.146 0.043  -0.175 -0.023  -0.206 -0.088  -0.238 -0.153  -0.268 -0.219  -0.293 -0.287  -0.320 -0.354  -0.349 -0.420  -0.379 -0.486  -0.395 -0.557  -0.410 -0.627  -0.427 -0.697  -0.445 -0.768  -0.457 -0.839  -0.466 -0.911  -0.474 -0.982  -0.483 -1.054  -0.486 -1.126  -0.486 -1.198  -0.486 -1.271  -0.484 -1.343  -0.470 -1.414  -0.448 -1.483  -0.424 -1.551  -0.397 -1.618
1d#ced#sncn4237/*  -1.149 -0.142  -1.154 -0.079  -0.757 -0.091  -0.358 -0.110  0.043 -0.079  0.445 -0.048  0.847 -0.016  1.249 0.015  1.650 0.046  1.343 0.284  1.020 0.527  0.697 0.770  0.374 1.014  0.075 1.269  0.106 1.452  0.046 1.059  -0.017 0.664  -0.102 0.270  -0.146 -0.129  -0.218 -0.526  -0.270 -0.926  -0.302 -1.328  -0.307 -1.689  -0.413 -1.298  -0.518 -0.908  -0.624 -0.517  -0.730 -0.127  -0.835 0.263  -0.949 0.651  -1.117 0.857  -0.840 0.583  -0.541 0.323  -0.267 0.029  -0.012 -0.279  0.241 -0.590  0.534 -0.869  0.686 -0.886  0.686 -0.481  0.686 -0.077  0.686 0.328  0.701 0.727  0.938 1.050  0.806 0.879  0.508 0.612  0.218 0.337  -0.056 0.041  -0.325 -0.259  -0.595 -0.560  -0.865 -0.861  -1.117 -1.177
1d#ced#sncn4237/)  -0.341 0.979  -0.375 1.046  -0.422 1.107  -0.467 1.168  -0.501 1.234  -0.522 1.303  -0.467 1.312  -0.397 1.288  -0.342 1.234  -0.307 1.167  -0.256 1.109  -0.210 1.048  -0.166 0.984  -0.126 0.918  -0.085 0.853  -0.058 0.781  -0.029 0.709  0.001 0.638  0.035 0.569  0.069 0.500  0.094 0.427  0.118 0.354  0.135 0.278  0.152 0.203  0.167 0.127  0.182 0.052  0.199 -0.024  0.216 -0.099  0.231 -0.175  0.246 -0.250  0.254 -0.327  0.262 -0.404  0.262 -0.481  0.262 -0.558  0.262 -0.635  0.261 -0.713  0.253 -0.789  0.244 -0.866  0.236 -0.943  0.225 -1.019  0.208 -1.094  0.187 -1.168  0.160 -1.241  0.133 -1.313  0.106 -1.385  0.068 -1.453  0.028 -1.519  -0.016 -1.581  -0.060 -1.645  -0.103 -1.709
1d#ced#sncn4237/  -1.115 -0.081  -1.144 -0.126  -1.219 -0.126  -1.281 -0.156  -1.349 -0.172  -1.424 -0.172  -1.389 -0.153  -1.341 -0.126  -1.267 -0.126  -1.192 -0.126  -1.117 -0.126  -1.043 -0.126  -0.969 -0.122  -0.902 -0.088  -0.829 -0.081  -0.755 -0.081  -0.680 -0.076  -0.607 -0.061  -0.534 -0.046  -0.460 -0.035  -0.386 -0.035  -0.311 -0.035  -0.236 -0.033  -0.163 -0.018  -0.090 -0.003  -0.017 0.011  0.058 0.011  0.133 0.011  0.207 0.011  0.282 0.015  0.355 0.028  0.429 0.040  0.503 0.052  0.576 0.066  0.649 0.081  0.723 0.095  0.797 0.102  0.871 0.102  0.946 0.102  1.021 0.102  1.094 0.113  1.168 0.125  1.242 0.137  1.316 0.148  1.390 0.148  1.465 0.148  1.539 0.149  1.613 0.164  1.686 0.179  1.759 0.193
1d#ced#sncn4237/'  0.109 0.736  0.117 0.816  0.175 0.875  0.182 0.955  0.182 1.038  0.204 1.098  0.254 1.132  0.254 1.215  0.254 1.298  0.254 1.251  0.328 1.241  0.365 1.166  0.394 1.093  0.335 1.035  0.304 0.959  0.278 0.880  0.249 0.803  0.190 0.744  0.164 0.667  0.144 0.586  0.124 0.506  0.109 0.424  0.109 0.341  0.096 0.260  0.069 0.182  0.043 0.103  0.017 0.024  -0.009 -0.055  -0.036 -0.134  -0.062 -0.212  -0.088 -0.291  -0.108 -0.371  -0.108 -0.454  -0.108 -0.537  -0.124 -0.618  -0.151 -0.696  -0.177 -0.775  -0.203 -0.854  -0.230 -0.933  -0.256 -1.012  -0.282 -1.090  -0.308 -1.169  -0.326 -1.249  -0.326 -1.333  -0.326 -1.416  -0.352 -1.492  -0.390 -1.567  -0.418 -1.644  -0.445 -1.723  -0.471 -1.802
1d#ced#sncn4237/\"  -0.828 0.103  -0.741 0.158  -0.720 0.276  -0.676 0.374  -0.666 0.504  -0.720 0.558  -0.720 0.418  -0.720 0.277  -0.720 0.136  -0.720 -0.004  -0.774 -0.122  -0.803 -0.251  -0.875 -0.370  -0.890 -0.507  -0.973 -0.599  -1.021 -0.716  -1.107 -0.825  -1.205 -0.923  -1.086 -0.849  -0.967 -0.775  -0.847 -0.700  -0.728 -0.626  -0.609 -0.552  -0.489 -0.478  -0.370 -0.404  -0.250 -0.329  -0.131 -0.255  -0.012 -0.181  0.108 -0.107  0.227 -0.033  0.346 0.042  0.466 0.116  0.585 0.190  0.705 0.264  0.825 0.336  0.926 0.423  1.009 0.535  1.131 0.603  1.226 0.704  1.280 0.822  1.280 0.866  1.226 0.748  1.226 0.607  1.195 0.474  1.172 0.339  1.118 0.221  1.118 0.080  1.069 -0.049  1.064 -0.188  1.064 -0.329
1d#ced#sncn4237/=  -1.079 0.446  -1.150 0.459  -1.194 0.483  -1.252 0.501  -1.252 0.463  -1.112 0.446  -0.961 0.416  -0.810 0.388  -0.653 0.388  -0.519 0.446  -0.371 0.483  -0.218 0.503  -0.061 0.503  0.089 0.548  0.245 0.561  0.402 0.561  0.560 0.561  0.713 0.583  0.865 0.618  1.019 0.632  1.166 0.676  1.324 0.676  1.472 0.637  1.416 0.551  1.289 0.459  1.161 0.367  1.033 0.275  0.906 0.183  0.778 0.091  0.650 -0.001  0.522 -0.093  0.395 -0.185  0.267 -0.277  0.139 -0.369  -0.003 -0.417  -0.150 -0.450  -0.283 -0.532  -0.435 -0.555  -0.560 -0.646  -0.672 -0.758  -0.800 -0.828  -0.907 -0.908  -0.776 -0.935  -0.643 -0.993  -0.485 -0.993  -0.328 -0.993  -0.171 -0.993  -0.013 -0.993  0.144 -0.993  0.302 -0.993
1d#ced#sncn4237/\"  -0.608 0.599  -0.608 0.758  -0.590 0.833  -0.501 0.920  -0.555 0.815  -0.601 0.667  -0.624 0.514  -0.662 0.364  -0.716 0.218  -0.741 0.066  -0.770 -0.086  -0.770 -0.245  -0.831 -0.390  -0.882 -0.540  -0.953 -0.682  -0.996 -0.831  -1.038 -0.983  -1.038 -1.142  -0.952 -1.082  -0.843 -0.967  -0.734 -0.851  -0.625 -0.736  -0.517 -0.620  -0.408 -0.505  -0.299 -0.389  -0.190 -0.273  -0.082 -0.158  0.027 -0.042  0.136 0.073  0.245 0.189  0.354 0.305  0.462 0.420  0.571 0.536  0.680 0.651  0.807 0.743  0.939 0.814  1.055 0.919  1.192 0.902  1.178 0.751  1.112 0.627  1.112 0.469  1.071 0.317  1.055 0.160  1.005 0.010  0.955 -0.141  0.890 -0.285  0.852 -0.439  0.843 -0.597  0.805 -0.750  0.789 -0.906
1d#ced#sncn4237/;  0.266 0.791  0.266 0.900  0.254 0.937  0.199 0.960  0.139 1.025  0.131 0.993  0.099 0.962  0.156 0.891  0.232 0.858  0.319 0.911  0.366 1.000  0.400 1.095  0.366 1.190  0.281 1.244  0.192 1.226  0.121 1.181  0.068 1.094  0.048 0.988  0.031 0.880  0.014 0.773  -0.004 0.666  -0.021 0.558  -0.038 0.451  -0.056 0.343  -0.073 0.236  -0.090 0.128  -0.108 0.021  -0.125 -0.087  -0.142 -0.194  -0.160 -0.302  -0.177 -0.409  -0.194 -0.517  -0.212 -0.624  -0.229 -0.732  -0.246 -0.839  -0.264 -0.947  -0.336 -0.974  -0.344 -0.889  -0.306 -0.881  -0.230 -0.914  -0.145 -0.971  -0.081 -1.057  -0.020 -1.146  0.014 -1.247  0.032 -1.352  0.012 -1.456  -0.007 -1.560  -0.068 -1.649  -0.129 -1.737  -0.202 -1.817
