2#apa#apa00#app0090/T  0.210 0.788  0.273 0.918  0.277 0.905  0.277 0.749  0.236 0.599  0.210 0.446  0.210 0.290  0.190 0.135  0.164 -0.020  0.142 -0.175  0.142 -0.331  0.142 -0.488  0.142 -0.645  0.142 -0.801  0.142 -0.958  0.142 -1.115  0.092 -1.259  0.075 -1.412  0.081 -1.566  0.141 -1.693  0.075 -1.551  0.008 -1.409  -0.058 -1.267  -0.124 -1.125  -0.191 -0.984  -0.257 -0.842  -0.324 -0.700  -0.390 -0.558  -0.457 -0.416  -0.523 -0.274  -0.590 -0.133  -0.656 0.009  -0.723 0.151  -0.789 0.293  -0.856 0.435  -0.734 0.484  -0.653 0.587  -0.514 0.615  -0.426 0.735  -0.280 0.793  -0.135 0.851  0.013 0.902  0.157 0.963  0.302 1.020  0.449 1.075  0.589 1.145  0.735 1.191  0.888 1.198  1.019 1.254  1.015 1.191
2#apa#apa00#app0090/w  -1.430 -0.007  -1.315 0.090  -1.201 0.254  -1.086 0.394  -0.971 0.534  -0.840 0.681  -0.742 0.795  -0.627 0.891  -0.512 0.988  -0.512 0.851  -0.512 0.640  -0.512 0.429  -0.512 0.218  -0.512 0.006  -0.627 -0.157  -0.627 -0.369  -0.627 -0.580  -0.627 -0.791  -0.572 -0.980  -0.500 -1.154  -0.398 -1.044  -0.283 -0.881  -0.184 -0.710  -0.168 -0.506  -0.054 -0.342  0.021 -0.161  0.061 0.033  0.158 0.205  0.176 0.408  0.176 0.284  0.176 0.073  0.176 -0.138  0.176 -0.350  0.176 -0.561  0.230 -0.749  0.380 -0.899  0.580 -0.924  0.749 -0.882  0.847 -0.711  0.916 -0.528  0.978 -0.343  0.978 -0.132  1.040 0.054  1.093 0.243  1.093 0.455  1.093 0.666  1.093 0.877  1.173 1.070  1.208 1.273  1.208 1.484
2#apa#apa00#app0090/o  -0.416 1.025  -0.471 0.915  -0.526 0.805  -0.587 0.700  -0.674 0.613  -0.747 0.516  -0.802 0.406  -0.857 0.296  -0.877 0.178  -0.877 0.055  -0.877 -0.068  -0.877 -0.191  -0.877 -0.313  -0.877 -0.436  -0.877 -0.559  -0.864 -0.677  -0.778 -0.764  -0.691 -0.851  -0.604 -0.938  -0.495 -0.972  -0.372 -0.972  -0.249 -0.972  -0.126 -0.972  -0.004 -0.972  0.119 -0.972  0.229 -0.941  0.316 -0.854  0.424 -0.818  0.535 -0.789  0.622 -0.702  0.659 -0.594  0.659 -0.472  0.665 -0.351  0.752 -0.264  0.813 -0.167  0.813 -0.044  0.813 0.079  0.813 0.202  0.813 0.325  0.813 0.448  0.813 0.571  0.813 0.694  0.743 0.788  0.656 0.874  0.569 0.961  0.506 1.058  0.504 1.180  0.417 1.267  0.321 1.332  0.198 1.332
2#apa#apa00#app0090/f  0.429 1.364  0.429 1.512  0.347 1.627  0.263 1.689  0.158 1.584  0.033 1.527  0.020 1.392  -0.062 1.325  -0.062 1.176  -0.062 1.028  -0.062 0.879  -0.062 0.731  -0.041 0.587  0.020 0.453  0.020 0.305  0.020 0.156  0.078 0.021  0.102 -0.121  0.138 -0.261  0.183 -0.399  0.183 -0.548  0.183 -0.696  0.183 -0.845  0.183 -0.993  0.146 -1.126  0.102 -1.256  0.102 -1.405  0.020 -1.519  -0.043 -1.642  -0.144 -1.573  -0.195 -1.446  -0.225 -1.310  -0.242 -1.163  -0.269 -1.017  -0.297 -0.871  -0.324 -0.725  -0.352 -0.579  -0.379 -0.433  -0.406 -0.287  -0.434 -0.141  -0.461 0.005  -0.384 0.099  -0.245 0.138  -0.178 0.219  -0.063 0.300  0.085 0.301  0.198 0.390  0.331 0.456  0.444 0.546  0.592 0.546
2#apa#apa00#app0090/l  0.004 1.750  0.004 1.676  0.004 1.603  0.004 1.530  0.004 1.457  0.004 1.383  0.004 1.310  0.004 1.237  0.004 1.164  0.004 1.090  0.004 1.017  0.004 0.944  0.004 0.871  0.004 0.797  0.004 0.724  0.004 0.651  0.004 0.577  0.004 0.504  0.004 0.431  0.004 0.358  0.004 0.284  0.004 0.211  0.004 0.138  0.004 0.065  0.004 -0.009  0.004 -0.082  0.004 -0.155  -0.014 -0.224  -0.046 -0.290  -0.079 -0.355  -0.088 -0.426  -0.088 -0.500  -0.088 -0.573  -0.088 -0.646  -0.088 -0.720  -0.088 -0.793  -0.088 -0.866  -0.088 -0.939  -0.088 -1.013  -0.088 -1.086  -0.088 -1.159  -0.088 -1.232  -0.082 -1.303  -0.030 -1.355  0.029 -1.389  0.101 -1.387  0.167 -1.354  0.232 -1.321  0.300 -1.297  0.373 -1.297
2#apa#apa00#app0090/o  0.001 1.137  -0.133 1.137  -0.267 1.137  -0.393 1.117  -0.487 1.022  -0.582 0.927  -0.677 0.832  -0.747 0.727  -0.747 0.593  -0.747 0.459  -0.747 0.325  -0.747 0.191  -0.747 0.057  -0.747 -0.077  -0.747 -0.211  -0.747 -0.345  -0.747 -0.479  -0.699 -0.594  -0.604 -0.688  -0.560 -0.804  -0.541 -0.920  -0.407 -0.920  -0.302 -0.990  -0.207 -1.085  -0.082 -1.107  0.052 -1.107  0.186 -1.107  0.320 -1.107  0.454 -1.107  0.580 -1.088  0.675 -0.994  0.749 -0.890  0.749 -0.756  0.749 -0.622  0.749 -0.488  0.749 -0.354  0.749 -0.220  0.749 -0.086  0.734 0.045  0.674 0.165  0.614 0.284  0.562 0.406  0.562 0.540  0.562 0.674  0.530 0.795  0.435 0.890  0.375 0.999  0.375 1.133  0.283 1.229  0.188 1.324
2#apa#apa00#app0090/w  -1.126 1.110  -0.952 1.158  -0.790 1.237  -0.619 1.212  -0.619 1.018  -0.619 0.823  -0.619 0.629  -0.650 0.446  -0.746 0.292  -0.746 0.097  -0.833 -0.077  -0.873 -0.262  -0.873 -0.457  -0.873 -0.651  -0.873 -0.846  -0.873 -1.041  -0.734 -1.171  -0.540 -1.171  -0.388 -1.066  -0.251 -0.929  -0.113 -0.791  -0.065 -0.616  0.014 -0.455  0.014 -0.260  0.043 -0.070  0.105 0.115  0.141 0.303  0.141 0.498  0.141 0.693  0.119 0.582  0.014 0.431  0.014 0.236  0.014 0.041  0.014 -0.153  0.043 -0.341  0.130 -0.515  0.268 -0.580  0.379 -0.664  0.573 -0.664  0.648 -0.544  0.818 -0.494  0.901 -0.334  1.004 -0.181  1.100 -0.014  1.205 0.147  1.281 0.310  1.301 0.496  1.408 0.647  1.408 0.841  1.535 0.984
2#apa#apa00#app0090/e  -0.499 0.149  -0.499 0.010  -0.387 -0.019  -0.248 -0.019  -0.108 -0.019  0.024 -0.000  0.123 0.098  0.222 0.197  0.321 0.296  0.452 0.317  0.567 0.375  0.666 0.474  0.678 0.609  0.745 0.721  0.844 0.819  0.846 0.958  0.846 1.098  0.767 1.158  0.627 1.158  0.487 1.158  0.347 1.158  0.208 1.158  0.099 1.083  0.006 0.982  0.006 0.842  -0.113 0.822  -0.162 0.731  -0.207 0.610  -0.305 0.511  -0.331 0.381  -0.384 0.264  -0.483 0.165  -0.499 0.032  -0.499 -0.108  -0.499 -0.248  -0.499 -0.387  -0.499 -0.527  -0.499 -0.667  -0.499 -0.807  -0.499 -0.946  -0.457 -1.069  -0.359 -1.168  -0.331 -1.296  -0.259 -1.364  -0.162 -1.407  -0.152 -1.543  -0.053 -1.641  0.062 -1.700  0.202 -1.700  0.342 -1.700
2#apa#apa00#app0090/r  -0.329 0.867  -0.462 0.867  -0.504 0.775  -0.504 0.641  -0.504 0.508  -0.504 0.374  -0.504 0.240  -0.504 0.107  -0.504 -0.027  -0.504 -0.160  -0.504 -0.294  -0.504 -0.428  -0.485 -0.553  -0.390 -0.648  -0.329 -0.756  -0.329 -0.889  -0.329 -1.023  -0.329 -1.157  -0.274 -1.235  -0.153 -1.249  -0.153 -1.382  -0.228 -1.336  -0.323 -1.241  -0.329 -1.110  -0.329 -0.977  -0.329 -0.843  -0.329 -0.709  -0.329 -0.576  -0.263 -0.469  -0.169 -0.375  -0.153 -0.248  -0.153 -0.114  -0.133 0.011  -0.039 0.106  0.056 0.200  0.150 0.295  0.197 0.409  0.215 0.535  0.310 0.629  0.404 0.724  0.499 0.818  0.605 0.896  0.725 0.956  0.844 1.015  0.972 1.042  1.102 1.057  1.221 1.116  1.341 1.176  1.465 1.217  1.598 1.217
2#apa#apa00#app0090/h  -0.446 1.600  -0.359 1.700  -0.446 1.633  -0.446 1.480  -0.446 1.326  -0.446 1.173  -0.446 1.019  -0.446 0.866  -0.510 0.739  -0.546 0.600  -0.546 0.447  -0.546 0.293  -0.546 0.140  -0.546 -0.014  -0.546 -0.168  -0.546 -0.321  -0.603 -0.451  -0.646 -0.587  -0.646 -0.740  -0.646 -0.892  -0.591 -0.793  -0.542 -0.686  -0.474 -0.548  -0.446 -0.401  -0.413 -0.262  -0.305 -0.153  -0.247 -0.023  -0.158 0.093  -0.050 0.202  0.003 0.304  0.146 0.350  0.277 0.428  0.399 0.503  0.551 0.501  0.606 0.403  0.651 0.294  0.651 0.140  0.750 0.087  0.750 -0.067  0.768 -0.213  0.850 -0.333  0.850 -0.486  0.850 -0.640  0.850 -0.793  0.781 -0.931  0.750 -1.077  0.750 -1.230  0.750 -1.384  0.750 -1.537  0.850 -1.591
2#apa#apa00#app0090/a  -0.768 1.130  -0.625 1.142  -0.601 1.273  -0.446 1.273  -0.290 1.273  -0.135 1.273  0.020 1.273  0.175 1.273  0.330 1.273  0.375 1.163  0.375 1.007  0.375 0.852  0.271 0.740  0.232 0.601  0.153 0.479  0.043 0.369  -0.067 0.260  -0.176 0.150  -0.197 0.003  -0.259 -0.137  -0.328 -0.276  -0.431 -0.391  -0.519 -0.516  -0.589 -0.654  -0.625 -0.801  -0.625 -0.956  -0.625 -1.111  -0.625 -1.266  -0.539 -1.386  -0.407 -1.442  -0.252 -1.442  -0.126 -1.371  -0.016 -1.261  0.095 -1.156  0.232 -1.138  0.263 -1.013  0.375 -0.970  0.375 -0.815  0.375 -0.660  0.431 -0.528  0.518 -0.409  0.518 -0.254  0.518 -0.099  0.518 0.056  0.518 0.211  0.518 0.367  0.518 0.522  0.399 0.558  0.375 0.689  0.375 0.844
