2#app#app25#app2550/b  0.594 2.131  0.453 1.990  0.347 1.835  0.347 1.636  0.347 1.437  0.239 1.283  0.100 1.141  0.100 0.942  0.100 0.742  0.024 0.575  -0.116 0.434  -0.146 0.247  -0.146 0.048  -0.208 -0.089  -0.393 -0.104  -0.393 -0.303  -0.510 -0.453  -0.640 -0.599  -0.640 -0.798  -0.807 -0.830  -0.887 -0.710  -0.835 -0.532  -0.695 -0.391  -0.518 -0.336  -0.393 -0.262  -0.367 -0.089  -0.167 -0.089  -0.146 0.089  -0.054 0.250  0.087 0.390  0.100 0.584  0.233 0.651  0.347 0.566  0.384 0.404  0.583 0.404  0.594 0.215  0.594 0.016  0.594 -0.183  0.594 -0.382  0.594 -0.581  0.594 -0.780  0.594 -0.980  0.522 -1.149  0.381 -1.290  0.211 -1.255  0.033 -1.166  -0.145 -1.077  -0.344 -1.076  -0.499 -1.182  -0.640 -1.323
2#app#app25#app2550/i  -0.338 -0.349  -0.338 -0.447  -0.371 -0.513  -0.469 -0.513  -0.502 -0.579  -0.502 -0.677  -0.601 -0.677  -0.666 -0.710  -0.666 -0.809  -0.666 -0.907  -0.666 -1.006  -0.666 -1.104  -0.633 -1.169  -0.534 -1.169  -0.455 -1.122  -0.385 -1.053  -0.307 -1.005  -0.208 -1.005  -0.155 -0.944  -0.125 -0.850  -0.096 -0.756  -0.066 -0.662  -0.037 -0.568  -0.008 -0.474  0.022 -0.380  0.051 -0.286  0.080 -0.192  0.110 -0.098  0.139 -0.004  0.169 0.090  0.198 0.184  0.227 0.279  0.257 0.373  0.286 0.467  0.316 0.561  0.345 0.655  0.374 0.749  0.404 0.843  0.433 0.937  0.463 1.031  0.492 1.125  0.521 1.219  0.551 1.313  0.580 1.407  0.609 1.501  0.639 1.595  0.615 1.557  0.571 1.469  0.527 1.381  0.483 1.293
2#app#app25#app2550/g  1.165 0.900  0.985 0.900  0.913 1.008  0.798 1.141  0.622 1.152  0.441 1.152  0.260 1.152  0.154 1.078  0.028 1.023  -0.029 0.900  -0.098 0.789  -0.098 0.608  -0.098 0.427  0.049 0.394  0.230 0.394  0.284 0.268  0.465 0.268  0.613 0.347  0.660 0.508  0.786 0.562  0.882 0.647  0.889 0.521  0.731 0.465  0.604 0.338  0.534 0.186  0.437 0.045  0.310 -0.082  0.271 -0.247  0.144 -0.375  0.028 -0.508  -0.043 -0.617  -0.187 -0.706  -0.351 -0.744  -0.407 -0.870  -0.555 -0.947  -0.715 -0.996  -0.765 -1.140  -0.927 -1.221  -1.101 -1.249  -1.236 -1.203  -1.236 -1.022  -1.208 -0.870  -1.051 -0.811  -0.923 -0.684  -0.770 -0.617  -0.631 -0.518  -0.461 -0.490  -0.281 -0.490  -0.137 -0.402  0.028 -0.364
2#app#app25#app2550/i  0.242 0.311  0.242 0.186  0.242 0.061  0.183 -0.040  0.095 -0.128  0.006 -0.217  -0.051 -0.318  -0.067 -0.437  -0.155 -0.525  -0.197 -0.633  -0.197 -0.758  -0.214 -0.876  -0.302 -0.965  -0.410 -1.006  -0.536 -1.006  -0.636 -1.030  -0.639 -1.152  -0.765 -1.152  -0.782 -1.259  -0.741 -1.223  -0.680 -1.113  -0.620 -1.003  -0.560 -0.894  -0.500 -0.784  -0.439 -0.675  -0.379 -0.565  -0.319 -0.455  -0.258 -0.346  -0.198 -0.236  -0.138 -0.127  -0.078 -0.017  -0.017 0.093  0.043 0.202  0.103 0.312  0.164 0.421  0.224 0.531  0.284 0.641  0.344 0.750  0.405 0.860  0.465 0.969  0.525 1.079  0.586 1.189  0.646 1.298  0.706 1.408  0.766 1.518  0.827 1.627  0.739 1.540  0.681 1.439  0.681 1.314  0.681 1.189
2#app#app25#app2550/n  0.784 1.533  0.563 1.533  0.549 1.326  0.413 1.161  0.314 0.981  0.247 0.828  0.079 0.774  0.040 0.592  -0.156 0.567  -0.156 0.346  -0.156 0.125  -0.374 0.122  -0.535 -0.022  -0.626 -0.206  -0.626 -0.427  -0.691 -0.583  -0.861 -0.634  -0.898 -0.818  -1.096 -0.841  -1.105 -1.053  -1.326 -1.053  -1.331 -0.838  -1.130 -0.818  -1.096 -0.631  -0.923 -0.583  -0.749 -0.470  -0.592 -0.314  -0.436 -0.158  -0.234 -0.113  -0.156 0.031  -0.027 0.122  0.079 0.238  0.151 0.429  0.307 0.585  0.525 0.592  0.549 0.789  0.732 0.828  0.784 0.659  0.784 0.438  0.784 0.217  0.911 0.122  1.020 0.010  1.020 -0.211  0.935 -0.348  0.784 -0.418  0.728 -0.583  0.549 -0.625  0.549 -0.846  0.549 -1.067  0.549 -1.288
2#app#app25#app2550/k  0.402 2.196  0.402 1.977  0.402 1.758  0.284 1.588  0.140 1.426  0.042 1.230  -0.056 1.034  -0.086 0.823  -0.175 0.641  -0.330 0.486  -0.331 0.267  -0.467 0.105  -0.575 -0.069  -0.575 -0.288  -0.575 -0.507  -0.575 -0.726  -0.783 -0.736  -0.949 -0.866  -1.018 -0.947  -0.843 -0.815  -0.668 -0.684  -0.493 -0.553  -0.318 -0.421  -0.143 -0.290  0.032 -0.159  0.207 -0.027  0.382 0.104  0.557 0.235  0.732 0.367  0.870 0.485  0.651 0.485  0.433 0.485  0.214 0.485  0.158 0.322  0.020 0.241  -0.198 0.241  -0.331 0.154  -0.269 -0.003  -0.086 -0.039  -0.076 -0.247  0.143 -0.247  0.362 -0.247  0.402 -0.426  0.402 -0.645  0.402 -0.863  0.402 -1.082  0.402 -1.301  0.402 -1.520  0.428 -1.713  0.647 -1.713
2#app#app25#app2550/y  -0.279 1.189  -0.285 1.031  -0.398 0.917  -0.431 0.771  -0.517 0.646  -0.583 0.513  -0.583 0.352  -0.583 0.192  -0.583 0.032  -0.484 -0.029  -0.323 -0.029  -0.163 -0.029  -0.003 -0.029  0.158 -0.029  0.277 0.070  0.416 0.123  0.576 0.123  0.707 0.195  0.820 0.308  0.934 0.422  1.047 0.535  1.161 0.649  1.244 0.775  1.244 0.834  1.185 0.732  1.024 0.732  0.939 0.657  0.856 0.580  0.787 0.488  0.716 0.357  0.603 0.243  0.490 0.130  0.376 0.017  0.263 -0.097  0.149 -0.210  0.036 -0.324  -0.078 -0.437  -0.218 -0.486  -0.349 -0.556  -0.476 -0.638  -0.583 -0.691  -0.644 -0.791  -0.736 -0.860  -0.813 -0.943  -0.973 -0.943  -1.040 -1.036  -1.112 -1.167  -1.193 -1.294  -1.231 -1.439  -1.345 -1.552
2#app#app25#app2550/d  0.003 -0.224  -0.074 -0.098  -0.278 -0.098  -0.482 -0.098  -0.633 -0.224  -0.837 -0.224  -0.994 -0.338  -1.192 -0.350  -1.270 -0.476  -1.385 -0.565  -1.385 -0.769  -1.267 -0.855  -1.064 -0.855  -0.860 -0.855  -0.685 -0.786  -0.541 -0.642  -0.375 -0.580  -0.305 -0.406  -0.124 -0.350  -0.047 -0.224  0.112 -0.115  0.256 0.029  0.334 0.155  0.492 0.265  0.636 0.409  0.780 0.553  0.924 0.697  1.068 0.841  1.243 0.912  1.394 1.038  1.517 1.118  1.359 1.164  1.156 1.164  1.007 1.032  0.853 0.912  0.760 0.801  0.590 0.741  0.420 0.659  0.265 0.542  0.210 0.361  0.066 0.217  -0.078 0.073  -0.137 -0.098  -0.249 -0.189  -0.249 -0.393  -0.335 -0.562  -0.375 -0.748  -0.278 -0.855  -0.074 -0.855  0.129 -0.855
2#app#app25#app2550/e  0.025 0.184  0.025 0.020  0.164 -0.004  0.328 -0.004  0.492 -0.004  0.636 0.043  0.752 0.159  0.777 0.312  0.881 0.372  0.965 0.451  1.020 0.560  1.154 0.591  1.154 0.754  1.154 0.918  1.008 0.937  0.844 0.937  0.681 0.937  0.517 0.937  0.353 0.937  0.213 0.913  0.213 0.749  0.050 0.748  -0.114 0.748  -0.163 0.634  -0.253 0.560  -0.351 0.495  -0.393 0.372  -0.551 0.360  -0.667 0.244  -0.806 0.184  -0.916 0.130  -0.916 -0.034  -0.921 -0.192  -1.085 -0.192  -1.104 -0.337  -1.104 -0.501  -1.104 -0.665  -1.053 -0.807  -0.937 -0.923  -0.782 -0.945  -0.650 -1.022  -0.533 -1.133  -0.369 -1.133  -0.205 -1.133  -0.041 -1.133  0.122 -1.133  0.213 -1.060  0.262 -0.945  0.426 -0.945  0.589 -0.945
2#app#app25#app2550/v  -0.371 1.320  -0.371 1.182  -0.371 1.043  -0.371 0.905  -0.371 0.767  -0.371 0.629  -0.426 0.545  -0.565 0.545  -0.629 0.472  -0.629 0.334  -0.629 0.195  -0.629 0.057  -0.707 -0.049  -0.805 -0.147  -0.888 -0.251  -0.888 -0.389  -0.888 -0.527  -0.888 -0.666  -0.888 -0.804  -0.888 -0.942  -0.811 -1.004  -0.673 -1.004  -0.534 -1.004  -0.396 -1.004  -0.258 -1.004  -0.120 -1.004  -0.113 -0.872  -0.101 -0.746  0.037 -0.746  0.145 -0.715  0.145 -0.577  0.194 -0.487  0.332 -0.487  0.403 -0.420  0.403 -0.282  0.403 -0.144  0.403 -0.006  0.477 0.102  0.574 0.200  0.677 0.287  0.815 0.287  0.920 0.321  0.920 0.459  0.956 0.582  1.054 0.680  1.152 0.778  1.280 0.804  1.418 0.804  1.436 0.923  1.436 1.062
2#app#app25#app2550/i  -0.145 -0.080  -0.145 0.039  -0.145 -0.074  -0.225 -0.160  -0.267 -0.262  -0.307 -0.366  -0.390 -0.451  -0.390 -0.570  -0.390 -0.690  -0.506 -0.694  -0.513 -0.806  -0.513 -0.926  -0.588 -1.015  -0.636 -1.114  -0.587 -1.185  -0.467 -1.185  -0.348 -1.185  -0.228 -1.185  -0.108 -1.185  0.011 -1.185  0.103 -1.155  0.114 -1.036  0.124 -0.917  0.135 -0.798  0.145 -0.679  0.155 -0.559  0.166 -0.440  0.176 -0.321  0.186 -0.202  0.197 -0.083  0.207 0.036  0.217 0.156  0.228 0.275  0.238 0.394  0.249 0.513  0.259 0.632  0.269 0.751  0.280 0.871  0.290 0.990  0.300 1.109  0.311 1.228  0.321 1.347  0.331 1.466  0.342 1.586  0.346 1.572  0.302 1.471  0.224 1.402  0.224 1.522  0.224 1.635  0.224 1.516
