2#apb#apb05#app0588/R  0.164 0.672  0.047 0.455  -0.052 0.228  -0.152 0.002  -0.255 -0.223  -0.369 -0.442  -0.491 -0.658  -0.628 -0.864  -0.781 -1.056  -0.975 -1.208  -1.133 -1.097  -1.132 -0.854  -1.075 -0.616  -0.971 -0.392  -0.856 -0.173  -0.723 0.036  -0.590 0.244  -0.435 0.435  -0.260 0.610  -0.085 0.785  0.100 0.949  0.298 1.098  0.496 1.246  0.721 1.345  0.954 1.428  1.198 1.385  1.303 1.178  1.248 0.943  1.163 0.712  1.016 0.513  0.868 0.314  0.681 0.153  0.490 -0.004  0.286 -0.143  0.069 -0.262  -0.155 -0.359  -0.399 -0.401  -0.643 -0.444  -0.837 -0.348  -0.705 -0.150  -0.495 -0.024  -0.252 0.024  -0.010 -0.011  0.220 -0.095  0.410 -0.246  0.533 -0.454  0.591 -0.694  0.591 -0.942  0.552 -1.185  0.459 -1.414
2#apb#apb05#app0588/o  0.165 0.426  0.257 0.594  0.346 0.764  0.428 0.936  0.502 1.068  0.341 0.981  0.192 0.861  0.051 0.733  -0.075 0.588  -0.200 0.443  -0.325 0.298  -0.452 0.155  -0.581 0.014  -0.709 -0.128  -0.833 -0.274  -0.939 -0.433  -1.045 -0.592  -1.149 -0.753  -1.229 -0.927  -1.259 -1.100  -1.128 -1.215  -0.944 -1.268  -0.765 -1.236  -0.590 -1.159  -0.414 -1.083  -0.245 -0.995  -0.080 -0.898  0.084 -0.800  0.249 -0.703  0.402 -0.589  0.549 -0.466  0.696 -0.344  0.843 -0.221  0.975 -0.083  1.101 0.061  1.216 0.211  1.257 0.398  1.250 0.577  1.151 0.741  0.970 0.759  0.779 0.759  0.590 0.743  0.408 0.685  0.225 0.626  0.043 0.567  -0.128 0.482  -0.299 0.396  -0.455 0.293  -0.561 0.134  -0.667 -0.026
2#apb#apb05#app0588/s  1.198 1.144  1.103 1.239  0.975 1.251  0.841 1.251  0.709 1.239  0.584 1.193  0.459 1.147  0.333 1.100  0.210 1.050  0.093 0.984  -0.023 0.919  -0.140 0.853  -0.257 0.789  -0.374 0.725  -0.490 0.659  -0.568 0.550  -0.604 0.437  -0.551 0.314  -0.449 0.235  -0.333 0.168  -0.218 0.101  -0.096 0.046  0.027 -0.008  0.149 -0.062  0.270 -0.118  0.384 -0.188  0.498 -0.258  0.611 -0.328  0.713 -0.415  0.797 -0.510  0.797 -0.644  0.727 -0.733  0.605 -0.789  0.484 -0.845  0.356 -0.883  0.226 -0.914  0.096 -0.944  -0.035 -0.966  -0.168 -0.958  -0.302 -0.951  -0.435 -0.943  -0.557 -0.893  -0.677 -0.833  -0.797 -0.774  -0.919 -0.720  -1.032 -0.656  -1.099 -0.540  -1.143 -0.433  -1.036 -0.499  -0.942 -0.594
2#apb#apb05#app0588/e  -0.772 0.285  -0.637 0.222  -0.487 0.192  -0.334 0.163  -0.182 0.125  -0.029 0.112  0.127 0.123  0.282 0.138  0.435 0.167  0.589 0.196  0.734 0.247  0.874 0.317  1.003 0.401  1.113 0.512  1.174 0.651  1.139 0.785  1.029 0.894  0.896 0.974  0.754 1.019  0.599 1.002  0.444 0.985  0.292 0.953  0.146 0.899  -0.000 0.845  -0.145 0.788  -0.273 0.698  -0.400 0.608  -0.528 0.518  -0.637 0.409  -0.739 0.290  -0.841 0.172  -0.909 0.034  -0.961 -0.113  -1.013 -0.260  -1.013 -0.413  -0.992 -0.567  -0.950 -0.711  -0.840 -0.822  -0.729 -0.932  -0.593 -1.000  -0.445 -1.049  -0.297 -1.099  -0.148 -1.144  0.008 -1.144  0.164 -1.144  0.320 -1.144  0.473 -1.127  0.620 -1.073  0.766 -1.019  0.912 -0.966
2#apb#apb05#app0588/n  -0.079 0.618  -0.129 0.472  -0.226 0.352  -0.322 0.231  -0.416 0.109  -0.510 -0.014  -0.605 -0.135  -0.700 -0.257  -0.796 -0.378  -0.884 -0.505  -0.969 -0.633  -1.055 -0.761  -1.163 -0.872  -1.262 -0.989  -1.183 -0.916  -1.096 -0.788  -1.011 -0.659  -0.916 -0.537  -0.819 -0.417  -0.722 -0.298  -0.632 -0.173  -0.547 -0.043  -0.463 0.086  -0.379 0.215  -0.286 0.338  -0.175 0.444  -0.063 0.551  0.049 0.657  0.161 0.764  0.292 0.843  0.429 0.914  0.565 0.986  0.710 1.025  0.864 1.025  1.005 0.975  1.118 0.883  1.127 0.729  1.136 0.575  1.121 0.423  1.084 0.273  1.047 0.123  1.004 -0.025  0.949 -0.169  0.894 -0.313  0.839 -0.457  0.767 -0.594  0.691 -0.728  0.615 -0.863  0.519 -0.983  0.423 -1.104
2#apb#apb05#app0588/b  0.555 2.048  0.517 1.879  0.447 1.721  0.372 1.564  0.298 1.407  0.227 1.249  0.156 1.090  0.085 0.932  0.012 0.774  -0.067 0.620  -0.147 0.466  -0.227 0.312  -0.306 0.157  -0.381 0.001  -0.457 -0.155  -0.532 -0.312  -0.618 -0.461  -0.723 -0.599  -0.829 -0.737  -0.913 -0.888  -1.028 -0.998  -0.968 -0.948  -0.882 -0.797  -0.774 -0.663  -0.655 -0.536  -0.536 -0.410  -0.413 -0.287  -0.291 -0.164  -0.168 -0.042  -0.033 0.068  0.105 0.173  0.243 0.278  0.393 0.363  0.552 0.432  0.717 0.463  0.872 0.416  0.934 0.261  0.934 0.088  0.907 -0.081  0.844 -0.243  0.777 -0.402  0.664 -0.533  0.550 -0.664  0.419 -0.776  0.279 -0.879  0.131 -0.969  -0.026 -1.042  -0.190 -1.099  -0.351 -1.095  -0.476 -0.981
2#apb#apb05#app0588/e  -1.152 -0.120  -0.989 -0.079  -0.825 -0.040  -0.658 -0.027  -0.490 -0.013  -0.326 0.025  -0.162 0.064  0.001 0.104  0.164 0.149  0.326 0.194  0.483 0.252  0.631 0.332  0.779 0.413  0.912 0.516  1.036 0.628  1.060 0.774  0.991 0.924  0.865 1.035  0.718 1.099  0.550 1.111  0.384 1.107  0.222 1.060  0.060 1.014  -0.077 0.917  -0.215 0.820  -0.352 0.723  -0.470 0.603  -0.580 0.476  -0.690 0.349  -0.774 0.205  -0.842 0.051  -0.911 -0.103  -0.955 -0.264  -0.981 -0.430  -0.960 -0.590  -0.890 -0.743  -0.769 -0.841  -0.612 -0.902  -0.455 -0.963  -0.292 -0.985  -0.123 -0.978  0.045 -0.971  0.213 -0.963  0.380 -0.944  0.547 -0.924  0.715 -0.904  0.881 -0.883  1.038 -0.822  1.195 -0.761  1.352 -0.700
2#apb#apb05#app0588/r  -0.105 0.400  -0.105 0.282  -0.114 0.166  -0.137 0.051  -0.160 -0.064  -0.181 -0.179  -0.203 -0.295  -0.224 -0.410  -0.246 -0.525  -0.268 -0.640  -0.289 -0.756  -0.311 -0.871  -0.342 -0.984  -0.382 -1.094  -0.422 -1.204  -0.473 -1.310  -0.570 -1.354  -0.627 -1.257  -0.646 -1.141  -0.665 -1.026  -0.659 -0.910  -0.636 -0.795  -0.613 -0.680  -0.589 -0.566  -0.554 -0.454  -0.518 -0.342  -0.483 -0.230  -0.448 -0.118  -0.396 -0.015  -0.326 0.080  -0.257 0.174  -0.187 0.268  -0.118 0.363  -0.047 0.457  0.041 0.534  0.129 0.611  0.218 0.688  0.306 0.766  0.396 0.840  0.499 0.897  0.601 0.954  0.704 1.011  0.806 1.068  0.913 1.114  1.027 1.142  1.141 1.171  1.250 1.156  1.355 1.104  1.423 1.009  1.491 0.914
2#apb#apb05#app0588/g  0.428 0.808  0.516 0.895  0.598 0.988  0.588 1.073  0.473 1.056  0.360 1.003  0.251 0.945  0.143 0.885  0.057 0.795  -0.027 0.704  -0.097 0.602  -0.126 0.485  -0.080 0.374  0.027 0.331  0.149 0.320  0.271 0.342  0.391 0.371  0.501 0.427  0.599 0.500  0.675 0.596  0.727 0.709  0.718 0.828  0.611 0.813  0.539 0.714  0.474 0.609  0.422 0.497  0.370 0.384  0.315 0.273  0.257 0.163  0.199 0.054  0.141 -0.056  0.086 -0.167  0.030 -0.278  -0.025 -0.389  -0.082 -0.499  -0.140 -0.608  -0.198 -0.718  -0.258 -0.827  -0.325 -0.930  -0.393 -1.034  -0.464 -1.136  -0.544 -1.230  -0.625 -1.324  -0.734 -1.377  -0.851 -1.418  -0.975 -1.414  -1.094 -1.391  -1.202 -1.331  -1.298 -1.254  -1.382 -1.163
2#apb#apb05#app0588/F  -0.299 0.627  -0.326 0.571  -0.384 0.410  -0.437 0.248  -0.491 0.087  -0.541 -0.076  -0.587 -0.240  -0.633 -0.404  -0.688 -0.566  -0.746 -0.726  -0.801 -0.887  -0.845 -1.052  -0.889 -1.216  -0.944 -1.378  -0.973 -1.451  -0.896 -1.298  -0.820 -1.146  -0.744 -0.993  -0.668 -0.841  -0.592 -0.689  -0.515 -0.536  -0.439 -0.384  -0.341 -0.249  -0.185 -0.184  -0.027 -0.120  0.129 -0.051  0.289 0.007  0.451 0.061  0.618 0.079  0.789 0.079  0.942 0.006  0.935 0.003  0.777 0.068  0.619 0.133  0.462 0.198  0.304 0.263  0.147 0.328  -0.011 0.393  -0.108 0.469  0.017 0.585  0.145 0.696  0.292 0.782  0.439 0.867  0.597 0.932  0.755 0.997  0.915 1.056  1.075 1.115  1.243 1.139  1.412 1.154  1.582 1.138
2#apb#apb05#app0588/r  0.087 0.876  0.046 0.754  0.002 0.633  -0.046 0.514  -0.094 0.395  -0.141 0.276  -0.182 0.154  -0.221 0.032  -0.260 -0.091  -0.298 -0.213  -0.338 -0.335  -0.384 -0.455  -0.431 -0.575  -0.477 -0.694  -0.524 -0.814  -0.564 -0.936  -0.599 -1.059  -0.634 -1.183  -0.680 -1.300  -0.753 -1.398  -0.783 -1.285  -0.747 -1.162  -0.710 -1.039  -0.663 -0.920  -0.609 -0.804  -0.555 -0.687  -0.501 -0.571  -0.438 -0.459  -0.372 -0.349  -0.306 -0.239  -0.240 -0.129  -0.174 -0.019  -0.104 0.089  -0.022 0.187  0.060 0.286  0.142 0.385  0.225 0.483  0.307 0.582  0.403 0.667  0.503 0.747  0.603 0.827  0.703 0.907  0.809 0.977  0.930 1.021  1.050 1.065  1.174 1.072  1.300 1.047  1.419 1.011  1.503 0.913  1.586 0.816
