3#apb#apb22#app2208/S  0.763 1.422  0.677 1.386  0.592 1.351  0.507 1.312  0.427 1.266  0.346 1.220  0.265 1.174  0.188 1.122  0.113 1.069  0.037 1.015  -0.039 0.961  -0.114 0.906  -0.188 0.850  -0.262 0.793  -0.335 0.737  -0.408 0.680  -0.455 0.610  -0.402 0.533  -0.333 0.472  -0.260 0.414  -0.180 0.366  -0.101 0.319  -0.028 0.261  0.042 0.200  0.112 0.139  0.168 0.065  0.220 -0.011  0.273 -0.088  0.309 -0.171  0.327 -0.262  0.346 -0.353  0.346 -0.445  0.328 -0.536  0.310 -0.627  0.280 -0.713  0.236 -0.796  0.193 -0.878  0.141 -0.953  0.072 -1.015  0.002 -1.077  -0.067 -1.139  -0.145 -1.187  -0.229 -1.227  -0.313 -1.267  -0.398 -1.302  -0.490 -1.317  -0.582 -1.331  -0.673 -1.333  -0.764 -1.316  -0.856 -1.299
3#apb#apb22#app2208/e  -0.258 -0.228  -0.391 -0.244  -0.515 -0.254  -0.387 -0.218  -0.259 -0.175  -0.135 -0.124  -0.019 -0.056  0.098 0.011  0.214 0.079  0.331 0.147  0.445 0.218  0.560 0.288  0.674 0.359  0.789 0.430  0.896 0.510  0.982 0.613  1.068 0.717  1.152 0.822  1.227 0.934  1.155 1.024  1.035 1.043  0.904 1.012  0.773 0.981  0.645 0.943  0.534 0.867  0.423 0.791  0.311 0.715  0.200 0.639  0.096 0.554  -0.004 0.463  -0.104 0.373  -0.204 0.283  -0.304 0.193  -0.397 0.097  -0.481 -0.009  -0.564 -0.115  -0.648 -0.221  -0.731 -0.326  -0.789 -0.446  -0.835 -0.573  -0.881 -0.699  -0.927 -0.826  -0.962 -0.953  -0.916 -1.080  -0.871 -1.206  -0.811 -1.322  -0.699 -1.396  -0.587 -1.471  -0.475 -1.546  -0.363 -1.620
3#apb#apb22#app2208/p  0.095 1.122  -0.007 0.982  -0.096 0.834  -0.169 0.677  -0.226 0.513  -0.284 0.349  -0.345 0.186  -0.405 0.024  -0.460 -0.141  -0.507 -0.308  -0.554 -0.475  -0.601 -0.642  -0.658 -0.806  -0.715 -0.970  -0.774 -1.134  -0.835 -1.296  -0.913 -1.451  -0.971 -1.469  -0.904 -1.315  -0.825 -1.161  -0.750 -1.004  -0.675 -0.848  -0.593 -0.695  -0.509 -0.543  -0.426 -0.391  -0.337 -0.242  -0.238 -0.099  -0.140 0.044  -0.041 0.187  0.066 0.323  0.178 0.457  0.289 0.590  0.409 0.715  0.538 0.831  0.667 0.947  0.811 1.043  0.960 1.131  1.126 1.173  1.190 1.050  1.160 0.879  1.093 0.721  1.006 0.571  0.918 0.422  0.828 0.273  0.738 0.125  0.630 -0.010  0.511 -0.136  0.390 -0.260  0.261 -0.377  0.095 -0.397
3#apb#apb22#app2208/t  0.818 1.891  0.784 1.765  0.751 1.640  0.705 1.517  0.660 1.395  0.615 1.273  0.568 1.152  0.514 1.033  0.461 0.914  0.408 0.795  0.357 0.676  0.320 0.551  0.282 0.426  0.244 0.302  0.207 0.177  0.169 0.052  0.128 -0.071  0.082 -0.193  0.036 -0.315  -0.010 -0.437  -0.056 -0.558  -0.101 -0.681  -0.142 -0.804  -0.183 -0.928  -0.225 -1.051  -0.269 -1.174  -0.317 -1.295  -0.361 -1.417  -0.387 -1.545  -0.390 -1.465  -0.388 -1.335  -0.386 -1.205  -0.384 -1.075  -0.382 -0.945  -0.380 -0.814  -0.378 -0.684  -0.376 -0.554  -0.374 -0.424  -0.371 -0.293  -0.369 -0.163  -0.367 -0.033  -0.365 0.097  -0.363 0.227  -0.361 0.358  -0.359 0.488  -0.271 0.541  -0.142 0.557  -0.013 0.556  0.117 0.543  0.247 0.530
3#apb#apb22#app2208/.  1.109 1.284  1.060 1.234  1.011 1.185  0.961 1.136  0.912 1.086  0.863 1.037  0.814 0.988  0.764 0.939  0.715 0.889  0.666 0.840  0.617 0.791  0.567 0.742  0.518 0.692  0.469 0.643  0.419 0.594  0.370 0.544  0.321 0.495  0.272 0.446  0.222 0.397  0.173 0.347  0.124 0.298  0.075 0.249  0.025 0.200  -0.017 0.145  -0.053 0.085  -0.089 0.026  -0.125 -0.034  -0.161 -0.094  -0.196 -0.154  -0.232 -0.213  -0.268 -0.273  -0.304 -0.333  -0.340 -0.393  -0.376 -0.452  -0.412 -0.512  -0.447 -0.572  -0.483 -0.632  -0.519 -0.691  -0.555 -0.751  -0.591 -0.811  -0.627 -0.871  -0.663 -0.930  -0.698 -0.990  -0.734 -1.050  -0.770 -1.110  -0.806 -1.169  -0.842 -1.229  -0.878 -1.289  -0.913 -1.349  -0.949 -1.408
3#apb#apb22#app2208/2  -0.887 0.646  -0.802 0.767  -0.716 0.886  -0.605 0.982  -0.494 1.079  -0.383 1.175  -0.242 1.214  -0.099 1.246  0.045 1.278  0.192 1.279  0.340 1.279  0.467 1.226  0.581 1.132  0.689 1.034  0.741 0.896  0.792 0.758  0.816 0.618  0.791 0.473  0.765 0.328  0.714 0.192  0.645 0.061  0.576 -0.069  0.503 -0.196  0.410 -0.310  0.316 -0.423  0.222 -0.537  0.111 -0.631  -0.010 -0.716  -0.130 -0.801  -0.256 -0.877  -0.390 -0.936  -0.525 -0.995  -0.667 -1.019  -0.815 -1.019  -0.956 -0.990  -1.059 -0.936  -0.948 -0.839  -0.827 -0.758  -0.693 -0.698  -0.559 -0.637  -0.424 -0.577  -0.279 -0.558  -0.132 -0.542  0.014 -0.526  0.160 -0.510  0.307 -0.500  0.454 -0.495  0.602 -0.490  0.749 -0.485  0.896 -0.480
3#apb#apb22#app2208/3  -0.499 1.236  -0.515 1.334  -0.442 1.396  -0.350 1.385  -0.254 1.359  -0.159 1.328  -0.065 1.297  0.023 1.251  0.108 1.199  0.191 1.145  0.257 1.070  0.314 0.990  0.345 0.896  0.348 0.799  0.333 0.700  0.305 0.607  0.253 0.522  0.201 0.437  0.136 0.363  0.065 0.292  -0.006 0.223  -0.081 0.157  -0.159 0.097  -0.216 0.062  -0.121 0.082  -0.027 0.067  0.062 0.022  0.147 -0.030  0.228 -0.087  0.293 -0.159  0.337 -0.248  0.375 -0.338  0.375 -0.438  0.375 -0.537  0.346 -0.631  0.307 -0.723  0.269 -0.815  0.225 -0.903  0.163 -0.981  0.100 -1.058  0.037 -1.135  -0.042 -1.192  -0.130 -1.238  -0.219 -1.285  -0.307 -1.331  -0.398 -1.370  -0.492 -1.404  -0.585 -1.437  -0.679 -1.471  -0.773 -1.505
3#apb#apb22#app2208/N  -1.337 -1.312  -1.352 -1.173  -1.321 -1.028  -1.263 -0.890  -1.201 -0.755  -1.126 -0.626  -1.052 -0.497  -0.975 -0.369  -0.894 -0.243  -0.813 -0.118  -0.732 0.007  -0.644 0.128  -0.554 0.247  -0.464 0.365  -0.372 0.483  -0.274 0.595  -0.176 0.708  -0.075 0.818  0.035 0.919  0.164 0.979  0.191 0.841  0.157 0.695  0.130 0.549  0.109 0.401  0.088 0.254  0.057 0.108  0.024 -0.038  -0.008 -0.184  -0.041 -0.329  -0.073 -0.475  -0.105 -0.621  -0.116 -0.769  -0.046 -0.869  0.085 -0.798  0.195 -0.701  0.296 -0.590  0.396 -0.480  0.487 -0.362  0.576 -0.242  0.665 -0.122  0.753 -0.002  0.841 0.119  0.929 0.239  1.016 0.360  1.102 0.483  1.187 0.605  1.266 0.732  1.341 0.860  1.419 0.988  1.504 1.109
3#apb#apb22#app2208/o  -0.299 0.342  -0.418 0.313  -0.537 0.283  -0.644 0.231  -0.740 0.155  -0.812 0.060  -0.861 -0.052  -0.911 -0.164  -0.947 -0.280  -0.969 -0.400  -0.990 -0.521  -1.007 -0.641  -0.969 -0.757  -0.921 -0.867  -0.825 -0.942  -0.728 -1.017  -0.632 -1.092  -0.526 -1.083  -0.415 -1.032  -0.304 -0.980  -0.193 -0.928  -0.082 -0.877  0.016 -0.806  0.106 -0.723  0.196 -0.639  0.285 -0.556  0.375 -0.473  0.465 -0.390  0.548 -0.301  0.630 -0.210  0.712 -0.119  0.794 -0.028  0.862 0.073  0.921 0.180  0.980 0.287  1.005 0.401  0.991 0.523  0.978 0.644  0.935 0.757  0.880 0.867  0.825 0.976  0.715 1.027  0.603 1.077  0.491 1.127  0.369 1.129  0.247 1.129  0.125 1.129  0.008 1.094  -0.108 1.055  -0.224 1.016
3#apb#apb22#app2208/v  -0.339 1.075  -0.305 1.194  -0.292 1.307  -0.277 1.234  -0.277 1.110  -0.277 0.987  -0.315 0.870  -0.354 0.753  -0.393 0.635  -0.432 0.518  -0.467 0.401  -0.490 0.279  -0.513 0.158  -0.536 0.037  -0.560 -0.084  -0.583 -0.205  -0.607 -0.327  -0.631 -0.447  -0.655 -0.568  -0.679 -0.689  -0.703 -0.810  -0.719 -0.933  -0.731 -1.056  -0.715 -1.164  -0.609 -1.228  -0.504 -1.192  -0.398 -1.129  -0.292 -1.065  -0.205 -0.979  -0.120 -0.889  -0.036 -0.799  0.049 -0.709  0.133 -0.619  0.216 -0.528  0.296 -0.434  0.376 -0.340  0.455 -0.246  0.535 -0.152  0.615 -0.058  0.695 0.036  0.765 0.138  0.832 0.242  0.899 0.345  0.966 0.449  1.033 0.552  1.099 0.657  1.164 0.761  1.230 0.866  1.295 0.971  1.360 1.075
3#apb#apb22#app2208/.  1.400 0.973  1.346 0.926  1.293 0.879  1.239 0.832  1.185 0.785  1.132 0.738  1.078 0.691  1.024 0.644  0.971 0.597  0.917 0.551  0.864 0.504  0.810 0.457  0.756 0.410  0.703 0.363  0.649 0.316  0.595 0.269  0.542 0.222  0.488 0.175  0.434 0.128  0.381 0.081  0.327 0.034  0.273 -0.013  0.220 -0.060  0.166 -0.107  0.112 -0.154  0.059 -0.201  -0.001 -0.235  -0.071 -0.246  -0.142 -0.258  -0.212 -0.270  -0.282 -0.282  -0.353 -0.293  -0.423 -0.305  -0.493 -0.317  -0.563 -0.328  -0.634 -0.340  -0.704 -0.352  -0.774 -0.364  -0.845 -0.375  -0.915 -0.387  -0.985 -0.399  -1.048 -0.430  -1.107 -0.469  -1.167 -0.509  -1.226 -0.548  -1.285 -0.588  -1.345 -0.627  -1.404 -0.667  -1.463 -0.707  -1.522 -0.746
