3#app#app25#app2567/B  -0.043 1.128  -0.043 0.856  -0.088 0.603  -0.202 0.378  -0.202 0.107  -0.202 -0.165  -0.260 -0.423  -0.362 -0.671  -0.362 -0.943  -0.470 -1.107  -0.522 -1.327  -0.500 -1.255  -0.467 -0.986  -0.433 -0.716  -0.399 -0.446  -0.365 -0.177  -0.332 0.093  -0.298 0.363  -0.264 0.633  -0.231 0.902  -0.202 1.172  -0.202 1.444  0.067 1.447  0.338 1.447  0.450 1.287  0.722 1.287  0.915 1.208  0.915 0.937  0.915 0.665  0.659 0.649  0.547 0.489  0.275 0.489  0.037 0.409  -0.202 0.330  -0.474 0.330  -0.457 0.170  -0.185 0.170  0.087 0.170  0.277 0.088  0.414 -0.127  0.596 -0.323  0.596 -0.595  0.596 -0.867  0.564 -1.107  0.436 -1.251  0.180 -1.267  -0.092 -1.267  -0.316 -1.380  -0.569 -1.426  -0.841 -1.426
3#app#app25#app2567/Y  -0.329 1.123  -0.350 0.973  -0.480 0.933  -0.480 0.762  -0.480 0.591  -0.581 0.521  -0.630 0.400  -0.630 0.230  -0.745 0.106  -0.781 -0.049  -0.641 -0.081  -0.517 -0.194  -0.362 -0.231  -0.192 -0.231  -0.067 -0.119  0.087 -0.081  0.218 0.016  0.339 0.136  0.460 0.257  0.580 0.378  0.701 0.498  0.862 0.521  0.986 0.633  1.141 0.672  1.272 0.768  1.326 0.916  1.234 0.906  1.096 0.805  0.958 0.705  0.820 0.604  0.682 0.504  0.543 0.404  0.405 0.303  0.267 0.203  0.129 0.103  -0.009 0.002  -0.147 -0.098  -0.285 -0.199  -0.329 -0.347  -0.329 -0.517  -0.329 -0.688  -0.355 -0.833  -0.480 -0.879  -0.480 -1.050  -0.480 -1.220  -0.555 -1.360  -0.630 -1.499  -0.690 -1.645  -0.811 -1.766  -0.931 -1.887
3#app#app25#app2567/T  0.289 -0.110  0.146 -0.110  0.131 -0.238  0.131 -0.380  0.131 -0.523  0.073 -0.641  -0.026 -0.742  -0.026 -0.885  -0.157 -0.896  -0.265 -0.978  -0.340 -1.090  -0.355 -1.226  -0.456 -1.326  -0.510 -1.284  -0.532 -1.144  -0.553 -1.003  -0.575 -0.862  -0.596 -0.721  -0.618 -0.581  -0.640 -0.440  -0.661 -0.299  -0.683 -0.159  -0.705 -0.018  -0.726 0.123  -0.748 0.264  -0.770 0.404  -0.791 0.545  -0.801 0.675  -0.658 0.675  -0.654 0.813  -0.531 0.832  -0.388 0.832  -0.340 0.738  -0.261 0.675  -0.118 0.675  0.024 0.675  0.166 0.675  0.309 0.675  0.446 0.670  0.446 0.528  0.579 0.518  0.721 0.518  0.863 0.518  1.006 0.518  1.148 0.518  1.290 0.518  1.433 0.518  1.575 0.518  1.718 0.518  1.860 0.518
3#app#app25#app2567/H  0.116 2.093  -0.082 1.895  -0.083 1.615  -0.197 1.382  -0.282 1.138  -0.282 0.858  -0.282 0.578  -0.426 0.357  -0.483 0.101  -0.680 -0.097  -0.680 -0.377  -0.680 -0.657  -0.726 -0.891  -0.879 -1.019  -1.077 -1.100  -1.016 -1.221  -0.827 -1.015  -0.637 -0.809  -0.448 -0.602  -0.259 -0.396  -0.070 -0.189  0.119 0.017  0.309 0.223  0.498 0.430  0.687 0.636  0.876 0.843  1.065 1.049  1.101 0.889  0.912 0.688  0.912 0.408  0.788 0.179  0.713 -0.070  0.657 -0.294  0.514 -0.431  0.495 -0.692  0.315 -0.792  0.315 -1.072  0.116 -1.153  0.116 -1.144  -0.009 -0.902  -0.164 -0.669  -0.320 -0.436  -0.475 -0.203  -0.630 0.030  -0.488 0.104  -0.208 0.104  0.072 0.104  0.352 0.104  0.632 0.104  0.713 0.303
3#app#app25#app2567/E  0.006 1.110  -0.174 0.930  -0.224 0.715  -0.452 0.652  -0.632 0.473  -0.784 0.281  -0.880 0.123  -0.982 -0.030  -0.994 -0.272  -1.179 -0.341  -1.305 -0.470  -1.506 -0.599  -1.574 -0.825  -1.360 -0.865  -1.106 -0.865  -0.852 -0.865  -0.652 -0.733  -0.425 -0.667  -0.192 -0.689  -0.114 -0.865  0.101 -0.960  0.313 -1.062  0.567 -1.062  0.554 -0.843  0.505 -0.594  0.455 -0.344  0.405 -0.095  0.355 0.154  0.305 0.404  0.255 0.653  0.205 0.903  0.447 0.913  0.598 1.016  0.758 1.110  0.949 0.957  1.185 0.913  1.347 0.882  1.144 0.729  0.940 0.577  0.737 0.424  0.533 0.271  0.330 0.119  0.126 -0.034  -0.077 -0.186  -0.081 -0.272  0.173 -0.272  0.230 -0.075  0.485 -0.075  0.739 -0.075  0.796 -0.272
3#app#app25#app2567/F  0.038 0.750  -0.132 0.718  -0.132 0.517  -0.132 0.315  -0.259 0.241  -0.302 0.082  -0.317 -0.114  -0.459 -0.256  -0.602 -0.399  -0.641 -0.584  -0.647 -0.783  -0.789 -0.926  -0.812 -1.118  -0.954 -1.261  -0.980 -1.451  -1.150 -1.430  -1.092 -1.287  -0.935 -1.209  -0.833 -1.035  -0.732 -0.860  -0.630 -0.686  -0.529 -0.512  -0.427 -0.338  -0.325 -0.164  -0.224 0.010  -0.122 0.184  -0.021 0.358  0.081 0.533  0.182 0.707  0.359 0.750  0.561 0.750  0.749 0.782  0.894 0.920  1.056 0.958  1.127 1.089  1.329 1.089  1.396 0.955  1.257 0.827  1.090 0.716  0.922 0.604  0.754 0.492  0.587 0.380  0.419 0.268  0.251 0.157  0.083 0.045  -0.084 -0.067  0.013 -0.099  0.212 -0.103  0.355 -0.246  0.547 -0.268
3#app#app25#app2567/L  0.824 1.695  0.824 1.587  0.824 1.479  0.824 1.371  0.821 1.266  0.713 1.266  0.610 1.262  0.610 1.154  0.610 1.046  0.610 0.939  0.605 0.833  0.528 0.756  0.452 0.680  0.376 0.604  0.300 0.528  0.223 0.451  0.133 0.409  0.025 0.409  -0.034 0.360  -0.034 0.252  -0.069 0.159  -0.146 0.083  -0.222 0.006  -0.248 -0.091  -0.248 -0.199  -0.320 -0.234  -0.428 -0.234  -0.514 -0.286  -0.591 -0.363  -0.667 -0.439  -0.677 -0.543  -0.677 -0.651  -0.772 -0.663  -0.880 -0.663  -0.891 -0.760  -0.891 -0.868  -0.793 -0.877  -0.685 -0.877  -0.577 -0.877  -0.469 -0.877  -0.361 -0.877  -0.253 -0.877  -0.146 -0.877  -0.038 -0.877  0.070 -0.877  0.178 -0.877  0.286 -0.877  0.394 -0.877  0.395 -0.984  0.395 -1.092
3#app#app25#app2567/A  -1.804 -1.037  -1.603 -1.018  -1.577 -0.810  -1.422 -0.655  -1.267 -0.500  -1.112 -0.345  -0.938 -0.235  -0.801 -0.153  -0.701 -0.035  -0.481 -0.035  -0.400 0.103  -0.289 0.277  -0.200 0.458  -0.089 0.567  0.001 0.696  0.001 0.915  0.168 0.968  0.387 0.968  0.602 0.971  0.602 1.191  0.643 1.369  0.803 1.310  0.803 1.091  0.803 0.871  0.803 0.652  0.803 0.433  0.803 0.214  0.803 -0.005  0.803 -0.224  0.797 -0.441  0.642 -0.596  0.602 -0.799  0.602 -1.018  0.602 -1.237  0.448 -1.083  0.293 -0.928  0.138 -0.773  -0.017 -0.618  -0.172 -0.463  -0.327 -0.308  -0.482 -0.153  -0.549 -0.035  -0.400 0.035  -0.311 0.166  -0.092 0.166  0.127 0.166  0.201 0.021  0.365 -0.035  0.584 -0.035  0.803 -0.035
3#app#app25#app2567/V  -0.134 1.422  -0.134 1.276  -0.134 1.130  -0.134 0.984  -0.134 0.838  -0.203 0.721  -0.306 0.618  -0.345 0.488  -0.345 0.342  -0.345 0.196  -0.420 0.081  -0.523 -0.022  -0.556 -0.154  -0.556 -0.300  -0.556 -0.446  -0.638 -0.558  -0.741 -0.661  -0.767 -0.796  -0.767 -0.942  -0.767 -1.088  -0.767 -1.234  -0.767 -1.259  -0.767 -1.113  -0.626 -1.109  -0.556 -1.032  -0.545 -0.898  -0.399 -0.898  -0.280 -0.833  -0.177 -0.729  -0.134 -0.601  -0.114 -0.476  0.032 -0.476  0.148 -0.404  0.251 -0.301  0.287 -0.170  0.318 -0.054  0.463 -0.054  0.498 0.057  0.531 0.189  0.634 0.292  0.709 0.407  0.709 0.553  0.830 0.578  0.959 0.618  1.062 0.721  1.131 0.838  1.131 0.984  1.261 1.000  1.342 1.065  1.342 1.211
3#app#app25#app2567/O  0.298 1.072  0.152 1.072  0.005 1.072  -0.102 1.032  -0.102 0.886  -0.196 0.778  -0.300 0.675  -0.403 0.571  -0.507 0.467  -0.611 0.364  -0.702 0.255  -0.702 0.108  -0.780 -0.006  -0.884 -0.110  -0.902 -0.248  -0.902 -0.395  -0.902 -0.542  -0.902 -0.688  -0.902 -0.835  -0.850 -0.929  -0.703 -0.929  -0.702 -1.075  -0.610 -1.129  -0.463 -1.129  -0.317 -1.129  -0.302 -0.997  -0.224 -0.929  -0.077 -0.929  0.069 -0.929  0.098 -0.811  0.163 -0.729  0.306 -0.721  0.410 -0.617  0.513 -0.514  0.617 -0.410  0.698 -0.297  0.698 -0.150  0.786 -0.040  0.890 0.063  0.898 0.206  0.898 0.353  0.898 0.500  0.898 0.646  0.898 0.793  0.898 0.939  0.884 1.072  0.738 1.072  0.591 1.072  0.445 1.072  0.298 1.072
3#app#app25#app2567/R  0.102 0.734  0.102 0.871  0.102 0.590  -0.113 0.519  -0.312 0.320  -0.363 0.060  -0.563 -0.139  -0.735 -0.349  -0.813 -0.599  -1.012 -0.798  -1.153 -1.021  -1.153 -1.303  -1.349 -1.344  -1.151 -1.145  -1.006 -0.903  -0.861 -0.662  -0.716 -0.420  -0.571 -0.179  -0.427 0.063  -0.282 0.304  -0.137 0.546  0.008 0.787  0.201 0.944  0.483 0.944  0.555 1.153  0.837 1.153  0.938 0.973  1.148 0.900  1.263 0.734  1.357 0.546  1.148 0.474  1.024 0.316  0.742 0.316  0.539 0.126  0.266 0.107  0.102 0.225  -0.089 0.316  -0.370 0.316  -0.399 0.316  -0.118 0.316  0.102 0.254  0.236 0.107  0.311 -0.100  0.471 -0.152  0.311 -0.367  0.311 -0.649  0.311 -0.930  0.311 -1.212  0.311 -1.494  0.102 -1.566
