1c#apa#apa01#app0162/y  -1.264 1.036  -1.099 1.036  -1.054 0.915  -0.978 0.826  -0.843 0.794  -0.843 0.629  -0.707 0.547  -0.559 0.473  -0.423 0.392  -0.423 0.226  -0.327 0.100  -0.210 -0.017  -0.093 -0.135  -0.002 -0.262  -0.002 -0.428  0.156 -0.437  0.209 -0.324  0.227 -0.161  0.273 -0.001  0.318 0.158  0.364 0.317  0.410 0.477  0.455 0.636  0.501 0.795  0.546 0.955  0.592 1.114  0.630 1.219  0.630 1.054  0.630 0.888  0.526 0.826  0.419 0.767  0.419 0.601  0.419 0.436  0.419 0.270  0.355 0.131  0.238 0.014  0.209 -0.140  0.209 -0.306  0.209 -0.471  0.209 -0.637  0.098 -0.757  -0.002 -0.881  -0.002 -1.047  -0.002 -1.213  -0.002 -1.379  -0.041 -1.528  -0.158 -1.645  -0.212 -1.789  -0.212 -1.954  -0.212 -2.120
1c#apa#apa01#app0162/o  -0.865 0.943  -0.865 0.806  -0.865 0.669  -0.865 0.532  -0.865 0.396  -0.865 0.259  -0.865 0.122  -0.865 -0.015  -0.865 -0.152  -0.865 -0.288  -0.865 -0.425  -0.862 -0.559  -0.725 -0.559  -0.651 -0.621  -0.651 -0.758  -0.565 -0.859  -0.468 -0.956  -0.345 -0.988  -0.208 -0.988  -0.071 -0.988  0.065 -0.988  0.202 -0.988  0.339 -0.988  0.422 -0.934  0.422 -0.797  0.535 -0.773  0.636 -0.738  0.636 -0.602  0.730 -0.559  0.851 -0.543  0.851 -0.406  0.851 -0.269  0.851 -0.132  0.851 0.005  0.851 0.141  0.851 0.278  0.851 0.415  0.824 0.540  0.727 0.637  0.628 0.728  0.491 0.728  0.422 0.795  0.422 0.932  0.333 1.032  0.236 1.129  0.111 1.157  -0.026 1.157  -0.163 1.157  -0.299 1.157  -0.436 1.157
1c#apa#apa01#app0162/u  -1.151 1.281  -1.151 1.132  -1.151 0.982  -1.151 0.832  -1.151 0.682  -1.151 0.532  -1.151 0.382  -1.151 0.232  -1.148 0.085  -0.998 0.085  -0.951 -0.018  -0.951 -0.168  -0.951 -0.318  -0.951 -0.468  -0.847 -0.513  -0.752 -0.568  -0.747 -0.713  -0.597 -0.713  -0.447 -0.713  -0.297 -0.713  -0.147 -0.713  0.003 -0.713  0.046 -0.606  0.103 -0.513  0.245 -0.506  0.245 -0.356  0.353 -0.314  0.445 -0.255  0.445 -0.106  0.445 0.044  0.522 0.162  0.628 0.268  0.644 0.411  0.644 0.561  0.644 0.711  0.644 0.861  0.644 0.754  0.644 0.604  0.644 0.454  0.644 0.305  0.736 0.193  0.842 0.087  0.843 -0.062  0.941 -0.115  1.043 -0.163  1.043 -0.313  1.043 -0.463  1.142 -0.513  1.292 -0.513  1.442 -0.513
1c#apa#apa01#app0162/k  -1.029 1.862  -1.006 1.680  -0.871 1.545  -0.849 1.363  -0.714 1.228  -0.709 1.039  -0.709 0.848  -0.709 0.657  -0.709 0.466  -0.603 0.319  -0.550 0.150  -0.550 -0.041  -0.550 -0.233  -0.550 -0.424  -0.550 -0.615  -0.436 -0.692  -0.390 -0.837  -0.390 -1.028  -0.342 -1.171  -0.202 -1.096  -0.133 -0.918  -0.065 -0.739  0.004 -0.561  0.072 -0.383  0.141 -0.204  0.210 -0.026  0.278 0.152  0.347 0.331  0.415 0.509  0.484 0.687  0.552 0.866  0.567 0.754  0.408 0.723  0.370 0.547  0.235 0.412  0.100 0.277  0.073 0.106  -0.071 0.060  -0.016 -0.109  0.132 -0.213  0.248 -0.288  0.354 -0.373  0.505 -0.470  0.670 -0.532  0.822 -0.627  0.957 -0.762  1.046 -0.917  1.143 -1.011  1.206 -1.139  1.365 -1.171
1c#apa#apa01#app0162/n  -1.064 0.655  -1.064 0.496  -0.972 0.375  -0.877 0.255  -0.877 0.096  -0.877 -0.063  -0.877 -0.223  -0.776 -0.281  -0.690 -0.354  -0.690 -0.513  -0.690 -0.672  -0.690 -0.831  -0.542 -0.843  -0.502 -0.963  -0.502 -0.939  -0.502 -0.780  -0.502 -0.621  -0.502 -0.461  -0.502 -0.302  -0.502 -0.143  -0.502 0.016  -0.502 0.176  -0.502 0.335  -0.476 0.468  -0.317 0.468  -0.315 0.625  -0.224 0.747  -0.104 0.843  0.055 0.843  0.060 0.997  0.186 1.030  0.345 1.030  0.434 0.959  0.477 0.843  0.632 0.833  0.744 0.720  0.857 0.607  0.969 0.495  0.996 0.347  0.996 0.187  0.996 0.028  0.996 -0.131  0.996 -0.290  0.996 -0.450  0.996 -0.609  0.996 -0.768  0.996 -0.927  1.052 -1.031  1.184 -1.059  1.184 -1.218
1c#apa#apa01#app0162/o  -0.324 0.967  -0.428 0.862  -0.532 0.758  -0.539 0.613  -0.610 0.537  -0.754 0.532  -0.754 0.385  -0.754 0.237  -0.771 0.107  -0.919 0.107  -0.969 0.009  -0.969 -0.138  -0.969 -0.286  -0.969 -0.434  -0.925 -0.538  -0.777 -0.538  -0.754 -0.662  -0.697 -0.753  -0.549 -0.753  -0.539 -0.890  -0.469 -0.968  -0.321 -0.968  -0.174 -0.968  -0.026 -0.968  0.121 -0.968  0.269 -0.968  0.417 -0.968  0.556 -0.948  0.661 -0.844  0.765 -0.739  0.869 -0.635  0.966 -0.527  0.966 -0.379  0.966 -0.232  0.966 -0.084  0.966 0.063  0.966 0.211  0.929 0.322  0.782 0.322  0.751 0.439  0.716 0.572  0.611 0.677  0.536 0.793  0.536 0.941  0.415 0.967  0.321 1.021  0.321 1.169  0.187 1.182  0.039 1.182  -0.109 1.182
1c#apa#apa01#app0162/w  -1.415 0.738  -1.415 0.590  -1.275 0.583  -1.260 0.451  -1.260 0.303  -1.260 0.156  -1.182 0.041  -1.106 -0.074  -1.106 -0.221  -1.089 -0.361  -0.985 -0.465  -0.951 -0.598  -0.859 -0.653  -0.712 -0.653  -0.587 -0.598  -0.488 -0.493  -0.488 -0.345  -0.488 -0.198  -0.488 -0.051  -0.356 -0.035  -0.333 0.089  -0.217 0.119  -0.179 0.228  -0.077 0.274  -0.024 0.368  0.063 0.428  0.131 0.349  0.131 0.202  0.176 0.074  0.280 -0.030  0.285 -0.176  0.285 -0.323  0.411 -0.344  0.440 -0.462  0.550 -0.499  0.698 -0.499  0.845 -0.499  0.992 -0.499  1.058 -0.417  1.132 -0.344  1.212 -0.278  1.212 -0.131  1.212 0.017  1.212 0.164  1.212 0.311  1.212 0.458  1.212 0.605  1.212 0.752  1.212 0.899  1.212 1.047
1c#apa#apa01#app0162/w  -1.294 1.001  -1.146 0.994  -1.132 0.854  -0.999 0.832  -0.999 0.677  -0.999 0.523  -0.999 0.368  -0.999 0.213  -0.999 0.059  -0.999 -0.096  -0.999 -0.250  -0.999 -0.405  -0.910 -0.470  -0.852 -0.567  -0.748 -0.617  -0.593 -0.617  -0.558 -0.498  -0.558 -0.344  -0.424 -0.323  -0.411 -0.182  -0.409 -0.029  -0.264 -0.020  -0.247 0.118  -0.117 0.142  -0.094 0.243  0.015 0.134  0.030 -0.014  0.170 -0.029  0.178 -0.176  0.178 -0.331  0.193 -0.470  0.325 -0.493  0.355 -0.617  0.498 -0.644  0.608 -0.753  0.757 -0.764  0.766 -0.618  0.913 -0.611  0.923 -0.460  1.032 -0.351  1.060 -0.208  1.115 -0.066  1.184 0.072  1.207 0.221  1.207 0.375  1.207 0.530  1.207 0.684  1.207 0.839  1.207 0.994  1.207 1.148
1c#apa#apa01#app0162/h  -0.794 1.726  -0.794 1.584  -0.794 1.443  -0.789 1.305  -0.689 1.205  -0.656 1.078  -0.656 0.937  -0.656 0.795  -0.656 0.654  -0.656 0.513  -0.656 0.372  -0.656 0.231  -0.577 0.123  -0.517 0.006  -0.517 -0.135  -0.517 -0.276  -0.517 -0.417  -0.517 -0.558  -0.517 -0.699  -0.517 -0.840  -0.517 -0.832  -0.440 -0.768  -0.379 -0.688  -0.379 -0.547  -0.379 -0.406  -0.317 -0.291  -0.217 -0.191  -0.118 -0.091  -0.102 0.043  -0.102 0.185  -0.014 0.289  0.106 0.340  0.247 0.340  0.388 0.340  0.529 0.340  0.647 0.284  0.754 0.202  0.868 0.175  0.868 0.034  0.890 -0.098  0.990 -0.198  1.006 -0.332  1.006 -0.473  1.006 -0.614  1.006 -0.755  1.006 -0.896  1.006 -1.037  1.006 -1.178  1.142 -1.183  1.145 -1.045
1c#apa#apa01#app0162/a  0.686 0.433  0.686 0.611  0.552 0.655  0.464 0.745  0.419 0.878  0.241 0.878  0.063 0.878  -0.115 0.878  -0.293 0.878  -0.471 0.878  -0.647 0.876  -0.647 0.698  -0.783 0.655  -0.934 0.591  -1.060 0.465  -1.225 0.433  -1.314 0.344  -1.314 0.166  -1.314 -0.012  -1.314 -0.190  -1.180 -0.234  -1.028 -0.297  -0.902 -0.423  -0.738 -0.456  -0.560 -0.456  -0.382 -0.456  -0.204 -0.456  -0.026 -0.456  0.019 -0.323  0.019 -0.145  0.063 -0.011  0.241 -0.011  0.242 0.166  0.242 0.344  0.331 0.433  0.464 0.388  0.464 0.210  0.464 0.032  0.464 -0.146  0.528 -0.297  0.653 -0.423  0.686 -0.588  0.686 -0.766  0.729 -0.900  0.907 -0.900  0.908 -1.077  1.041 -1.122  1.219 -1.122  1.397 -1.122  1.575 -1.122
1c#apa#apa01#app0162/t  -0.297 1.969  -0.297 1.772  -0.123 1.749  -0.077 1.597  -0.077 1.400  -0.077 1.202  -0.077 1.004  -0.077 0.807  -0.051 0.620  0.089 0.480  0.144 0.305  0.144 0.108  0.144 -0.090  0.144 -0.287  0.144 -0.485  0.144 -0.683  0.144 -0.880  0.270 -1.026  0.365 -1.184  0.365 -1.382  0.382 -1.562  0.580 -1.562  0.586 -1.370  0.586 -1.172  0.476 -1.024  0.327 -0.894  0.178 -0.764  0.030 -0.634  -0.119 -0.504  -0.268 -0.374  -0.416 -0.244  -0.565 -0.114  -0.714 0.016  -0.863 0.147  -1.011 0.277  -1.160 0.407  -1.009 0.424  -0.811 0.424  -0.614 0.424  -0.518 0.323  -0.439 0.204  -0.242 0.204  -0.044 0.204  0.151 0.197  0.290 0.057  0.457 -0.017  0.655 -0.017  0.852 -0.017  1.050 -0.017  1.248 -0.017
