2#tos#f3#f3025059/\"  -0.775 1.256  -0.609 1.256  -0.519 1.181  -0.570 1.027  -0.644 0.879  -0.759 0.761  -0.775 0.602  -0.775 0.436  -0.775 0.270  -0.775 0.105  -0.775 -0.061  -0.775 -0.226  -0.775 -0.392  -0.775 -0.557  -0.775 -0.723  -0.775 -0.888  -0.775 -1.054  -0.748 -1.134  -0.652 -0.999  -0.557 -0.864  -0.461 -0.729  -0.366 -0.593  -0.270 -0.458  -0.175 -0.323  -0.079 -0.188  0.016 -0.052  0.111 0.083  0.207 0.218  0.302 0.353  0.398 0.489  0.493 0.624  0.589 0.759  0.684 0.894  0.759 1.036  0.759 1.055  0.759 0.889  0.759 0.724  0.759 0.558  0.759 0.393  0.759 0.227  0.759 0.062  0.759 -0.104  0.759 -0.269  0.759 -0.435  0.759 -0.601  0.759 -0.766  0.759 -0.932  0.759 -1.097  0.759 -1.263  0.759 -1.428
2#tos#f3#f3025059/$  0.616 0.854  0.441 0.934  0.281 1.029  0.084 1.087  -0.171 1.087  -0.317 0.978  -0.486 0.861  -0.609 0.691  -0.599 0.445  -0.380 0.333  -0.214 0.189  -0.040 0.037  0.156 -0.025  0.396 -0.089  0.601 -0.240  0.733 -0.372  0.791 -0.603  0.772 -0.839  0.575 -0.897  0.392 -1.014  0.160 -1.072  -0.095 -1.072  -0.326 -1.014  -0.499 -0.897  -0.524 -0.696  -0.476 -0.445  -0.428 -0.195  -0.380 0.056  -0.333 0.307  -0.285 0.558  -0.237 0.809  -0.189 1.059  -0.142 1.310  -0.094 1.561  -0.026 1.585  -0.026 1.329  -0.026 1.074  -0.015 0.819  0.002 0.564  0.019 0.309  0.037 0.055  0.054 -0.200  0.072 -0.455  0.089 -0.710  0.106 -0.964  0.124 -1.219  0.141 -1.474  0.091 -1.554  0.091 -1.809  0.091 -2.064
2#tos#f3#f3025059/'  0.426 1.565  0.426 1.490  0.426 1.415  0.426 1.339  0.426 1.264  0.426 1.189  0.426 1.114  0.426 1.039  0.370 1.019  0.295 1.019  0.219 1.019  0.153 1.011  0.153 0.935  0.153 0.860  0.153 0.785  0.153 0.710  0.153 0.635  0.153 0.559  0.153 0.484  0.153 0.409  0.151 0.334  0.109 0.272  0.068 0.209  0.026 0.147  -0.016 0.084  -0.058 0.021  -0.099 -0.041  -0.120 -0.110  -0.120 -0.185  -0.120 -0.260  -0.120 -0.336  -0.150 -0.404  -0.183 -0.471  -0.217 -0.539  -0.250 -0.606  -0.257 -0.680  -0.257 -0.755  -0.257 -0.830  -0.257 -0.905  -0.257 -0.980  -0.257 -1.056  -0.257 -1.131  -0.270 -1.204  -0.294 -1.275  -0.318 -1.347  -0.341 -1.418  -0.365 -1.489  -0.389 -1.561  -0.393 -1.635  -0.393 -1.710
2#tos#f3#f3025059/+  -1.169 0.367  -1.261 0.276  -1.405 0.168  -1.549 0.061  -1.496 -0.029  -1.335 -0.110  -1.165 -0.150  -0.985 -0.150  -0.806 -0.150  -0.626 -0.150  -0.446 -0.150  -0.267 -0.150  -0.090 -0.134  0.081 -0.077  0.258 -0.064  0.438 -0.064  0.618 -0.064  0.797 -0.064  0.977 -0.064  1.157 -0.064  1.336 -0.064  1.483 -0.064  1.310 -0.047  1.183 0.080  1.056 0.207  0.929 0.335  0.802 0.462  0.675 0.589  0.548 0.716  0.421 0.843  0.294 0.970  0.167 1.097  0.006 1.142  -0.136 1.104  -0.136 0.924  -0.136 0.745  -0.136 0.565  -0.136 0.385  -0.136 0.206  -0.136 0.026  -0.136 -0.154  -0.136 -0.333  -0.136 -0.513  -0.136 -0.693  -0.136 -0.872  -0.136 -1.052  -0.136 -1.232  -0.096 -1.395  0.031 -1.522  0.036 -1.699
2#tos#f3#f3025059/  -0.962 0.178  -1.028 0.138  -1.095 0.098  -1.162 0.058  -1.228 0.018  -1.295 -0.022  -1.363 -0.059  -1.429 -0.059  -1.352 -0.059  -1.274 -0.059  -1.196 -0.059  -1.119 -0.059  -1.041 -0.059  -0.963 -0.059  -0.885 -0.059  -0.808 -0.059  -0.730 -0.059  -0.652 -0.059  -0.574 -0.059  -0.497 -0.059  -0.419 -0.059  -0.341 -0.059  -0.263 -0.059  -0.186 -0.059  -0.108 -0.059  -0.030 -0.059  0.048 -0.059  0.125 -0.059  0.203 -0.059  0.281 -0.059  0.359 -0.059  0.436 -0.059  0.514 -0.059  0.586 -0.034  0.655 0.001  0.729 0.020  0.806 0.020  0.881 0.034  0.950 0.069  1.021 0.099  1.099 0.099  1.176 0.099  1.254 0.099  1.332 0.099  1.410 0.099  1.487 0.099  1.565 0.099  1.643 0.099  1.720 0.098  1.720 0.020
2#tos#f3#f3025059/  0.769 1.411  0.695 1.411  0.672 1.361  0.672 1.287  0.672 1.213  0.642 1.170  0.575 1.163  0.565 1.091  0.542 1.021  0.527 0.949  0.477 0.925  0.444 0.859  0.430 0.788  0.421 0.717  0.388 0.651  0.355 0.585  0.333 0.516  0.318 0.445  0.294 0.375  0.249 0.321  0.190 0.276  0.132 0.232  0.081 0.181  0.048 0.115  0.015 0.049  -0.018 -0.017  -0.051 -0.083  -0.084 -0.148  -0.117 -0.214  -0.150 -0.280  -0.202 -0.333  -0.254 -0.385  -0.296 -0.441  -0.296 -0.515  -0.325 -0.582  -0.366 -0.642  -0.418 -0.694  -0.454 -0.756  -0.477 -0.826  -0.514 -0.887  -0.550 -0.949  -0.574 -1.019  -0.586 -1.091  -0.605 -1.161  -0.628 -1.231  -0.682 -1.256  -0.682 -1.329  -0.691 -1.398  -0.757 -1.431  -0.731 -1.442
2#tos#f3#f3025059/:  0.105 1.604  0.031 1.604  -0.044 1.604  -0.065 1.552  -0.065 1.477  -0.065 1.403  -0.065 1.328  -0.065 1.253  -0.065 1.179  -0.065 1.104  -0.065 1.030  -0.065 0.955  -0.065 0.881  -0.061 0.806  -0.052 0.733  -0.042 0.659  -0.032 0.585  -0.022 0.511  -0.012 0.437  -0.002 0.363  0.008 0.289  0.017 0.215  0.027 0.141  0.037 0.068  0.047 -0.006  0.057 -0.080  0.067 -0.154  0.077 -0.228  0.086 -0.302  0.096 -0.376  0.103 -0.449  0.070 -0.516  0.036 -0.582  0.020 -0.653  -0.007 -0.701  -0.065 -0.717  -0.065 -0.791  -0.065 -0.866  -0.065 -0.941  -0.065 -1.015  -0.065 -1.090  -0.029 -1.127  0.020 -1.153  0.020 -1.228  0.020 -1.302  0.020 -1.377  0.068 -1.432  0.105 -1.491  0.105 -1.565  0.105 -1.640
2#tos#f3#f3025059/;  0.025 1.730  -0.030 1.675  -0.038 1.602  -0.038 1.525  -0.016 1.457  0.025 1.397  0.025 1.320  0.025 1.243  0.025 1.166  0.025 1.089  0.025 1.012  0.025 0.935  0.025 0.858  0.025 0.781  0.029 0.704  0.045 0.629  0.061 0.553  0.077 0.478  0.093 0.403  0.109 0.327  0.124 0.252  0.140 0.176  0.156 0.101  0.172 0.026  0.188 -0.050  0.204 -0.125  0.220 -0.200  0.236 -0.276  0.251 -0.351  0.267 -0.426  0.261 -0.499  0.227 -0.568  0.213 -0.642  0.152 -0.657  0.088 -0.670  0.088 -0.747  0.058 -0.812  0.004 -0.866  -0.051 -0.921  -0.101 -0.977  -0.101 -1.054  -0.132 -1.112  -0.200 -1.147  -0.269 -1.181  -0.338 -1.215  -0.380 -1.278  -0.414 -1.346  -0.468 -1.401  -0.534 -1.439  -0.603 -1.474
2#tos#f3#f3025059/=  -0.774 0.768  -0.914 0.679  -1.009 0.527  -0.822 0.527  -0.635 0.527  -0.447 0.527  -0.260 0.527  -0.072 0.527  0.115 0.527  0.302 0.527  0.490 0.527  0.677 0.527  0.864 0.536  1.045 0.581  1.230 0.608  1.368 0.599  1.191 0.538  1.014 0.477  0.837 0.416  0.659 0.355  0.482 0.294  0.305 0.233  0.128 0.172  -0.049 0.111  -0.226 0.050  -0.404 -0.011  -0.581 -0.073  -0.758 -0.134  -0.935 -0.195  -1.119 -0.209  -1.279 -0.305  -1.440 -0.402  -1.496 -0.557  -1.347 -0.596  -1.160 -0.596  -0.972 -0.596  -0.785 -0.596  -0.597 -0.596  -0.410 -0.596  -0.223 -0.596  -0.035 -0.596  0.152 -0.596  0.340 -0.596  0.527 -0.596  0.714 -0.596  0.902 -0.596  1.070 -0.516  1.258 -0.515  1.445 -0.515  1.632 -0.515
2#tos#f3#f3025059/@  0.564 0.425  0.551 0.339  0.498 0.524  0.351 0.624  0.167 0.562  0.038 0.475  -0.030 0.326  -0.081 0.131  -0.131 -0.074  -0.131 -0.291  -0.131 -0.508  -0.073 -0.667  0.144 -0.667  0.266 -0.572  0.395 -0.438  0.415 -0.229  0.508 -0.040  0.514 0.176  0.514 0.393  0.514 0.610  0.514 0.826  0.465 1.023  0.415 1.190  0.365 1.357  0.221 1.467  0.004 1.467  -0.131 1.386  -0.231 1.269  -0.349 1.170  -0.429 1.033  -0.479 0.866  -0.528 0.669  -0.578 0.502  -0.627 0.306  -0.627 0.089  -0.727 -0.087  -0.727 -0.304  -0.727 -0.520  -0.727 -0.737  -0.677 -0.904  -0.578 -1.060  -0.479 -1.207  -0.330 -1.275  -0.200 -1.362  -0.053 -1.461  0.164 -1.461  0.380 -1.461  0.538 -1.388  0.564 -1.281  0.713 -1.213
2#tos#f3#f3025059/[  0.639 1.304  0.551 1.304  0.518 1.248  0.430 1.248  0.342 1.248  0.253 1.248  0.220 1.193  0.142 1.183  0.099 1.138  0.013 1.129  -0.066 1.089  -0.152 1.083  -0.241 1.083  -0.245 0.999  -0.245 0.910  -0.245 0.822  -0.245 0.734  -0.245 0.646  -0.245 0.557  -0.245 0.469  -0.245 0.381  -0.245 0.293  -0.245 0.205  -0.245 0.116  -0.245 0.028  -0.245 -0.060  -0.245 -0.148  -0.245 -0.237  -0.245 -0.325  -0.245 -0.413  -0.245 -0.501  -0.245 -0.590  -0.245 -0.678  -0.245 -0.766  -0.245 -0.854  -0.245 -0.942  -0.231 -1.017  -0.143 -1.017  -0.134 -1.097  -0.133 -1.183  -0.044 -1.183  0.044 -1.183  0.132 -1.183  0.220 -1.183  0.309 -1.183  0.397 -1.183  0.485 -1.183  0.573 -1.183  0.661 -1.183  0.750 -1.183
