2#apb#apb23#app2344/T  -1.456 -0.017  -1.529 0.103  -1.519 0.173  -1.378 0.178  -1.239 0.197  -1.099 0.217  -0.960 0.237  -0.821 0.255  -0.681 0.271  -0.541 0.287  -0.401 0.303  -0.261 0.319  -0.121 0.333  0.019 0.348  0.159 0.362  0.299 0.377  0.439 0.389  0.579 0.395  0.720 0.401  0.861 0.407  1.001 0.411  1.142 0.411  1.283 0.411  1.424 0.411  1.562 0.389  1.471 0.292  1.350 0.237  1.210 0.222  1.070 0.208  0.930 0.193  0.790 0.179  0.650 0.164  0.510 0.150  0.370 0.136  0.230 0.121  0.090 0.107  -0.049 0.120  -0.118 0.021  -0.186 -0.103  -0.246 -0.229  -0.299 -0.360  -0.354 -0.489  -0.410 -0.618  -0.467 -0.747  -0.525 -0.875  -0.584 -1.003  -0.643 -1.131  -0.701 -1.259  -0.758 -1.388  -0.814 -1.517
2#apb#apb23#app2344/h  0.085 1.507  0.102 1.662  0.120 1.817  0.094 1.752  0.056 1.601  0.024 1.449  -0.007 1.296  -0.037 1.143  -0.070 0.991  -0.106 0.839  -0.142 0.688  -0.178 0.536  -0.214 0.385  -0.261 0.236  -0.320 0.092  -0.380 -0.052  -0.439 -0.196  -0.499 -0.340  -0.560 -0.483  -0.622 -0.626  -0.683 -0.769  -0.734 -0.916  -0.784 -1.064  -0.835 -1.163  -0.780 -1.019  -0.714 -0.878  -0.624 -0.750  -0.535 -0.623  -0.437 -0.502  -0.327 -0.392  -0.217 -0.282  -0.107 -0.171  0.003 -0.061  0.114 0.049  0.229 0.154  0.347 0.255  0.473 0.345  0.598 0.384  0.678 0.251  0.738 0.108  0.781 -0.042  0.793 -0.196  0.793 -0.352  0.780 -0.507  0.749 -0.659  0.717 -0.812  0.672 -0.961  0.627 -1.110  0.564 -1.252  0.474 -1.360
2#apb#apb23#app2344/e  -1.199 -0.645  -1.185 -0.645  -1.023 -0.608  -0.862 -0.564  -0.706 -0.509  -0.567 -0.416  -0.428 -0.324  -0.289 -0.231  -0.158 -0.128  -0.028 -0.024  0.103 0.081  0.233 0.185  0.357 0.296  0.475 0.414  0.594 0.532  0.712 0.650  0.838 0.760  0.964 0.868  1.009 1.022  1.009 1.179  0.881 1.275  0.714 1.275  0.550 1.264  0.409 1.175  0.267 1.087  0.126 0.998  -0.016 0.910  -0.136 0.795  -0.249 0.672  -0.363 0.550  -0.477 0.428  -0.575 0.295  -0.650 0.145  -0.724 -0.004  -0.751 -0.167  -0.768 -0.333  -0.742 -0.493  -0.674 -0.645  -0.587 -0.781  -0.442 -0.864  -0.292 -0.933  -0.132 -0.981  0.028 -1.029  0.195 -1.029  0.362 -1.029  0.526 -1.007  0.686 -0.960  0.845 -0.910  0.995 -0.835  1.144 -0.761
2#apb#apb23#app2344/Y  -0.293 0.677  -0.322 0.803  -0.295 0.679  -0.268 0.551  -0.249 0.422  -0.229 0.293  -0.191 0.168  -0.116 0.062  -0.025 0.104  0.069 0.195  0.163 0.287  0.256 0.378  0.350 0.469  0.444 0.560  0.538 0.652  0.631 0.743  0.725 0.834  0.819 0.926  0.913 1.017  1.001 1.110  0.940 1.073  0.849 0.980  0.756 0.887  0.664 0.794  0.571 0.702  0.479 0.609  0.386 0.517  0.291 0.428  0.194 0.340  0.095 0.254  0.020 0.148  0.020 0.017  0.006 -0.113  -0.011 -0.243  -0.043 -0.370  -0.075 -0.497  -0.110 -0.623  -0.150 -0.747  -0.202 -0.867  -0.258 -0.985  -0.321 -1.100  -0.408 -1.198  -0.514 -1.272  -0.630 -1.332  -0.756 -1.368  -0.883 -1.394  -1.013 -1.410  -1.143 -1.401  -1.273 -1.384  -1.403 -1.372
2#apb#apb23#app2344/o  0.707 0.747  0.667 0.887  0.625 1.027  0.522 1.130  0.381 1.142  0.242 1.121  0.122 1.038  0.002 0.955  -0.118 0.872  -0.239 0.789  -0.330 0.675  -0.420 0.560  -0.510 0.445  -0.600 0.330  -0.687 0.213  -0.752 0.083  -0.818 -0.048  -0.883 -0.179  -0.948 -0.309  -0.965 -0.453  -0.978 -0.599  -0.990 -0.744  -0.981 -0.889  -0.960 -1.034  -0.849 -1.088  -0.705 -1.109  -0.559 -1.113  -0.413 -1.113  -0.267 -1.113  -0.121 -1.111  0.005 -1.038  0.131 -0.964  0.257 -0.891  0.379 -0.811  0.488 -0.714  0.598 -0.617  0.707 -0.520  0.788 -0.399  0.869 -0.277  0.942 -0.154  0.902 -0.014  0.859 0.125  0.784 0.250  0.708 0.376  0.633 0.501  0.550 0.621  0.466 0.741  0.383 0.860  0.260 0.905  0.114 0.905
2#apb#apb23#app2344/s  0.766 0.702  0.831 0.816  0.889 0.930  0.868 1.059  0.787 1.144  0.670 1.200  0.539 1.200  0.409 1.200  0.283 1.178  0.165 1.123  0.047 1.068  -0.071 1.013  -0.183 0.947  -0.288 0.869  -0.392 0.791  -0.496 0.712  -0.609 0.646  -0.722 0.581  -0.783 0.467  -0.794 0.355  -0.711 0.255  -0.607 0.176  -0.503 0.098  -0.398 0.020  -0.282 -0.036  -0.158 -0.075  -0.033 -0.114  0.091 -0.152  0.208 -0.208  0.320 -0.275  0.432 -0.342  0.534 -0.423  0.633 -0.508  0.719 -0.604  0.750 -0.717  0.655 -0.787  0.531 -0.828  0.412 -0.880  0.301 -0.948  0.190 -1.017  0.079 -1.085  -0.046 -1.096  -0.176 -1.087  -0.307 -1.079  -0.437 -1.071  -0.567 -1.071  -0.698 -1.071  -0.828 -1.071  -0.950 -1.029  -1.070 -0.978
2#apb#apb23#app2344/h  0.160 1.853  0.172 1.907  0.171 1.785  0.136 1.662  0.092 1.542  0.046 1.423  -0.000 1.304  -0.031 1.181  -0.049 1.054  -0.067 0.928  -0.091 0.803  -0.139 0.684  -0.186 0.565  -0.234 0.447  -0.281 0.328  -0.329 0.210  -0.384 0.094  -0.438 -0.022  -0.492 -0.137  -0.542 -0.255  -0.583 -0.376  -0.623 -0.497  -0.668 -0.616  -0.725 -0.731  -0.741 -0.825  -0.674 -0.718  -0.613 -0.607  -0.523 -0.516  -0.432 -0.426  -0.342 -0.335  -0.242 -0.258  -0.129 -0.198  -0.017 -0.137  0.096 -0.077  0.217 -0.035  0.338 0.005  0.451 -0.032  0.543 -0.114  0.605 -0.226  0.667 -0.337  0.663 -0.464  0.653 -0.591  0.643 -0.718  0.622 -0.844  0.599 -0.970  0.576 -1.096  0.551 -1.221  0.526 -1.346  0.496 -1.471  0.551 -1.580
2#apb#apb23#app2344/I  0.418 0.953  0.441 1.023  0.465 1.094  0.489 1.165  0.509 1.237  0.527 1.310  0.531 1.339  0.501 1.270  0.472 1.201  0.442 1.132  0.414 1.063  0.388 0.993  0.363 0.922  0.338 0.852  0.313 0.782  0.288 0.711  0.263 0.641  0.238 0.570  0.212 0.500  0.181 0.432  0.149 0.364  0.118 0.296  0.087 0.228  0.055 0.160  0.024 0.092  -0.007 0.025  -0.038 -0.044  -0.064 -0.114  -0.091 -0.184  -0.118 -0.253  -0.145 -0.323  -0.172 -0.393  -0.199 -0.463  -0.226 -0.533  -0.252 -0.603  -0.277 -0.673  -0.303 -0.743  -0.328 -0.814  -0.354 -0.884  -0.379 -0.954  -0.406 -1.024  -0.433 -1.094  -0.461 -1.163  -0.489 -1.233  -0.517 -1.302  -0.544 -1.371  -0.570 -1.442  -0.594 -1.513  -0.618 -1.584  -0.641 -1.654
2#apb#apb23#app2344/n  0.090 1.226  -0.044 1.226  0.001 1.167  -0.086 1.036  -0.168 0.902  -0.233 0.759  -0.299 0.615  -0.364 0.472  -0.437 0.333  -0.518 0.198  -0.599 0.063  -0.680 -0.072  -0.732 -0.220  -0.782 -0.369  -0.832 -0.518  -0.882 -0.668  -0.944 -0.812  -1.006 -0.957  -1.119 -1.053  -1.003 -1.007  -0.933 -0.866  -0.860 -0.727  -0.782 -0.590  -0.704 -0.454  -0.610 -0.328  -0.512 -0.205  -0.413 -0.082  -0.315 0.041  -0.212 0.160  -0.109 0.278  -0.005 0.397  0.111 0.502  0.237 0.596  0.363 0.691  0.504 0.741  0.661 0.741  0.814 0.705  0.908 0.598  0.972 0.454  1.036 0.310  1.080 0.160  1.111 0.006  1.141 -0.149  1.143 -0.303  1.112 -0.457  1.082 -0.611  1.042 -0.763  0.983 -0.909  0.925 -1.055  0.866 -1.201
2#apb#apb23#app2344/c  1.099 0.891  1.072 0.998  0.999 1.054  0.889 1.069  0.781 1.079  0.677 1.042  0.572 1.005  0.468 0.968  0.364 0.931  0.260 0.894  0.158 0.850  0.057 0.807  -0.045 0.763  -0.146 0.720  -0.248 0.676  -0.337 0.613  -0.419 0.539  -0.501 0.465  -0.582 0.390  -0.664 0.316  -0.738 0.234  -0.801 0.144  -0.864 0.053  -0.928 -0.038  -0.981 -0.132  -0.997 -0.241  -1.012 -0.351  -0.984 -0.454  -0.940 -0.556  -0.891 -0.652  -0.792 -0.702  -0.693 -0.751  -0.586 -0.771  -0.476 -0.781  -0.366 -0.791  -0.256 -0.801  -0.145 -0.794  -0.035 -0.785  0.075 -0.777  0.185 -0.768  0.295 -0.754  0.403 -0.731  0.511 -0.708  0.619 -0.685  0.727 -0.661  0.834 -0.634  0.939 -0.599  1.043 -0.564  1.148 -0.529  1.253 -0.494
2#apb#apb23#app2344/.  -1.507 0.228  -1.451 0.172  -1.395 0.116  -1.339 0.060  -1.283 0.005  -1.228 -0.051  -1.172 -0.107  -1.116 -0.163  -1.060 -0.219  -1.004 -0.275  -0.948 -0.331  -0.892 -0.387  -0.836 -0.443  -0.780 -0.499  -0.706 -0.511  -0.627 -0.511  -0.548 -0.511  -0.469 -0.511  -0.390 -0.511  -0.311 -0.511  -0.231 -0.511  -0.152 -0.511  -0.073 -0.511  -0.004 -0.487  0.052 -0.431  0.108 -0.375  0.164 -0.319  0.219 -0.263  0.275 -0.207  0.331 -0.151  0.387 -0.095  0.443 -0.039  0.499 0.017  0.555 0.073  0.611 0.129  0.667 0.185  0.723 0.240  0.779 0.296  0.835 0.352  0.891 0.408  0.947 0.464  1.003 0.520  1.058 0.576  1.114 0.632  1.170 0.688  1.226 0.744  1.282 0.800  1.338 0.856  1.394 0.912  1.450 0.968
