1a#aga#greghunt/1  0.049 1.705  0.049 1.635  0.049 1.565  0.049 1.495  0.049 1.425  0.049 1.355  0.049 1.285  0.049 1.215  0.049 1.144  0.049 1.074  0.049 1.004  0.042 0.935  0.028 0.866  0.015 0.797  0.001 0.729  -0.005 0.659  -0.005 0.589  -0.005 0.519  -0.005 0.449  -0.005 0.379  -0.005 0.309  -0.005 0.238  -0.005 0.168  -0.005 0.098  -0.005 0.028  -0.005 -0.042  -0.005 -0.112  -0.005 -0.182  -0.005 -0.252  -0.005 -0.322  -0.005 -0.392  -0.011 -0.462  -0.033 -0.528  -0.056 -0.595  -0.078 -0.661  -0.087 -0.730  -0.087 -0.800  -0.087 -0.870  -0.084 -0.940  -0.059 -1.005  -0.034 -1.071  -0.010 -1.136  -0.005 -1.206  -0.005 -1.276  0.003 -1.345  0.020 -1.413  0.022 -1.483  0.022 -1.553  0.022 -1.623  -0.005 -1.666
1a#aga#greghunt/4  0.807 -0.321  0.670 -0.408  0.515 -0.470  0.355 -0.519  0.192 -0.558  0.027 -0.585  -0.139 -0.604  -0.306 -0.622  -0.473 -0.622  -0.640 -0.608  -0.807 -0.599  -0.975 -0.599  -1.141 -0.597  -1.148 -0.489  -1.062 -0.347  -0.962 -0.213  -0.860 -0.080  -0.762 0.056  -0.643 0.174  -0.539 0.305  -0.439 0.439  -0.346 0.579  -0.244 0.711  -0.139 0.842  -0.049 0.984  0.045 1.122  0.154 1.249  0.266 1.374  0.379 1.498  0.519 1.578  0.552 1.445  0.552 1.277  0.542 1.110  0.527 0.943  0.513 0.776  0.492 0.610  0.467 0.444  0.441 0.279  0.416 0.113  0.386 -0.052  0.356 -0.217  0.326 -0.382  0.321 -0.549  0.320 -0.716  0.290 -0.881  0.274 -1.047  0.272 -1.214  0.239 -1.379  0.209 -1.541  0.251 -1.688
1a#aga#greghunt/5  0.850 1.376  0.904 1.322  0.818 1.289  0.737 1.237  0.647 1.197  0.558 1.157  0.469 1.117  0.372 1.105  0.278 1.080  0.186 1.046  0.091 1.027  -0.006 1.015  -0.099 0.993  -0.170 0.944  -0.198 0.858  -0.219 0.765  -0.234 0.670  -0.234 0.572  -0.258 0.478  -0.283 0.384  -0.305 0.288  -0.316 0.194  -0.381 0.129  -0.388 0.032  -0.425 -0.039  -0.370 -0.087  -0.275 -0.094  -0.190 -0.141  -0.103 -0.184  -0.025 -0.244  0.049 -0.307  0.109 -0.385  0.170 -0.462  0.216 -0.548  0.269 -0.630  0.297 -0.723  0.266 -0.816  0.262 -0.913  0.211 -0.990  0.142 -1.059  0.067 -1.122  -0.017 -1.171  -0.107 -1.210  -0.200 -1.241  -0.293 -1.272  -0.381 -1.316  -0.476 -1.325  -0.574 -1.332  -0.672 -1.342  -0.767 -1.325
1a#aga#greghunt/7  -0.371 0.225  -0.371 0.329  -0.371 0.432  -0.371 0.536  -0.369 0.640  -0.352 0.742  -0.302 0.832  -0.274 0.931  -0.244 1.030  -0.229 1.131  -0.229 1.234  -0.229 1.338  -0.148 1.316  -0.101 1.227  -0.050 1.137  0.007 1.051  0.034 0.956  0.079 0.866  0.130 0.776  0.156 0.679  0.230 0.611  0.315 0.551  0.389 0.478  0.475 0.422  0.557 0.362  0.621 0.283  0.621 0.179  0.600 0.081  0.566 -0.017  0.541 -0.117  0.495 -0.210  0.443 -0.299  0.374 -0.377  0.306 -0.454  0.253 -0.543  0.203 -0.634  0.152 -0.724  0.102 -0.815  0.046 -0.902  -0.012 -0.988  -0.065 -1.077  -0.120 -1.164  -0.193 -1.238  -0.262 -1.315  -0.329 -1.394  -0.403 -1.467  -0.476 -1.540  -0.544 -1.618  -0.608 -1.700  -0.674 -1.779
1a#aga#greghunt/9  0.457 0.779  0.435 0.886  0.415 0.994  0.370 1.099  0.294 1.182  0.201 1.245  0.091 1.273  -0.023 1.279  -0.133 1.268  -0.232 1.212  -0.316 1.140  -0.382 1.047  -0.438 0.948  -0.486 0.845  -0.529 0.739  -0.552 0.628  -0.576 0.516  -0.580 0.403  -0.580 0.289  -0.580 0.175  -0.527 0.079  -0.447 0.006  -0.336 -0.016  -0.226 0.002  -0.123 0.050  -0.015 0.086  0.094 0.116  0.192 0.175  0.293 0.223  0.400 0.207  0.422 0.098  0.439 -0.013  0.420 -0.125  0.390 -0.235  0.369 -0.346  0.350 -0.459  0.308 -0.564  0.261 -0.668  0.229 -0.777  0.199 -0.887  0.169 -0.997  0.138 -1.106  0.102 -1.214  0.078 -1.325  0.053 -1.436  0.032 -1.546  0.022 -1.659  -0.020 -1.764  -0.061 -1.867  -0.061 -1.981
1a#aga#greghunt/4  0.754 0.012  0.702 -0.058  0.559 -0.140  0.408 -0.205  0.253 -0.262  0.095 -0.307  -0.067 -0.337  -0.228 -0.369  -0.389 -0.403  -0.551 -0.427  -0.716 -0.427  -0.881 -0.427  -1.025 -0.420  -1.025 -0.269  -0.966 -0.117  -0.896 0.030  -0.803 0.166  -0.708 0.301  -0.617 0.438  -0.519 0.570  -0.420 0.702  -0.311 0.825  -0.201 0.947  -0.088 1.067  0.025 1.187  0.138 1.307  0.268 1.408  0.400 1.504  0.497 1.419  0.512 1.259  0.512 1.094  0.512 0.930  0.502 0.766  0.472 0.604  0.447 0.441  0.422 0.278  0.398 0.115  0.375 -0.048  0.354 -0.211  0.327 -0.373  0.282 -0.531  0.242 -0.691  0.217 -0.854  0.185 -1.015  0.148 -1.175  0.117 -1.337  0.104 -1.499  0.073 -1.659  0.060 -1.822  0.051 -1.986
1a#aga#greghunt/6  0.310 1.854  0.303 1.719  0.212 1.624  0.115 1.530  0.012 1.441  -0.085 1.346  -0.175 1.245  -0.241 1.126  -0.320 1.017  -0.404 0.909  -0.487 0.802  -0.560 0.688  -0.628 0.570  -0.703 0.457  -0.742 0.329  -0.766 0.195  -0.794 0.063  -0.820 -0.070  -0.820 -0.206  -0.820 -0.341  -0.790 -0.468  -0.712 -0.579  -0.632 -0.689  -0.536 -0.785  -0.439 -0.880  -0.318 -0.940  -0.194 -0.995  -0.060 -1.009  0.074 -0.998  0.199 -0.944  0.323 -0.891  0.448 -0.837  0.573 -0.784  0.684 -0.705  0.783 -0.612  0.879 -0.516  0.945 -0.398  0.988 -0.275  0.965 -0.146  0.919 -0.036  0.799 0.027  0.665 0.015  0.544 -0.044  0.419 -0.097  0.301 -0.158  0.222 -0.268  0.146 -0.379  0.104 -0.508  0.069 -0.636  0.046 -0.764
1a#aga#greghunt/8  0.706 1.176  0.613 1.213  0.450 1.179  0.294 1.120  0.135 1.067  -0.017 0.996  -0.163 0.915  -0.317 0.850  -0.457 0.757  -0.599 0.667  -0.718 0.553  -0.739 0.395  -0.695 0.240  -0.626 0.091  -0.504 -0.024  -0.382 -0.136  -0.242 -0.229  -0.108 -0.330  0.026 -0.431  0.155 -0.539  0.275 -0.655  0.380 -0.786  0.424 -0.946  0.424 -1.114  0.357 -1.263  0.256 -1.395  0.102 -1.455  -0.062 -1.450  -0.224 -1.406  -0.383 -1.354  -0.519 -1.258  -0.554 -1.104  -0.589 -0.941  -0.554 -0.781  -0.477 -0.632  -0.396 -0.485  -0.309 -0.341  -0.218 -0.201  -0.124 -0.061  -0.028 0.077  0.068 0.215  0.164 0.352  0.264 0.487  0.369 0.618  0.482 0.742  0.595 0.866  0.708 0.991  0.813 1.122  0.919 1.252  1.025 1.382
1a#aga#greghunt/9  0.725 0.666  0.686 0.781  0.639 0.903  0.557 1.014  0.467 1.118  0.369 1.216  0.258 1.288  0.131 1.327  -0.001 1.292  -0.125 1.232  -0.248 1.169  -0.346 1.072  -0.443 0.974  -0.533 0.869  -0.585 0.744  -0.635 0.615  -0.678 0.484  -0.693 0.348  -0.731 0.217  -0.751 0.083  -0.724 -0.052  -0.676 -0.181  -0.572 -0.270  -0.458 -0.345  -0.324 -0.363  -0.194 -0.318  -0.068 -0.262  0.025 -0.160  0.118 -0.058  0.215 0.040  0.297 0.151  0.392 0.250  0.511 0.253  0.472 0.121  0.445 -0.014  0.414 -0.149  0.381 -0.283  0.349 -0.417  0.318 -0.552  0.275 -0.683  0.231 -0.814  0.188 -0.945  0.158 -1.080  0.134 -1.216  0.102 -1.349  0.055 -1.479  0.011 -1.610  -0.032 -1.741  -0.052 -1.876  -0.052 -2.014
1a#aga#greghunt/0  0.108 0.872  0.181 0.958  0.283 1.012  0.399 1.021  0.512 1.005  0.603 0.937  0.689 0.859  0.745 0.761  0.786 0.652  0.826 0.544  0.852 0.431  0.872 0.316  0.885 0.201  0.891 0.085  0.891 -0.031  0.880 -0.146  0.862 -0.261  0.844 -0.375  0.822 -0.489  0.776 -0.596  0.719 -0.696  0.647 -0.786  0.557 -0.859  0.450 -0.902  0.340 -0.940  0.229 -0.969  0.113 -0.969  -0.001 -0.948  -0.112 -0.916  -0.217 -0.867  -0.317 -0.809  -0.413 -0.743  -0.499 -0.665  -0.584 -0.586  -0.664 -0.503  -0.740 -0.415  -0.811 -0.323  -0.874 -0.226  -0.937 -0.128  -0.996 -0.028  -1.051 0.073  -1.065 0.189  -1.074 0.304  -1.074 0.420  -1.052 0.534  -1.015 0.643  -0.963 0.747  -0.869 0.815  -0.769 0.873  -0.664 0.922
1a#aga#greghunt/3  -0.521 1.108  -0.521 1.206  -0.462 1.255  -0.377 1.284  -0.280 1.284  -0.182 1.284  -0.087 1.270  0.007 1.244  0.103 1.227  0.187 1.179  0.270 1.128  0.347 1.068  0.405 0.994  0.441 0.904  0.446 0.808  0.424 0.713  0.402 0.618  0.375 0.524  0.316 0.448  0.263 0.366  0.191 0.301  0.110 0.248  0.024 0.202  -0.063 0.160  -0.151 0.124  -0.169 0.045  -0.169 -0.052  -0.105 -0.125  -0.036 -0.193  0.029 -0.265  0.098 -0.334  0.160 -0.409  0.228 -0.479  0.257 -0.569  0.264 -0.666  0.268 -0.763  0.257 -0.860  0.217 -0.949  0.178 -1.038  0.137 -1.126  0.064 -1.190  -0.014 -1.249  -0.096 -1.300  -0.187 -1.334  -0.281 -1.360  -0.376 -1.382  -0.473 -1.388  -0.569 -1.373  -0.650 -1.333  -0.698 -1.256
