1c#tos#t3#t3011062/a  -1.168 0.805  -1.047 0.925  -0.858 1.027  -0.690 1.118  -0.475 1.138  -0.271 1.172  -0.128 1.253  0.050 1.298  0.229 1.253  0.357 1.132  0.402 0.953  0.402 0.730  0.402 0.506  0.447 0.301  0.447 0.078  0.447 -0.145  0.452 -0.367  0.537 -0.555  0.674 -0.676  0.852 -0.721  1.065 -0.765  1.289 -0.765  1.360 -0.747  1.173 -0.626  0.985 -0.505  0.797 -0.384  0.610 -0.262  0.422 -0.141  0.234 -0.020  0.046 0.101  0.056 0.177  -0.074 0.339  -0.290 0.356  -0.495 0.337  -0.646 0.261  -0.774 0.132  -0.902 0.018  -1.033 -0.090  -1.078 -0.295  -1.093 -0.512  -1.123 -0.723  -0.967 -0.807  -0.774 -0.855  -0.569 -0.900  -0.345 -0.900  -0.152 -0.826  0.064 -0.810  0.243 -0.765  0.371 -0.662  0.537 -0.586
1c#tos#t3#t3011062/c  0.547 0.724  0.535 0.833  0.450 0.883  0.394 0.974  0.346 1.064  0.239 1.081  0.138 1.112  0.035 1.086  -0.070 1.064  -0.184 1.064  -0.291 1.034  -0.393 0.983  -0.460 0.897  -0.522 0.835  -0.611 0.776  -0.666 0.678  -0.716 0.585  -0.765 0.519  -0.765 0.405  -0.813 0.311  -0.813 0.197  -0.813 0.083  -0.813 -0.031  -0.813 -0.145  -0.772 -0.241  -0.716 -0.332  -0.693 -0.441  -0.615 -0.499  -0.558 -0.595  -0.473 -0.657  -0.388 -0.685  -0.274 -0.685  -0.182 -0.707  -0.182 -0.821  -0.078 -0.831  0.036 -0.831  0.150 -0.831  0.264 -0.831  0.378 -0.831  0.492 -0.831  0.603 -0.824  0.683 -0.743  0.773 -0.685  0.887 -0.685  1.001 -0.685  1.101 -0.640  1.198 -0.579  1.302 -0.540  1.416 -0.540  1.470 -0.442
1c#tos#t3#t3011062/e  -0.875 0.223  -0.714 0.171  -0.543 0.167  -0.370 0.167  -0.198 0.167  -0.025 0.167  0.147 0.167  0.320 0.167  0.490 0.175  0.651 0.223  0.811 0.279  0.927 0.336  0.979 0.456  0.971 0.625  0.865 0.760  0.792 0.897  0.628 0.933  0.460 0.953  0.311 1.010  0.138 1.010  -0.034 1.010  -0.183 0.953  -0.334 0.876  -0.492 0.841  -0.538 0.714  -0.650 0.654  -0.771 0.560  -0.875 0.491  -0.931 0.375  -0.931 0.202  -0.931 0.030  -0.931 -0.143  -0.931 -0.315  -0.905 -0.477  -0.806 -0.576  -0.675 -0.676  -0.582 -0.788  -0.487 -0.895  -0.369 -0.986  -0.223 -1.013  -0.051 -1.013  0.122 -1.013  0.283 -1.058  0.453 -1.069  0.626 -1.069  0.798 -1.069  0.958 -1.013  1.107 -0.956  1.201 -0.847  1.316 -0.788
1c#tos#t3#t3011062/g  0.613 1.765  0.570 1.807  0.527 1.564  0.448 1.352  0.368 1.103  0.288 0.855  0.207 0.607  0.127 0.358  0.064 0.122  -0.050 0.122  -0.275 0.209  -0.462 0.351  -0.589 0.511  -0.582 0.760  -0.425 0.917  -0.200 0.987  0.061 0.987  0.267 0.907  0.440 0.794  0.570 0.662  0.656 0.488  0.570 0.314  0.457 0.165  0.239 0.122  -0.022 0.122  -0.283 0.122  -0.500 0.079  -0.598 -0.085  -0.425 -0.224  -0.182 -0.267  0.079 -0.267  0.281 -0.367  0.493 -0.488  0.677 -0.610  0.743 -0.822  0.750 -1.031  0.613 -1.194  0.423 -1.288  0.207 -1.348  -0.046 -1.391  -0.307 -1.391  -0.511 -1.334  -0.738 -1.294  -0.892 -1.097  -0.987 -0.892  -0.962 -0.743  -0.772 -0.613  -0.557 -0.483  -0.296 -0.483  -0.079 -0.440
1c#tos#t3#t3011062/h  -0.348 1.783  -0.348 1.817  -0.348 1.635  -0.348 1.452  -0.348 1.269  -0.348 1.086  -0.348 0.903  -0.348 0.720  -0.348 0.538  -0.348 0.355  -0.348 0.172  -0.348 -0.011  -0.348 -0.194  -0.348 -0.377  -0.348 -0.560  -0.348 -0.742  -0.348 -0.925  -0.348 -1.108  -0.381 -1.258  -0.456 -1.365  -0.456 -1.293  -0.456 -1.110  -0.456 -0.927  -0.456 -0.744  -0.456 -0.561  -0.456 -0.378  -0.402 -0.218  -0.321 -0.064  -0.294 0.112  -0.255 0.286  -0.131 0.398  -0.076 0.527  0.032 0.643  0.106 0.752  0.266 0.806  0.395 0.752  0.521 0.695  0.575 0.534  0.704 0.480  0.738 0.331  0.738 0.149  0.792 0.020  0.792 -0.163  0.792 -0.346  0.792 -0.529  0.792 -0.711  0.792 -0.894  0.792 -1.077  0.847 -1.238  0.847 -1.420
1c#tos#t3#t3011062/i  0.189 0.044  0.183 0.156  0.189 0.144  0.189 0.027  0.189 -0.091  0.189 -0.208  0.189 -0.326  0.189 -0.443  0.210 -0.556  0.245 -0.665  0.245 -0.783  0.245 -0.900  0.245 -1.018  0.245 -1.135  0.245 -1.253  0.245 -1.370  0.245 -1.488  0.184 -1.493  0.163 -1.378  0.142 -1.262  0.121 -1.147  0.100 -1.031  0.079 -0.915  0.058 -0.800  0.037 -0.684  0.016 -0.568  -0.005 -0.453  -0.026 -0.337  -0.047 -0.222  -0.068 -0.106  -0.089 0.010  -0.110 0.125  -0.131 0.241  -0.152 0.357  -0.173 0.472  -0.194 0.588  -0.215 0.704  -0.236 0.819  -0.257 0.935  -0.278 1.050  -0.299 1.166  -0.320 1.282  -0.341 1.397  -0.362 1.513  -0.370 1.630  -0.343 1.721  -0.249 1.665  -0.189 1.602  -0.087 1.546  -0.034 1.441
1c#tos#t3#t3011062/j  0.238 1.467  0.238 1.574  0.157 1.593  0.238 1.567  0.312 1.509  0.335 1.425  0.360 1.347  0.355 1.240  0.349 1.133  0.343 1.026  0.338 0.920  0.332 0.813  0.326 0.706  0.322 0.650  0.322 0.660  0.322 0.553  0.345 0.451  0.364 0.349  0.364 0.242  0.364 0.135  0.364 0.028  0.364 -0.080  0.364 -0.187  0.364 -0.294  0.374 -0.397  0.406 -0.490  0.406 -0.597  0.364 -0.662  0.323 -0.744  0.280 -0.825  0.243 -0.905  0.140 -0.934  0.069 -0.970  -0.027 -0.988  -0.121 -1.019  -0.228 -1.019  -0.335 -1.019  -0.443 -1.019  -0.550 -1.019  -0.599 -0.940  -0.662 -0.892  -0.731 -0.854  -0.773 -0.764  -0.815 -0.699  -0.857 -0.610  -0.857 -0.503  -0.857 -0.396  -0.857 -0.289  -0.857 -0.182  -0.815 -0.092
1c#tos#t3#t3011062/k  -0.464 1.872  -0.464 2.039  -0.464 1.818  -0.482 1.602  -0.561 1.405  -0.561 1.184  -0.561 0.962  -0.561 0.741  -0.561 0.520  -0.561 0.299  -0.561 0.078  -0.561 -0.143  -0.561 -0.365  -0.561 -0.586  -0.561 -0.807  -0.561 -1.028  -0.561 -1.249  -0.561 -1.290  -0.451 -1.111  -0.304 -0.945  -0.157 -0.780  -0.010 -0.615  0.136 -0.450  0.283 -0.284  0.430 -0.119  0.577 0.046  0.724 0.212  0.871 0.377  1.031 0.513  0.974 0.561  0.780 0.495  0.572 0.464  0.410 0.320  0.261 0.197  0.050 0.134  -0.129 0.024  -0.306 -0.109  -0.524 -0.118  -0.613 -0.206  -0.396 -0.163  -0.179 -0.120  0.021 -0.079  0.136 -0.233  0.281 -0.372  0.456 -0.505  0.640 -0.611  0.798 -0.760  0.960 -0.831  1.131 -0.943  1.283 -1.040
1c#tos#t3#t3011062/o  0.310 0.788  0.157 0.836  -0.006 0.836  -0.169 0.835  -0.294 0.741  -0.429 0.671  -0.555 0.587  -0.629 0.441  -0.694 0.329  -0.790 0.262  -0.885 0.137  -0.920 -0.011  -0.979 -0.162  -0.980 -0.326  -0.980 -0.489  -1.028 -0.633  -1.028 -0.797  -0.963 -0.932  -0.851 -0.996  -0.698 -1.042  -0.539 -1.075  -0.376 -1.075  -0.212 -1.075  -0.051 -1.064  0.104 -1.027  0.250 -0.971  0.397 -0.902  0.508 -0.822  0.644 -0.765  0.769 -0.678  0.883 -0.604  0.897 -0.454  0.931 -0.324  1.026 -0.256  1.026 -0.093  1.026 0.071  1.026 0.234  0.965 0.372  0.866 0.502  0.776 0.597  0.740 0.725  0.593 0.742  0.446 0.816  0.383 0.932  0.220 0.932  0.071 0.917  -0.060 0.884  -0.223 0.884  -0.312 0.809  -0.359 0.693
1c#tos#t3#t3011062/p  -0.270 1.106  -0.211 1.263  -0.211 1.086  -0.211 0.870  -0.211 0.655  -0.211 0.439  -0.211 0.223  -0.211 0.008  -0.211 -0.208  -0.211 -0.424  -0.211 -0.639  -0.211 -0.855  -0.211 -1.071  -0.211 -1.287  -0.270 -1.478  -0.270 -1.694  -0.270 -1.760  -0.278 -1.545  -0.293 -1.330  -0.308 -1.115  -0.324 -0.899  -0.339 -0.684  -0.355 -0.469  -0.370 -0.254  -0.385 -0.039  -0.401 0.176  -0.416 0.392  -0.431 0.607  -0.446 0.822  -0.446 1.038  -0.357 1.165  -0.156 1.224  0.060 1.224  0.276 1.224  0.441 1.129  0.600 0.994  0.805 0.929  0.907 0.815  0.991 0.652  1.083 0.471  1.083 0.255  0.966 0.088  0.853 -0.040  0.703 -0.143  0.510 -0.239  0.354 -0.388  0.186 -0.519  -0.019 -0.575  -0.230 -0.600  -0.446 -0.600
1c#tos#t3#t3011062/r  -0.720 0.914  -0.720 1.030  -0.653 0.946  -0.605 0.823  -0.519 0.725  -0.519 0.573  -0.510 0.423  -0.453 0.282  -0.397 0.141  -0.385 -0.008  -0.385 -0.160  -0.385 -0.312  -0.385 -0.463  -0.346 -0.609  -0.318 -0.756  -0.312 -0.906  -0.251 -1.044  -0.251 -1.196  -0.251 -1.347  -0.251 -1.499  -0.251 -1.479  -0.251 -1.328  -0.251 -1.176  -0.375 -1.101  -0.385 -0.955  -0.385 -0.803  -0.385 -0.652  -0.385 -0.500  -0.339 -0.356  -0.310 -0.209  -0.251 -0.071  -0.213 0.043  -0.097 0.129  -0.050 0.261  -0.050 0.413  -0.050 0.565  0.088 0.579  0.240 0.579  0.359 0.656  0.443 0.782  0.560 0.847  0.712 0.847  0.863 0.847  1.015 0.847  1.100 0.780  1.252 0.780  1.370 0.700  1.458 0.579  1.546 0.458  1.626 0.378
