3#apb#apb14#app1422/k  -0.431 1.414  -0.415 1.598  -0.339 1.662  -0.291 1.475  -0.299 1.288  -0.339 1.098  -0.339 0.904  -0.339 0.710  -0.363 0.518  -0.396 0.327  -0.429 0.136  -0.463 -0.056  -0.496 -0.247  -0.524 -0.439  -0.534 -0.632  -0.544 -0.826  -0.562 -1.020  -0.551 -1.212  -0.492 -1.259  -0.541 -1.071  -0.590 -0.883  -0.639 -0.696  -0.688 -0.508  -0.737 -0.320  -0.731 -0.160  -0.602 -0.023  -0.447 0.094  -0.277 0.187  -0.105 0.277  0.070 0.360  0.251 0.431  0.432 0.502  0.605 0.589  0.787 0.652  0.976 0.697  0.959 0.600  0.805 0.482  0.670 0.344  0.511 0.266  0.368 0.178  0.308 -0.004  0.351 -0.190  0.407 -0.376  0.479 -0.555  0.576 -0.723  0.698 -0.873  0.830 -1.015  0.975 -1.144  1.130 -1.261  1.313 -1.294
3#apb#apb14#app1422/e  -0.425 -0.327  -0.358 -0.327  -0.220 -0.327  -0.091 -0.281  0.038 -0.232  0.171 -0.197  0.305 -0.166  0.440 -0.135  0.563 -0.084  0.666 0.008  0.769 0.099  0.867 0.195  0.952 0.304  1.036 0.413  1.100 0.531  1.122 0.666  1.101 0.801  1.005 0.886  0.885 0.953  0.763 1.015  0.626 1.026  0.488 1.038  0.351 1.049  0.224 0.996  0.097 0.943  -0.030 0.890  -0.155 0.831  -0.278 0.770  -0.401 0.708  -0.493 0.609  -0.577 0.500  -0.662 0.391  -0.723 0.268  -0.780 0.143  -0.838 0.018  -0.883 -0.110  -0.883 -0.247  -0.883 -0.385  -0.848 -0.515  -0.794 -0.642  -0.739 -0.769  -0.685 -0.895  -0.598 -1.000  -0.501 -1.097  -0.404 -1.194  -0.303 -1.288  -0.184 -1.356  -0.064 -1.425  0.055 -1.493  0.175 -1.561
3#apb#apb14#app1422/e  -0.895 -0.654  -0.743 -0.654  -0.594 -0.623  -0.447 -0.584  -0.300 -0.545  -0.153 -0.506  -0.006 -0.466  0.141 -0.427  0.288 -0.388  0.433 -0.344  0.565 -0.267  0.697 -0.190  0.828 -0.113  0.938 -0.010  1.040 0.103  1.142 0.216  1.217 0.344  1.254 0.491  1.255 0.637  1.194 0.774  1.063 0.852  0.932 0.931  0.798 0.998  0.647 1.022  0.497 1.045  0.346 1.068  0.208 1.007  0.069 0.944  -0.069 0.880  -0.203 0.808  -0.331 0.726  -0.460 0.645  -0.583 0.557  -0.691 0.449  -0.799 0.341  -0.901 0.230  -0.954 0.087  -1.007 -0.055  -1.007 -0.208  -1.007 -0.360  -1.001 -0.510  -0.894 -0.617  -0.786 -0.725  -0.662 -0.811  -0.528 -0.883  -0.394 -0.955  -0.260 -1.027  -0.110 -1.053  0.041 -1.078  0.191 -1.103
3#apb#apb14#app1422/p  0.168 1.084  0.114 1.052  0.043 0.898  -0.035 0.746  -0.115 0.595  -0.194 0.445  -0.254 0.285  -0.313 0.125  -0.371 -0.036  -0.438 -0.192  -0.506 -0.349  -0.574 -0.505  -0.632 -0.665  -0.686 -0.827  -0.740 -0.989  -0.782 -1.154  -0.824 -1.320  -0.851 -1.488  -0.845 -1.477  -0.814 -1.310  -0.747 -1.154  -0.688 -0.994  -0.647 -0.829  -0.605 -0.663  -0.547 -0.503  -0.481 -0.346  -0.414 -0.189  -0.348 -0.032  -0.282 0.125  -0.202 0.275  -0.102 0.413  0.001 0.549  0.116 0.674  0.232 0.800  0.379 0.886  0.529 0.967  0.688 1.028  0.851 1.049  1.018 1.017  1.139 0.896  1.188 0.739  1.209 0.570  1.184 0.402  1.121 0.251  1.005 0.126  0.889 0.001  0.754 -0.104  0.619 -0.208  0.471 -0.291  0.321 -0.372
3#apb#apb14#app1422/v  -0.749 0.748  -0.726 0.799  -0.726 0.865  -0.747 0.760  -0.757 0.654  -0.766 0.548  -0.774 0.441  -0.780 0.334  -0.787 0.228  -0.793 0.121  -0.795 0.014  -0.795 -0.093  -0.795 -0.200  -0.791 -0.306  -0.784 -0.413  -0.777 -0.520  -0.752 -0.621  -0.701 -0.715  -0.650 -0.809  -0.589 -0.896  -0.523 -0.981  -0.448 -1.039  -0.343 -1.019  -0.239 -0.995  -0.153 -0.932  -0.067 -0.869  0.019 -0.806  0.104 -0.741  0.164 -0.653  0.225 -0.565  0.285 -0.477  0.345 -0.389  0.406 -0.300  0.468 -0.213  0.529 -0.126  0.591 -0.038  0.653 0.049  0.707 0.141  0.757 0.235  0.807 0.330  0.857 0.424  0.902 0.521  0.941 0.620  0.981 0.719  1.021 0.818  1.087 0.903  1.153 0.987  1.208 1.078  1.256 1.173  1.342 1.207
3#apb#apb14#app1422/e  -0.594 -0.155  -0.671 -0.175  -0.558 -0.262  -0.407 -0.275  -0.255 -0.275  -0.103 -0.265  0.049 -0.253  0.195 -0.223  0.323 -0.141  0.452 -0.059  0.573 0.033  0.691 0.130  0.809 0.226  0.889 0.354  0.955 0.491  0.997 0.637  0.955 0.779  0.899 0.921  0.788 1.015  0.654 1.089  0.515 1.151  0.374 1.204  0.222 1.219  0.074 1.218  -0.059 1.144  -0.191 1.067  -0.313 0.976  -0.430 0.879  -0.523 0.759  -0.617 0.639  -0.665 0.495  -0.710 0.349  -0.750 0.203  -0.773 0.052  -0.796 -0.099  -0.782 -0.247  -0.745 -0.395  -0.708 -0.543  -0.647 -0.678  -0.544 -0.791  -0.442 -0.904  -0.331 -1.007  -0.209 -1.099  -0.087 -1.190  0.046 -1.260  0.191 -1.305  0.337 -1.350  0.488 -1.360  0.640 -1.360  0.792 -1.360
3#apb#apb14#app1422/x  -1.320 1.464  -1.354 1.329  -1.280 1.177  -1.199 1.029  -1.113 0.882  -1.028 0.736  -0.912 0.614  -0.787 0.500  -0.662 0.385  -0.550 0.259  -0.453 0.120  -0.357 -0.019  -0.261 -0.159  -0.167 -0.300  -0.073 -0.441  0.024 -0.579  0.130 -0.712  0.236 -0.844  0.345 -0.974  0.455 -1.102  0.602 -1.181  0.722 -1.188  0.735 -1.019  0.749 -0.850  0.762 -0.682  0.775 -0.513  0.789 -0.344  0.802 -0.175  0.816 -0.006  0.829 0.163  0.842 0.332  0.856 0.501  0.869 0.670  0.883 0.839  0.863 0.890  0.747 0.767  0.628 0.647  0.508 0.527  0.388 0.408  0.268 0.288  0.142 0.175  0.008 0.072  -0.127 -0.031  -0.259 -0.137  -0.373 -0.262  -0.487 -0.387  -0.600 -0.513  -0.702 -0.649  -0.804 -0.785  -0.905 -0.920
3#apb#apb14#app1422/i  0.566 0.357  0.540 0.476  0.535 0.478  0.515 0.358  0.488 0.239  0.462 0.120  0.432 0.001  0.402 -0.117  0.373 -0.235  0.343 -0.354  0.314 -0.472  0.284 -0.590  0.253 -0.708  0.192 -0.814  0.132 -0.920  0.071 -1.026  0.018 -1.135  -0.032 -1.247  -0.087 -1.355  -0.146 -1.462  -0.182 -1.480  -0.182 -1.358  -0.182 -1.236  -0.182 -1.114  -0.182 -0.992  -0.182 -0.870  -0.182 -0.748  -0.182 -0.626  -0.182 -0.504  -0.182 -0.382  -0.182 -0.260  -0.182 -0.138  -0.182 -0.016  -0.182 0.106  -0.182 0.228  -0.182 0.350  -0.182 0.472  -0.182 0.594  -0.182 0.716  -0.182 0.838  -0.182 0.960  -0.182 1.082  -0.182 1.204  -0.182 1.326  -0.182 1.448  -0.182 1.570  -0.182 1.692  -0.245 1.788  -0.304 1.880  -0.182 1.880
3#apb#apb14#app1422/n  -0.218 1.032  -0.204 1.028  -0.273 0.867  -0.342 0.705  -0.412 0.544  -0.499 0.392  -0.596 0.246  -0.691 0.098  -0.781 -0.053  -0.872 -0.203  -0.958 -0.356  -1.042 -0.511  -1.155 -0.643  -1.063 -0.579  -0.943 -0.452  -0.845 -0.306  -0.748 -0.159  -0.648 -0.015  -0.548 0.130  -0.452 0.277  -0.362 0.427  -0.285 0.585  -0.193 0.695  -0.241 0.526  -0.293 0.358  -0.344 0.190  -0.376 0.018  -0.403 -0.156  -0.399 -0.331  -0.386 -0.506  -0.338 -0.674  -0.278 -0.839  -0.119 -0.893  0.052 -0.936  0.221 -0.893  0.391 -0.848  0.551 -0.778  0.702 -0.689  0.853 -0.600  0.979 -0.483  1.076 -0.337  1.173 -0.191  1.258 -0.037  1.337 0.120  1.402 0.281  1.427 0.455  1.452 0.629  1.481 0.802  1.499 0.975  1.451 1.087
3#apb#apb14#app1422/g  0.497 1.045  0.491 1.189  0.370 1.237  0.238 1.176  0.099 1.129  -0.022 1.050  -0.134 0.955  -0.246 0.860  -0.345 0.753  -0.444 0.645  -0.536 0.531  -0.617 0.409  -0.694 0.285  -0.741 0.146  -0.713 0.015  -0.597 -0.064  -0.462 -0.067  -0.327 -0.009  -0.193 0.050  -0.064 0.119  0.065 0.188  0.167 0.290  0.259 0.405  0.345 0.523  0.429 0.643  0.485 0.777  0.520 0.918  0.485 0.893  0.432 0.756  0.388 0.617  0.344 0.477  0.301 0.337  0.261 0.196  0.220 0.055  0.180 -0.086  0.142 -0.227  0.103 -0.369  0.065 -0.510  0.027 -0.652  -0.006 -0.794  -0.035 -0.938  -0.064 -1.082  -0.092 -1.225  -0.104 -1.370  -0.097 -1.517  -0.090 -1.663  -0.085 -1.809  -0.085 -1.956  -0.061 -2.100  -0.061 -2.233
3#apb#apb14#app1422/m  -0.554 0.712  -0.477 0.785  -0.531 0.577  -0.628 0.384  -0.727 0.191  -0.829 -0.000  -0.937 -0.188  -1.054 -0.370  -1.160 -0.559  -1.251 -0.756  -1.310 -0.963  -1.367 -1.133  -1.222 -0.972  -1.084 -0.805  -0.947 -0.637  -0.839 -0.449  -0.733 -0.260  -0.616 -0.078  -0.496 0.102  -0.370 0.279  -0.242 0.454  -0.124 0.635  -0.020 0.825  0.141 0.968  0.297 0.979  0.324 0.771  0.314 0.555  0.287 0.340  0.260 0.125  0.233 -0.090  0.166 -0.292  0.064 -0.483  0.064 -0.597  0.197 -0.428  0.322 -0.251  0.450 -0.076  0.546 0.117  0.633 0.316  0.735 0.506  0.844 0.694  0.992 0.815  1.126 0.649  1.207 0.449  1.246 0.236  1.253 0.020  1.245 -0.196  1.214 -0.411  1.162 -0.620  1.098 -0.827  1.098 -1.043
