3#app#app13#app1329/L  -0.092 1.941  -0.092 1.832  -0.092 1.723  -0.092 1.614  -0.092 1.505  -0.092 1.396  -0.092 1.287  -0.093 1.179  -0.171 1.102  -0.201 1.005  -0.201 0.896  -0.201 0.787  -0.201 0.678  -0.201 0.569  -0.231 0.467  -0.280 0.370  -0.309 0.268  -0.309 0.159  -0.329 0.055  -0.377 -0.043  -0.418 -0.142  -0.418 -0.251  -0.418 -0.360  -0.418 -0.469  -0.432 -0.573  -0.509 -0.650  -0.527 -0.751  -0.527 -0.860  -0.527 -0.969  -0.442 -0.994  -0.418 -0.909  -0.333 -0.885  -0.224 -0.885  -0.201 -0.800  -0.115 -0.776  -0.006 -0.776  0.078 -0.715  0.167 -0.668  0.276 -0.668  0.385 -0.668  0.481 -0.638  0.559 -0.561  0.667 -0.559  0.776 -0.559  0.778 -0.452  0.885 -0.450  0.994 -0.450  1.103 -0.450  1.212 -0.450  1.321 -0.450
3#app#app13#app1329/o  -0.200 0.991  -0.200 0.854  -0.311 0.828  -0.423 0.768  -0.520 0.671  -0.617 0.574  -0.690 0.467  -0.690 0.330  -0.690 0.193  -0.690 0.056  -0.755 -0.054  -0.852 -0.151  -0.853 -0.288  -0.853 -0.425  -0.853 -0.562  -0.853 -0.699  -0.822 -0.805  -0.690 -0.810  -0.690 -0.948  -0.690 -1.085  -0.600 -1.132  -0.463 -1.132  -0.326 -1.132  -0.189 -1.132  -0.051 -1.132  0.050 -1.046  0.127 -0.940  0.128 -0.804  0.225 -0.707  0.322 -0.610  0.419 -0.513  0.516 -0.416  0.613 -0.319  0.617 -0.183  0.617 -0.046  0.673 0.068  0.770 0.165  0.780 0.298  0.849 0.406  0.944 0.504  0.944 0.641  0.944 0.779  0.944 0.916  0.900 1.035  0.803 1.132  0.675 1.155  0.538 1.155  0.454 1.102  0.427 0.991  0.290 0.991
3#app#app13#app1329/a  0.233 1.303  0.098 1.303  0.046 1.386  0.015 1.491  -0.120 1.491  -0.222 1.411  -0.317 1.315  -0.329 1.185  -0.376 1.069  -0.471 0.974  -0.517 0.858  -0.530 0.728  -0.625 0.632  -0.704 0.530  -0.704 0.395  -0.704 0.260  -0.704 0.125  -0.704 -0.010  -0.704 -0.145  -0.704 -0.280  -0.704 -0.415  -0.704 -0.550  -0.704 -0.686  -0.704 -0.821  -0.694 -0.946  -0.559 -0.946  -0.424 -0.946  -0.289 -0.946  -0.154 -0.946  -0.019 -0.946  0.046 -0.875  0.059 -0.745  0.154 -0.650  0.250 -0.554  0.345 -0.459  0.441 -0.363  0.536 -0.268  0.632 -0.172  0.727 -0.077  0.795 0.030  0.795 0.165  0.795 0.057  0.795 -0.078  0.807 -0.208  0.903 -0.303  0.983 -0.405  0.983 -0.540  0.983 -0.675  0.983 -0.811  0.983 -0.946
3#app#app13#app1329/n  -1.057 0.003  -1.140 -0.079  -1.222 -0.162  -1.246 -0.269  -1.235 -0.374  -1.118 -0.374  -1.057 -0.430  -1.057 -0.547  -1.057 -0.664  -1.029 -0.752  -0.912 -0.752  -0.869 -0.678  -0.867 -0.563  -0.751 -0.563  -0.680 -0.517  -0.680 -0.400  -0.616 -0.310  -0.533 -0.227  -0.466 -0.134  -0.414 -0.030  -0.361 0.075  -0.309 0.179  -0.303 0.294  -0.281 0.402  -0.199 0.484  -0.116 0.567  -0.034 0.649  0.049 0.732  0.155 0.758  0.271 0.758  0.388 0.758  0.505 0.758  0.622 0.758  0.738 0.758  0.829 0.732  0.829 0.615  0.879 0.519  0.962 0.437  1.018 0.343  1.018 0.227  1.018 0.110  1.018 -0.007  1.018 -0.123  1.072 -0.186  1.189 -0.186  1.206 -0.285  1.206 -0.401  1.206 -0.518  1.206 -0.635  1.206 -0.752
3#app#app13#app1329/%  -0.914 1.079  -1.036 0.893  -1.036 0.657  -0.987 0.470  -0.750 0.470  -0.636 0.591  -0.521 0.713  -0.413 0.849  -0.305 1.041  -0.382 1.201  -0.520 1.137  -0.423 0.922  -0.326 0.706  -0.229 0.491  -0.132 0.275  -0.035 0.060  0.062 -0.156  0.158 -0.371  0.255 -0.587  0.352 -0.802  0.449 -1.018  0.546 -1.233  0.469 -1.193  0.309 -1.183  0.331 -0.947  0.354 -0.712  0.376 -0.477  0.399 -0.242  0.421 -0.006  0.444 0.229  0.466 0.464  0.488 0.699  0.511 0.935  0.533 1.170  0.548 1.239  0.548 1.003  0.499 0.787  0.426 0.581  0.337 0.381  0.304 0.159  0.277 -0.071  0.171 -0.283  0.066 -0.494  0.015 -0.718  -0.061 -0.937  -0.103 -1.156  -0.183 -1.359  -0.265 -1.561  -0.427 -1.731  -0.427 -1.967
3#app#app13#app1329/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app13#app1329/s  -0.062 1.539  -0.152 1.539  -0.233 1.531  -0.233 1.441  -0.233 1.352  -0.233 1.262  -0.258 1.196  -0.348 1.196  -0.405 1.164  -0.405 1.074  -0.405 0.984  -0.405 0.895  -0.405 0.805  -0.405 0.715  -0.405 0.625  -0.405 0.536  -0.405 0.446  -0.405 0.356  -0.332 0.339  -0.242 0.339  -0.233 0.258  -0.233 0.169  -0.171 0.105  -0.107 0.041  -0.036 -0.004  0.054 -0.004  0.109 -0.038  0.109 -0.128  0.152 -0.175  0.241 -0.175  0.281 -0.225  0.281 -0.315  0.322 -0.388  0.386 -0.451  0.449 -0.515  0.452 -0.603  0.452 -0.693  0.452 -0.783  0.452 -0.872  0.452 -0.962  0.452 -1.052  0.452 -1.142  0.432 -1.223  0.369 -1.287  0.305 -1.350  0.242 -1.414  0.179 -1.477  0.115 -1.541  0.028 -1.546  -0.062 -1.546
3#app#app13#app1329/a  0.421 0.975  0.295 0.975  0.168 0.975  0.042 0.975  -0.084 0.975  -0.207 0.965  -0.296 0.876  -0.385 0.786  -0.505 0.769  -0.609 0.747  -0.609 0.620  -0.678 0.563  -0.804 0.563  -0.815 0.447  -0.840 0.331  -0.930 0.242  -1.019 0.152  -1.021 0.027  -1.021 -0.100  -1.021 -0.226  -1.021 -0.353  -1.008 -0.467  -0.882 -0.467  -0.815 -0.526  -0.815 -0.652  -0.709 -0.673  -0.582 -0.673  -0.456 -0.673  -0.329 -0.673  -0.203 -0.673  -0.112 -0.588  -0.022 -0.499  0.091 -0.467  0.217 -0.465  0.306 -0.376  0.395 -0.287  0.511 -0.261  0.635 -0.254  0.724 -0.164  0.813 -0.075  0.931 -0.055  1.058 -0.055  1.184 -0.055  1.311 -0.055  1.437 -0.055  1.451 -0.167  1.451 -0.294  1.451 -0.420  1.451 -0.546  1.451 -0.673
3#app#app13#app1329/r  -0.865 -1.029  -0.865 -1.117  -0.865 -1.205  -0.851 -1.279  -0.763 -1.279  -0.675 -1.279  -0.615 -1.251  -0.615 -1.163  -0.615 -1.075  -0.615 -0.987  -0.615 -0.899  -0.615 -0.812  -0.576 -0.740  -0.514 -0.678  -0.452 -0.616  -0.389 -0.554  -0.365 -0.476  -0.365 -0.388  -0.365 -0.300  -0.317 -0.232  -0.255 -0.170  -0.193 -0.108  -0.131 -0.045  -0.116 0.036  -0.116 0.124  -0.116 0.212  -0.036 0.220  0.052 0.220  0.134 0.226  0.134 0.314  0.134 0.402  0.148 0.484  0.210 0.546  0.273 0.608  0.335 0.670  0.384 0.738  0.384 0.826  0.384 0.913  0.416 0.969  0.504 0.969  0.592 0.969  0.680 0.969  0.768 0.969  0.856 0.969  0.943 0.969  1.031 0.969  1.119 0.969  1.133 0.895  1.133 0.807  1.133 0.719
3#app#app13#app1329/e  -0.623 -0.113  -0.623 -0.272  -0.592 -0.402  -0.433 -0.402  -0.273 -0.402  -0.113 -0.402  0.020 -0.337  0.133 -0.224  0.246 -0.113  0.406 -0.113  0.556 -0.090  0.669 0.023  0.782 0.136  0.823 0.279  0.823 0.438  0.823 0.598  0.823 0.758  0.823 0.918  0.823 1.077  0.823 1.237  0.759 1.333  0.599 1.333  0.439 1.333  0.280 1.333  0.157 1.245  0.044 1.132  -0.044 1.009  -0.044 0.849  -0.044 0.689  -0.044 0.529  -0.112 0.398  -0.225 0.285  -0.340 0.177  -0.500 0.177  -0.623 0.140  -0.623 -0.020  -0.623 -0.180  -0.623 -0.339  -0.623 -0.499  -0.623 -0.659  -0.623 -0.818  -0.623 -0.978  -0.623 -1.138  -0.594 -1.269  -0.434 -1.269  -0.292 -1.311  -0.179 -1.423  -0.066 -1.536  0.085 -1.558  0.245 -1.558
3#app#app13#app1329/d  -0.095 0.604  -0.148 0.480  -0.326 0.480  -0.458 0.366  -0.583 0.241  -0.667 0.084  -0.718 -0.082  -0.801 -0.226  -0.843 -0.387  -0.843 -0.565  -0.914 -0.713  -0.967 -0.869  -0.945 -1.038  -0.843 -1.174  -0.843 -1.352  -0.703 -1.390  -0.525 -1.390  -0.347 -1.390  -0.220 -1.266  -0.095 -1.140  -0.070 -0.967  0.009 -0.808  0.123 -0.673  0.197 -0.515  0.253 -0.346  0.322 -0.183  0.402 -0.023  0.526 0.104  0.528 0.281  0.528 0.459  0.528 0.637  0.528 0.815  0.627 0.952  0.653 1.120  0.653 1.298  0.653 1.476  0.528 1.601  0.528 1.423  0.528 1.245  0.415 1.114  0.404 0.940  0.404 0.762  0.397 0.585  0.341 0.416  0.285 0.247  0.279 0.070  0.279 -0.108  0.279 -0.286  0.350 -0.393  0.404 -0.517
