1c#app#app13#app1395/q  0.069 0.145  0.069 0.302  0.069 0.459  0.069 0.617  0.069 0.774  0.069 0.931  0.069 1.088  -0.068 1.109  -0.225 1.109  -0.382 1.109  -0.502 1.019  -0.630 0.948  -0.734 0.894  -0.769 0.752  -0.881 0.641  -0.894 0.489  -0.894 0.332  -0.802 0.213  -0.734 0.084  -0.676 -0.016  -0.519 -0.016  -0.362 -0.016  -0.219 0.018  -0.107 0.129  0.004 0.240  0.115 0.351  0.226 0.463  0.230 0.618  0.230 0.776  0.230 0.642  0.129 0.526  0.069 0.394  0.069 0.237  0.069 0.080  0.113 -0.059  0.224 -0.171  0.230 -0.326  0.230 -0.483  0.230 -0.640  0.328 -0.756  0.390 -0.888  0.437 -1.026  0.548 -1.137  0.551 -1.293  0.551 -1.450  0.655 -1.565  0.712 -1.698  0.712 -1.856  0.761 -1.992  0.872 -2.104
1c#app#app13#app1395/u  -0.917 0.869  -0.917 0.755  -0.917 0.641  -0.917 0.527  -0.917 0.413  -0.917 0.299  -0.917 0.186  -0.917 0.072  -0.917 -0.042  -0.917 -0.156  -0.917 -0.270  -0.917 -0.384  -0.917 -0.497  -0.868 -0.591  -0.787 -0.671  -0.707 -0.752  -0.626 -0.832  -0.538 -0.893  -0.424 -0.893  -0.310 -0.893  -0.196 -0.893  -0.082 -0.893  0.031 -0.893  0.140 -0.888  0.140 -0.774  0.140 -0.660  0.140 -0.546  0.248 -0.541  0.362 -0.541  0.476 -0.541  0.492 -0.443  0.492 -0.330  0.492 -0.216  0.492 -0.102  0.492 0.012  0.492 0.126  0.546 0.217  0.626 0.298  0.707 0.378  0.787 0.459  0.844 0.549  0.844 0.663  0.844 0.776  0.844 0.890  0.844 1.004  0.844 1.118  0.855 1.221  0.969 1.221  1.083 1.221  1.197 1.221
1c#app#app13#app1395/i  -0.200 1.545  -0.130 1.545  -0.059 1.545  -0.012 1.521  -0.012 1.450  -0.012 1.379  -0.012 1.309  -0.012 1.238  -0.012 1.167  -0.012 1.096  -0.012 1.025  -0.012 0.955  -0.012 0.884  -0.012 0.813  -0.012 0.742  -0.012 0.672  -0.012 0.601  -0.012 0.530  -0.012 0.459  -0.012 0.388  -0.012 0.318  -0.012 0.247  -0.012 0.176  -0.012 0.105  -0.012 0.035  -0.012 -0.036  -0.012 -0.107  -0.012 -0.178  -0.012 -0.249  -0.012 -0.319  -0.012 -0.390  -0.012 -0.461  -0.012 -0.532  -0.012 -0.602  -0.012 -0.673  -0.012 -0.744  -0.012 -0.815  -0.012 -0.886  -0.012 -0.956  -0.012 -1.027  -0.012 -1.098  -0.012 -1.169  -0.012 -1.239  0.009 -1.301  0.059 -1.351  0.109 -1.401  0.159 -1.452  0.176 -1.515  0.176 -1.586  0.176 -1.657
1c#app#app13#app1395/c  0.350 0.922  0.350 1.020  0.350 1.119  0.350 1.218  0.345 1.312  0.246 1.312  0.147 1.312  0.048 1.312  -0.048 1.304  -0.118 1.234  -0.187 1.164  -0.257 1.095  -0.327 1.025  -0.397 0.955  -0.430 0.870  -0.430 0.771  -0.430 0.672  -0.430 0.573  -0.430 0.474  -0.430 0.376  -0.430 0.277  -0.430 0.178  -0.430 0.079  -0.430 -0.020  -0.430 -0.118  -0.430 -0.217  -0.430 -0.316  -0.430 -0.415  -0.430 -0.514  -0.430 -0.613  -0.358 -0.639  -0.259 -0.639  -0.160 -0.639  -0.061 -0.639  -0.040 -0.717  -0.040 -0.815  -0.040 -0.914  -0.040 -1.013  0.043 -1.029  0.142 -1.029  0.240 -1.029  0.339 -1.029  0.438 -1.029  0.537 -1.029  0.636 -1.029  0.735 -1.029  0.833 -1.029  0.932 -1.029  1.031 -1.029  1.130 -1.029
1c#app#app13#app1395/k  -0.504 2.094  -0.359 2.094  -0.330 1.978  -0.330 1.833  -0.330 1.688  -0.330 1.543  -0.330 1.399  -0.330 1.254  -0.330 1.109  -0.330 0.964  -0.330 0.819  -0.330 0.674  -0.330 0.530  -0.330 0.385  -0.294 0.246  -0.248 0.108  -0.202 -0.029  -0.156 -0.166  -0.156 -0.311  -0.156 -0.456  -0.156 -0.601  -0.156 -0.746  -0.156 -0.890  -0.156 -1.035  -0.156 -1.180  -0.076 -1.292  0.021 -1.374  0.052 -1.232  0.084 -1.091  0.115 -0.949  0.146 -0.808  0.178 -0.667  0.209 -0.525  0.241 -0.384  0.272 -0.242  0.304 -0.101  0.335 0.040  0.364 0.180  0.220 0.180  0.192 0.063  0.192 -0.082  0.192 -0.227  0.192 -0.372  0.193 -0.516  0.338 -0.516  0.366 -0.632  0.453 -0.690  0.598 -0.690  0.743 -0.690  0.888 -0.690
1c#app#app13#app1395/z  -0.575 0.708  -0.575 0.820  -0.575 0.932  -0.575 1.044  -0.575 1.156  -0.476 1.169  -0.364 1.169  -0.252 1.169  -0.140 1.169  -0.028 1.169  0.084 1.169  0.197 1.169  0.309 1.169  0.347 1.095  0.347 0.983  0.347 0.870  0.347 0.758  0.347 0.646  0.347 0.534  0.291 0.477  0.179 0.477  0.116 0.428  0.116 0.316  0.116 0.204  0.116 0.092  0.080 0.016  -0.032 0.016  -0.114 -0.014  -0.114 -0.126  -0.131 -0.231  -0.210 -0.310  -0.290 -0.389  -0.345 -0.478  -0.345 -0.591  -0.345 -0.703  -0.345 -0.815  -0.330 -0.921  -0.251 -1.000  -0.171 -1.079  -0.083 -1.136  0.029 -1.136  0.116 -1.161  0.116 -1.273  0.135 -1.366  0.247 -1.366  0.359 -1.366  0.471 -1.366  0.583 -1.366  0.695 -1.366  0.807 -1.366
1c#app#app13#app1395/e  -0.549 -0.811  -0.384 -0.811  -0.218 -0.811  -0.207 -0.658  -0.207 -0.492  -0.207 -0.327  -0.207 -0.162  -0.077 -0.126  0.089 -0.126  0.136 -0.008  0.136 0.157  0.242 0.216  0.408 0.216  0.479 0.311  0.479 0.476  0.561 0.559  0.727 0.559  0.821 0.630  0.821 0.795  0.821 0.961  0.821 1.126  0.774 1.244  0.608 1.244  0.443 1.244  0.277 1.244  0.119 1.227  0.002 1.110  -0.115 0.993  -0.242 0.901  -0.408 0.901  -0.549 0.878  -0.549 0.712  -0.549 0.547  -0.549 0.381  -0.549 0.216  -0.549 0.051  -0.549 -0.115  -0.549 -0.280  -0.549 -0.445  -0.549 -0.611  -0.549 -0.776  -0.457 -0.904  -0.340 -1.020  -0.223 -1.137  -0.106 -1.254  0.011 -1.371  0.128 -1.488  0.245 -1.605  0.362 -1.722  0.479 -1.839
1c#app#app13#app1395/p  -0.431 0.587  -0.431 0.410  -0.431 0.233  -0.431 0.056  -0.431 -0.121  -0.431 -0.298  -0.431 -0.475  -0.431 -0.652  -0.431 -0.829  -0.431 -1.006  -0.431 -1.183  -0.431 -1.360  -0.431 -1.537  -0.431 -1.669  -0.431 -1.492  -0.431 -1.315  -0.431 -1.138  -0.431 -0.961  -0.431 -0.784  -0.309 -0.658  -0.204 -0.524  -0.204 -0.347  -0.204 -0.170  -0.204 0.007  -0.204 0.183  -0.204 0.360  -0.204 0.537  -0.147 0.701  -0.067 0.859  0.012 1.017  0.024 1.191  0.024 1.368  0.072 1.498  0.248 1.498  0.425 1.498  0.566 1.411  0.692 1.286  0.707 1.116  0.707 0.939  0.707 0.762  0.707 0.585  0.707 0.408  0.707 0.231  0.707 0.054  0.707 -0.123  0.707 -0.300  0.555 -0.324  0.480 -0.426  0.429 -0.552  0.252 -0.552
1c#app#app13#app1395/h  -0.410 2.043  -0.410 1.911  -0.410 1.779  -0.410 1.647  -0.410 1.515  -0.410 1.383  -0.410 1.251  -0.410 1.119  -0.410 0.988  -0.410 0.856  -0.410 0.724  -0.410 0.592  -0.410 0.460  -0.410 0.328  -0.410 0.196  -0.410 0.064  -0.410 -0.067  -0.410 -0.199  -0.410 -0.331  -0.410 -0.463  -0.410 -0.595  -0.410 -0.727  -0.410 -0.859  -0.410 -0.991  -0.410 -1.122  -0.335 -1.180  -0.204 -1.180  -0.110 -1.117  -0.051 -0.999  0.008 -0.881  0.067 -0.763  0.126 -0.645  0.127 -0.514  0.127 -0.382  0.215 -0.286  0.308 -0.193  0.396 -0.098  0.396 0.034  0.399 0.163  0.531 0.163  0.663 0.163  0.664 0.033  0.664 -0.099  0.753 -0.194  0.846 -0.288  0.933 -0.384  0.933 -0.516  0.933 -0.647  0.933 -0.779  0.933 -0.911
1c#app#app13#app1395/y  -0.228 1.082  -0.354 1.082  -0.369 0.972  -0.369 0.847  -0.369 0.721  -0.369 0.596  -0.323 0.516  -0.228 0.486  -0.213 0.375  -0.088 0.375  -0.087 0.251  0.022 0.234  0.091 0.319  0.141 0.434  0.190 0.550  0.240 0.665  0.289 0.780  0.338 0.896  0.388 1.011  0.437 1.127  0.479 1.203  0.479 1.078  0.479 0.952  0.398 0.860  0.309 0.771  0.221 0.682  0.196 0.567  0.196 0.442  0.196 0.316  0.166 0.203  0.077 0.114  0.055 -0.002  0.055 -0.128  0.027 -0.247  -0.029 -0.359  -0.086 -0.471  -0.087 -0.596  -0.087 -0.722  -0.087 -0.847  -0.087 -0.973  -0.087 -1.099  -0.118 -1.211  -0.207 -1.300  -0.228 -1.417  -0.228 -1.542  -0.228 -1.668  -0.228 -1.793  -0.228 -1.919  -0.228 -2.044  -0.228 -2.170
1c#app#app13#app1395/r  -0.193 0.256  -0.193 0.134  -0.193 0.013  -0.276 -0.075  -0.362 -0.161  -0.441 -0.250  -0.441 -0.371  -0.441 -0.493  -0.441 -0.615  -0.441 -0.736  -0.441 -0.858  -0.441 -0.979  -0.441 -1.101  -0.441 -1.223  -0.441 -1.344  -0.441 -1.466  -0.441 -1.367  -0.441 -1.245  -0.366 -1.155  -0.280 -1.069  -0.194 -0.983  -0.193 -0.861  -0.193 -0.740  -0.193 -0.618  -0.193 -0.496  -0.193 -0.375  -0.193 -0.253  -0.193 -0.132  -0.193 -0.010  -0.120 0.081  -0.034 0.167  0.052 0.253  0.054 0.374  0.054 0.496  0.054 0.617  0.054 0.739  0.132 0.828  0.218 0.914  0.302 1.001  0.302 1.123  0.302 1.244  0.422 1.246  0.543 1.246  0.665 1.246  0.786 1.246  0.908 1.246  1.030 1.246  1.120 1.171  1.206 1.085  1.292 0.999
