2#apa#apa00#app0029/B  -0.505 0.952  -0.409 0.748  -0.409 0.504  -0.314 0.283  -0.313 0.039  -0.217 -0.165  -0.217 -0.408  -0.185 -0.644  -0.122 -0.873  -0.122 -1.117  -0.127 -1.332  -0.207 -1.101  -0.287 -0.871  -0.367 -0.641  -0.447 -0.411  -0.527 -0.181  -0.607 0.050  -0.687 0.280  -0.767 0.510  -0.847 0.740  -0.792 0.881  -0.737 1.102  -0.606 1.239  -0.402 1.335  -0.159 1.335  0.085 1.335  0.329 1.335  0.453 1.159  0.427 0.926  0.255 0.754  0.060 0.612  -0.134 0.473  -0.313 0.353  -0.236 0.186  0.008 0.186  0.251 0.186  0.455 0.090  0.699 0.090  0.903 -0.005  1.084 -0.158  1.207 -0.365  1.219 -0.606  1.140 -0.771  1.030 -0.960  0.802 -0.996  0.592 -1.108  0.356 -1.154  0.128 -1.221  -0.109 -1.250  -0.313 -1.346
2#apa#apa00#app0029/Y  -1.259 1.150  -1.154 1.105  -1.090 0.981  -1.049 0.849  -0.952 0.739  -0.920 0.602  -0.814 0.496  -0.708 0.390  -0.602 0.284  -0.496 0.178  -0.402 0.064  -0.335 -0.070  -0.209 -0.109  -0.107 -0.217  -0.056 -0.316  0.094 -0.316  0.103 -0.175  0.160 -0.049  0.207 0.082  0.207 0.231  0.256 0.361  0.312 0.488  0.394 0.604  0.500 0.710  0.522 0.850  0.564 0.983  0.670 1.089  0.709 1.091  0.656 0.950  0.604 0.810  0.551 0.670  0.498 0.530  0.446 0.389  0.393 0.249  0.340 0.109  0.288 -0.032  0.235 -0.172  0.183 -0.312  0.130 -0.453  0.103 -0.598  0.103 -0.747  0.103 -0.897  0.103 -1.047  0.103 -1.197  0.103 -1.347  0.103 -1.497  0.103 -1.646  0.103 -1.796  0.103 -1.946  0.103 -2.096
2#apa#apa00#app0029/T  0.246 0.882  0.246 0.721  0.162 0.596  0.129 0.446  0.057 0.302  0.044 0.144  0.044 -0.016  0.044 -0.177  0.044 -0.337  0.044 -0.498  0.063 -0.651  0.145 -0.777  0.145 -0.938  0.189 -1.080  0.246 -1.217  0.309 -1.363  0.347 -1.515  0.442 -1.636  0.368 -1.513  0.284 -1.376  0.199 -1.239  0.114 -1.103  0.030 -0.966  -0.055 -0.830  -0.139 -0.693  -0.224 -0.557  -0.308 -0.420  -0.393 -0.284  -0.477 -0.147  -0.562 -0.010  -0.646 0.126  -0.731 0.263  -0.815 0.399  -0.932 0.478  -0.938 0.579  -0.778 0.579  -0.718 0.680  -0.588 0.754  -0.439 0.781  -0.302 0.838  -0.159 0.882  -0.015 0.953  0.138 0.983  0.283 1.051  0.435 1.084  0.596 1.084  0.755 1.088  0.875 1.185  1.036 1.185  1.155 1.286
2#apa#apa00#app0029/H  -0.505 1.390  -0.564 1.156  -0.623 0.922  -0.798 0.747  -0.855 0.523  -0.855 0.275  -0.855 0.027  -0.855 -0.221  -0.855 -0.469  -0.855 -0.717  -0.839 -0.958  -0.738 -1.164  -0.593 -1.227  -0.493 -1.000  -0.393 -0.773  -0.294 -0.546  -0.194 -0.319  -0.094 -0.093  0.006 0.134  0.106 0.361  0.206 0.588  0.305 0.815  0.405 1.042  0.505 1.269  0.605 1.496  0.769 1.623  0.723 1.397  0.661 1.163  0.553 0.941  0.544 0.695  0.544 0.447  0.544 0.200  0.544 -0.048  0.582 -0.281  0.661 -0.496  0.677 -0.740  0.778 -0.964  0.886 -1.167  0.800 -1.220  0.603 -1.068  0.407 -0.917  0.210 -0.766  0.014 -0.615  -0.183 -0.464  -0.379 -0.313  -0.575 -0.162  -0.432 -0.126  -0.185 -0.126  0.063 -0.126  0.311 -0.126
2#apa#apa00#app0029/E  -0.360 1.045  -0.405 0.852  -0.510 0.684  -0.510 0.472  -0.510 0.260  -0.510 0.048  -0.498 -0.159  -0.360 -0.314  -0.360 -0.526  -0.360 -0.738  -0.216 -0.890  -0.211 -1.100  -0.092 -1.193  -0.030 -1.342  0.154 -1.275  0.332 -1.193  0.544 -1.193  0.684 -1.122  0.819 -1.044  1.031 -1.044  1.210 -0.966  1.182 -0.845  0.992 -0.750  0.803 -0.655  0.613 -0.561  0.424 -0.466  0.234 -0.371  0.045 -0.276  -0.145 -0.182  -0.073 -0.148  0.080 -0.007  0.289 0.001  0.467 0.082  0.436 0.209  0.254 0.318  0.073 0.427  -0.109 0.536  -0.291 0.646  -0.472 0.755  -0.654 0.864  -0.836 0.973  -0.957 0.975  -0.957 1.029  -0.762 1.045  -0.550 1.045  -0.388 1.167  -0.188 1.195  0.024 1.195  0.236 1.195  0.386 1.344
2#apa#apa00#app0029/F  -0.077 0.980  -0.077 0.742  -0.215 0.561  -0.217 0.324  -0.217 0.086  -0.112 -0.109  -0.077 -0.332  -0.077 -0.570  -0.031 -0.798  0.064 -1.013  0.064 -1.252  0.120 -1.466  0.205 -1.670  0.205 -1.908  0.155 -1.806  0.086 -1.578  0.018 -1.350  -0.051 -1.122  -0.119 -0.894  -0.188 -0.666  -0.256 -0.437  -0.324 -0.209  -0.393 0.019  -0.461 0.247  -0.530 0.475  -0.598 0.703  -0.544 0.840  -0.446 0.980  -0.208 0.980  -0.077 1.087  0.128 1.121  0.366 1.121  0.604 1.121  0.842 1.121  1.062 1.198  1.112 1.203  0.923 1.057  0.735 0.912  0.546 0.767  0.357 0.622  0.168 0.477  -0.021 0.331  -0.209 0.186  -0.398 0.041  -0.587 -0.104  -0.639 -0.317  -0.510 -0.426  -0.272 -0.426  -0.034 -0.426  0.205 -0.426
2#apa#apa00#app0029/L  -0.219 1.754  -0.219 1.657  -0.219 1.561  -0.219 1.465  -0.219 1.369  -0.290 1.345  -0.355 1.313  -0.355 1.217  -0.417 1.146  -0.485 1.078  -0.492 0.985  -0.492 0.889  -0.492 0.793  -0.492 0.697  -0.492 0.601  -0.476 0.511  -0.408 0.443  -0.355 0.369  -0.355 0.273  -0.355 0.176  -0.329 0.091  -0.261 0.023  -0.219 -0.056  -0.219 -0.152  -0.219 -0.248  -0.182 -0.329  -0.114 -0.397  -0.082 -0.480  -0.077 -0.575  -0.034 -0.661  0.009 -0.747  0.052 -0.833  0.054 -0.928  0.054 -1.024  0.064 -1.110  0.160 -1.110  0.190 -1.044  0.216 -0.974  0.312 -0.974  0.327 -0.892  0.368 -0.837  0.464 -0.837  0.550 -0.794  0.636 -0.751  0.722 -0.708  0.817 -0.701  0.913 -0.701  1.009 -0.701  1.077 -0.633  1.145 -0.565
2#apa#apa00#app0029/A  -0.081 1.604  -0.214 1.457  -0.214 1.177  -0.339 0.949  -0.346 0.673  -0.360 0.399  -0.479 0.168  -0.479 -0.111  -0.611 -0.336  -0.611 -0.616  -0.744 -0.840  -0.797 -1.098  -0.876 -1.345  -0.821 -1.267  -0.736 -1.001  -0.651 -0.734  -0.566 -0.468  -0.481 -0.201  -0.397 0.065  -0.312 0.332  -0.227 0.598  -0.142 0.864  -0.057 1.131  0.027 1.397  0.183 1.402  0.243 1.147  0.316 0.898  0.448 0.673  0.461 0.399  0.630 0.181  0.780 -0.052  0.929 -0.285  1.005 -0.541  1.110 -0.777  1.252 -0.921  1.375 -1.149  1.155 -1.053  0.911 -0.916  0.668 -0.779  0.424 -0.642  0.180 -0.505  -0.063 -0.367  -0.307 -0.230  -0.551 -0.093  -0.744 0.074  -0.538 0.148  -0.258 0.148  0.021 0.148  0.301 0.148  0.581 0.148
2#apa#apa00#app0029/V  -0.845 1.379  -0.971 1.379  -0.973 1.254  -0.885 1.164  -0.845 1.054  -0.797 0.948  -0.717 0.855  -0.717 0.729  -0.710 0.606  -0.621 0.517  -0.590 0.403  -0.590 0.277  -0.534 0.174  -0.462 0.078  -0.462 -0.048  -0.462 -0.174  -0.453 -0.298  -0.397 -0.411  -0.340 -0.524  -0.254 -0.616  -0.207 -0.722  -0.207 -0.848  -0.167 -0.958  -0.080 -1.048  -0.079 -1.173  0.047 -1.173  0.048 -1.298  0.136 -1.213  0.176 -1.103  0.244 -1.045  0.303 -0.979  0.349 -0.872  0.431 -0.779  0.431 -0.653  0.431 -0.527  0.431 -0.401  0.434 -0.276  0.524 -0.187  0.558 -0.075  0.558 0.051  0.592 0.169  0.648 0.282  0.715 0.387  0.804 0.476  0.814 0.598  0.814 0.725  0.891 0.818  0.941 0.924  0.979 1.034  1.069 1.123
2#apa#apa00#app0029/O  0.483 0.857  0.483 0.996  0.345 0.997  0.205 0.997  0.066 0.997  -0.073 0.997  -0.212 0.997  -0.312 0.901  -0.433 0.857  -0.550 0.803  -0.648 0.704  -0.747 0.606  -0.819 0.489  -0.882 0.364  -0.915 0.233  -0.915 0.094  -0.915 -0.046  -0.915 -0.185  -0.915 -0.324  -0.915 -0.463  -0.872 -0.585  -0.775 -0.684  -0.774 -0.823  -0.676 -0.921  -0.553 -0.961  -0.414 -0.961  -0.275 -0.961  -0.144 -0.997  -0.020 -1.059  0.110 -1.101  0.249 -1.101  0.375 -1.069  0.474 -0.971  0.609 -0.961  0.623 -0.836  0.623 -0.697  0.711 -0.594  0.763 -0.476  0.763 -0.337  0.763 -0.198  0.763 -0.059  0.763 0.080  0.763 0.220  0.763 0.359  0.763 0.498  0.720 0.620  0.623 0.719  0.623 0.858  0.623 0.997  0.623 1.136
2#apa#apa00#app0029/R  -0.284 0.732  -0.389 0.614  -0.402 0.403  -0.520 0.228  -0.520 0.004  -0.520 -0.219  -0.520 -0.443  -0.520 -0.667  -0.520 -0.891  -0.469 -1.093  -0.402 -1.289  -0.285 -1.397  -0.304 -1.176  -0.324 -0.953  -0.344 -0.730  -0.365 -0.507  -0.385 -0.284  -0.405 -0.061  -0.425 0.161  -0.446 0.384  -0.466 0.607  -0.486 0.830  -0.506 1.053  -0.449 1.205  -0.284 1.263  -0.120 1.324  0.104 1.324  0.327 1.324  0.515 1.235  0.726 1.205  0.900 1.086  1.017 0.910  1.017 0.687  0.985 0.496  0.879 0.377  0.692 0.289  0.481 0.259  0.306 0.141  0.082 0.141  -0.142 0.141  -0.165 -0.059  -0.047 -0.234  0.009 -0.445  0.131 -0.629  0.189 -0.829  0.280 -1.015  0.426 -1.109  0.544 -1.284  0.623 -1.475  0.781 -1.633
2#apa#apa00#app0029/O  -0.201 1.288  -0.201 1.154  -0.284 1.054  -0.379 0.959  -0.474 0.864  -0.596 0.836  -0.653 0.759  -0.714 0.685  -0.804 0.641  -0.816 0.510  -0.876 0.389  -0.936 0.269  -0.955 0.140  -0.955 0.005  -0.955 -0.129  -0.925 -0.251  -0.830 -0.346  -0.804 -0.469  -0.747 -0.580  -0.652 -0.674  -0.557 -0.769  -0.445 -0.824  -0.323 -0.853  -0.228 -0.948  -0.105 -0.974  0.030 -0.974  0.164 -0.974  0.298 -0.974  0.432 -0.974  0.567 -0.974  0.701 -0.974  0.704 -0.844  0.818 -0.824  0.855 -0.726  0.855 -0.592  0.855 -0.458  0.855 -0.323  0.855 -0.189  0.855 -0.055  0.855 0.079  0.855 0.214  0.803 0.336  0.743 0.456  0.683 0.576  0.623 0.696  0.563 0.816  0.441 0.836  0.403 0.931  0.347 1.042  0.252 1.137
