2#apa#apa01#app0165/o  -0.938 0.847  -0.938 0.693  -0.938 0.538  -0.938 0.384  -0.938 0.230  -0.938 0.075  -0.938 -0.079  -0.938 -0.233  -0.938 -0.388  -0.898 -0.502  -0.744 -0.503  -0.635 -0.612  -0.552 -0.733  -0.552 -0.887  -0.398 -0.888  -0.278 -0.969  -0.169 -1.078  -0.015 -1.080  0.139 -1.080  0.219 -1.005  0.255 -0.888  0.410 -0.888  0.564 -0.888  0.718 -0.888  0.797 -0.812  0.823 -0.668  0.932 -0.559  0.990 -0.429  0.990 -0.274  0.990 -0.120  0.990 0.034  0.877 0.076  0.797 0.150  0.797 0.305  0.797 0.459  0.645 0.462  0.604 0.575  0.529 0.654  0.412 0.691  0.412 0.845  0.259 0.847  0.219 0.961  0.143 1.040  -0.011 1.040  -0.166 1.040  -0.320 1.040  -0.475 1.040  -0.552 0.963  -0.552 0.809  -0.552 0.654
2#apa#apa01#app0165/r  -0.764 0.324  -0.764 0.194  -0.703 0.124  -0.573 0.124  -0.564 0.003  -0.564 -0.127  -0.564 -0.257  -0.564 -0.387  -0.534 -0.505  -0.442 -0.597  -0.364 -0.695  -0.364 -0.825  -0.308 -0.932  -0.216 -1.024  -0.124 -1.116  -0.032 -1.208  0.036 -1.310  0.036 -1.440  0.036 -1.380  0.036 -1.250  0.036 -1.120  0.036 -0.990  0.036 -0.859  0.036 -0.729  -0.018 -0.622  -0.110 -0.530  -0.164 -0.422  -0.164 -0.292  -0.164 -0.162  -0.164 -0.032  -0.164 0.099  -0.164 0.229  -0.164 0.359  -0.164 0.489  -0.164 0.619  -0.139 0.723  -0.008 0.723  0.096 0.784  0.188 0.876  0.299 0.923  0.429 0.923  0.523 1.011  0.615 1.103  0.737 1.123  0.835 1.155  0.835 1.285  0.927 1.323  1.051 1.339  1.143 1.431  1.235 1.523
2#apa#apa01#app0165/*  -0.824 1.004  -0.603 0.813  -0.399 0.579  -0.243 0.232  -0.062 -0.106  -0.062 -0.518  0.121 -0.887  0.139 -1.293  0.319 -1.630  0.186 -1.340  -0.106 -1.049  -0.397 -0.757  -0.689 -0.466  -0.980 -0.174  -1.112 0.051  -0.824 -0.073  -0.478 -0.139  -0.145 0.051  0.267 0.051  0.629 0.171  1.012 0.242  1.346 0.432  1.397 0.705  1.139 1.027  0.882 1.349  0.700 1.454  0.700 1.042  0.517 0.813  0.358 0.471  0.319 0.075  0.128 -0.258  -0.021 -0.520  -0.190 -0.839  -0.253 -1.225  -0.305 -0.936  -0.435 -0.545  -0.565 -0.154  -0.696 0.237  -0.826 0.628  -0.956 1.019  -0.824 1.158  -0.757 0.813  -0.564 0.553  -0.253 0.382  -0.062 0.160  0.162 -0.139  0.384 -0.330  0.717 -0.520  0.938 -0.711  1.272 -0.902
2#apa#apa01#app0165/Z  -1.353 0.900  -1.241 0.900  -1.129 0.900  -1.017 0.900  -0.905 0.900  -0.793 0.900  -0.681 0.900  -0.569 0.900  -0.457 0.900  -0.345 0.900  -0.233 0.900  -0.121 0.900  -0.009 0.900  0.103 0.900  0.127 0.813  0.178 0.752  0.290 0.752  0.402 0.752  0.514 0.752  0.571 0.697  0.557 0.591  0.478 0.511  0.399 0.432  0.320 0.353  0.275 0.260  0.266 0.151  0.187 0.072  0.127 -0.015  0.127 -0.127  0.054 -0.209  -0.021 -0.290  -0.021 -0.402  -0.079 -0.490  -0.158 -0.569  -0.169 -0.676  -0.169 -0.788  -0.169 -0.900  -0.169 -1.012  -0.169 -1.124  -0.105 -1.172  0.007 -1.172  0.119 -1.172  0.231 -1.172  0.343 -1.172  0.455 -1.172  0.567 -1.172  0.679 -1.172  0.791 -1.172  0.903 -1.172  1.015 -1.172
2#apa#apa01#app0165/A  -1.121 -0.923  -1.081 -1.113  -0.931 -1.034  -0.931 -0.804  -0.931 -0.575  -0.742 -0.535  -0.742 -0.306  -0.679 -0.102  -0.552 0.075  -0.552 0.304  -0.460 0.496  -0.362 0.684  -0.362 0.914  -0.362 1.143  -0.342 1.352  -0.173 1.412  -0.073 1.542  0.017 1.402  0.017 1.173  0.206 1.133  0.206 0.903  0.206 0.674  0.312 0.488  0.396 0.294  0.502 0.108  0.586 -0.087  0.586 -0.316  0.587 -0.544  0.775 -0.585  0.832 -0.791  0.965 -0.965  0.965 -1.195  1.086 -1.303  1.155 -1.141  1.145 -0.917  0.957 -0.785  0.769 -0.654  0.581 -0.522  0.393 -0.391  0.206 -0.259  0.018 -0.128  -0.170 0.004  -0.358 0.136  -0.546 0.267  -0.734 0.399  -0.711 0.214  -0.482 0.214  -0.252 0.214  -0.023 0.214  0.206 0.214
2#apa#apa01#app0165/P  -0.612 0.507  -0.474 0.438  -0.474 0.231  -0.335 0.081  -0.256 -0.047  -0.197 -0.195  -0.197 -0.403  -0.093 -0.567  -0.058 -0.760  -0.058 -0.967  -0.045 -1.169  0.080 -1.324  0.080 -1.531  0.202 -1.546  0.087 -1.373  -0.028 -1.201  -0.143 -1.028  -0.258 -0.856  -0.373 -0.683  -0.488 -0.511  -0.603 -0.338  -0.717 -0.166  -0.832 0.006  -0.947 0.179  -1.062 0.351  -1.145 0.507  -1.027 0.596  -0.869 0.645  -0.688 0.708  -0.512 0.783  -0.335 0.814  -0.236 0.922  -0.037 0.943  0.121 1.060  0.328 1.060  0.535 1.060  0.743 1.060  0.811 0.922  1.019 0.922  1.088 0.783  1.188 0.677  1.188 0.469  1.188 0.262  1.064 0.106  1.002 -0.047  0.829 -0.130  0.682 -0.276  0.495 -0.324  0.287 -0.324  0.080 -0.324
2#apa#apa01#app0165/*  -0.311 1.257  -0.141 1.039  0.030 0.821  0.030 0.432  0.030 0.044  0.197 -0.275  0.200 -0.662  0.200 -1.051  0.200 -1.439  0.240 -1.340  -0.035 -1.065  -0.310 -0.791  -0.585 -0.516  -0.859 -0.241  -1.134 0.033  -1.409 0.308  -1.323 0.234  -0.935 0.234  -0.617 0.063  -0.228 0.063  0.160 0.063  0.549 0.063  0.937 0.063  1.325 0.063  1.714 0.063  1.500 0.345  1.251 0.644  1.002 0.942  0.852 0.916  0.634 0.745  0.416 0.575  0.249 0.282  -0.049 0.063  -0.267 -0.107  -0.555 -0.351  -0.823 -0.528  -0.981 -0.492  -0.942 -0.106  -0.903 0.281  -0.865 0.667  -0.826 1.054  -0.652 0.801  -0.417 0.510  -0.142 0.235  0.133 -0.040  0.322 -0.278  0.540 -0.448  0.695 -0.772  0.849 -1.097  1.053 -1.301
2#apa#apa01#app0165/,  -0.741 1.317  -0.659 1.317  -0.578 1.317  -0.497 1.317  -0.482 1.250  -0.482 1.169  -0.482 1.088  -0.430 1.059  -0.349 1.059  -0.267 1.059  -0.224 1.021  -0.224 0.940  -0.224 0.858  -0.224 0.777  -0.224 0.696  -0.224 0.615  -0.215 0.542  -0.134 0.542  -0.053 0.542  0.029 0.542  0.035 0.467  0.035 0.385  0.035 0.304  0.035 0.223  0.035 0.141  0.035 0.060  0.067 -0.008  0.125 -0.065  0.182 -0.123  0.240 -0.180  0.293 -0.239  0.293 -0.321  0.293 -0.402  0.293 -0.483  0.293 -0.564  0.293 -0.646  0.293 -0.727  0.293 -0.808  0.293 -0.890  0.293 -0.971  0.293 -1.052  0.293 -1.133  0.293 -1.215  0.293 -1.296  0.293 -1.377  0.293 -1.459  0.293 -1.540  0.293 -1.621  0.293 -1.702  0.293 -1.784
2#apa#apa01#app0165/*  -0.199 1.273  -0.036 0.945  -0.036 0.550  -0.036 0.155  0.113 -0.179  0.127 -0.568  0.127 -0.963  0.290 -1.195  0.234 -1.421  -0.003 -1.105  -0.241 -0.789  -0.478 -0.473  -0.715 -0.156  -0.952 0.160  -1.160 0.443  -0.826 0.295  -0.594 0.133  -0.199 0.133  0.033 -0.030  0.429 -0.030  0.824 -0.030  1.219 -0.030  1.614 -0.030  1.577 0.149  1.298 0.428  1.019 0.707  0.723 0.947  0.616 0.659  0.453 0.426  0.218 0.224  0.024 -0.030  -0.158 -0.315  -0.373 -0.519  -0.605 -0.682  -0.758 -0.377  -0.847 0.009  -0.935 0.394  -1.024 0.779  -1.113 1.164  -1.094 1.354  -0.814 1.074  -0.535 0.795  -0.371 0.468  -0.199 0.144  0.073 -0.139  0.290 -0.444  0.453 -0.676  0.616 -0.908  0.825 -1.217  1.105 -1.496
2#apa#apa01#app0165/K  -0.670 1.353  -0.583 1.212  -0.529 1.037  -0.529 0.808  -0.529 0.580  -0.529 0.352  -0.529 0.123  -0.529 -0.105  -0.624 -0.294  -0.670 -0.504  -0.670 -0.732  -0.670 -0.960  -0.669 -1.187  -0.529 -1.276  -0.376 -1.295  -0.301 -1.080  -0.225 -0.864  -0.150 -0.649  -0.074 -0.433  0.001 -0.217  0.077 -0.002  0.152 0.214  0.227 0.429  0.303 0.645  0.378 0.861  0.454 1.076  0.529 1.292  0.600 1.479  0.498 1.353  0.411 1.212  0.257 1.091  0.177 0.881  0.081 0.692  -0.106 0.624  -0.216 0.506  -0.247 0.308  -0.388 0.221  -0.298 0.083  -0.106 0.046  0.018 -0.058  0.226 -0.108  0.388 -0.269  0.459 -0.468  0.600 -0.556  0.672 -0.767  0.741 -0.979  0.741 -1.208  0.849 -1.328  0.882 -1.523  1.023 -1.611
2#apa#apa01#app0165/A  -0.907 -1.107  -0.907 -1.195  -1.035 -1.107  -1.029 -0.926  -0.907 -0.761  -0.907 -0.545  -0.785 -0.379  -0.755 -0.175  -0.755 0.041  -0.688 0.241  -0.603 0.437  -0.603 0.653  -0.493 0.824  -0.451 1.023  -0.451 1.239  -0.451 1.455  -0.300 1.425  -0.188 1.320  -0.123 1.169  0.004 1.080  0.156 1.015  0.156 0.799  0.286 0.713  0.307 0.519  0.383 0.334  0.459 0.149  0.582 -0.016  0.627 -0.213  0.763 -0.373  0.763 -0.590  0.914 -0.654  0.914 -0.870  0.914 -1.086  1.066 -1.151  1.066 -1.151  1.066 -0.935  1.006 -0.744  0.840 -0.608  0.655 -0.497  0.470 -0.385  0.284 -0.274  0.099 -0.163  -0.086 -0.052  -0.272 0.059  -0.457 0.171  -0.557 0.258  -0.341 0.258  -0.125 0.258  0.091 0.258  0.307 0.258
