3#apa#apa00#app0000/b  -0.431 1.963  -0.431 1.778  -0.431 1.593  -0.431 1.409  -0.431 1.224  -0.431 1.039  -0.431 0.854  -0.431 0.670  -0.431 0.485  -0.431 0.300  -0.431 0.115  -0.431 -0.070  -0.431 -0.254  -0.431 -0.439  -0.431 -0.624  -0.431 -0.809  -0.431 -0.993  -0.460 -1.166  -0.493 -1.184  -0.431 -1.061  -0.431 -0.877  -0.431 -0.692  -0.431 -0.507  -0.369 -0.384  -0.320 -0.220  -0.245 -0.066  -0.190 0.096  -0.121 0.252  -0.032 0.405  0.051 0.570  0.192 0.684  0.302 0.825  0.437 0.919  0.561 0.962  0.620 0.791  0.623 0.607  0.685 0.448  0.747 0.289  0.747 0.104  0.809 -0.066  0.862 -0.242  0.871 -0.425  0.871 -0.610  0.806 -0.768  0.712 -0.906  0.562 -1.011  0.414 -1.098  0.283 -1.229  0.119 -1.296  0.003 -1.385
3#apa#apa00#app0000/c  0.525 0.517  0.641 0.517  0.667 0.608  0.667 0.724  0.667 0.840  0.652 0.941  0.596 1.001  0.561 1.082  0.525 1.162  0.470 1.224  0.383 1.294  0.313 1.249  0.222 1.224  0.172 1.158  0.093 1.074  0.011 0.992  -0.060 0.902  -0.112 0.799  -0.199 0.729  -0.252 0.666  -0.323 0.579  -0.323 0.463  -0.393 0.376  -0.394 0.260  -0.394 0.144  -0.394 0.028  -0.464 -0.058  -0.464 -0.174  -0.464 -0.291  -0.535 -0.336  -0.535 -0.452  -0.560 -0.544  -0.606 -0.613  -0.606 -0.729  -0.606 -0.845  -0.541 -0.897  -0.496 -0.968  -0.405 -1.027  -0.322 -1.109  -0.252 -1.155  -0.161 -1.180  -0.111 -1.246  0.001 -1.250  0.117 -1.250  0.215 -1.207  0.318 -1.175  0.406 -1.109  0.502 -1.061  0.584 -0.979  0.667 -0.897
3#apa#apa00#app0000/d  0.285 -0.117  0.348 0.062  0.412 0.278  0.412 0.521  0.320 0.708  0.167 0.835  -0.075 0.835  -0.265 0.708  -0.422 0.535  -0.579 0.352  -0.713 0.154  -0.848 -0.044  -0.926 -0.255  -1.019 -0.469  -1.047 -0.699  -1.047 -0.942  -1.047 -1.184  -0.884 -1.358  -0.652 -1.385  -0.500 -1.258  -0.359 -1.077  -0.224 -0.879  -0.164 -0.645  -0.096 -0.418  -0.009 -0.196  0.043 0.034  0.094 0.264  0.158 0.491  0.221 0.707  0.285 0.923  0.348 1.102  0.412 1.281  0.475 1.497  0.475 1.579  0.533 1.406  0.412 1.248  0.353 1.030  0.328 0.795  0.221 0.578  0.221 0.335  0.221 0.093  0.221 -0.149  0.221 -0.391  0.221 -0.634  0.221 -0.876  0.320 -1.040  0.424 -1.195  0.666 -1.195  0.856 -1.068  0.982 -0.878
3#apa#apa00#app0000/e  -0.743 -0.877  -0.653 -0.787  -0.531 -0.666  -0.410 -0.544  -0.288 -0.422  -0.136 -0.342  -0.012 -0.224  0.110 -0.102  0.231 0.020  0.349 0.145  0.430 0.295  0.552 0.417  0.636 0.565  0.695 0.716  0.727 0.874  0.697 1.039  0.650 1.200  0.536 1.325  0.381 1.367  0.209 1.367  0.108 1.295  -0.058 1.289  -0.144 1.191  -0.278 1.120  -0.355 0.980  -0.433 0.885  -0.510 0.745  -0.530 0.593  -0.588 0.478  -0.588 0.306  -0.665 0.211  -0.665 0.039  -0.741 -0.102  -0.743 -0.273  -0.743 -0.445  -0.665 -0.585  -0.588 -0.725  -0.496 -0.814  -0.375 -0.936  -0.226 -1.020  -0.088 -1.109  0.084 -1.109  0.256 -1.109  0.428 -1.109  0.600 -1.109  0.736 -1.023  0.880 -0.955  0.958 -0.802  1.037 -0.708  0.959 -0.568
3#apa#apa00#app0000/f  0.472 0.623  0.539 0.738  0.594 0.885  0.610 1.047  0.584 1.206  0.530 1.353  0.430 1.457  0.272 1.504  0.149 1.457  0.101 1.308  0.055 1.158  0.055 0.989  0.055 0.819  0.055 0.650  0.055 0.480  0.055 0.311  0.055 0.141  0.055 -0.029  0.034 -0.196  0.008 -0.364  0.008 -0.533  0.008 -0.703  -0.038 -0.865  -0.038 -1.034  -0.038 -1.204  -0.084 -1.362  -0.143 -1.519  -0.223 -1.655  -0.336 -1.739  -0.455 -1.661  -0.451 -1.491  -0.439 -1.322  -0.428 -1.153  -0.416 -0.984  -0.405 -0.815  -0.393 -0.646  -0.382 -0.477  -0.370 -0.308  -0.358 -0.139  -0.347 0.031  -0.335 0.200  -0.324 0.369  -0.362 0.477  -0.258 0.363  -0.092 0.345  0.066 0.392  0.225 0.438  0.393 0.445  0.553 0.484  0.703 0.531
3#apa#apa00#app0000/g  0.080 0.586  0.205 0.610  0.310 0.691  0.357 0.822  0.372 0.965  0.331 1.097  0.273 1.213  0.124 1.213  -0.007 1.169  -0.113 1.063  -0.218 0.957  -0.314 0.844  -0.346 0.704  -0.381 0.569  -0.381 0.419  -0.381 0.270  -0.375 0.126  -0.243 0.084  -0.130 0.145  -0.035 0.232  0.041 0.361  0.131 0.479  0.163 0.621  0.208 0.760  0.247 0.900  0.247 0.959  0.289 0.827  0.289 0.677  0.289 0.528  0.281 0.379  0.251 0.233  0.216 0.088  0.205 -0.061  0.180 -0.208  0.163 -0.355  0.152 -0.503  0.114 -0.648  0.080 -0.792  0.073 -0.940  0.028 -1.083  -0.004 -1.228  -0.032 -1.366  -0.102 -1.491  -0.133 -1.637  -0.199 -1.771  -0.273 -1.882  -0.405 -1.840  -0.491 -1.729  -0.548 -1.596  -0.590 -1.464
3#apa#apa00#app0000/h  -0.103 2.245  -0.103 2.089  -0.103 1.934  -0.148 1.786  -0.157 1.632  -0.157 1.476  -0.157 1.320  -0.157 1.165  -0.157 1.009  -0.157 0.854  -0.157 0.698  -0.170 0.544  -0.195 0.390  -0.211 0.236  -0.211 0.081  -0.211 -0.075  -0.257 -0.223  -0.265 -0.377  -0.304 -0.526  -0.319 -0.679  -0.373 -0.822  -0.386 -0.975  -0.428 -1.121  -0.428 -1.165  -0.428 -1.010  -0.409 -0.859  -0.364 -0.714  -0.280 -0.585  -0.246 -0.444  -0.164 -0.314  -0.089 -0.178  0.006 -0.056  0.101 0.066  0.173 0.192  0.276 0.273  0.387 0.350  0.542 0.350  0.547 0.199  0.522 0.054  0.493 -0.090  0.445 -0.234  0.404 -0.384  0.385 -0.537  0.330 -0.680  0.330 -0.835  0.330 -0.991  0.330 -1.146  0.426 -1.262  0.554 -1.329  0.710 -1.329
3#apa#apa00#app0000/i  -0.156 0.554  -0.156 0.554  -0.200 0.448  -0.219 0.331  -0.285 0.234  -0.341 0.122  -0.343 -0.001  -0.406 -0.100  -0.406 -0.224  -0.406 -0.349  -0.419 -0.470  -0.468 -0.583  -0.468 -0.707  -0.468 -0.832  -0.468 -0.956  -0.468 -1.081  -0.406 -1.143  -0.353 -1.245  -0.259 -1.318  -0.135 -1.318  -0.016 -1.303  0.088 -1.255  0.184 -1.179  0.292 -1.119  0.380 -1.031  0.402 -0.918  0.389 -0.794  0.375 -0.670  0.361 -0.547  0.347 -0.423  0.334 -0.299  0.320 -0.176  0.306 -0.052  0.292 0.072  0.279 0.195  0.265 0.319  0.251 0.443  0.238 0.566  0.224 0.690  0.210 0.814  0.196 0.937  0.183 1.061  0.169 1.185  0.155 1.308  0.141 1.432  0.128 1.555  0.114 1.679  0.100 1.803  0.031 1.864  0.093 1.926
3#apa#apa00#app0000/j  -0.019 0.472  0.048 0.606  0.162 0.694  0.273 0.806  0.346 0.890  0.378 1.015  0.357 1.004  0.315 0.857  0.273 0.709  0.273 0.552  0.273 0.395  0.252 0.241  0.230 0.088  0.204 -0.067  0.190 -0.223  0.148 -0.374  0.148 -0.531  0.066 -0.654  0.033 -0.803  -0.019 -0.948  -0.115 -1.068  -0.188 -1.203  -0.276 -1.331  -0.405 -1.418  -0.490 -1.533  -0.605 -1.575  -0.711 -1.510  -0.729 -1.360  -0.691 -1.210  -0.627 -1.066  -0.562 -0.923  -0.496 -0.780  -0.431 -0.637  -0.366 -0.494  -0.301 -0.351  -0.236 -0.208  -0.171 -0.065  -0.105 0.078  -0.040 0.221  0.025 0.364  0.090 0.507  0.155 0.650  0.221 0.793  0.286 0.936  0.351 1.079  0.416 1.222  0.481 1.365  0.547 1.508  0.598 1.642  0.441 1.642
3#apa#apa00#app0000/k  -0.107 2.021  -0.190 1.826  -0.222 1.619  -0.273 1.415  -0.273 1.203  -0.327 0.998  -0.384 0.794  -0.384 0.581  -0.435 0.375  -0.440 0.164  -0.484 -0.043  -0.495 -0.254  -0.544 -0.459  -0.562 -0.667  -0.607 -0.869  -0.639 -1.076  -0.721 -1.260  -0.802 -1.257  -0.761 -1.079  -0.675 -0.894  -0.561 -0.716  -0.493 -0.530  -0.398 -0.340  -0.303 -0.150  -0.153 -0.016  -0.058 0.174  0.082 0.332  0.208 0.502  0.358 0.652  0.510 0.798  0.667 0.854  0.879 0.854  0.918 0.743  0.785 0.632  0.618 0.522  0.505 0.422  0.394 0.256  0.252 0.102  0.116 -0.054  0.051 -0.202  0.005 -0.256  0.005 -0.468  0.060 -0.668  0.147 -0.844  0.303 -0.979  0.502 -1.035  0.715 -1.035  0.901 -0.972  1.084 -0.901  1.227 -0.813
3#apa#apa00#app0000/l  -0.590 -0.988  -0.533 -0.870  -0.423 -0.783  -0.307 -0.704  -0.237 -0.583  -0.142 -0.479  -0.051 -0.370  0.034 -0.257  0.115 -0.141  0.194 -0.023  0.257 0.104  0.302 0.238  0.384 0.349  0.467 0.462  0.550 0.575  0.564 0.711  0.618 0.830  0.618 0.972  0.558 1.053  0.510 1.175  0.437 1.251  0.437 1.393  0.437 1.534  0.376 1.483  0.315 1.367  0.256 1.239  0.216 1.107  0.179 0.974  0.116 0.847  0.053 0.721  0.014 0.588  -0.010 0.450  -0.058 0.317  -0.107 0.187  -0.124 0.048  -0.169 -0.086  -0.222 -0.218  -0.274 -0.349  -0.288 -0.488  -0.344 -0.617  -0.354 -0.756  -0.409 -0.885  -0.453 -1.016  -0.469 -1.154  -0.474 -1.294  -0.530 -1.412  -0.513 -1.547  -0.451 -1.652  -0.309 -1.652  -0.167 -1.652
