2#apb#apb10#app1022/M  -0.865 0.069  -0.898 0.090  -0.685 0.247  -0.486 0.422  -0.550 0.198  -0.658 -0.046  -0.776 -0.286  -0.861 -0.539  -0.984 -0.776  -1.076 -1.027  -1.193 -1.266  -1.071 -1.051  -0.961 -0.807  -0.851 -0.563  -0.741 -0.320  -0.725 -0.232  -0.548 -0.102  -0.344 0.070  -0.152 0.257  0.037 0.446  0.211 0.649  0.240 0.653  0.139 0.405  0.032 0.161  -0.069 -0.087  -0.180 -0.330  -0.300 -0.569  -0.420 -0.807  -0.493 -1.016  -0.374 -0.777  -0.256 -0.537  -0.138 -0.298  -0.018 -0.168  0.198 -0.014  0.402 0.158  0.619 0.314  0.832 0.476  1.030 0.655  1.220 0.843  1.368 1.065  1.527 1.279  1.516 1.272  1.358 1.057  1.211 0.834  1.088 0.596  0.971 0.356  0.852 0.116  0.727 -0.120  0.593 -0.351  0.503 -0.598
2#apb#apb10#app1022/y  -0.060 0.835  0.002 0.938  0.000 0.928  -0.088 0.846  -0.157 0.746  -0.191 0.639  -0.107 0.556  0.003 0.510  0.124 0.510  0.245 0.516  0.330 0.587  0.397 0.687  0.463 0.788  0.530 0.889  0.597 0.990  0.664 1.091  0.583 1.124  0.494 1.042  0.410 0.955  0.370 0.843  0.375 0.722  0.392 0.602  0.425 0.486  0.460 0.370  0.490 0.253  0.523 0.137  0.553 0.020  0.573 -0.099  0.580 -0.220  0.563 -0.340  0.512 -0.447  0.445 -0.547  0.355 -0.628  0.264 -0.709  0.163 -0.775  0.061 -0.839  -0.047 -0.893  -0.161 -0.935  -0.274 -0.976  -0.392 -1.003  -0.511 -1.022  -0.631 -1.042  -0.751 -1.054  -0.871 -1.065  -0.992 -1.069  -1.111 -1.050  -1.231 -1.031  -1.348 -1.003  -1.463 -0.966  -1.560 -0.896
2#apb#apb10#app1022/n  -0.806 0.332  -0.906 0.332  -0.735 0.377  -0.578 0.474  -0.415 0.562  -0.266 0.669  -0.185 0.649  -0.245 0.476  -0.313 0.304  -0.382 0.133  -0.455 -0.036  -0.535 -0.203  -0.617 -0.368  -0.706 -0.530  -0.795 -0.691  -0.888 -0.850  -0.978 -1.011  -1.052 -1.179  -1.104 -1.320  -0.996 -1.187  -0.903 -1.028  -0.810 -0.868  -0.717 -0.709  -0.624 -0.549  -0.531 -0.390  -0.439 -0.230  -0.405 -0.130  -0.252 -0.055  -0.089 0.026  0.068 0.123  0.220 0.227  0.377 0.323  0.540 0.410  0.698 0.505  0.855 0.603  1.010 0.703  1.164 0.805  1.298 0.927  1.395 1.051  1.329 0.920  1.213 0.777  1.105 0.627  1.000 0.475  0.919 0.310  0.841 0.143  0.777 -0.031  0.718 -0.205  0.692 -0.387  0.713 -0.569  0.792 -0.734
2#apb#apb10#app1022/a  0.627 -0.454  0.723 -0.317  0.769 -0.160  0.869 -0.023  0.924 0.138  0.926 0.308  0.908 0.476  0.885 0.644  0.854 0.809  0.786 0.965  0.687 1.096  0.539 1.179  0.381 1.230  0.211 1.230  0.060 1.158  -0.089 1.076  -0.228 0.979  -0.365 0.879  -0.487 0.761  -0.602 0.635  -0.714 0.508  -0.806 0.365  -0.898 0.222  -0.979 0.074  -1.047 -0.082  -1.115 -0.237  -1.177 -0.396  -1.235 -0.555  -1.233 -0.722  -1.176 -0.871  -1.042 -0.970  -0.873 -0.970  -0.708 -0.947  -0.554 -0.875  -0.400 -0.803  -0.262 -0.706  -0.131 -0.597  -0.002 -0.487  0.123 -0.373  0.249 -0.258  0.382 -0.153  0.521 -0.056  0.668 0.028  0.734 -0.052  0.680 -0.213  0.625 -0.373  0.569 -0.534  0.512 -0.694  0.470 -0.858  0.437 -1.025
2#apb#apb10#app1022/m  -1.164 -0.357  -1.087 -0.233  -0.940 -0.099  -0.826 0.051  -0.904 -0.133  -0.993 -0.312  -1.083 -0.490  -1.181 -0.663  -1.303 -0.821  -1.271 -0.847  -1.163 -0.679  -1.054 -0.511  -0.930 -0.358  -0.756 -0.261  -0.597 -0.142  -0.435 -0.025  -0.281 0.101  -0.129 0.230  0.007 0.372  0.014 0.296  -0.083 0.122  -0.176 -0.055  -0.276 -0.227  -0.382 -0.396  -0.459 -0.580  -0.423 -0.663  -0.369 -0.471  -0.316 -0.279  -0.197 -0.173  -0.017 -0.097  0.146 0.019  0.306 0.138  0.472 0.248  0.614 0.388  0.759 0.525  0.912 0.653  1.071 0.774  1.235 0.887  1.406 0.990  1.568 1.098  1.482 0.952  1.365 0.790  1.248 0.628  1.129 0.469  1.015 0.305  0.906 0.138  0.826 -0.045  0.761 -0.233  0.733 -0.429  0.818 -0.597
2#apb#apb10#app1022/e  -0.701 -0.002  -0.638 -0.078  -0.515 -0.033  -0.404 0.050  -0.289 0.126  -0.173 0.201  -0.058 0.278  0.051 0.363  0.155 0.453  0.245 0.558  0.310 0.678  0.354 0.809  0.362 0.946  0.340 1.079  0.272 1.198  0.157 1.251  0.030 1.197  -0.091 1.130  -0.210 1.060  -0.322 0.981  -0.416 0.880  -0.510 0.778  -0.603 0.675  -0.667 0.553  -0.732 0.431  -0.797 0.309  -0.839 0.179  -0.860 0.042  -0.872 -0.094  -0.822 -0.223  -0.773 -0.352  -0.686 -0.452  -0.573 -0.532  -0.457 -0.607  -0.335 -0.673  -0.213 -0.738  -0.080 -0.776  0.053 -0.814  0.187 -0.847  0.323 -0.872  0.459 -0.898  0.596 -0.913  0.734 -0.913  0.872 -0.913  1.011 -0.913  1.149 -0.913  1.287 -0.913  1.426 -0.913  1.564 -0.913  1.702 -0.913
2#apb#apb10#app1022/i  -0.120 0.649  0.015 0.671  0.105 0.761  0.175 0.664  0.157 0.545  0.078 0.434  -0.007 0.328  -0.096 0.225  -0.187 0.123  -0.278 0.021  -0.369 -0.080  -0.448 -0.191  -0.526 -0.303  -0.597 -0.419  -0.658 -0.541  -0.717 -0.664  -0.754 -0.795  -0.770 -0.929  -0.749 -1.064  -0.681 -1.178  -0.582 -1.267  -0.454 -1.309  -0.319 -1.328  -0.184 -1.312  -0.053 -1.279  0.066 -1.214  0.186 -1.149  0.226 -1.032  0.237 -0.896  0.247 -0.760  0.257 -0.624  0.267 -0.488  0.278 -0.352  0.288 -0.216  0.298 -0.080  0.309 0.056  0.319 0.192  0.329 0.328  0.339 0.464  0.350 0.600  0.360 0.736  0.370 0.872  0.380 1.008  0.391 1.144  0.401 1.280  0.411 1.416  0.421 1.552  0.432 1.688  0.442 1.824  0.417 1.892
2#apb#apb10#app1022/s  0.811 1.261  0.683 1.261  0.563 1.216  0.443 1.172  0.316 1.152  0.189 1.133  0.064 1.104  -0.053 1.050  -0.170 0.997  -0.294 0.976  -0.416 0.954  -0.516 0.874  -0.625 0.805  -0.714 0.716  -0.785 0.609  -0.843 0.499  -0.825 0.372  -0.750 0.285  -0.634 0.232  -0.506 0.222  -0.377 0.212  -0.250 0.197  -0.125 0.163  -0.001 0.130  0.122 0.093  0.245 0.055  0.368 0.017  0.491 -0.022  0.613 -0.063  0.718 -0.131  0.809 -0.222  0.878 -0.329  0.897 -0.454  0.887 -0.578  0.796 -0.669  0.702 -0.757  0.599 -0.834  0.496 -0.911  0.373 -0.949  0.250 -0.988  0.127 -1.026  0.003 -1.058  -0.125 -1.074  -0.253 -1.090  -0.381 -1.106  -0.509 -1.110  -0.638 -1.110  -0.767 -1.110  -0.895 -1.110  -0.989 -1.053
2#apb#apb10#app1022/D  -0.063 0.543  -0.019 0.741  0.021 0.714  -0.006 0.513  -0.063 0.317  -0.109 0.118  -0.163 -0.078  -0.224 -0.273  -0.275 -0.471  -0.333 -0.667  -0.379 -0.864  -0.423 -1.063  -0.427 -1.120  -0.405 -0.921  -0.413 -0.717  -0.421 -0.513  -0.429 -0.309  -0.437 -0.105  -0.446 0.099  -0.454 0.303  -0.462 0.507  -0.470 0.711  -0.479 0.914  -0.487 1.118  -0.495 1.322  -0.436 1.374  -0.245 1.301  -0.049 1.246  0.140 1.170  0.326 1.085  0.512 1.001  0.686 0.896  0.851 0.776  0.991 0.628  1.101 0.458  1.175 0.272  1.167 0.071  1.088 -0.117  0.960 -0.274  0.821 -0.424  0.656 -0.543  0.487 -0.657  0.317 -0.770  0.146 -0.882  -0.028 -0.987  -0.207 -1.086  -0.383 -1.189  -0.557 -1.296  -0.739 -1.388  -0.919 -1.483
2#apb#apb10#app1022/o  0.081 0.233  0.240 0.251  0.398 0.273  0.552 0.317  0.707 0.357  0.781 0.456  0.730 0.604  0.681 0.752  0.570 0.861  0.421 0.914  0.261 0.914  0.101 0.914  -0.059 0.914  -0.203 0.858  -0.338 0.772  -0.473 0.686  -0.611 0.605  -0.749 0.525  -0.881 0.437  -0.988 0.318  -1.095 0.199  -1.182 0.067  -1.247 -0.079  -1.281 -0.232  -1.281 -0.392  -1.259 -0.545  -1.166 -0.675  -1.046 -0.771  -0.899 -0.834  -0.752 -0.898  -0.599 -0.935  -0.439 -0.935  -0.279 -0.935  -0.119 -0.935  0.038 -0.908  0.196 -0.880  0.353 -0.852  0.505 -0.806  0.650 -0.739  0.796 -0.672  0.912 -0.570  1.005 -0.439  1.022 -0.285  1.015 -0.125  0.997 0.034  0.954 0.186  0.890 0.332  0.765 0.432  0.730 0.575  0.600 0.655
2#apb#apb10#app1022/n  -0.922 0.189  -0.777 0.231  -0.650 0.308  -0.530 0.346  -0.554 0.196  -0.594 0.047  -0.644 -0.096  -0.732 -0.222  -0.820 -0.347  -0.910 -0.472  -0.997 -0.598  -1.065 -0.735  -1.148 -0.864  -1.236 -0.990  -1.234 -0.992  -1.140 -0.871  -1.046 -0.749  -0.951 -0.628  -0.857 -0.507  -0.763 -0.386  -0.669 -0.265  -0.594 -0.170  -0.451 -0.120  -0.311 -0.062  -0.180 0.018  -0.051 0.101  0.089 0.160  0.238 0.197  0.381 0.250  0.524 0.307  0.661 0.376  0.792 0.455  0.919 0.541  1.037 0.638  1.157 0.735  1.269 0.838  1.358 0.961  1.323 0.929  1.220 0.815  1.130 0.691  1.043 0.564  0.952 0.441  0.859 0.319  0.774 0.192  0.699 0.058  0.642 -0.083  0.602 -0.231  0.638 -0.377  0.712 -0.509  0.809 -0.628
