3#apb#apb23#app2371/R  -0.012 0.766  -0.169 0.802  -0.187 0.568  -0.204 0.331  -0.229 0.094  -0.270 -0.140  -0.315 -0.373  -0.332 -0.611  -0.338 -0.849  -0.349 -1.043  -0.471 -0.838  -0.592 -0.633  -0.713 -0.428  -0.834 -0.223  -0.955 -0.018  -1.076 0.187  -1.197 0.392  -1.311 0.597  -1.188 0.801  -0.984 0.906  -0.762 0.992  -0.541 1.080  -0.305 1.102  -0.068 1.115  0.167 1.078  0.400 1.033  0.621 0.950  0.834 0.844  1.025 0.706  1.193 0.538  1.272 0.317  1.280 0.093  1.161 -0.109  0.974 -0.256  0.775 -0.379  0.545 -0.440  0.313 -0.490  0.075 -0.505  -0.155 -0.469  -0.348 -0.350  -0.498 -0.172  -0.294 -0.176  -0.086 -0.269  0.098 -0.420  0.280 -0.574  0.451 -0.737  0.594 -0.928  0.749 -1.108  0.909 -1.285  1.065 -1.464
3#apb#apb23#app2371/i  0.146 -0.045  0.146 0.063  0.137 -0.025  0.128 -0.132  0.118 -0.239  0.108 -0.346  0.071 -0.447  0.031 -0.546  -0.009 -0.646  -0.048 -0.746  -0.059 -0.853  -0.070 -0.960  -0.080 -1.066  -0.092 -1.173  -0.103 -1.280  -0.115 -1.387  -0.126 -1.478  -0.119 -1.371  -0.111 -1.264  -0.104 -1.156  -0.097 -1.049  -0.090 -0.942  -0.083 -0.835  -0.076 -0.728  -0.069 -0.621  -0.061 -0.513  -0.054 -0.406  -0.047 -0.299  -0.040 -0.192  -0.033 -0.085  -0.026 0.022  -0.019 0.129  -0.011 0.237  -0.004 0.344  0.003 0.451  0.010 0.558  0.017 0.665  0.024 0.772  0.031 0.880  0.039 0.987  0.046 1.094  0.053 1.201  0.060 1.308  0.067 1.415  0.074 1.523  0.081 1.630  0.089 1.737  0.096 1.844  0.103 1.951  0.068 2.019
3#apb#apb23#app2371/c  0.853 0.760  0.805 0.858  0.743 0.934  0.723 0.932  0.723 0.871  0.723 0.893  0.723 0.866  0.699 0.911  0.712 0.934  0.728 0.857  0.743 0.934  0.652 0.973  0.545 0.951  0.442 0.920  0.355 0.855  0.266 0.792  0.171 0.737  0.076 0.683  -0.019 0.629  -0.101 0.557  -0.183 0.485  -0.266 0.413  -0.348 0.341  -0.419 0.258  -0.486 0.172  -0.553 0.086  -0.620 -0.001  -0.688 -0.086  -0.758 -0.170  -0.827 -0.254  -0.893 -0.341  -0.914 -0.448  -0.931 -0.554  -0.882 -0.652  -0.833 -0.750  -0.769 -0.834  -0.680 -0.898  -0.591 -0.961  -0.502 -1.025  -0.395 -1.043  -0.287 -1.060  -0.179 -1.077  -0.070 -1.093  0.038 -1.110  0.145 -1.098  0.252 -1.075  0.358 -1.053  0.465 -1.030  0.572 -1.007  0.679 -0.984
3#apb#apb23#app2371/c  0.117 0.769  0.117 0.876  0.073 0.949  -0.031 0.975  -0.136 0.966  -0.241 0.948  -0.335 0.908  -0.411 0.832  -0.487 0.756  -0.562 0.681  -0.638 0.605  -0.714 0.529  -0.790 0.454  -0.865 0.378  -0.932 0.294  -0.991 0.205  -1.050 0.116  -1.066 0.014  -1.066 -0.093  -1.040 -0.196  -1.006 -0.298  -0.961 -0.393  -0.885 -0.468  -0.808 -0.542  -0.705 -0.572  -0.602 -0.601  -0.499 -0.626  -0.392 -0.626  -0.285 -0.626  -0.178 -0.626  -0.070 -0.626  0.033 -0.600  0.136 -0.569  0.238 -0.539  0.341 -0.508  0.444 -0.480  0.548 -0.455  0.652 -0.429  0.756 -0.403  0.860 -0.377  0.954 -0.327  1.046 -0.271  1.137 -0.216  1.229 -0.161  1.319 -0.103  1.403 -0.037  1.487 0.030  1.553 0.113  1.623 0.190  1.681 0.177
3#apb#apb23#app2371/i  0.257 -0.554  0.280 -0.432  0.219 -0.310  0.107 -0.266  0.047 -0.204  0.009 -0.302  -0.079 -0.375  -0.055 -0.428  -0.037 -0.393  -0.034 -0.428  0.047 -0.372  0.047 -0.236  0.005 -0.239  -0.047 -0.362  -0.069 -0.497  -0.101 -0.629  -0.138 -0.761  -0.176 -0.892  -0.213 -1.023  -0.247 -1.155  -0.247 -1.292  -0.284 -1.422  -0.317 -1.360  -0.291 -1.226  -0.266 -1.092  -0.240 -0.958  -0.215 -0.824  -0.189 -0.690  -0.163 -0.556  -0.138 -0.421  -0.112 -0.287  -0.087 -0.153  -0.061 -0.019  -0.036 0.115  -0.010 0.249  0.015 0.383  0.041 0.517  0.066 0.652  0.092 0.786  0.118 0.920  0.143 1.054  0.169 1.188  0.194 1.322  0.220 1.456  0.245 1.590  0.271 1.725  0.296 1.859  0.322 1.993  0.342 2.128  0.299 2.222
3#apb#apb23#app2371/o  -0.248 0.332  -0.297 0.478  -0.301 0.632  -0.388 0.699  -0.482 0.585  -0.570 0.458  -0.660 0.333  -0.749 0.207  -0.829 0.075  -0.906 -0.059  -0.982 -0.193  -1.016 -0.343  -1.049 -0.494  -1.082 -0.644  -0.992 -0.759  -0.883 -0.868  -0.756 -0.949  -0.610 -0.997  -0.461 -1.031  -0.307 -1.031  -0.152 -1.031  -0.004 -0.989  0.144 -0.944  0.291 -0.900  0.431 -0.839  0.560 -0.754  0.688 -0.668  0.816 -0.583  0.931 -0.480  1.040 -0.371  1.117 -0.239  1.186 -0.101  1.209 0.045  1.190 0.198  1.170 0.351  1.099 0.485  1.014 0.613  0.912 0.724  0.778 0.801  0.644 0.877  0.498 0.908  0.344 0.908  0.189 0.908  0.041 0.877  -0.102 0.820  -0.245 0.763  -0.389 0.705  -0.502 0.602  -0.611 0.493  -0.720 0.384
3#apb#apb23#app2371/n  -0.622 0.459  -0.517 0.523  -0.579 0.607  -0.653 0.496  -0.717 0.380  -0.776 0.261  -0.836 0.142  -0.889 0.020  -0.942 -0.103  -0.994 -0.225  -1.007 -0.356  -1.007 -0.489  -1.007 -0.622  -1.028 -0.685  -0.901 -0.642  -0.897 -0.512  -0.880 -0.383  -0.826 -0.261  -0.772 -0.139  -0.718 -0.017  -0.656 0.099  -0.569 0.200  -0.482 0.302  -0.396 0.403  -0.301 0.496  -0.197 0.579  -0.093 0.662  0.034 0.679  0.167 0.679  0.301 0.679  0.433 0.689  0.565 0.707  0.697 0.726  0.801 0.675  0.884 0.571  0.967 0.467  1.012 0.342  1.054 0.215  1.083 0.087  1.083 -0.046  1.083 -0.180  1.083 -0.313  1.046 -0.441  1.010 -0.569  0.973 -0.697  0.973 -0.830  0.973 -0.963  0.990 -1.095  1.023 -1.224  1.028 -1.356
3#apb#apb23#app2371/e  -0.950 -0.427  -0.938 -0.368  -0.803 -0.274  -0.667 -0.183  -0.526 -0.100  -0.379 -0.026  -0.232 0.047  -0.089 0.126  0.046 0.220  0.180 0.315  0.293 0.433  0.402 0.555  0.519 0.669  0.625 0.781  0.598 0.942  0.446 0.979  0.288 0.953  0.131 0.905  -0.026 0.857  -0.178 0.794  -0.330 0.732  -0.481 0.669  -0.628 0.597  -0.761 0.502  -0.895 0.407  -1.028 0.311  -1.118 0.176  -1.177 0.029  -1.158 -0.134  -1.103 -0.281  -0.995 -0.405  -0.873 -0.506  -0.715 -0.551  -0.557 -0.596  -0.397 -0.628  -0.233 -0.637  -0.070 -0.645  0.094 -0.654  0.257 -0.644  0.420 -0.620  0.582 -0.596  0.744 -0.571  0.905 -0.540  1.065 -0.503  1.225 -0.465  1.385 -0.428  1.541 -0.378  1.698 -0.329  1.854 -0.279  2.011 -0.230
3#apb#apb23#app2371/A  0.323 0.597  0.323 0.857  0.124 0.834  -0.009 0.611  -0.132 0.382  -0.219 0.139  -0.297 -0.109  -0.390 -0.351  -0.491 -0.591  -0.631 -0.799  -0.519 -0.585  -0.428 -0.343  -0.346 -0.096  -0.247 0.144  -0.141 0.381  -0.037 0.619  0.056 0.862  0.148 1.105  0.274 1.331  0.414 1.550  0.529 1.751  0.543 1.494  0.505 1.240  0.564 0.987  0.622 0.733  0.670 0.478  0.717 0.223  0.762 -0.033  0.811 -0.289  0.865 -0.543  0.947 -0.789  1.008 -1.040  1.030 -1.263  0.785 -1.178  0.540 -1.091  0.295 -1.005  0.050 -0.918  -0.195 -0.832  -0.440 -0.745  -0.685 -0.659  -0.930 -0.572  -1.175 -0.486  -1.420 -0.399  -1.370 -0.307  -1.111 -0.304  -0.854 -0.267  -0.596 -0.230  -0.339 -0.197  -0.081 -0.165  0.177 -0.132
3#apb#apb23#app2371/i  0.270 -0.006  0.215 -0.071  0.191 -0.173  0.177 -0.276  0.162 -0.380  0.143 -0.483  0.120 -0.585  0.097 -0.687  0.069 -0.788  0.022 -0.881  -0.024 -0.975  -0.071 -1.069  -0.036 -1.166  0.003 -1.263  0.057 -1.353  0.111 -1.443  0.110 -1.362  0.101 -1.257  0.092 -1.153  0.083 -1.049  0.074 -0.944  0.066 -0.840  0.057 -0.736  0.048 -0.631  0.039 -0.527  0.030 -0.423  0.022 -0.318  0.013 -0.214  0.004 -0.109  -0.005 -0.005  -0.014 0.099  -0.022 0.204  -0.031 0.308  -0.040 0.412  -0.049 0.517  -0.058 0.621  -0.066 0.725  -0.075 0.830  -0.084 0.934  -0.093 1.038  -0.102 1.143  -0.110 1.247  -0.119 1.352  -0.128 1.456  -0.137 1.560  -0.146 1.665  -0.177 1.763  -0.224 1.856  -0.263 1.767  -0.302 1.670
3#apb#apb23#app2371/r  -0.034 -0.104  -0.108 -0.178  -0.182 -0.252  -0.277 -0.286  -0.380 -0.306  -0.479 -0.331  -0.512 -0.430  -0.545 -0.530  -0.578 -0.629  -0.629 -0.720  -0.687 -0.807  -0.719 -0.905  -0.745 -1.007  -0.755 -1.110  -0.752 -1.213  -0.683 -1.164  -0.650 -1.065  -0.617 -0.965  -0.585 -0.866  -0.559 -0.764  -0.534 -0.662  -0.508 -0.561  -0.483 -0.459  -0.435 -0.367  -0.382 -0.277  -0.328 -0.187  -0.274 -0.097  -0.220 -0.008  -0.166 0.082  -0.114 0.173  -0.063 0.265  -0.012 0.356  0.039 0.448  0.089 0.539  0.146 0.625  0.237 0.677  0.328 0.729  0.419 0.781  0.510 0.833  0.607 0.871  0.705 0.908  0.803 0.945  0.901 0.981  1.002 1.005  1.106 1.005  1.211 1.005  1.316 1.005  1.420 1.005  1.525 1.005  1.630 1.005
