1d#tos#t2#t2016065/\"  -0.563 1.405  -0.563 1.266  -0.563 1.128  -0.563 0.989  -0.563 0.851  -0.603 0.729  -0.701 0.631  -0.799 0.533  -0.817 0.402  -0.817 0.264  -0.817 0.126  -0.817 -0.013  -0.831 -0.148  -0.893 -0.272  -0.945 -0.398  -0.945 -0.537  -0.945 -0.675  -0.945 -0.813  -0.945 -0.952  -0.882 -0.963  -0.772 -0.879  -0.662 -0.795  -0.552 -0.711  -0.442 -0.627  -0.332 -0.543  -0.222 -0.458  -0.112 -0.374  -0.002 -0.290  0.108 -0.206  0.218 -0.122  0.328 -0.038  0.438 0.046  0.548 0.130  0.658 0.214  0.768 0.298  0.878 0.382  0.988 0.467  1.098 0.551  1.208 0.635  1.127 0.552  1.090 0.429  1.090 0.291  1.090 0.152  1.090 0.014  1.090 -0.125  1.083 -0.262  1.021 -0.385  0.959 -0.509  0.897 -0.633  0.835 -0.757
1d#tos#t2#t2016065/$  0.876 1.233  0.783 1.018  0.768 1.114  0.596 1.352  0.216 1.380  -0.144 1.262  -0.403 1.022  -0.587 0.793  -0.739 0.515  -0.846 0.178  -0.545 0.010  -0.146 -0.005  0.258 -0.005  0.602 -0.103  0.607 -0.398  0.399 -0.696  0.146 -0.985  -0.069 -1.317  -0.308 -1.498  -0.289 -1.121  -0.266 -0.718  -0.242 -0.315  -0.219 0.089  -0.196 0.492  -0.172 0.895  -0.149 1.299  -0.308 1.141  -0.308 0.737  -0.308 0.333  -0.308 -0.071  -0.308 -0.475  -0.254 -0.870  -0.254 -1.274  -0.253 -1.678  -0.163 -1.598  -0.099 -1.199  -0.034 -0.800  0.030 -0.401  0.094 -0.003  0.158 0.396  0.222 0.795  0.269 1.179  0.176 1.191  0.176 0.787  0.176 0.383  0.232 -0.012  0.284 -0.407  0.284 -0.811  0.284 -1.215  0.284 -1.619
1d#tos#t2#t2016065/'  0.949 1.212  0.862 1.212  0.775 1.212  0.689 1.212  0.613 1.184  0.552 1.123  0.491 1.061  0.487 0.976  0.473 0.904  0.386 0.904  0.333 0.870  0.333 0.783  0.333 0.697  0.333 0.610  0.406 0.596  0.487 0.590  0.487 0.504  0.462 0.442  0.375 0.442  0.289 0.442  0.202 0.442  0.179 0.378  0.179 0.291  0.179 0.204  0.179 0.118  0.179 0.031  0.163 -0.052  0.124 -0.130  0.086 -0.207  0.047 -0.285  0.008 -0.362  -0.031 -0.440  -0.070 -0.517  -0.108 -0.595  -0.165 -0.654  -0.243 -0.693  -0.321 -0.732  -0.398 -0.771  -0.476 -0.809  -0.553 -0.848  -0.631 -0.887  -0.708 -0.926  -0.777 -0.976  -0.839 -1.038  -0.900 -1.099  -0.961 -1.160  -1.023 -1.222  -1.084 -1.283  -1.145 -1.344  -1.207 -1.406
1d#tos#t2#t2016065/(  0.327 1.482  0.246 1.482  0.210 1.437  0.151 1.414  0.151 1.333  0.151 1.251  0.134 1.180  0.061 1.144  0.033 1.080  0.019 1.013  -0.062 1.013  -0.143 1.012  -0.188 0.944  -0.233 0.876  -0.260 0.803  -0.260 0.722  -0.316 0.663  -0.319 0.583  -0.319 0.502  -0.319 0.420  -0.319 0.339  -0.319 0.258  -0.319 0.176  -0.319 0.095  -0.319 0.014  -0.319 -0.068  -0.304 -0.147  -0.278 -0.224  -0.260 -0.303  -0.260 -0.384  -0.257 -0.465  -0.231 -0.542  -0.205 -0.619  -0.197 -0.699  -0.160 -0.772  -0.105 -0.826  -0.033 -0.862  0.040 -0.899  0.092 -0.948  0.125 -1.016  0.182 -1.073  0.250 -1.114  0.327 -1.140  0.400 -1.173  0.457 -1.231  0.520 -1.277  0.589 -1.305  0.647 -1.362  0.715 -1.394  0.797 -1.394
1d#tos#t2#t2016065/+  -0.642 0.173  -0.825 0.173  -0.956 0.046  -1.114 -0.014  -1.295 -0.017  -1.388 -0.107  -1.571 -0.107  -1.394 -0.107  -1.211 -0.107  -1.028 -0.107  -0.845 -0.107  -0.662 -0.107  -0.478 -0.107  -0.295 -0.107  -0.117 -0.069  0.061 -0.024  0.147 0.094  0.321 0.152  0.498 0.184  0.662 0.266  0.826 0.348  1.007 0.359  1.190 0.359  1.373 0.359  1.453 0.382  1.286 0.459  1.120 0.536  0.954 0.612  0.787 0.689  0.621 0.766  0.455 0.843  0.288 0.918  0.105 0.918  -0.078 0.918  0.010 0.833  0.010 0.650  0.010 0.467  0.010 0.283  0.010 0.100  0.010 -0.083  0.010 -0.266  0.010 -0.449  0.010 -0.633  0.010 -0.816  0.010 -0.999  0.026 -1.180  0.084 -1.353  0.104 -1.534  0.126 -1.703  0.290 -1.785
1d#tos#t2#t2016065/  -0.473 0.061  -0.561 0.061  -0.649 0.061  -0.736 0.055  -0.820 0.027  -0.903 -0.001  -0.988 -0.021  -1.076 -0.021  -1.164 -0.021  -1.252 -0.021  -1.340 -0.021  -1.373 -0.076  -1.312 -0.103  -1.224 -0.103  -1.136 -0.103  -1.048 -0.103  -0.960 -0.103  -0.872 -0.103  -0.784 -0.103  -0.698 -0.093  -0.619 -0.053  -0.539 -0.021  -0.451 -0.021  -0.363 -0.021  -0.275 -0.021  -0.186 -0.021  -0.098 -0.021  -0.010 -0.021  0.078 -0.021  0.166 -0.021  0.254 -0.021  0.342 -0.021  0.430 -0.021  0.517 -0.006  0.604 0.008  0.691 0.023  0.778 0.037  0.864 0.052  0.952 0.061  1.040 0.061  1.128 0.061  1.216 0.061  1.304 0.061  1.392 0.061  1.480 0.061  1.568 0.061  1.656 0.061  1.735 0.100  1.814 0.140  1.901 0.143
1d#tos#t2#t2016065/:  0.279 1.337  0.218 1.276  0.157 1.215  0.091 1.170  0.005 1.170  -0.056 1.195  -0.028 1.253  0.028 1.223  0.028 1.137  -0.006 1.086  -0.092 1.086  -0.178 1.086  -0.182 1.086  -0.132 1.043  -0.119 0.958  -0.105 0.874  -0.092 0.789  -0.078 0.704  -0.065 0.619  -0.051 0.535  -0.037 0.450  -0.024 0.365  -0.010 0.280  0.003 0.196  0.017 0.111  0.030 0.026  0.044 -0.059  0.058 -0.143  0.071 -0.228  0.085 -0.313  0.098 -0.398  0.112 -0.482  0.125 -0.567  0.139 -0.652  0.152 -0.737  0.166 -0.821  0.180 -0.906  0.193 -0.991  0.126 -1.027  0.045 -1.054  -0.037 -1.081  -0.056 -1.153  -0.056 -1.239  -0.056 -1.325  -0.056 -1.411  -0.130 -1.422  -0.139 -1.499  -0.139 -1.585  -0.221 -1.589  -0.306 -1.589
1d#tos#t2#t2016065/<  0.996 1.351  0.912 1.356  0.902 1.435  0.817 1.423  0.754 1.360  0.691 1.297  0.628 1.235  0.565 1.172  0.502 1.109  0.451 1.036  0.402 0.962  0.352 0.888  0.296 0.819  0.237 0.754  0.197 0.674  0.157 0.594  0.124 0.512  0.091 0.429  0.058 0.346  0.025 0.263  -0.008 0.181  -0.081 0.130  -0.155 0.081  -0.229 0.031  -0.261 -0.041  -0.261 -0.130  -0.316 -0.185  -0.396 -0.225  -0.428 -0.293  -0.428 -0.383  -0.428 -0.472  -0.497 -0.492  -0.512 -0.566  -0.591 -0.576  -0.680 -0.577  -0.674 -0.660  -0.591 -0.670  -0.551 -0.749  -0.510 -0.827  -0.425 -0.834  -0.385 -0.913  -0.345 -0.993  -0.283 -1.056  -0.220 -1.119  -0.157 -1.182  -0.094 -1.245  -0.005 -1.246  0.079 -1.255  0.118 -1.334  0.158 -1.414
1d#tos#t2#t2016065/=  -1.242 0.446  -1.417 0.446  -1.313 0.446  -1.138 0.446  -0.967 0.479  -0.798 0.524  -0.632 0.579  -0.458 0.586  -0.302 0.652  -0.150 0.726  0.025 0.726  0.200 0.726  0.375 0.726  0.546 0.744  0.692 0.837  0.826 0.937  1.001 0.937  1.089 1.077  1.060 0.985  0.944 0.855  0.827 0.724  0.711 0.594  0.594 0.463  0.477 0.333  0.361 0.202  0.244 0.071  0.128 -0.059  0.011 -0.190  -0.106 -0.320  -0.222 -0.451  -0.339 -0.582  -0.455 -0.712  -0.572 -0.843  -0.657 -0.957  -0.832 -0.957  -1.007 -0.957  -0.881 -0.957  -0.720 -0.925  -0.560 -0.887  -0.385 -0.887  -0.210 -0.887  -0.044 -0.849  0.112 -0.770  0.269 -0.692  0.440 -0.676  0.615 -0.676  0.791 -0.676  0.908 -0.583  1.018 -0.449  1.142 -0.326
1d#tos#t2#t2016065/>  -1.031 0.980  -1.072 1.039  -1.014 1.022  -0.944 0.952  -0.857 0.921  -0.761 0.904  -0.672 0.863  -0.572 0.863  -0.472 0.863  -0.375 0.856  -0.292 0.800  -0.209 0.745  -0.110 0.745  -0.010 0.745  0.071 0.700  0.156 0.650  0.249 0.616  0.346 0.592  0.443 0.569  0.542 0.569  0.642 0.569  0.670 0.498  0.670 0.399  0.765 0.393  0.770 0.335  0.688 0.293  0.637 0.209  0.592 0.120  0.548 0.031  0.503 -0.058  0.438 -0.132  0.367 -0.203  0.318 -0.282  0.318 -0.382  0.289 -0.472  0.233 -0.555  0.180 -0.639  0.129 -0.725  0.077 -0.810  0.026 -0.895  -0.018 -0.984  -0.063 -1.073  -0.108 -1.162  -0.153 -1.251  -0.212 -1.331  -0.272 -1.411  -0.327 -1.492  -0.327 -1.592  -0.355 -1.674  -0.444 -1.718
1d#tos#t2#t2016065/[  0.356 1.389  0.356 1.478  0.300 1.491  0.300 1.402  0.246 1.336  0.214 1.278  0.125 1.278  0.037 1.278  0.021 1.205  0.021 1.116  -0.035 1.083  -0.039 0.996  -0.113 0.947  -0.186 0.898  -0.252 0.838  -0.259 0.752  -0.259 0.663  -0.259 0.574  -0.259 0.486  -0.259 0.397  -0.259 0.308  -0.259 0.219  -0.259 0.130  -0.259 0.042  -0.259 -0.047  -0.259 -0.136  -0.259 -0.225  -0.259 -0.314  -0.259 -0.402  -0.259 -0.491  -0.259 -0.580  -0.259 -0.669  -0.259 -0.758  -0.259 -0.846  -0.259 -0.935  -0.259 -1.024  -0.259 -1.113  -0.181 -1.124  -0.092 -1.124  -0.003 -1.124  0.086 -1.124  0.174 -1.124  0.263 -1.124  0.352 -1.124  0.438 -1.111  0.517 -1.071  0.605 -1.068  0.661 -1.015  0.714 -0.956  0.803 -0.956
