2#apb#apb41#app4123/P  -0.747 0.101  -0.699 0.254  -0.608 0.239  -0.575 0.080  -0.567 -0.082  -0.572 -0.245  -0.584 -0.407  -0.601 -0.569  -0.621 -0.730  -0.642 -0.892  -0.667 -1.052  -0.690 -1.214  -0.709 -1.375  -0.693 -1.524  -0.641 -1.376  -0.611 -1.216  -0.579 -1.057  -0.550 -0.897  -0.523 -0.736  -0.494 -0.576  -0.455 -0.418  -0.417 -0.260  -0.368 -0.105  -0.314 0.048  -0.260 0.202  -0.194 0.350  -0.118 0.494  -0.042 0.638  0.051 0.770  0.161 0.890  0.271 1.010  0.404 1.103  0.538 1.196  0.684 1.266  0.838 1.301  0.967 1.235  1.029 1.087  1.060 0.927  1.067 0.765  1.067 0.602  1.044 0.442  1.008 0.284  0.940 0.138  0.853 0.000  0.736 -0.112  0.603 -0.203  0.453 -0.242  0.304 -0.184  0.215 -0.053  0.251 0.101
2#apb#apb41#app4123/e  -1.085 -0.075  -1.019 -0.101  -0.900 -0.220  -0.737 -0.235  -0.568 -0.229  -0.399 -0.219  -0.237 -0.178  -0.081 -0.113  0.075 -0.048  0.230 0.021  0.382 0.093  0.535 0.166  0.684 0.246  0.832 0.328  0.969 0.424  1.082 0.549  1.164 0.696  1.168 0.855  1.065 0.981  0.920 1.064  0.762 1.124  0.594 1.113  0.427 1.093  0.272 1.025  0.118 0.956  -0.032 0.877  -0.182 0.798  -0.320 0.703  -0.451 0.595  -0.581 0.488  -0.697 0.364  -0.811 0.240  -0.892 0.092  -0.967 -0.060  -0.995 -0.224  -0.988 -0.389  -0.912 -0.540  -0.829 -0.685  -0.686 -0.775  -0.542 -0.864  -0.382 -0.918  -0.221 -0.967  -0.059 -1.015  0.110 -1.031  0.278 -1.046  0.446 -1.044  0.614 -1.019  0.781 -0.994  0.948 -0.964  1.114 -0.935
2#apb#apb41#app4123/g  0.172 1.222  0.077 1.294  -0.032 1.244  -0.139 1.185  -0.245 1.123  -0.344 1.052  -0.439 0.974  -0.521 0.885  -0.591 0.784  -0.635 0.670  -0.601 0.561  -0.516 0.474  -0.414 0.416  -0.292 0.409  -0.171 0.418  -0.051 0.442  0.066 0.477  0.180 0.522  0.267 0.607  0.339 0.705  0.390 0.815  0.413 0.935  0.444 0.896  0.430 0.775  0.415 0.653  0.402 0.531  0.388 0.409  0.375 0.288  0.349 0.168  0.317 0.050  0.284 -0.068  0.252 -0.186  0.219 -0.304  0.188 -0.423  0.158 -0.542  0.128 -0.661  0.099 -0.779  0.069 -0.898  0.038 -1.017  0.006 -1.135  -0.025 -1.254  -0.054 -1.373  -0.080 -1.493  -0.110 -1.611  -0.157 -1.724  -0.227 -1.737  -0.246 -1.617  -0.240 -1.495  -0.211 -1.377  -0.125 -1.291
2#apb#apb41#app4123/g  0.619 0.818  0.635 0.966  0.624 1.111  0.526 1.216  0.378 1.217  0.233 1.190  0.092 1.141  -0.043 1.080  -0.173 1.008  -0.278 0.903  -0.378 0.793  -0.448 0.668  -0.454 0.521  -0.399 0.391  -0.272 0.318  -0.133 0.309  0.009 0.354  0.145 0.415  0.277 0.481  0.398 0.568  0.499 0.674  0.581 0.798  0.637 0.884  0.604 0.740  0.555 0.600  0.507 0.459  0.462 0.317  0.416 0.176  0.365 0.036  0.312 -0.103  0.259 -0.241  0.205 -0.380  0.151 -0.518  0.095 -0.656  0.039 -0.794  -0.019 -0.931  -0.090 -1.061  -0.162 -1.191  -0.245 -1.313  -0.342 -1.426  -0.447 -1.531  -0.571 -1.599  -0.680 -1.525  -0.727 -1.386  -0.746 -1.240  -0.733 -1.092  -0.700 -0.948  -0.643 -0.812  -0.542 -0.711  -0.396 -0.694
2#apb#apb41#app4123/y  -0.542 0.748  -0.525 0.878  -0.552 1.007  -0.556 1.134  -0.635 1.029  -0.684 0.905  -0.729 0.780  -0.763 0.652  -0.758 0.524  -0.722 0.396  -0.652 0.284  -0.563 0.192  -0.439 0.144  -0.311 0.135  -0.179 0.153  -0.052 0.190  0.072 0.238  0.192 0.291  0.294 0.377  0.395 0.463  0.483 0.562  0.569 0.663  0.628 0.782  0.653 0.910  0.658 1.043  0.651 0.933  0.637 0.801  0.606 0.672  0.570 0.545  0.533 0.417  0.491 0.291  0.443 0.167  0.395 0.043  0.348 -0.081  0.301 -0.205  0.254 -0.329  0.207 -0.454  0.161 -0.578  0.117 -0.703  0.080 -0.831  0.043 -0.959  0.006 -1.086  -0.038 -1.212  -0.084 -1.336  -0.129 -1.461  -0.159 -1.590  -0.189 -1.720  -0.205 -1.852  -0.211 -1.983  -0.107 -1.970
2#apb#apb41#app4123/S  0.650 0.939  0.761 1.014  0.849 1.111  0.751 1.166  0.618 1.164  0.486 1.142  0.356 1.106  0.229 1.062  0.103 1.015  -0.023 0.967  -0.148 0.917  -0.273 0.867  -0.394 0.809  -0.513 0.746  -0.634 0.687  -0.749 0.621  -0.808 0.509  -0.714 0.416  -0.594 0.360  -0.465 0.322  -0.335 0.288  -0.203 0.262  -0.071 0.237  0.060 0.210  0.191 0.177  0.321 0.144  0.450 0.104  0.575 0.055  0.679 -0.024  0.767 -0.125  0.786 -0.258  0.757 -0.386  0.709 -0.511  0.618 -0.609  0.520 -0.701  0.415 -0.784  0.305 -0.861  0.194 -0.937  0.080 -1.009  -0.034 -1.080  -0.153 -1.143  -0.274 -1.201  -0.402 -1.240  -0.534 -1.263  -0.669 -1.266  -0.797 -1.237  -0.877 -1.135  -0.906 -1.006  -0.864 -0.878  -0.795 -0.763
2#apb#apb41#app4123/u  -1.167 0.111  -1.095 0.207  -1.029 0.307  -1.029 0.411  -0.979 0.478  -0.971 0.361  -0.985 0.242  -0.985 0.122  -0.985 0.003  -0.978 -0.117  -0.969 -0.236  -0.947 -0.352  -0.897 -0.461  -0.847 -0.570  -0.779 -0.667  -0.699 -0.756  -0.618 -0.843  -0.509 -0.894  -0.401 -0.944  -0.289 -0.975  -0.169 -0.967  -0.050 -0.959  0.062 -0.927  0.166 -0.868  0.270 -0.808  0.368 -0.740  0.456 -0.659  0.545 -0.579  0.606 -0.479  0.648 -0.367  0.690 -0.255  0.717 -0.140  0.717 -0.021  0.717 0.099  0.715 0.219  0.703 0.338  0.691 0.457  0.679 0.576  0.671 0.696  0.671 0.815  0.671 0.935  0.671 1.055  0.671 1.174  0.698 1.206  0.730 1.093  0.748 0.974  0.764 0.856  0.771 0.736  0.778 0.617  0.785 0.497
2#apb#apb41#app4123/e  -1.234 0.017  -1.170 0.157  -1.162 0.051  -1.027 -0.025  -0.882 -0.086  -0.726 -0.072  -0.569 -0.053  -0.414 -0.029  -0.259 -0.002  -0.105 0.031  0.046 0.075  0.197 0.120  0.325 0.210  0.451 0.305  0.532 0.438  0.562 0.586  0.545 0.742  0.449 0.867  0.353 0.991  0.217 1.065  0.072 1.127  -0.079 1.114  -0.233 1.078  -0.353 0.977  -0.472 0.874  -0.578 0.760  -0.655 0.623  -0.733 0.486  -0.768 0.334  -0.796 0.179  -0.778 0.029  -0.715 -0.115  -0.644 -0.254  -0.533 -0.366  -0.421 -0.477  -0.294 -0.564  -0.148 -0.624  -0.003 -0.685  0.142 -0.746  0.297 -0.776  0.452 -0.806  0.606 -0.835  0.762 -0.853  0.920 -0.853  1.077 -0.853  1.235 -0.853  1.392 -0.845  1.549 -0.833  1.706 -0.822  1.863 -0.810
2#apb#apb41#app4123/S  0.477 0.560  0.516 0.716  0.570 0.867  0.619 1.020  0.538 1.142  0.379 1.114  0.228 1.063  0.080 1.001  -0.068 0.940  -0.216 0.877  -0.364 0.814  -0.512 0.752  -0.660 0.690  -0.808 0.627  -0.954 0.561  -1.098 0.490  -1.034 0.399  -0.878 0.362  -0.719 0.345  -0.559 0.334  -0.398 0.322  -0.238 0.309  -0.079 0.293  0.081 0.278  0.239 0.251  0.394 0.209  0.549 0.167  0.692 0.096  0.833 0.020  0.943 -0.094  1.030 -0.226  1.067 -0.382  1.044 -0.533  0.980 -0.680  0.882 -0.804  0.768 -0.918  0.635 -1.005  0.493 -1.079  0.341 -1.124  0.182 -1.145  0.023 -1.155  -0.136 -1.132  -0.294 -1.104  -0.442 -1.042  -0.588 -0.976  -0.722 -0.889  -0.845 -0.788  -0.946 -0.663  -1.012 -0.518  -1.014 -0.361
2#apb#apb41#app4123/h  -0.593 1.304  -0.529 1.412  -0.493 1.532  -0.466 1.389  -0.469 1.245  -0.482 1.101  -0.498 0.957  -0.526 0.814  -0.553 0.672  -0.580 0.530  -0.607 0.387  -0.634 0.244  -0.660 0.102  -0.688 -0.041  -0.716 -0.183  -0.745 -0.325  -0.761 -0.468  -0.761 -0.613  -0.751 -0.757  -0.713 -0.897  -0.677 -1.037  -0.596 -0.962  -0.531 -0.832  -0.461 -0.706  -0.389 -0.579  -0.328 -0.448  -0.268 -0.316  -0.203 -0.187  -0.121 -0.068  -0.039 0.052  0.059 0.158  0.167 0.255  0.275 0.351  0.404 0.411  0.543 0.453  0.682 0.476  0.824 0.443  0.930 0.353  1.017 0.239  1.047 0.097  1.076 -0.045  1.068 -0.189  1.051 -0.333  1.034 -0.477  1.001 -0.618  0.964 -0.758  0.927 -0.898  0.888 -1.038  0.882 -1.144  0.998 -1.057
2#apb#apb41#app4123/i  0.150 1.071  0.150 1.146  0.150 1.221  0.150 1.296  0.150 1.370  0.150 1.445  0.188 1.415  0.188 1.340  0.172 1.267  0.155 1.194  0.138 1.121  0.122 1.048  0.105 0.975  0.088 0.902  0.073 0.829  0.065 0.755  0.057 0.680  0.049 0.606  0.042 0.531  0.034 0.457  0.026 0.383  0.018 0.308  0.010 0.234  0.002 0.159  -0.005 0.085  -0.013 0.010  -0.021 -0.064  -0.029 -0.139  -0.037 -0.213  -0.045 -0.287  -0.052 -0.362  -0.060 -0.436  -0.068 -0.511  -0.076 -0.585  -0.086 -0.659  -0.097 -0.733  -0.107 -0.808  -0.118 -0.882  -0.129 -0.956  -0.139 -1.030  -0.150 -1.104  -0.152 -1.179  -0.152 -1.253  -0.152 -1.328  -0.152 -1.403  -0.152 -1.478  -0.152 -1.553  -0.152 -1.628  -0.098 -1.648  -0.039 -1.611
