3#apb#apb38#app3868/4  -0.459 0.388  -0.338 0.550  -0.213 0.708  -0.083 0.863  0.036 1.026  -0.076 0.979  -0.193 0.815  -0.301 0.644  -0.416 0.478  -0.533 0.314  -0.645 0.146  -0.756 -0.023  -0.847 -0.203  -0.941 -0.381  -0.924 -0.499  -0.725 -0.466  -0.526 -0.432  -0.327 -0.397  -0.126 -0.395  0.075 -0.410  0.273 -0.448  0.430 -0.353  0.497 -0.163  0.564 0.028  0.631 0.218  0.698 0.409  0.765 0.599  0.833 0.790  0.900 0.980  0.967 1.171  1.020 1.320  0.953 1.130  0.883 0.941  0.790 0.761  0.698 0.581  0.606 0.402  0.499 0.230  0.390 0.060  0.281 -0.110  0.172 -0.279  0.058 -0.446  -0.057 -0.613  -0.171 -0.779  -0.286 -0.945  -0.402 -1.111  -0.519 -1.275  -0.637 -1.439  -0.753 -1.604  -0.840 -1.787  -0.927 -1.969
3#apb#apb38#app3868/8  0.300 1.255  0.193 1.120  0.095 0.973  -0.015 0.834  -0.124 0.694  -0.199 0.534  -0.242 0.366  -0.232 0.193  -0.120 0.056  0.009 -0.065  0.141 -0.182  0.246 -0.325  0.340 -0.474  0.411 -0.636  0.394 -0.800  0.330 -0.965  0.221 -1.102  0.099 -1.231  -0.048 -1.325  -0.206 -1.405  -0.371 -1.459  -0.548 -1.468  -0.715 -1.436  -0.869 -1.348  -0.909 -1.182  -0.936 -1.007  -0.851 -0.854  -0.761 -0.701  -0.670 -0.549  -0.561 -0.410  -0.451 -0.271  -0.341 -0.132  -0.231 0.006  -0.112 0.138  0.009 0.267  0.130 0.396  0.251 0.526  0.377 0.650  0.505 0.773  0.632 0.895  0.761 1.017  0.891 1.138  0.929 1.243  0.763 1.182  0.605 1.102  0.446 1.023  0.309 0.911  0.174 0.797  0.041 0.680  -0.090 0.560
3#apb#apb38#app3868/1  0.942 1.412  0.904 1.354  0.869 1.294  0.834 1.234  0.798 1.174  0.763 1.114  0.724 1.057  0.679 1.004  0.635 0.951  0.590 0.897  0.546 0.844  0.501 0.790  0.457 0.737  0.413 0.684  0.373 0.627  0.333 0.570  0.293 0.513  0.254 0.456  0.214 0.399  0.174 0.342  0.134 0.285  0.095 0.228  0.055 0.171  0.017 0.112  -0.017 0.052  -0.052 -0.008  -0.087 -0.068  -0.122 -0.128  -0.157 -0.188  -0.192 -0.248  -0.227 -0.308  -0.262 -0.368  -0.297 -0.429  -0.332 -0.489  -0.367 -0.549  -0.402 -0.609  -0.437 -0.669  -0.472 -0.728  -0.507 -0.788  -0.543 -0.848  -0.578 -0.908  -0.613 -0.968  -0.648 -1.028  -0.684 -1.088  -0.716 -1.149  -0.739 -1.215  -0.762 -1.280  -0.785 -1.346  -0.808 -1.411  -0.792 -1.479
3#apb#apb38#app3868/0  0.470 1.302  0.336 1.268  0.243 1.175  0.163 1.062  0.084 0.950  0.005 0.836  -0.072 0.721  -0.149 0.607  -0.227 0.493  -0.304 0.378  -0.381 0.264  -0.452 0.146  -0.514 0.022  -0.576 -0.101  -0.638 -0.225  -0.699 -0.348  -0.761 -0.472  -0.799 -0.603  -0.825 -0.739  -0.851 -0.875  -0.877 -1.010  -0.831 -1.129  -0.748 -1.240  -0.644 -1.297  -0.507 -1.274  -0.371 -1.251  -0.248 -1.194  -0.132 -1.119  -0.017 -1.044  0.099 -0.968  0.197 -0.874  0.277 -0.761  0.356 -0.649  0.436 -0.536  0.515 -0.423  0.567 -0.295  0.620 -0.167  0.673 -0.040  0.726 0.088  0.757 0.218  0.739 0.355  0.722 0.492  0.705 0.630  0.656 0.756  0.589 0.877  0.522 0.998  0.448 1.113  0.344 1.204  0.240 1.294  0.136 1.385
3#apb#apb38#app3868/P  -1.068 -1.663  -1.095 -1.563  -1.065 -1.444  -1.035 -1.325  -1.005 -1.206  -0.974 -1.086  -0.928 -0.973  -0.867 -0.866  -0.807 -0.759  -0.746 -0.653  -0.682 -0.548  -0.616 -0.444  -0.551 -0.340  -0.485 -0.235  -0.419 -0.131  -0.342 -0.036  -0.262 0.057  -0.182 0.151  -0.102 0.244  -0.022 0.338  0.062 0.427  0.157 0.505  0.252 0.583  0.348 0.660  0.443 0.738  0.542 0.811  0.648 0.873  0.755 0.934  0.861 0.996  0.974 1.037  1.097 1.043  1.141 0.951  1.098 0.842  1.035 0.736  0.972 0.631  0.884 0.545  0.796 0.459  0.707 0.374  0.613 0.295  0.515 0.221  0.417 0.147  0.318 0.073  0.215 0.008  0.106 -0.050  -0.003 -0.107  -0.112 -0.164  -0.224 -0.215  -0.337 -0.263  -0.452 -0.303  -0.575 -0.303
3#apb#apb38#app3868/a  0.614 0.773  0.524 0.851  0.347 0.881  0.182 0.810  0.024 0.725  -0.127 0.628  -0.278 0.531  -0.432 0.437  -0.585 0.343  -0.739 0.249  -0.865 0.122  -0.984 -0.013  -1.103 -0.148  -1.202 -0.294  -1.271 -0.461  -1.339 -0.627  -1.358 -0.801  -1.344 -0.981  -1.230 -1.085  -1.064 -1.100  -0.899 -1.026  -0.735 -0.952  -0.573 -0.876  -0.440 -0.755  -0.307 -0.633  -0.174 -0.512  -0.041 -0.391  0.081 -0.260  0.185 -0.114  0.289 0.033  0.393 0.180  0.497 0.327  0.605 0.471  0.713 0.615  0.821 0.759  0.878 0.928  0.894 1.045  0.792 0.897  0.690 0.749  0.623 0.583  0.566 0.413  0.510 0.242  0.506 0.063  0.506 -0.117  0.596 -0.272  0.705 -0.406  0.876 -0.463  1.048 -0.491  1.224 -0.456  1.401 -0.421
3#apb#apb38#app3868/r  -1.116 -1.166  -1.193 -1.234  -1.168 -1.300  -1.049 -1.275  -0.951 -1.192  -0.853 -1.109  -0.773 -1.009  -0.700 -0.904  -0.626 -0.798  -0.554 -0.692  -0.493 -0.579  -0.431 -0.466  -0.370 -0.353  -0.310 -0.240  -0.260 -0.121  -0.210 -0.003  -0.160 0.115  -0.110 0.234  -0.050 0.347  0.012 0.460  0.073 0.573  0.134 0.686  0.189 0.803  0.242 0.919  0.296 1.036  0.349 1.153  0.412 1.265  0.476 1.377  0.566 1.461  0.584 1.363  0.584 1.234  0.584 1.106  0.576 0.978  0.557 0.850  0.538 0.723  0.514 0.597  0.485 0.472  0.455 0.347  0.427 0.222  0.409 0.094  0.391 -0.033  0.372 -0.160  0.341 -0.285  0.310 -0.409  0.279 -0.534  0.263 -0.661  0.247 -0.789  0.225 -0.916  0.207 -1.040  0.278 -1.147
3#apb#apb38#app3868/k  -1.302 -1.023  -1.127 -1.118  -0.961 -0.946  -0.824 -0.748  -0.702 -0.540  -0.570 -0.338  -0.437 -0.137  -0.305 0.064  -0.173 0.266  -0.070 0.484  0.029 0.704  0.106 0.931  0.163 1.165  0.216 1.400  0.244 1.639  0.277 1.878  0.321 1.922  0.298 1.682  0.273 1.442  0.247 1.202  0.214 0.964  0.161 0.729  0.108 0.494  0.047 0.261  -0.026 0.031  -0.100 -0.199  -0.176 -0.427  -0.270 -0.649  -0.363 -0.872  -0.473 -1.086  -0.507 -1.184  -0.459 -0.955  -0.321 -0.757  -0.177 -0.564  -0.019 -0.382  0.141 -0.202  0.312 -0.032  0.483 0.137  0.659 0.302  0.810 0.330  0.661 0.140  0.490 -0.030  0.322 -0.201  0.188 -0.402  0.074 -0.612  0.074 -0.833  0.256 -0.973  0.490 -1.006  0.730 -0.995  0.968 -0.956
3#apb#apb38#app3868/C  0.192 0.517  0.056 0.470  -0.041 0.357  -0.122 0.230  -0.158 0.084  -0.169 -0.064  -0.105 -0.176  0.037 -0.208  0.181 -0.174  0.310 -0.097  0.431 -0.010  0.527 0.106  0.620 0.223  0.707 0.347  0.790 0.471  0.866 0.601  0.918 0.739  0.935 0.888  0.893 1.031  0.831 1.165  0.720 1.266  0.575 1.252  0.437 1.201  0.309 1.121  0.182 1.041  0.073 0.939  -0.032 0.831  -0.136 0.723  -0.235 0.610  -0.318 0.484  -0.400 0.359  -0.483 0.233  -0.566 0.108  -0.626 -0.030  -0.682 -0.169  -0.738 -0.309  -0.793 -0.448  -0.830 -0.591  -0.826 -0.742  -0.821 -0.892  -0.783 -1.032  -0.703 -1.159  -0.619 -1.282  -0.486 -1.351  -0.352 -1.421  -0.210 -1.459  -0.060 -1.470  0.089 -1.473  0.235 -1.438  0.381 -1.403
3#apb#apb38#app3868/t  0.816 1.685  0.788 1.592  0.693 1.403  0.589 1.219  0.476 1.040  0.364 0.861  0.254 0.680  0.146 0.498  0.038 0.316  -0.069 0.133  -0.175 -0.050  -0.281 -0.233  -0.377 -0.421  -0.449 -0.620  -0.504 -0.822  -0.504 -1.033  -0.432 -1.228  -0.258 -1.331  -0.056 -1.386  0.155 -1.398  0.354 -1.338  0.545 -1.249  0.710 -1.117  0.856 -0.966  0.979 -0.794  1.007 -0.585  0.945 -0.411  0.780 -0.279  0.614 -0.147  0.449 -0.015  0.283 0.117  0.118 0.249  -0.048 0.381  -0.213 0.513  -0.385 0.622  -0.595 0.595  -0.804 0.568  -1.010 0.524  -1.210 0.453  -1.360 0.310  -1.263 0.162  -1.060 0.105  -0.848 0.105  -0.636 0.105  -0.426 0.119  -0.215 0.138  -0.004 0.158  0.202 0.204  0.407 0.257  0.612 0.310
3#apb#apb38#app3868/.  0.816 1.685  0.788 1.592  0.693 1.403  0.589 1.219  0.476 1.040  0.364 0.861  0.254 0.680  0.146 0.498  0.038 0.316  -0.069 0.133  -0.175 -0.050  -0.281 -0.233  -0.377 -0.421  -0.449 -0.620  -0.504 -0.822  -0.504 -1.033  -0.432 -1.228  -0.258 -1.331  -0.056 -1.386  0.155 -1.398  0.354 -1.338  0.545 -1.249  0.710 -1.117  0.856 -0.966  0.979 -0.794  1.007 -0.585  0.945 -0.411  0.780 -0.279  0.614 -0.147  0.449 -0.015  0.283 0.117  0.118 0.249  -0.048 0.381  -0.213 0.513  -0.385 0.622  -0.595 0.595  -0.804 0.568  -1.010 0.524  -1.210 0.453  -1.360 0.310  -1.263 0.162  -1.060 0.105  -0.848 0.105  -0.636 0.105  -0.426 0.119  -0.215 0.138  -0.004 0.158  0.202 0.204  0.407 0.257  0.612 0.310
