2#apa#apa02#app0287/[  0.428 1.252  0.524 1.252  0.453 1.252  0.356 1.252  0.260 1.252  0.164 1.252  0.068 1.252  -0.028 1.252  -0.125 1.252  -0.221 1.252  -0.130 1.252  -0.115 1.171  -0.115 1.074  -0.115 0.978  -0.115 0.882  -0.115 0.786  -0.115 0.690  -0.115 0.593  -0.115 0.497  -0.115 0.401  -0.193 0.383  -0.224 0.317  -0.224 0.221  -0.224 0.125  -0.224 0.029  -0.224 -0.068  -0.224 -0.164  -0.224 -0.260  -0.224 -0.356  -0.224 -0.452  -0.224 -0.548  -0.224 -0.645  -0.224 -0.741  -0.224 -0.837  -0.224 -0.933  -0.224 -1.029  -0.224 -1.126  -0.224 -1.222  -0.151 -1.245  -0.115 -1.185  -0.067 -1.137  0.029 -1.137  0.125 -1.137  0.221 -1.137  0.318 -1.137  0.414 -1.137  0.510 -1.137  0.586 -1.088  0.657 -1.028  0.754 -1.028
2#apa#apa02#app0287/(  0.418 1.585  0.364 1.531  0.310 1.478  0.299 1.406  0.281 1.348  0.204 1.348  0.180 1.296  0.180 1.219  0.180 1.143  0.149 1.080  0.096 1.026  0.062 0.963  0.062 0.887  0.062 0.811  0.048 0.740  -0.006 0.686  -0.057 0.631  -0.057 0.555  -0.057 0.478  -0.057 0.402  -0.057 0.326  -0.078 0.258  -0.132 0.204  -0.176 0.146  -0.176 0.070  -0.176 -0.006  -0.176 -0.083  -0.176 -0.159  -0.176 -0.235  -0.176 -0.312  -0.176 -0.388  -0.176 -0.464  -0.176 -0.540  -0.176 -0.617  -0.176 -0.693  -0.176 -0.769  -0.176 -0.846  -0.166 -0.918  -0.112 -0.972  -0.058 -1.026  -0.057 -1.102  -0.057 -1.178  -0.057 -1.254  0.009 -1.264  0.062 -1.288  0.062 -1.364  0.062 -1.441  0.073 -1.512  0.126 -1.566  0.180 -1.620
2#apa#apa02#app0287/6  -0.082 1.995  -0.181 1.896  -0.249 1.784  -0.261 1.650  -0.360 1.551  -0.415 1.434  -0.415 1.294  -0.415 1.154  -0.415 1.014  -0.501 0.909  -0.582 0.803  -0.582 0.663  -0.582 0.523  -0.582 0.383  -0.582 0.243  -0.582 0.103  -0.582 -0.037  -0.582 -0.177  -0.582 -0.317  -0.498 -0.422  -0.399 -0.521  -0.300 -0.620  -0.249 -0.739  -0.208 -0.839  -0.072 -0.848  0.027 -0.947  0.142 -1.005  0.282 -1.005  0.422 -1.005  0.562 -1.005  0.702 -1.005  0.752 -0.915  0.797 -0.793  0.896 -0.694  0.918 -0.564  0.918 -0.424  0.880 -0.300  0.781 -0.201  0.752 -0.073  0.680 -0.005  0.540 -0.005  0.405 -0.018  0.306 -0.117  0.189 -0.172  0.059 -0.197  -0.040 -0.296  -0.082 -0.419  -0.135 -0.505  -0.249 -0.532  -0.249 -0.672
2#apa#apa02#app0287/)  -0.511 1.638  -0.511 1.561  -0.511 1.483  -0.511 1.406  -0.477 1.342  -0.422 1.287  -0.379 1.227  -0.379 1.150  -0.351 1.084  -0.296 1.029  -0.248 0.972  -0.248 0.894  -0.225 0.826  -0.170 0.771  -0.115 0.716  -0.060 0.662  -0.005 0.607  0.015 0.538  0.015 0.460  0.015 0.383  0.028 0.310  0.083 0.256  0.138 0.201  0.147 0.127  0.155 0.053  0.209 -0.002  0.264 -0.057  0.278 -0.129  0.278 -0.206  0.278 -0.284  0.278 -0.361  0.278 -0.439  0.278 -0.517  0.278 -0.594  0.278 -0.672  0.278 -0.749  0.278 -0.827  0.278 -0.904  0.278 -0.982  0.210 -0.991  0.147 -1.005  0.147 -1.083  0.147 -1.161  0.147 -1.238  0.103 -1.298  0.049 -1.353  0.015 -1.416  0.015 -1.494  0.015 -1.571  0.015 -1.649
2#apa#apa02#app0287/(  0.212 1.628  0.212 1.548  0.189 1.477  0.133 1.421  0.084 1.361  0.084 1.280  0.040 1.244  -0.040 1.244  -0.044 1.168  -0.044 1.088  -0.044 1.008  -0.044 0.927  -0.056 0.859  -0.136 0.859  -0.172 0.815  -0.172 0.735  -0.172 0.655  -0.172 0.574  -0.172 0.494  -0.172 0.414  -0.172 0.334  -0.172 0.254  -0.172 0.174  -0.172 0.093  -0.172 0.013  -0.172 -0.067  -0.172 -0.147  -0.172 -0.227  -0.172 -0.308  -0.172 -0.388  -0.127 -0.422  -0.047 -0.422  -0.044 -0.500  -0.044 -0.580  -0.044 -0.660  -0.044 -0.741  -0.034 -0.817  0.022 -0.873  0.079 -0.930  0.084 -1.008  0.084 -1.089  0.084 -1.169  0.125 -1.232  0.181 -1.289  0.212 -1.356  0.212 -1.436  0.281 -1.448  0.355 -1.462  0.412 -1.519  0.468 -1.576
2#apa#apa02#app0287/7  -1.191 0.816  -1.099 0.816  -1.006 0.816  -0.914 0.816  -0.840 0.797  -0.840 0.704  -0.812 0.640  -0.720 0.640  -0.638 0.667  -0.573 0.732  -0.508 0.798  -0.423 0.816  -0.330 0.816  -0.238 0.816  -0.145 0.816  -0.053 0.816  0.039 0.816  0.132 0.816  0.224 0.816  0.317 0.816  0.387 0.793  0.387 0.701  0.387 0.608  0.387 0.516  0.387 0.424  0.387 0.331  0.387 0.239  0.387 0.146  0.387 0.054  0.387 -0.039  0.387 -0.131  0.387 -0.223  0.387 -0.316  0.387 -0.408  0.387 -0.501  0.387 -0.593  0.387 -0.685  0.376 -0.773  0.310 -0.839  0.245 -0.904  0.211 -0.982  0.211 -1.075  0.211 -1.167  0.211 -1.260  0.211 -1.352  0.211 -1.444  0.211 -1.537  0.211 -1.629  0.211 -1.722  0.211 -1.814
2#apa#apa02#app0287/)  -0.400 1.616  -0.400 1.540  -0.400 1.465  -0.400 1.390  -0.367 1.328  -0.313 1.275  -0.273 1.217  -0.273 1.141  -0.273 1.066  -0.273 0.991  -0.207 0.981  -0.146 0.967  -0.146 0.892  -0.146 0.817  -0.146 0.741  -0.103 0.684  -0.050 0.631  -0.020 0.568  -0.020 0.493  -0.020 0.418  -0.020 0.342  -0.020 0.267  0.000 0.200  0.054 0.147  0.107 0.094  0.107 0.019  0.107 -0.057  0.107 -0.132  0.107 -0.207  0.107 -0.282  0.107 -0.358  0.107 -0.433  0.107 -0.508  0.107 -0.583  0.107 -0.659  0.154 -0.714  0.207 -0.768  0.234 -0.832  0.234 -0.907  0.234 -0.982  0.234 -1.058  0.234 -1.133  0.234 -1.208  0.234 -1.283  0.234 -1.359  0.234 -1.434  0.234 -1.509  0.214 -1.576  0.160 -1.629  0.107 -1.682
2#apa#apa02#app0287/(  0.441 1.562  0.441 1.489  0.415 1.441  0.341 1.441  0.320 1.388  0.316 1.316  0.264 1.264  0.212 1.211  0.199 1.143  0.195 1.070  0.162 1.004  0.129 0.938  0.096 0.872  0.078 0.802  0.078 0.728  0.035 0.672  -0.017 0.620  -0.043 0.557  -0.043 0.483  -0.043 0.409  -0.043 0.335  -0.043 0.261  -0.043 0.187  -0.043 0.113  -0.092 0.060  -0.145 0.008  -0.164 -0.058  -0.164 -0.132  -0.164 -0.206  -0.164 -0.280  -0.164 -0.354  -0.164 -0.428  -0.164 -0.501  -0.164 -0.575  -0.164 -0.649  -0.164 -0.723  -0.164 -0.797  -0.164 -0.871  -0.164 -0.945  -0.164 -1.019  -0.164 -1.093  -0.164 -1.166  -0.164 -1.240  -0.164 -1.314  -0.133 -1.375  -0.081 -1.427  -0.043 -1.486  -0.043 -1.560  0.004 -1.586  0.078 -1.586
2#apa#apa02#app0287/8  -0.028 1.777  -0.182 1.777  -0.195 1.636  -0.324 1.610  -0.362 1.494  -0.362 1.340  -0.362 1.185  -0.362 1.031  -0.362 0.877  -0.323 0.738  -0.214 0.629  -0.105 0.520  -0.028 0.398  0.004 0.276  0.139 0.256  0.139 0.102  0.139 -0.052  0.244 -0.163  0.353 -0.272  0.462 -0.381  0.472 -0.531  0.472 -0.685  0.472 -0.839  0.472 -0.994  0.472 -1.148  0.395 -1.225  0.306 -1.290  0.254 -1.392  0.099 -1.392  -0.055 -1.392  -0.209 -1.392  -0.362 -1.390  -0.362 -1.236  -0.362 -1.082  -0.362 -0.927  -0.362 -0.773  -0.362 -0.619  -0.362 -0.465  -0.304 -0.334  -0.195 -0.225  -0.195 -0.071  -0.095 0.042  -0.028 0.168  0.005 0.309  0.114 0.418  0.223 0.527  0.306 0.647  0.331 0.776  0.472 0.789  0.472 0.943
2#apa#apa02#app0287/)  -0.467 1.504  -0.388 1.504  -0.344 1.470  -0.344 1.392  -0.276 1.382  -0.222 1.358  -0.222 1.280  -0.181 1.218  -0.126 1.163  -0.100 1.096  -0.100 1.018  -0.046 0.962  0.009 0.906  0.023 0.834  0.023 0.756  0.023 0.677  0.057 0.614  0.112 0.558  0.145 0.494  0.145 0.415  0.145 0.337  0.145 0.259  0.145 0.181  0.145 0.103  0.145 0.025  0.145 -0.054  0.177 -0.118  0.232 -0.174  0.267 -0.237  0.267 -0.316  0.267 -0.394  0.267 -0.472  0.267 -0.550  0.230 -0.613  0.175 -0.668  0.145 -0.734  0.145 -0.812  0.145 -0.890  0.127 -0.961  0.071 -1.016  0.023 -1.074  0.023 -1.152  -0.008 -1.218  -0.063 -1.273  -0.119 -1.328  -0.174 -1.383  -0.222 -1.442  -0.222 -1.520  -0.266 -1.554  -0.344 -1.554
2#apa#apa02#app0287/(  0.486 1.534  0.486 1.458  0.470 1.399  0.394 1.399  0.352 1.367  0.352 1.291  0.317 1.230  0.263 1.176  0.217 1.120  0.217 1.044  0.198 0.977  0.145 0.923  0.091 0.870  0.082 0.798  0.082 0.722  0.082 0.647  0.082 0.571  0.082 0.496  0.046 0.456  -0.029 0.456  -0.053 0.404  -0.053 0.328  -0.053 0.253  -0.053 0.177  -0.053 0.101  -0.064 0.029  -0.098 -0.039  -0.132 -0.107  -0.166 -0.174  -0.187 -0.245  -0.187 -0.320  -0.187 -0.396  -0.187 -0.471  -0.187 -0.547  -0.187 -0.622  -0.187 -0.698  -0.187 -0.774  -0.187 -0.849  -0.187 -0.925  -0.187 -1.000  -0.187 -1.076  -0.187 -1.151  -0.187 -1.227  -0.187 -1.303  -0.187 -1.378  -0.187 -1.454  -0.187 -1.529  -0.160 -1.593  -0.106 -1.647  -0.053 -1.700
