1d#apa#apa13#app1348/[  1.105 0.653  0.991 0.653  0.882 0.668  0.790 0.722  0.676 0.722  0.579 0.765  0.498 0.846  0.389 0.861  0.295 0.910  0.189 0.930  0.092 0.974  -0.012 0.999  -0.126 0.999  -0.241 0.999  -0.355 0.999  -0.470 0.999  -0.584 0.999  -0.555 0.994  -0.520 0.894  -0.439 0.813  -0.417 0.708  -0.357 0.653  -0.348 0.548  -0.348 0.433  -0.348 0.318  -0.348 0.204  -0.348 0.089  -0.348 -0.025  -0.348 -0.140  -0.348 -0.254  -0.348 -0.369  -0.379 -0.478  -0.415 -0.587  -0.417 -0.701  -0.417 -0.816  -0.417 -0.931  -0.391 -1.034  -0.348 -1.131  -0.318 -1.215  -0.203 -1.215  -0.088 -1.215  0.026 -1.215  0.141 -1.215  0.241 -1.180  0.341 -1.146  0.456 -1.146  0.561 -1.107  0.669 -1.077  0.783 -1.077  0.898 -1.077
1d#apa#apa13#app1348/(  0.270 1.303  0.270 1.381  0.270 1.460  0.255 1.501  0.200 1.446  0.164 1.383  0.164 1.305  0.109 1.249  0.055 1.193  0.020 1.123  -0.015 1.053  -0.049 0.983  -0.074 0.909  -0.099 0.835  -0.124 0.761  -0.148 0.687  -0.180 0.616  -0.215 0.546  -0.250 0.476  -0.262 0.401  -0.262 0.322  -0.262 0.244  -0.262 0.166  -0.262 0.088  -0.262 0.010  -0.262 -0.068  -0.262 -0.146  -0.262 -0.224  -0.262 -0.303  -0.262 -0.381  -0.262 -0.459  -0.262 -0.537  -0.262 -0.615  -0.262 -0.693  -0.226 -0.756  -0.171 -0.812  -0.116 -0.867  -0.060 -0.922  -0.005 -0.977  0.050 -1.033  0.105 -1.088  0.161 -1.143  0.216 -1.198  0.272 -1.253  0.350 -1.253  0.413 -1.289  0.468 -1.344  0.540 -1.359  0.618 -1.359  0.696 -1.359
1d#apa#apa13#app1348/)  -0.585 1.434  -0.509 1.434  -0.432 1.434  -0.356 1.434  -0.299 1.386  -0.245 1.332  -0.227 1.263  -0.222 1.189  -0.168 1.135  -0.114 1.082  -0.108 1.007  -0.090 0.939  -0.036 0.885  0.011 0.828  0.011 0.752  0.042 0.688  0.096 0.634  0.130 0.572  0.130 0.496  0.157 0.426  0.192 0.357  0.226 0.289  0.250 0.218  0.250 0.142  0.250 0.066  0.250 -0.011  0.250 -0.087  0.250 -0.163  0.250 -0.240  0.250 -0.316  0.250 -0.392  0.250 -0.469  0.250 -0.545  0.230 -0.613  0.176 -0.667  0.130 -0.724  0.130 -0.801  0.130 -0.877  0.128 -0.953  0.075 -1.007  0.021 -1.061  -0.017 -1.126  -0.051 -1.195  -0.085 -1.263  -0.126 -1.326  -0.180 -1.380  -0.227 -1.437  -0.227 -1.513  -0.227 -1.590  -0.227 -1.666
1d#apa#apa13#app1348/(  0.601 1.564  0.601 1.490  0.570 1.428  0.517 1.376  0.464 1.323  0.412 1.270  0.359 1.217  0.306 1.165  0.254 1.112  0.201 1.059  0.161 0.997  0.128 0.930  0.095 0.864  0.051 0.805  -0.002 0.752  -0.024 0.687  -0.030 0.614  -0.064 0.547  -0.097 0.480  -0.129 0.413  -0.129 0.339  -0.163 0.278  -0.216 0.226  -0.233 0.158  -0.233 0.084  -0.233 0.009  -0.233 -0.065  -0.233 -0.140  -0.233 -0.214  -0.233 -0.289  -0.233 -0.364  -0.233 -0.438  -0.233 -0.513  -0.233 -0.587  -0.233 -0.662  -0.233 -0.736  -0.233 -0.811  -0.233 -0.885  -0.218 -0.954  -0.165 -1.006  -0.129 -1.066  -0.129 -1.140  -0.098 -1.208  -0.065 -1.274  -0.032 -1.341  0.017 -1.397  0.069 -1.450  0.080 -1.520  0.110 -1.564  0.184 -1.564
1d#apa#apa13#app1348/)  -0.514 1.562  -0.461 1.509  -0.408 1.456  -0.355 1.403  -0.302 1.350  -0.249 1.297  -0.196 1.244  -0.143 1.191  -0.090 1.138  -0.037 1.085  -0.011 1.015  0.013 0.944  0.036 0.873  0.060 0.801  0.109 0.746  0.161 0.692  0.195 0.625  0.228 0.558  0.255 0.489  0.255 0.414  0.255 0.339  0.255 0.264  0.255 0.189  0.255 0.114  0.255 0.039  0.255 -0.036  0.255 -0.111  0.255 -0.186  0.255 -0.261  0.255 -0.336  0.255 -0.411  0.236 -0.478  0.183 -0.531  0.141 -0.592  0.107 -0.659  0.074 -0.726  0.063 -0.799  0.063 -0.874  0.058 -0.947  0.016 -1.010  -0.025 -1.072  -0.067 -1.135  -0.109 -1.197  -0.156 -1.255  -0.209 -1.308  -0.262 -1.361  -0.315 -1.414  -0.351 -1.479  -0.385 -1.546  -0.418 -1.614
1d#apa#apa13#app1348/(  0.540 1.490  0.462 1.490  0.391 1.464  0.321 1.430  0.252 1.395  0.250 1.319  0.210 1.257  0.155 1.202  0.100 1.147  0.049 1.090  0.014 1.020  -0.020 0.951  -0.041 0.878  -0.046 0.802  -0.081 0.732  -0.116 0.663  -0.158 0.598  -0.213 0.544  -0.235 0.475  -0.235 0.397  -0.239 0.320  -0.273 0.251  -0.308 0.181  -0.332 0.109  -0.332 0.032  -0.332 -0.046  -0.332 -0.124  -0.332 -0.201  -0.323 -0.278  -0.299 -0.351  -0.274 -0.425  -0.250 -0.499  -0.235 -0.574  -0.235 -0.652  -0.235 -0.730  -0.185 -0.787  -0.133 -0.844  -0.098 -0.913  -0.064 -0.983  -0.022 -1.047  0.033 -1.102  0.088 -1.157  0.143 -1.212  0.210 -1.250  0.279 -1.285  0.349 -1.318  0.427 -1.318  0.498 -1.346  0.567 -1.380  0.637 -1.415
1d#apa#apa13#app1348/)  -0.444 1.584  -0.444 1.510  -0.444 1.435  -0.424 1.369  -0.371 1.316  -0.307 1.291  -0.248 1.275  -0.248 1.200  -0.248 1.126  -0.224 1.058  -0.182 0.996  -0.141 0.934  -0.100 0.872  -0.058 0.810  -0.053 0.737  -0.034 0.667  -0.001 0.600  0.033 0.534  0.078 0.476  0.131 0.423  0.169 0.359  0.202 0.293  0.235 0.226  0.240 0.153  0.240 0.078  0.240 0.003  0.240 -0.071  0.240 -0.146  0.240 -0.220  0.240 -0.295  0.240 -0.370  0.240 -0.444  0.240 -0.519  0.240 -0.593  0.240 -0.668  0.240 -0.743  0.215 -0.811  0.182 -0.878  0.149 -0.945  0.143 -1.018  0.122 -1.086  0.080 -1.148  0.039 -1.210  -0.002 -1.272  -0.044 -1.334  -0.094 -1.389  -0.147 -1.442  -0.182 -1.508  -0.215 -1.574  -0.248 -1.641
1d#apa#apa13#app1348/(  0.501 1.571  0.446 1.517  0.410 1.455  0.398 1.389  0.321 1.389  0.285 1.322  0.250 1.252  0.209 1.188  0.154 1.133  0.113 1.069  0.078 1.000  0.043 0.931  -0.012 0.876  -0.059 0.816  -0.094 0.747  -0.128 0.678  -0.163 0.609  -0.198 0.539  -0.232 0.470  -0.267 0.401  -0.301 0.332  -0.321 0.259  -0.321 0.182  -0.321 0.104  -0.321 0.027  -0.321 -0.051  -0.321 -0.128  -0.321 -0.205  -0.312 -0.281  -0.287 -0.355  -0.263 -0.428  -0.238 -0.502  -0.229 -0.578  -0.229 -0.655  -0.229 -0.732  -0.224 -0.807  -0.169 -0.862  -0.114 -0.917  -0.060 -0.972  -0.047 -1.044  -0.006 -1.096  0.063 -1.131  0.132 -1.165  0.188 -1.219  0.246 -1.268  0.315 -1.303  0.385 -1.337  0.454 -1.372  0.523 -1.407  0.592 -1.441
1d#apa#apa13#app1348/)  -0.296 1.629  -0.296 1.555  -0.258 1.495  -0.205 1.443  -0.170 1.377  -0.136 1.310  -0.103 1.244  -0.050 1.191  -0.000 1.135  0.033 1.068  0.066 1.002  0.100 0.935  0.133 0.868  0.167 0.801  0.200 0.734  0.234 0.667  0.267 0.600  0.282 0.529  0.282 0.454  0.282 0.380  0.282 0.305  0.282 0.230  0.282 0.155  0.282 0.081  0.282 0.006  0.282 -0.069  0.282 -0.144  0.282 -0.218  0.282 -0.293  0.251 -0.360  0.218 -0.427  0.184 -0.494  0.151 -0.561  0.117 -0.628  0.084 -0.695  0.051 -0.762  0.017 -0.829  -0.022 -0.891  -0.075 -0.944  -0.119 -1.004  -0.152 -1.070  -0.185 -1.137  -0.230 -1.196  -0.283 -1.249  -0.347 -1.287  -0.414 -1.320  -0.480 -1.354  -0.547 -1.387  -0.614 -1.421  -0.681 -1.454
1d#apa#apa13#app1348/(  0.631 1.480  0.631 1.403  0.587 1.354  0.519 1.319  0.450 1.285  0.377 1.271  0.305 1.258  0.251 1.204  0.197 1.150  0.143 1.095  0.110 1.032  0.109 0.956  0.074 0.887  0.040 0.819  0.006 0.750  -0.048 0.696  -0.101 0.640  -0.135 0.572  -0.170 0.503  -0.203 0.434  -0.228 0.362  -0.252 0.289  -0.276 0.216  -0.300 0.143  -0.307 0.068  -0.307 -0.009  -0.307 -0.086  -0.307 -0.162  -0.307 -0.239  -0.307 -0.316  -0.307 -0.393  -0.307 -0.469  -0.307 -0.546  -0.307 -0.623  -0.307 -0.699  -0.276 -0.769  -0.242 -0.838  -0.208 -0.906  -0.174 -0.975  -0.139 -1.043  -0.105 -1.112  -0.043 -1.153  0.025 -1.187  0.094 -1.222  0.152 -1.271  0.206 -1.325  0.260 -1.380  0.314 -1.434  0.369 -1.488  0.423 -1.542
1d#apa#apa13#app1348/)  -0.280 1.623  -0.225 1.569  -0.170 1.514  -0.115 1.459  -0.102 1.387  -0.087 1.312  -0.062 1.239  -0.038 1.165  -0.013 1.091  0.041 1.036  0.095 0.981  0.150 0.927  0.165 0.855  0.165 0.778  0.189 0.710  0.243 0.655  0.282 0.589  0.317 0.520  0.343 0.448  0.343 0.371  0.343 0.293  0.343 0.216  0.343 0.138  0.343 0.061  0.343 -0.017  0.343 -0.094  0.337 -0.170  0.302 -0.239  0.268 -0.309  0.254 -0.383  0.254 -0.460  0.239 -0.533  0.193 -0.595  0.146 -0.657  0.100 -0.719  0.053 -0.781  0.007 -0.843  -0.044 -0.901  -0.099 -0.955  -0.168 -0.991  -0.237 -1.026  -0.301 -1.068  -0.356 -1.123  -0.410 -1.178  -0.467 -1.230  -0.536 -1.264  -0.606 -1.299  -0.675 -1.334  -0.744 -1.368  -0.814 -1.403
1d#apa#apa13#app1348/]  -0.924 0.961  -0.871 1.023  -0.801 1.069  -0.701 1.084  -0.586 1.084  -0.471 1.084  -0.355 1.084  -0.241 1.081  -0.137 1.030  -0.028 1.006  0.077 0.961  0.190 0.955  0.282 0.900  0.395 0.887  0.498 0.838  0.614 0.838  0.677 0.786  0.615 0.732  0.528 0.689  0.490 0.589  0.431 0.498  0.370 0.408  0.369 0.293  0.369 0.178  0.369 0.062  0.369 -0.053  0.369 -0.168  0.369 -0.284  0.369 -0.399  0.395 -0.508  0.431 -0.615  0.431 -0.731  0.431 -0.846  0.431 -0.961  0.431 -1.077  0.371 -1.133  0.317 -1.071  0.228 -1.010  0.112 -1.010  -0.003 -1.010  -0.118 -1.010  -0.232 -0.998  -0.344 -0.970  -0.457 -0.948  -0.572 -0.948  -0.687 -0.944  -0.790 -0.892  -0.904 -0.886  -0.994 -0.825  -1.109 -0.825
