2#app#app19#app1923/p  -0.776 0.272  -0.776 0.365  -0.699 0.272  -0.644 0.157  -0.575 0.002  -0.512 -0.153  -0.512 -0.324  -0.437 -0.463  -0.380 -0.610  -0.380 -0.780  -0.305 -0.933  -0.218 -1.078  -0.116 -1.206  -0.116 -1.376  -0.116 -1.547  -0.016 -1.676  0.016 -1.585  -0.056 -1.431  -0.116 -1.275  -0.116 -1.104  -0.116 -0.934  -0.131 -0.770  -0.248 -0.648  -0.248 -0.477  -0.248 -0.307  -0.248 -0.136  -0.248 0.034  -0.248 0.205  -0.248 0.375  -0.248 0.546  -0.248 0.716  -0.248 0.887  -0.159 1.020  -0.039 1.141  0.109 1.196  0.279 1.196  0.450 1.196  0.620 1.196  0.779 1.145  0.931 1.069  0.968 0.932  1.073 0.866  1.073 0.696  0.933 0.660  0.812 0.540  0.653 0.513  0.528 0.404  0.357 0.404  0.187 0.404  0.016 0.404
2#app#app19#app1923/l  -0.078 1.316  -0.078 1.388  -0.078 1.460  -0.078 1.533  -0.078 1.487  -0.078 1.414  -0.078 1.342  -0.078 1.269  -0.078 1.197  -0.078 1.124  -0.078 1.052  -0.078 0.979  -0.078 0.907  -0.078 0.835  -0.078 0.762  -0.078 0.690  -0.078 0.617  -0.078 0.545  -0.078 0.472  -0.078 0.400  -0.078 0.327  -0.078 0.255  -0.078 0.183  -0.078 0.110  -0.078 0.038  -0.078 -0.035  -0.078 -0.107  -0.078 -0.180  -0.047 -0.245  -0.014 -0.310  0.018 -0.374  0.037 -0.442  0.037 -0.515  0.037 -0.587  0.037 -0.660  0.037 -0.732  0.037 -0.804  0.038 -0.877  0.061 -0.945  0.084 -1.014  0.107 -1.083  0.130 -1.152  0.152 -1.220  0.152 -1.293  0.152 -1.365  0.152 -1.438  0.195 -1.492  0.247 -1.544  0.268 -1.607  0.268 -1.680
2#app#app19#app1923/e  -0.934 0.086  -1.120 0.086  -1.064 0.086  -0.934 0.030  -0.934 -0.156  -0.756 -0.165  -0.682 -0.277  -0.635 -0.416  -0.449 -0.416  -0.263 -0.416  -0.077 -0.416  0.109 -0.416  0.295 -0.416  0.481 -0.416  0.640 -0.349  0.771 -0.217  0.903 -0.086  1.034 0.046  1.203 0.086  1.326 0.150  1.326 0.336  1.326 0.522  1.242 0.673  1.110 0.805  0.979 0.936  0.847 1.068  0.670 1.091  0.484 1.091  0.298 1.091  0.112 1.091  -0.032 0.989  -0.163 0.857  -0.342 0.840  -0.431 0.743  -0.454 0.566  -0.585 0.435  -0.682 0.289  -0.682 0.103  -0.682 -0.083  -0.682 -0.269  -0.682 -0.455  -0.682 -0.642  -0.522 -0.667  -0.431 -0.763  -0.410 -0.940  -0.278 -1.071  -0.132 -1.169  0.054 -1.169  0.190 -1.288  0.322 -1.420
2#app#app19#app1923/a  -0.033 0.726  -0.206 0.726  -0.251 0.854  -0.334 0.944  -0.507 0.944  -0.680 0.944  -0.687 0.777  -0.808 0.726  -0.904 0.649  -0.936 0.508  -1.109 0.508  -1.122 0.348  -1.122 0.176  -1.192 0.072  -1.340 0.048  -1.340 -0.125  -1.340 -0.298  -1.232 -0.363  -1.078 -0.408  -0.955 -0.530  -0.804 -0.581  -0.631 -0.581  -0.458 -0.581  -0.285 -0.581  -0.112 -0.581  0.061 -0.581  0.234 -0.581  0.407 -0.581  0.580 -0.581  0.714 -0.487  0.836 -0.365  1.008 -0.363  1.056 -0.238  1.056 -0.065  1.020 0.072  0.847 0.072  0.722 0.188  0.600 0.310  0.478 0.433  0.402 0.442  0.417 0.275  0.540 0.153  0.662 0.031  0.784 -0.092  0.935 -0.145  1.056 -0.197  1.061 -0.368  1.183 -0.490  1.318 -0.581  1.491 -0.581
2#app#app19#app1923/s  0.256 1.274  0.131 1.274  0.006 1.274  -0.120 1.274  -0.158 1.187  -0.163 1.067  -0.289 1.067  -0.414 1.067  -0.540 1.067  -0.638 1.002  -0.727 0.913  -0.780 0.810  -0.780 0.684  -0.846 0.586  -0.935 0.498  -0.987 0.394  -0.987 0.268  -0.891 0.238  -0.770 0.229  -0.681 0.140  -0.593 0.051  -0.476 0.031  -0.350 0.031  -0.225 0.031  -0.099 0.031  0.026 0.031  0.151 0.031  0.256 0.011  0.256 -0.115  0.320 -0.176  0.446 -0.176  0.571 -0.176  0.689 -0.194  0.778 -0.283  0.866 -0.372  0.878 -0.492  0.878 -0.618  0.878 -0.743  0.878 -0.868  0.878 -0.994  0.763 -1.005  0.638 -1.005  0.513 -1.005  0.464 -1.081  0.464 -1.206  0.344 -1.212  0.218 -1.212  0.093 -1.212  -0.033 -1.212  -0.158 -1.212
2#app#app19#app1923/e  -1.328 0.281  -1.328 0.098  -1.328 -0.085  -1.328 -0.268  -1.218 -0.342  -1.035 -0.342  -0.852 -0.342  -0.669 -0.342  -0.486 -0.342  -0.303 -0.342  -0.119 -0.342  0.064 -0.342  0.247 -0.342  0.402 -0.274  0.531 -0.144  0.661 -0.015  0.790 0.114  0.920 0.244  1.049 0.373  1.164 0.509  1.164 0.692  1.038 0.823  0.909 0.952  0.779 1.082  0.608 1.112  0.425 1.112  0.242 1.112  0.059 1.112  -0.082 1.069  -0.094 0.891  -0.224 0.762  -0.353 0.632  -0.483 0.503  -0.612 0.373  -0.705 0.229  -0.705 0.046  -0.701 -0.134  -0.518 -0.134  -0.497 -0.296  -0.400 -0.439  -0.270 -0.568  -0.141 -0.698  0.007 -0.802  0.171 -0.884  0.335 -0.965  0.518 -0.965  0.701 -0.965  0.845 -1.060  0.981 -1.173  1.164 -1.173
2#app#app19#app1923/c  0.981 0.219  0.866 0.219  0.823 0.147  0.823 0.031  0.823 -0.085  0.823 0.005  0.823 0.120  0.823 0.236  0.823 0.351  0.823 0.467  0.823 0.583  0.820 0.697  0.739 0.779  0.664 0.864  0.664 0.980  0.581 1.012  0.466 1.012  0.350 1.012  0.234 1.012  0.139 0.963  0.057 0.881  -0.024 0.799  -0.106 0.718  -0.213 0.695  -0.287 0.654  -0.287 0.539  -0.368 0.456  -0.449 0.375  -0.531 0.293  -0.605 0.208  -0.605 0.092  -0.664 0.001  -0.746 -0.081  -0.763 -0.189  -0.763 -0.305  -0.763 -0.421  -0.763 -0.536  -0.763 -0.652  -0.763 -0.767  -0.763 -0.883  -0.763 -0.999  -0.698 -1.049  -0.589 -1.065  -0.507 -1.147  -0.426 -1.229  -0.344 -1.310  -0.251 -1.367  -0.136 -1.367  -0.052 -1.443  0.030 -1.525
2#app#app19#app1923/a  0.078 0.742  0.078 0.919  -0.070 0.948  -0.247 0.948  -0.397 0.884  -0.522 0.759  -0.648 0.634  -0.784 0.536  -0.961 0.536  -1.137 0.536  -1.158 0.379  -1.285 0.330  -1.364 0.232  -1.364 0.055  -1.364 -0.122  -1.354 -0.289  -1.177 -0.289  -1.158 -0.447  -1.029 -0.495  -0.852 -0.495  -0.675 -0.495  -0.498 -0.495  -0.322 -0.495  -0.145 -0.495  0.032 -0.495  0.209 -0.495  0.356 -0.423  0.481 -0.297  0.655 -0.289  0.696 -0.153  0.696 0.024  0.696 0.200  0.696 0.377  0.677 0.536  0.501 0.536  0.324 0.536  0.284 0.398  0.284 0.221  0.340 0.068  0.465 -0.058  0.490 -0.224  0.603 -0.289  0.755 -0.348  0.880 -0.473  1.048 -0.495  1.225 -0.495  1.314 -0.582  1.373 -0.701  1.550 -0.701  1.726 -0.701
2#app#app19#app1923/l  -0.354 -1.423  -0.309 -1.318  -0.159 -1.318  -0.219 -1.318  -0.144 -1.242  -0.128 -1.108  0.004 -1.065  0.066 -0.940  0.114 -0.801  0.187 -0.671  0.276 -0.558  0.276 -0.407  0.283 -0.260  0.382 -0.150  0.382 0.000  0.382 0.150  0.382 0.301  0.343 0.442  0.276 0.577  0.276 0.727  0.276 0.877  0.215 1.013  0.155 1.150  0.107 1.293  0.051 1.430  -0.039 1.543  -0.107 1.626  -0.249 1.618  -0.287 1.483  -0.354 1.361  -0.354 1.211  -0.354 1.060  -0.354 0.910  -0.354 0.760  -0.354 0.609  -0.350 0.460  -0.283 0.326  -0.249 0.183  -0.242 0.035  -0.175 -0.100  -0.144 -0.243  -0.135 -0.391  -0.067 -0.525  0.023 -0.644  0.094 -0.771  0.142 -0.914  0.171 -1.059  0.243 -1.180  0.276 -1.316  0.382 -1.423
2#app#app19#app1923/l  -0.662 -0.752  -0.621 -0.855  -0.477 -0.855  -0.370 -0.767  -0.268 -0.665  -0.166 -0.564  -0.064 -0.462  -0.035 -0.330  0.067 -0.228  0.158 -0.122  0.158 0.022  0.227 0.137  0.260 0.267  0.260 0.411  0.260 0.555  0.260 0.699  0.260 0.843  0.260 0.987  0.260 1.131  0.260 1.275  0.175 1.384  0.141 1.504  0.055 1.562  -0.044 1.606  -0.064 1.469  -0.129 1.341  -0.150 1.202  -0.150 1.058  -0.150 0.914  -0.150 0.770  -0.150 0.626  -0.150 0.482  -0.150 0.338  -0.150 0.194  -0.150 0.050  -0.150 -0.094  -0.150 -0.238  -0.150 -0.382  -0.150 -0.525  -0.095 -0.656  -0.036 -0.787  0.010 -0.924  0.055 -1.060  0.055 -1.204  0.114 -1.324  0.158 -1.450  0.245 -1.557  0.280 -1.675  0.424 -1.675  0.568 -1.675
2#app#app19#app1923/1  -0.236 1.345  -0.236 1.419  -0.236 1.494  -0.236 1.522  -0.236 1.447  -0.236 1.373  -0.236 1.298  -0.236 1.223  -0.236 1.149  -0.236 1.074  -0.236 0.999  -0.223 0.930  -0.170 0.878  -0.117 0.825  -0.064 0.772  -0.036 0.709  -0.036 0.635  -0.036 0.560  -0.036 0.485  -0.036 0.411  -0.036 0.336  -0.036 0.262  -0.036 0.187  -0.036 0.112  -0.036 0.038  -0.036 -0.037  -0.036 -0.112  -0.036 -0.186  -0.034 -0.260  0.019 -0.313  0.071 -0.366  0.124 -0.419  0.165 -0.476  0.165 -0.551  0.165 -0.626  0.165 -0.700  0.165 -0.775  0.165 -0.849  0.165 -0.924  0.165 -0.999  0.165 -1.073  0.165 -1.148  0.165 -1.223  0.165 -1.297  0.165 -1.372  0.165 -1.446  0.207 -1.504  0.260 -1.556  0.313 -1.609  0.365 -1.662
