1d#apb#apb13#app1361/.  0.390 -0.475  0.499 -0.366  0.474 -0.257  0.365 -0.148  0.256 -0.039  0.146 0.070  0.065 0.197  0.017 0.343  -0.032 0.489  -0.114 0.607  -0.252 0.676  -0.393 0.732  -0.526 0.762  -0.574 0.909  -0.623 1.055  -0.667 1.168  -0.687 1.034  -0.817 1.058  -0.817 1.158  -0.817 1.004  -0.817 0.849  -0.817 0.695  -0.817 0.541  -0.817 0.386  -0.817 0.232  -0.767 0.129  -0.628 0.090  -0.519 -0.019  -0.516 0.127  -0.514 -0.022  -0.360 -0.022  -0.214 -0.031  -0.222 -0.181  -0.331 -0.291  -0.258 -0.324  -0.104 -0.324  0.051 -0.324  0.187 -0.387  0.317 -0.470  0.447 -0.552  0.577 -0.635  0.707 -0.718  0.837 -0.801  0.968 -0.884  1.098 -0.967  1.228 -1.049  1.358 -1.132  1.488 -1.215  1.618 -1.298  1.748 -1.381
1d#apb#apb13#app1361/,  -0.019 0.821  -0.019 0.916  0.009 1.005  0.009 1.100  0.012 1.192  -0.019 1.221  -0.032 1.227  -0.051 1.274  -0.048 1.259  0.001 1.200  0.052 1.121  0.125 1.093  0.181 1.048  0.227 0.965  0.287 0.893  0.359 0.835  0.402 0.750  0.434 0.661  0.464 0.570  0.515 0.491  0.523 0.398  0.523 0.303  0.523 0.208  0.506 0.116  0.476 0.026  0.446 -0.065  0.426 -0.157  0.411 -0.251  0.372 -0.337  0.329 -0.422  0.283 -0.505  0.222 -0.578  0.161 -0.651  0.095 -0.719  0.028 -0.786  -0.043 -0.848  -0.125 -0.897  -0.206 -0.945  -0.288 -0.994  -0.380 -1.004  -0.474 -1.011  -0.566 -1.036  -0.645 -1.088  -0.724 -1.141  -0.817 -1.147  -0.901 -1.183  -0.903 -1.233  -0.808 -1.233  -0.713 -1.233  -0.618 -1.233
1d#apb#apb13#app1361/;  0.090 1.110  0.090 1.208  0.082 1.317  0.053 1.420  0.003 1.396  -0.074 1.315  -0.136 1.223  -0.154 1.112  -0.180 1.014  -0.092 1.082  -0.064 1.041  -0.113 0.940  -0.151 0.835  -0.190 0.763  -0.134 0.692  -0.097 0.589  -0.014 0.517  0.082 0.462  0.192 0.442  0.303 0.422  0.334 0.339  0.328 0.227  0.322 0.115  0.316 0.003  0.330 -0.006  0.349 0.040  0.338 0.106  0.364 0.192  0.408 0.107  0.402 -0.004  0.389 -0.115  0.347 -0.219  0.301 -0.321  0.254 -0.423  0.204 -0.523  0.154 -0.623  0.103 -0.723  0.049 -0.822  -0.005 -0.920  -0.061 -1.017  -0.122 -1.111  -0.182 -1.206  -0.253 -1.292  -0.332 -1.371  -0.411 -1.451  -0.492 -1.528  -0.582 -1.595  -0.691 -1.620  -0.803 -1.620  -0.854 -1.521
1d#apb#apb13#app1361/:  0.339 1.489  0.298 1.467  0.341 1.421  0.364 1.515  0.286 1.481  0.286 1.488  0.286 1.444  0.286 1.421  0.259 1.328  0.237 1.236  0.250 1.140  0.264 1.044  0.278 0.948  0.276 0.853  0.247 0.760  0.218 0.668  0.189 0.575  0.161 0.482  0.132 0.390  0.103 0.297  0.074 0.205  0.046 0.112  0.017 0.019  -0.012 -0.073  -0.041 -0.166  -0.069 -0.258  -0.098 -0.351  -0.127 -0.444  -0.156 -0.536  -0.184 -0.629  -0.213 -0.721  -0.242 -0.814  -0.271 -0.907  -0.299 -0.999  -0.328 -1.092  -0.357 -1.184  -0.385 -1.277  -0.414 -1.370  -0.384 -1.315  -0.340 -1.229  -0.292 -1.144  -0.244 -1.060  -0.200 -0.974  -0.157 -0.887  -0.126 -0.795  -0.106 -0.701  -0.103 -0.654  -0.083 -0.658  -0.029 -0.731  0.025 -0.811
1d#apb#apb13#app1361/$  0.699 0.775  0.766 0.962  0.744 0.981  0.752 0.981  0.761 0.994  0.771 1.037  0.805 1.037  0.594 1.114  0.309 1.037  0.031 0.923  -0.223 0.784  -0.427 0.578  -0.422 0.280  -0.234 0.110  0.021 -0.041  0.216 -0.259  0.283 -0.551  0.197 -0.841  0.043 -1.094  -0.214 -1.254  -0.501 -1.336  -0.792 -1.273  -1.040 -1.110  -1.102 -0.823  -0.850 -0.689  -0.683 -0.437  -0.516 -0.185  -0.349 0.067  -0.181 0.319  -0.014 0.571  0.153 0.823  0.321 1.075  0.488 1.327  0.447 1.340  0.344 1.056  0.245 0.770  0.166 0.478  0.092 0.185  0.005 -0.105  -0.093 -0.391  -0.180 -0.680  -0.281 -0.966  -0.384 -1.250  -0.459 -1.542  -0.422 -1.280  -0.328 -1.055  -0.181 -0.816  0.002 -0.645  0.184 -0.505  0.438 -0.477
1d#apb#apb13#app1361/#  0.034 0.727  0.114 1.035  -0.030 0.680  -0.230 0.346  -0.420 0.007  -0.623 -0.325  -0.812 -0.664  -0.956 -1.024  -0.923 -1.347  -0.666 -1.067  -0.443 -0.748  -0.220 -0.429  0.003 -0.110  0.226 0.209  0.449 0.528  0.672 0.847  0.596 0.848  0.434 0.495  0.229 0.166  0.008 -0.155  -0.224 -0.467  -0.477 -0.762  -0.656 -1.090  -0.575 -0.885  -0.651 -0.503  -0.727 -0.122  -0.804 0.260  -0.712 0.603  -0.392 0.813  -0.039 0.975  0.321 1.123  0.693 1.233  1.074 1.316  1.446 1.314  1.576 0.985  1.267 0.749  0.958 0.512  0.648 0.276  0.339 0.039  0.030 -0.197  -0.279 -0.434  -0.588 -0.670  -0.897 -0.907  -0.919 -0.968  -0.557 -0.838  -0.182 -0.734  0.185 -0.606  0.552 -0.475  0.911 -0.327  1.238 -0.236
1d#apb#apb13#app1361/&  1.035 -0.337  1.049 -0.106  0.970 -0.064  0.909 -0.090  0.859 -0.135  0.693 -0.301  0.531 -0.459  0.640 -0.302  0.825 -0.193  0.628 -0.127  0.418 -0.049  0.297 0.149  0.190 0.352  0.081 0.555  -0.075 0.730  -0.141 0.937  -0.188 1.165  -0.291 1.375  -0.301 1.600  -0.126 1.717  0.082 1.614  0.251 1.456  0.369 1.256  0.396 1.026  0.354 0.797  0.279 0.577  0.148 0.383  0.074 0.161  -0.004 -0.059  -0.070 -0.284  -0.160 -0.497  -0.274 -0.700  -0.367 -0.915  -0.480 -1.119  -0.635 -1.290  -0.815 -1.430  -0.987 -1.320  -1.035 -1.091  -1.084 -0.862  -1.100 -0.640  -1.065 -0.412  -0.974 -0.204  -0.793 -0.062  -0.568 -0.004  -0.349 -0.076  -0.202 -0.256  -0.033 -0.418  0.164 -0.543  0.347 -0.685  0.531 -0.821
1d#apb#apb13#app1361/!  0.264 1.413  0.319 1.574  0.386 1.729  0.371 1.863  0.401 1.961  0.414 1.903  0.397 1.736  0.343 1.575  0.278 1.418  0.213 1.261  0.148 1.104  0.082 0.947  0.017 0.790  -0.043 0.632  -0.084 0.467  -0.127 0.303  -0.172 0.139  -0.223 -0.023  -0.277 -0.184  -0.339 -0.343  -0.390 -0.503  -0.408 -0.672  -0.377 -0.519  -0.358 -0.352  -0.265 -0.307  -0.108 -0.370  0.054 -0.423  0.216 -0.474  0.378 -0.525  0.349 -0.682  0.306 -0.847  0.263 -1.011  0.163 -1.102  0.060 -0.987  0.022 -0.822  0.015 -0.652  0.015 -0.482  -0.108 -0.509  -0.231 -0.626  -0.334 -0.760  -0.430 -0.899  -0.550 -1.020  -0.431 -0.940  -0.327 -0.806  -0.233 -0.665  -0.104 -0.558  0.027 -0.454  0.090 -0.603  0.141 -0.765  0.189 -0.927
1d#apb#apb13#app1361/?  -0.378 1.023  -0.287 0.962  -0.165 1.023  -0.178 1.111  -0.222 1.237  -0.163 1.359  -0.051 1.435  0.053 1.517  0.169 1.456  0.261 1.356  0.371 1.273  0.482 1.190  0.610 1.152  0.654 1.041  0.629 0.913  0.559 0.799  0.461 0.701  0.356 0.612  0.236 0.543  0.126 0.465  0.036 0.392  -0.061 0.299  -0.132 0.186  -0.222 0.083  -0.302 -0.028  -0.335 -0.159  -0.249 -0.260  -0.149 -0.353  -0.062 -0.461  0.005 -0.579  0.048 -0.711  0.090 -0.843  0.132 -0.974  0.175 -1.106  0.137 -1.017  0.042 -0.932  -0.075 -0.995  -0.173 -1.093  -0.247 -1.205  -0.171 -1.105  -0.098 -0.993  -0.098 -0.898  -0.171 -0.940  -0.284 -1.010  -0.337 -1.083  -0.366 -1.083  -0.348 -1.091  -0.236 -1.083  -0.102 -1.066  0.031 -1.061
1d#apb#apb13#app1361/'  -0.771 -0.452  -0.691 -0.273  -0.611 -0.093  -0.479 0.007  -0.318 0.074  -0.186 0.216  -0.022 0.314  0.175 0.314  0.321 0.436  0.476 0.554  0.630 0.664  0.710 0.841  0.762 1.030  0.800 1.223  0.845 1.415  0.864 1.609  0.820 1.496  0.681 1.357  0.556 1.206  0.447 1.042  0.338 0.878  0.228 0.715  0.135 0.542  0.047 0.366  -0.041 0.190  -0.129 0.014  -0.231 -0.154  -0.319 -0.329  -0.379 -0.504  -0.382 -0.554  -0.281 -0.385  -0.124 -0.273  0.047 -0.175  0.208 -0.063  0.346 0.074  0.404 0.068  0.350 0.095  0.224 -0.056  0.102 -0.210  -0.014 -0.370  -0.130 -0.529  -0.246 -0.688  -0.337 -0.862  -0.425 -1.038  -0.513 -1.214  -0.612 -1.384  -0.726 -1.544  -0.832 -1.708  -0.894 -1.895  -0.822 -1.985
1d#apb#apb13#app1361/\"  -0.389 0.372  -0.296 0.535  -0.185 0.683  -0.071 0.831  -0.017 0.996  -0.076 0.885  -0.189 0.736  -0.303 0.588  -0.417 0.439  -0.533 0.293  -0.653 0.149  -0.773 0.005  -0.889 -0.141  -1.000 -0.292  -1.110 -0.444  -1.224 -0.591  -1.307 -0.755  -1.393 -0.918  -1.240 -1.023  -1.096 -1.126  -0.949 -1.009  -0.803 -0.893  -0.656 -0.777  -0.510 -0.660  -0.363 -0.544  -0.217 -0.428  -0.070 -0.311  0.077 -0.195  0.223 -0.078  0.370 0.038  0.516 0.154  0.663 0.271  0.809 0.387  0.956 0.503  1.102 0.620  1.249 0.736  1.381 0.867  1.440 0.858  1.321 0.720  1.189 0.587  1.061 0.450  0.940 0.308  0.818 0.166  0.696 0.024  0.571 -0.115  0.446 -0.254  0.338 -0.405  0.263 -0.576  0.188 -0.747  0.113 -0.919
