1a#syn#syn0#cam/0  0.238 0.847  0.154 0.856  0.028 0.779  -0.098 0.703  -0.222 0.624  -0.346 0.545  -0.466 0.460  -0.581 0.368  -0.693 0.273  -0.804 0.176  -0.905 0.070  -0.989 -0.051  -1.072 -0.172  -1.142 -0.300  -1.176 -0.443  -1.196 -0.589  -1.189 -0.733  -1.084 -0.829  -0.966 -0.918  -0.820 -0.935  -0.674 -0.948  -0.527 -0.937  -0.380 -0.927  -0.235 -0.905  -0.090 -0.879  0.054 -0.849  0.193 -0.801  0.332 -0.753  0.466 -0.693  0.598 -0.627  0.721 -0.548  0.836 -0.455  0.940 -0.352  1.033 -0.238  1.100 -0.108  1.153 0.028  1.170 0.175  1.159 0.320  1.118 0.459  1.043 0.586  0.937 0.687  0.812 0.763  0.681 0.830  0.541 0.875  0.394 0.877  0.247 0.877  0.112 0.823  -0.012 0.742  -0.135 0.661  -0.258 0.581
1a#syn#syn0#cam/1  0.404 1.489  0.422 1.553  0.365 1.511  0.309 1.467  0.252 1.425  0.254 1.361  0.244 1.290  0.227 1.221  0.208 1.151  0.189 1.082  0.169 1.013  0.149 0.944  0.130 0.874  0.112 0.805  0.093 0.735  0.074 0.666  0.055 0.597  0.037 0.527  0.018 0.458  -0.000 0.388  -0.019 0.319  -0.037 0.249  -0.052 0.179  -0.067 0.108  -0.082 0.038  -0.096 -0.032  -0.111 -0.103  -0.126 -0.173  -0.141 -0.243  -0.156 -0.314  -0.168 -0.384  -0.180 -0.455  -0.191 -0.526  -0.200 -0.598  -0.208 -0.669  -0.217 -0.741  -0.225 -0.812  -0.233 -0.883  -0.242 -0.955  -0.250 -1.026  -0.246 -1.098  -0.231 -1.166  -0.192 -1.227  -0.153 -1.287  -0.114 -1.348  -0.069 -1.403  -0.018 -1.454  0.034 -1.501  0.105 -1.517  0.175 -1.533
1a#syn#syn0#cam/2  -0.402 1.216  -0.523 1.168  -0.502 1.110  -0.366 1.104  -0.230 1.110  -0.094 1.121  0.042 1.136  0.176 1.158  0.311 1.177  0.447 1.193  0.582 1.208  0.710 1.176  0.800 1.086  0.769 0.954  0.732 0.823  0.677 0.698  0.606 0.582  0.532 0.467  0.459 0.352  0.385 0.238  0.303 0.129  0.214 0.026  0.124 -0.077  0.033 -0.178  -0.071 -0.268  -0.174 -0.357  -0.277 -0.446  -0.385 -0.530  -0.493 -0.612  -0.602 -0.695  -0.716 -0.769  -0.831 -0.844  -0.950 -0.909  -1.070 -0.975  -1.003 -0.947  -0.873 -0.905  -0.742 -0.869  -0.608 -0.842  -0.473 -0.825  -0.337 -0.812  -0.201 -0.798  -0.065 -0.785  0.071 -0.780  0.207 -0.775  0.344 -0.769  0.479 -0.755  0.615 -0.739  0.746 -0.703  0.871 -0.649  0.751 -0.621
1a#syn#syn0#cam/4  -0.608 0.791  -0.668 0.743  -0.809 0.630  -0.949 0.516  -1.085 0.396  -1.219 0.275  -1.358 0.159  -1.479 0.027  -1.452 -0.124  -1.288 -0.196  -1.112 -0.240  -0.933 -0.263  -0.752 -0.275  -0.572 -0.279  -0.391 -0.270  -0.211 -0.256  -0.031 -0.235  0.148 -0.212  0.327 -0.183  0.506 -0.154  0.684 -0.121  0.861 -0.087  1.037 -0.045  1.212 0.002  1.126 -0.006  0.984 0.011  0.951 0.189  0.919 0.367  0.886 0.545  0.854 0.723  0.821 0.901  0.788 1.079  0.745 1.172  0.671 1.007  0.588 0.846  0.507 0.685  0.430 0.521  0.357 0.355  0.283 0.190  0.213 0.024  0.147 -0.145  0.082 -0.314  0.025 -0.486  -0.032 -0.658  -0.085 -0.830  -0.138 -1.003  -0.183 -1.179  -0.224 -1.355  -0.268 -1.530  -0.307 -1.706
1a#syn#syn0#cam/5  -0.223 0.591  -0.323 0.537  -0.443 0.433  -0.562 0.329  -0.677 0.221  -0.728 0.080  -0.636 -0.043  -0.501 -0.126  -0.353 -0.182  -0.205 -0.237  -0.053 -0.284  0.096 -0.337  0.238 -0.406  0.358 -0.503  0.393 -0.653  0.360 -0.807  0.282 -0.943  0.175 -1.060  0.049 -1.154  -0.092 -1.225  -0.244 -1.265  -0.402 -1.282  -0.549 -1.241  -0.597 -1.102  -0.595 -0.944  -0.604 -0.786  -0.619 -0.628  -0.638 -0.471  -0.670 -0.316  -0.640 -0.161  -0.611 -0.005  -0.581 0.150  -0.551 0.306  -0.522 0.462  -0.459 0.600  -0.337 0.581  -0.183 0.618  -0.030 0.659  0.124 0.697  0.277 0.734  0.431 0.773  0.585 0.812  0.738 0.850  0.892 0.889  1.047 0.920  1.204 0.936  1.361 0.959  1.517 0.984  1.674 1.008  1.830 1.033
1a#syn#syn0#cam/6  0.347 1.524  0.462 1.600  0.468 1.575  0.346 1.513  0.221 1.466  0.113 1.380  0.013 1.286  -0.087 1.191  -0.185 1.094  -0.275 0.990  -0.366 0.886  -0.447 0.774  -0.527 0.662  -0.597 0.544  -0.661 0.422  -0.725 0.300  -0.789 0.178  -0.840 0.050  -0.862 -0.085  -0.878 -0.222  -0.891 -0.359  -0.854 -0.489  -0.784 -0.608  -0.703 -0.715  -0.579 -0.775  -0.449 -0.816  -0.314 -0.844  -0.177 -0.852  -0.039 -0.852  0.098 -0.842  0.234 -0.821  0.370 -0.800  0.503 -0.762  0.635 -0.724  0.765 -0.677  0.892 -0.624  1.010 -0.554  1.110 -0.464  1.104 -0.353  0.977 -0.316  0.841 -0.300  0.703 -0.306  0.565 -0.312  0.428 -0.321  0.290 -0.330  0.156 -0.354  0.029 -0.406  -0.099 -0.458  -0.226 -0.511  -0.325 -0.583
1a#syn#syn0#cam/7  -0.444 0.595  -0.545 0.532  -0.651 0.478  -0.754 0.487  -0.742 0.605  -0.732 0.724  -0.672 0.789  -0.553 0.782  -0.434 0.777  -0.315 0.772  -0.195 0.766  -0.077 0.757  0.042 0.748  0.161 0.739  0.280 0.730  0.399 0.722  0.518 0.710  0.636 0.695  0.754 0.681  0.872 0.658  0.988 0.635  1.103 0.604  1.167 0.529  1.077 0.451  0.983 0.377  0.887 0.307  0.792 0.234  0.698 0.161  0.604 0.088  0.511 0.013  0.420 -0.064  0.329 -0.140  0.240 -0.220  0.154 -0.302  0.068 -0.385  -0.018 -0.468  -0.101 -0.553  -0.185 -0.638  -0.268 -0.723  -0.349 -0.811  -0.429 -0.900  -0.508 -0.989  -0.587 -1.078  -0.664 -1.169  -0.741 -1.260  -0.809 -1.358  -0.859 -1.460  -0.795 -1.553  -0.686 -1.555  -0.572 -1.521
1a#syn#syn0#cam/9  0.739 0.311  0.682 0.189  0.638 0.267  0.690 0.413  0.726 0.564  0.743 0.718  0.703 0.864  0.611 0.987  0.485 1.073  0.337 1.114  0.182 1.117  0.029 1.098  -0.121 1.056  -0.261 0.992  -0.393 0.911  -0.517 0.818  -0.634 0.716  -0.733 0.597  -0.825 0.472  -0.863 0.324  -0.766 0.210  -0.626 0.145  -0.475 0.114  -0.320 0.103  -0.166 0.108  -0.013 0.133  0.134 0.184  0.277 0.244  0.414 0.315  0.534 0.411  0.560 0.463  0.514 0.315  0.463 0.169  0.397 0.029  0.330 -0.111  0.260 -0.250  0.191 -0.389  0.120 -0.526  0.046 -0.663  -0.028 -0.799  -0.105 -0.934  -0.184 -1.067  -0.264 -1.200  -0.343 -1.333  -0.422 -1.467  -0.500 -1.601  -0.579 -1.734  -0.649 -1.871  -0.563 -1.856  -0.456 -1.743
1a#syn#syn0#cam/3  -0.482 1.188  -0.584 1.188  -0.431 1.208  -0.277 1.221  -0.123 1.235  0.031 1.248  0.185 1.254  0.339 1.249  0.489 1.216  0.611 1.127  0.664 0.985  0.661 0.831  0.632 0.679  0.572 0.540  0.483 0.414  0.366 0.313  0.241 0.223  0.105 0.151  -0.041 0.102  -0.195 0.085  -0.349 0.088  -0.501 0.113  -0.640 0.178  -0.518 0.222  -0.363 0.222  -0.210 0.209  -0.057 0.185  0.094 0.154  0.240 0.104  0.384 0.049  0.511 -0.038  0.614 -0.152  0.682 -0.290  0.682 -0.442  0.635 -0.588  0.554 -0.719  0.457 -0.840  0.350 -0.951  0.235 -1.053  0.112 -1.147  -0.020 -1.226  -0.159 -1.292  -0.304 -1.343  -0.457 -1.357  -0.611 -1.343  -0.753 -1.284  -0.860 -1.184  -0.919 -1.041  -1.006 -0.914  -1.073 -0.775
1a#syn#syn0#cam/7  -0.896 0.266  -1.002 0.231  -1.110 0.172  -1.149 0.226  -1.113 0.344  -1.076 0.461  -1.048 0.580  -1.021 0.700  -1.014 0.796  -0.912 0.746  -0.792 0.718  -0.671 0.696  -0.550 0.673  -0.429 0.651  -0.308 0.633  -0.186 0.619  -0.063 0.606  0.059 0.594  0.181 0.581  0.304 0.570  0.426 0.561  0.549 0.551  0.671 0.540  0.794 0.530  0.916 0.519  1.039 0.506  1.142 0.483  1.085 0.402  1.003 0.310  0.919 0.220  0.835 0.131  0.750 0.042  0.670 -0.051  0.590 -0.144  0.509 -0.237  0.436 -0.336  0.363 -0.435  0.292 -0.536  0.226 -0.640  0.160 -0.743  0.101 -0.851  0.045 -0.960  -0.009 -1.071  -0.058 -1.184  -0.106 -1.297  -0.151 -1.411  -0.188 -1.528  -0.127 -1.512  -0.052 -1.421  -0.035 -1.300
1a#syn#syn0#cam/2  -0.298 1.177  -0.415 1.109  -0.535 1.052  -0.402 1.085  -0.267 1.107  -0.131 1.127  0.005 1.146  0.142 1.154  0.279 1.158  0.416 1.158  0.553 1.149  0.688 1.130  0.815 1.082  0.876 0.970  0.860 0.834  0.805 0.709  0.734 0.592  0.659 0.477  0.579 0.365  0.496 0.257  0.406 0.153  0.314 0.051  0.215 -0.044  0.115 -0.138  0.009 -0.225  -0.098 -0.311  -0.205 -0.396  -0.313 -0.481  -0.429 -0.555  -0.545 -0.627  -0.662 -0.699  -0.779 -0.771  -0.895 -0.844  -1.009 -0.921  -1.104 -0.984  -0.977 -0.932  -0.845 -0.894  -0.712 -0.861  -0.581 -0.822  -0.448 -0.786  -0.315 -0.754  -0.180 -0.730  -0.044 -0.713  0.093 -0.701  0.229 -0.714  0.359 -0.758  0.485 -0.813  0.609 -0.870  0.729 -0.874  0.719 -0.820
