1d#app#app32#app3257/!  0.096 1.291  0.096 1.366  0.096 1.441  0.074 1.494  -0.000 1.494  -0.006 1.425  -0.006 1.350  -0.013 1.277  -0.046 1.210  -0.080 1.143  -0.107 1.075  -0.107 1.000  -0.107 0.926  -0.107 0.851  -0.107 0.776  -0.107 0.701  -0.107 0.627  -0.107 0.552  -0.107 0.477  -0.107 0.402  -0.107 0.328  -0.107 0.253  -0.107 0.178  -0.107 0.103  -0.075 0.042  -0.022 -0.011  -0.006 -0.079  -0.006 -0.153  -0.006 -0.228  0.000 -0.303  0.007 -0.377  0.013 -0.452  0.019 -0.526  0.025 -0.601  0.032 -0.675  0.038 -0.750  0.044 -0.824  0.050 -0.899  0.056 -0.973  0.063 -1.047  0.069 -1.122  0.075 -1.196  0.081 -1.271  0.087 -1.345  0.094 -1.420  0.129 -1.481  0.182 -1.534  0.144 -1.549  0.096 -1.522  0.096 -1.447
1d#app#app32#app3257/@  0.142 0.047  0.233 0.028  0.233 0.226  0.233 0.425  0.142 0.464  0.052 0.356  -0.038 0.248  -0.128 0.087  -0.219 -0.075  -0.170 -0.224  0.009 -0.176  0.150 -0.036  0.233 -0.034  0.241 -0.224  0.440 -0.224  0.625 -0.192  0.766 -0.052  0.774 0.143  0.774 0.341  0.774 0.540  0.774 0.738  0.740 0.929  0.684 1.114  0.603 1.293  0.452 1.401  0.254 1.401  0.065 1.362  -0.097 1.252  -0.238 1.112  -0.353 0.953  -0.441 0.775  -0.554 0.615  -0.683 0.467  -0.756 0.283  -0.830 0.098  -0.915 -0.081  -0.941 -0.273  -0.941 -0.472  -0.941 -0.670  -0.854 -0.848  -0.780 -1.017  -0.640 -1.157  -0.499 -1.297  -0.315 -1.349  -0.128 -1.397  0.071 -1.397  0.269 -1.397  0.468 -1.397  0.666 -1.397  0.594 -1.307
1d#app#app32#app3257/#  -0.129 1.390  -0.299 1.158  -0.469 0.826  -0.469 0.424  -0.639 0.092  -0.639 -0.310  -0.682 -0.694  -0.809 -1.044  -0.809 -1.446  -0.636 -1.666  -0.465 -1.302  -0.294 -0.938  -0.123 -0.574  0.049 -0.210  0.220 0.153  0.391 0.517  0.562 0.881  0.722 1.192  0.722 0.789  0.552 0.557  0.552 0.155  0.552 -0.247  0.552 -0.649  0.714 -0.984  0.545 -1.029  0.223 -0.787  -0.099 -0.546  -0.421 -0.305  -0.742 -0.063  -1.064 0.178  -1.236 0.369  -0.877 0.472  -0.517 0.600  -0.140 0.709  0.247 0.745  0.531 1.029  0.925 1.050  1.257 1.220  1.213 1.045  0.918 0.772  0.622 0.500  0.327 0.227  0.031 -0.046  -0.264 -0.319  -0.560 -0.591  -0.746 -0.821  -0.344 -0.821  -0.012 -0.651  0.338 -0.525  0.722 -0.481
1d#app#app32#app3257/$  0.684 0.856  0.345 0.830  0.027 0.712  -0.235 0.512  -0.479 0.268  -0.593 -0.006  -0.391 -0.150  -0.046 -0.150  0.299 -0.150  0.540 -0.255  0.799 -0.409  0.971 -0.598  0.918 -0.922  0.684 -1.086  0.409 -1.156  0.123 -1.300  -0.167 -1.432  -0.508 -1.444  -0.754 -1.344  -0.754 -0.999  -0.754 -0.653  -0.754 -0.308  -0.754 0.037  -0.754 0.383  -0.754 0.728  -0.754 1.073  -0.754 1.419  -0.610 1.242  -0.610 0.897  -0.466 0.611  -0.466 0.266  -0.322 -0.020  -0.322 -0.365  -0.322 -0.711  -0.279 -1.013  -0.148 -1.060  -0.044 -0.730  0.060 -0.401  0.164 -0.072  0.268 0.258  0.372 0.587  0.476 0.916  0.580 1.246  0.684 1.575  0.684 1.230  0.684 0.884  0.684 0.539  0.684 0.194  0.828 -0.092  0.828 -0.438
1d#app#app32#app3257/%  -0.386 1.304  -0.569 1.224  -0.722 1.071  -0.802 0.888  -0.898 0.711  -0.898 0.495  -0.898 0.279  -0.785 0.176  -0.575 0.192  -0.488 0.373  -0.386 0.487  -0.386 0.703  -0.386 0.919  -0.386 1.136  -0.338 1.304  -0.122 1.304  0.095 1.304  0.127 1.120  0.230 1.007  0.230 0.790  0.148 0.608  0.044 0.420  0.025 0.208  -0.058 0.011  -0.127 -0.180  -0.181 -0.374  -0.283 -0.548  -0.368 -0.729  -0.386 -0.939  -0.476 -1.133  -0.488 -1.347  -0.353 -1.213  -0.207 -1.053  -0.062 -0.893  0.084 -0.733  0.229 -0.573  0.375 -0.413  0.520 -0.253  0.475 -0.399  0.435 -0.599  0.435 -0.815  0.537 -0.929  0.689 -1.054  0.905 -1.054  1.070 -0.932  1.153 -0.749  1.153 -0.533  1.153 -0.317  1.058 -0.139  0.845 -0.131
1d#app#app32#app3257/^  -1.199 -1.184  -1.199 -1.076  -1.199 -0.969  -1.159 -0.901  -1.052 -0.901  -0.944 -0.901  -0.917 -0.821  -0.917 -0.713  -0.917 -0.606  -0.917 -0.498  -0.917 -0.391  -0.879 -0.299  -0.803 -0.223  -0.727 -0.147  -0.651 -0.071  -0.634 0.030  -0.634 0.137  -0.623 0.240  -0.547 0.316  -0.471 0.392  -0.395 0.468  -0.319 0.544  -0.242 0.620  -0.166 0.696  -0.090 0.772  0.009 0.793  0.116 0.793  0.224 0.793  0.331 0.793  0.439 0.793  0.495 0.743  0.495 0.635  0.495 0.527  0.586 0.511  0.694 0.511  0.778 0.487  0.778 0.380  0.778 0.272  0.778 0.165  0.778 0.057  0.778 -0.050  0.882 -0.054  0.989 -0.054  1.060 -0.091  1.060 -0.198  1.060 -0.306  1.115 -0.391  1.191 -0.467  1.267 -0.543  1.343 -0.619
1d#app#app32#app3257/&  0.083 1.841  0.083 1.733  0.083 1.625  0.079 1.517  0.064 1.411  0.049 1.304  0.033 1.197  0.018 1.090  0.003 0.983  -0.012 0.877  -0.069 0.790  -0.145 0.714  -0.224 0.643  -0.317 0.628  -0.317 0.520  -0.286 0.443  -0.217 0.404  -0.170 0.343  -0.062 0.343  0.046 0.343  0.154 0.343  0.262 0.343  0.282 0.256  0.187 0.243  0.179 0.143  0.083 0.132  0.069 0.030  -0.007 -0.047  -0.111 -0.056  -0.117 -0.158  -0.107 -0.256  0.001 -0.256  0.109 -0.256  0.175 -0.290  0.152 -0.395  0.128 -0.500  0.105 -0.606  0.081 -0.711  0.058 -0.816  0.035 -0.922  0.011 -1.027  -0.012 -1.132  -0.017 -1.240  -0.017 -1.347  -0.017 -1.455  -0.017 -1.563  -0.029 -1.666  -0.106 -1.742  -0.117 -1.845  -0.117 -1.953
1d#app#app32#app3257/*  -0.898 -0.166  -0.784 -0.354  -0.494 -0.325  -0.257 -0.166  0.045 -0.166  0.348 -0.166  0.582 -0.001  0.874 0.022  0.852 0.171  0.655 0.401  0.459 0.630  0.262 0.860  0.065 1.089  -0.132 1.319  -0.147 1.058  -0.147 0.755  -0.053 0.492  0.041 0.228  0.041 -0.074  0.041 -0.376  0.041 -0.679  0.041 -0.981  0.041 -1.283  0.041 -1.586  0.033 -1.827  -0.048 -1.536  -0.129 -1.244  -0.210 -0.953  -0.291 -0.662  -0.372 -0.370  -0.453 -0.079  -0.534 0.212  -0.615 0.504  -0.696 0.795  -0.777 1.086  -0.858 1.377  -0.898 1.374  -0.711 1.260  -0.523 1.145  -0.439 0.878  -0.226 0.664  -0.012 0.450  0.202 0.236  0.297 -0.013  0.568 -0.148  0.656 -0.406  0.870 -0.620  1.127 -0.730  1.168 -0.991  1.356 -1.105
1d#app#app32#app3257/(  0.022 1.693  0.022 1.620  0.022 1.547  0.022 1.474  0.022 1.400  0.022 1.327  0.022 1.254  0.007 1.187  -0.045 1.136  -0.096 1.084  -0.142 1.030  -0.142 0.957  -0.142 0.884  -0.142 0.811  -0.142 0.738  -0.142 0.665  -0.142 0.591  -0.142 0.518  -0.142 0.445  -0.142 0.372  -0.142 0.299  -0.142 0.226  -0.142 0.153  -0.142 0.080  -0.142 0.007  -0.142 -0.066  -0.142 -0.139  -0.142 -0.212  -0.142 -0.285  -0.142 -0.358  -0.142 -0.431  -0.091 -0.483  -0.040 -0.535  0.012 -0.587  0.022 -0.656  0.022 -0.729  0.022 -0.802  0.022 -0.875  0.033 -0.945  0.065 -1.011  0.098 -1.076  0.131 -1.142  0.163 -1.207  0.202 -1.268  0.254 -1.319  0.306 -1.371  0.357 -1.423  0.409 -1.474  0.461 -1.526  0.512 -1.578
1d#app#app32#app3257/)  -0.375 1.554  -0.301 1.554  -0.262 1.519  -0.262 1.445  -0.212 1.392  -0.160 1.339  -0.150 1.270  -0.135 1.202  -0.083 1.149  -0.037 1.094  -0.037 1.020  -0.017 0.951  0.016 0.885  0.049 0.819  0.076 0.751  0.076 0.677  0.098 0.608  0.131 0.542  0.164 0.476  0.188 0.408  0.188 0.334  0.188 0.260  0.188 0.186  0.188 0.112  0.188 0.038  0.188 -0.036  0.188 -0.110  0.188 -0.184  0.188 -0.258  0.188 -0.332  0.188 -0.406  0.188 -0.480  0.188 -0.554  0.169 -0.624  0.136 -0.690  0.103 -0.756  0.076 -0.824  0.076 -0.898  0.041 -0.957  -0.011 -1.010  -0.037 -1.073  -0.037 -1.147  -0.088 -1.200  -0.141 -1.252  -0.150 -1.322  -0.166 -1.390  -0.218 -1.442  -0.270 -1.494  -0.323 -1.546  -0.375 -1.599
1d#app#app32#app3257/`  -0.725 1.223  -0.648 1.223  -0.571 1.223  -0.493 1.223  -0.416 1.223  -0.339 1.223  -0.262 1.223  -0.185 1.223  -0.107 1.223  -0.030 1.223  -0.026 1.150  -0.026 1.073  -0.026 0.995  -0.026 0.918  -0.026 0.841  -0.026 0.764  -0.026 0.687  -0.026 0.609  -0.026 0.532  -0.026 0.455  -0.026 0.378  -0.026 0.301  -0.026 0.223  -0.026 0.146  -0.026 0.069  -0.026 -0.008  -0.026 -0.086  -0.026 -0.163  -0.026 -0.240  -0.026 -0.317  -0.026 -0.394  -0.026 -0.472  -0.026 -0.549  -0.026 -0.626  -0.026 -0.703  -0.026 -0.780  -0.026 -0.858  0.017 -0.917  0.072 -0.971  0.127 -1.026  0.181 -1.081  0.236 -1.135  0.290 -1.190  0.345 -1.244  0.400 -1.299  0.454 -1.354  0.509 -1.408  0.563 -1.463  0.618 -1.517  0.673 -1.572
