2#app#app12#app1264/R  -0.226 0.555  -0.138 0.436  -0.226 0.244  -0.226 0.016  -0.226 -0.212  -0.226 -0.440  -0.226 -0.668  -0.226 -0.896  -0.226 -1.124  -0.123 -1.249  -0.211 -1.153  -0.327 -0.957  -0.442 -0.760  -0.558 -0.563  -0.674 -0.367  -0.789 -0.170  -0.905 0.027  -1.021 0.223  -1.136 0.420  -1.052 0.540  -0.944 0.663  -0.783 0.824  -0.578 0.895  -0.386 1.014  -0.182 1.071  0.003 1.174  0.218 1.206  0.417 1.277  0.645 1.277  0.873 1.277  1.058 1.174  1.116 1.003  1.116 0.775  1.020 0.570  0.863 0.405  0.775 0.214  0.613 0.052  0.452 -0.109  0.291 -0.270  0.166 -0.374  -0.047 -0.439  -0.162 -0.581  -0.311 -0.684  -0.123 -0.724  0.042 -0.787  0.187 -0.871  0.395 -0.890  0.610 -0.947  0.827 -0.994  1.013 -1.097
2#app#app12#app1264/i  -0.436 1.606  -0.384 1.554  -0.333 1.503  -0.281 1.451  -0.230 1.399  -0.178 1.348  -0.127 1.296  -0.075 1.245  -0.072 1.173  -0.072 1.100  -0.072 1.027  -0.072 0.954  -0.072 0.881  -0.072 0.808  -0.072 0.736  -0.072 0.663  -0.072 0.590  -0.072 0.517  -0.072 0.444  -0.072 0.371  -0.072 0.298  -0.072 0.225  -0.072 0.152  -0.072 0.079  -0.072 0.006  -0.072 -0.066  -0.072 -0.139  -0.072 -0.212  -0.072 -0.285  -0.072 -0.358  -0.072 -0.431  -0.072 -0.504  -0.071 -0.576  -0.020 -0.628  0.032 -0.679  0.083 -0.731  0.135 -0.783  0.186 -0.834  0.238 -0.886  0.290 -0.937  0.291 -1.010  0.291 -1.082  0.291 -1.155  0.291 -1.228  0.291 -1.301  0.291 -1.374  0.291 -1.447  0.291 -1.520  0.291 -1.593  0.291 -1.666
2#app#app12#app1264/n  -1.197 1.385  -1.197 1.227  -1.100 1.165  -0.976 1.129  -0.976 0.971  -0.844 0.945  -0.756 0.873  -0.756 0.714  -0.756 0.556  -0.756 0.397  -0.724 0.251  -0.612 0.139  -0.536 0.011  -0.536 -0.147  -0.536 -0.306  -0.474 -0.440  -0.362 -0.552  -0.315 -0.692  -0.315 -0.850  -0.315 -1.009  -0.315 -1.168  -0.248 -1.260  -0.095 -1.255  -0.095 -1.096  -0.095 -0.937  -0.095 -0.778  -0.095 -0.619  0.003 -0.501  0.115 -0.389  0.190 -0.249  0.261 -0.107  0.332 0.035  0.346 0.190  0.346 0.349  0.346 0.508  0.346 0.667  0.448 0.724  0.607 0.724  0.766 0.724  0.787 0.587  0.787 0.428  0.797 0.273  0.910 0.161  1.008 0.043  1.008 -0.116  1.008 -0.275  1.047 -0.418  1.159 -0.530  1.228 -0.660  1.228 -0.819
2#app#app12#app1264/c  0.544 0.907  0.544 1.016  0.544 1.124  0.544 1.233  0.524 1.321  0.415 1.321  0.316 1.299  0.239 1.222  0.162 1.145  0.086 1.068  0.009 0.992  -0.068 0.915  -0.173 0.907  -0.282 0.907  -0.283 0.799  -0.283 0.691  -0.283 0.582  -0.297 0.480  -0.373 0.403  -0.450 0.326  -0.527 0.249  -0.604 0.173  -0.680 0.096  -0.696 -0.006  -0.696 -0.115  -0.696 -0.223  -0.696 -0.332  -0.696 -0.440  -0.696 -0.549  -0.696 -0.657  -0.677 -0.747  -0.569 -0.747  -0.469 -0.768  -0.392 -0.845  -0.315 -0.921  -0.220 -0.954  -0.112 -0.954  -0.003 -0.954  0.105 -0.954  0.214 -0.954  0.322 -0.954  0.431 -0.954  0.539 -0.954  0.637 -0.908  0.734 -0.859  0.831 -0.811  0.928 -0.762  1.011 -0.694  1.088 -0.617  1.165 -0.540
2#app#app12#app1264/e  -0.975 -0.108  -0.857 -0.226  -0.739 -0.344  -0.577 -0.355  -0.411 -0.355  -0.244 -0.355  -0.078 -0.355  0.012 -0.279  0.012 -0.112  0.175 -0.108  0.259 -0.026  0.262 0.138  0.428 0.138  0.506 0.227  0.512 0.391  0.630 0.509  0.748 0.627  0.753 0.791  0.753 0.958  0.753 1.124  0.753 1.291  0.668 1.372  0.501 1.372  0.334 1.372  0.259 1.281  0.248 1.126  0.082 1.126  0.012 1.028  0.000 0.867  -0.118 0.749  -0.235 0.631  -0.353 0.513  -0.471 0.396  -0.481 0.233  -0.481 0.067  -0.481 -0.100  -0.481 -0.266  -0.481 -0.433  -0.481 -0.600  -0.481 -0.766  -0.422 -0.908  -0.304 -1.026  -0.234 -1.164  -0.234 -1.330  -0.080 -1.343  0.012 -1.417  0.012 -1.583  0.173 -1.589  0.339 -1.589  0.506 -1.589
2#app#app12#app1264/w  -1.363 0.805  -1.347 0.641  -1.199 0.609  -1.199 0.429  -1.199 0.249  -1.142 0.093  -1.035 -0.043  -1.015 -0.218  -0.934 -0.379  -0.871 -0.544  -0.871 -0.724  -0.801 -0.835  -0.707 -0.921  -0.605 -0.999  -0.459 -0.916  -0.349 -0.776  -0.269 -0.615  -0.215 -0.448  -0.215 -0.268  -0.150 -0.114  -0.050 0.024  -0.050 0.204  -0.050 0.384  -0.050 0.564  -0.050 0.744  -0.050 0.925  0.085 0.969  0.114 1.121  0.114 0.966  0.114 0.786  0.114 0.606  0.114 0.426  0.114 0.246  0.172 0.090  0.278 -0.046  0.311 -0.212  0.438 -0.340  0.450 -0.515  0.577 -0.642  0.745 -0.671  0.925 -0.671  1.055 -0.549  1.098 -0.387  1.233 -0.343  1.262 -0.191  1.264 -0.012  1.392 0.115  1.426 0.281  1.426 0.461  1.426 0.641
2#app#app12#app1264/i  -0.237 1.691  -0.237 1.618  -0.237 1.545  -0.237 1.472  -0.237 1.399  -0.237 1.326  -0.237 1.253  -0.237 1.180  -0.237 1.107  -0.237 1.034  -0.237 0.961  -0.237 0.888  -0.237 0.815  -0.237 0.742  -0.237 0.668  -0.237 0.595  -0.237 0.522  -0.237 0.449  -0.210 0.388  -0.158 0.336  -0.107 0.284  -0.055 0.233  -0.004 0.181  0.048 0.129  0.100 0.078  0.151 0.026  0.188 -0.032  0.188 -0.105  0.188 -0.178  0.188 -0.251  0.188 -0.324  0.188 -0.397  0.188 -0.470  0.188 -0.543  0.188 -0.616  0.188 -0.689  0.188 -0.762  0.188 -0.835  0.188 -0.908  0.188 -0.981  0.188 -1.054  0.188 -1.127  0.188 -1.200  0.188 -1.273  0.188 -1.346  0.188 -1.419  0.188 -1.492  0.188 -1.565  0.188 -1.638  0.188 -1.711
2#app#app12#app1264/n  -1.060 1.369  -0.940 1.249  -0.865 1.110  -0.865 0.940  -0.865 0.770  -0.865 0.601  -0.752 0.477  -0.670 0.342  -0.670 0.172  -0.670 0.002  -0.670 -0.168  -0.670 -0.337  -0.583 -0.471  -0.476 -0.596  -0.476 -0.766  -0.476 -0.936  -0.378 -1.065  -0.281 -1.195  -0.273 -1.357  -0.104 -1.357  -0.086 -1.204  -0.086 -1.035  -0.086 -0.865  -0.086 -0.695  -0.086 -0.525  -0.086 -0.356  -0.086 -0.186  -0.086 -0.016  -0.086 0.154  -0.086 0.324  -0.086 0.493  -0.086 0.663  -0.038 0.785  0.125 0.801  0.245 0.921  0.303 0.892  0.366 0.785  0.498 0.747  0.511 0.590  0.680 0.590  0.693 0.433  0.786 0.302  0.887 0.174  0.889 0.004  1.009 -0.116  1.129 -0.236  1.249 -0.356  1.369 -0.476  1.471 -0.603  1.471 -0.773
2#app#app12#app1264/d  0.076 1.505  0.186 1.395  0.239 1.261  0.291 1.127  0.401 1.017  0.402 0.862  0.402 0.706  0.402 0.550  0.496 0.433  0.565 0.306  0.588 0.155  0.657 0.016  0.727 -0.123  0.836 -0.234  0.892 -0.212  0.892 -0.056  0.892 0.100  0.852 0.239  0.742 0.350  0.632 0.460  0.565 0.588  0.511 0.690  0.355 0.690  0.199 0.690  0.044 0.690  -0.112 0.690  -0.263 0.677  -0.373 0.567  -0.483 0.457  -0.593 0.347  -0.704 0.236  -0.740 0.096  -0.740 -0.060  -0.803 -0.190  -0.903 -0.304  -0.903 -0.460  -0.903 -0.616  -0.903 -0.772  -0.903 -0.927  -0.903 -1.083  -0.770 -1.105  -0.740 -1.232  -0.621 -1.269  -0.465 -1.269  -0.309 -1.269  -0.154 -1.269  0.002 -1.269  0.076 -1.186  0.129 -1.052  0.239 -0.942
2#app#app12#app1264/.  -1.153 1.280  -1.102 1.229  -1.052 1.179  -1.001 1.128  -0.950 1.077  -0.900 1.026  -0.849 0.976  -0.798 0.925  -0.747 0.874  -0.697 0.823  -0.646 0.773  -0.595 0.722  -0.544 0.671  -0.494 0.621  -0.443 0.570  -0.392 0.519  -0.342 0.468  -0.291 0.418  -0.240 0.367  -0.189 0.316  -0.139 0.265  -0.088 0.215  -0.037 0.164  0.014 0.113  0.064 0.063  0.115 0.012  0.166 -0.039  0.216 -0.090  0.267 -0.140  0.318 -0.191  0.369 -0.242  0.419 -0.293  0.470 -0.343  0.521 -0.394  0.572 -0.445  0.622 -0.496  0.673 -0.546  0.683 -0.614  0.683 -0.685  0.683 -0.757  0.683 -0.829  0.683 -0.901  0.683 -0.972  0.683 -1.044  0.683 -1.116  0.683 -1.188  0.683 -1.259  0.683 -1.331  0.683 -1.403  0.683 -1.475
2#app#app12#app1264/I  0.134 1.661  0.134 1.590  0.134 1.519  0.107 1.460  0.057 1.409  0.007 1.359  -0.042 1.308  -0.042 1.237  -0.042 1.167  -0.042 1.096  -0.042 1.025  -0.042 0.954  -0.042 0.883  -0.042 0.812  -0.042 0.741  -0.042 0.670  -0.042 0.599  -0.042 0.528  -0.042 0.457  -0.042 0.386  -0.042 0.315  -0.042 0.245  -0.042 0.174  -0.042 0.103  -0.042 0.032  -0.042 -0.039  -0.042 -0.110  -0.042 -0.181  -0.042 -0.252  -0.042 -0.323  -0.042 -0.394  -0.042 -0.465  -0.042 -0.536  -0.042 -0.607  -0.042 -0.677  -0.042 -0.748  -0.042 -0.819  -0.042 -0.890  -0.042 -0.961  -0.042 -1.032  -0.042 -1.103  -0.020 -1.165  0.030 -1.215  0.080 -1.265  0.131 -1.315  0.134 -1.385  0.134 -1.456  0.134 -1.527  0.134 -1.598  0.134 -1.669
