1c#app#app33#app3311/b  -1.055 1.648  -0.956 1.524  -0.892 1.386  -0.845 1.240  -0.758 1.111  -0.751 0.948  -0.659 0.821  -0.659 0.656  -0.629 0.498  -0.556 0.350  -0.504 0.193  -0.461 0.035  -0.461 -0.130  -0.362 -0.254  -0.362 -0.419  -0.362 -0.584  -0.384 -0.728  -0.461 -0.640  -0.461 -0.475  -0.451 -0.312  -0.377 -0.164  -0.340 -0.012  -0.223 0.105  -0.164 0.246  -0.129 0.396  0.009 0.460  0.133 0.560  0.250 0.676  0.382 0.757  0.547 0.757  0.687 0.698  0.804 0.581  0.921 0.464  0.925 0.301  0.925 0.136  0.925 -0.029  0.925 -0.195  0.925 -0.360  0.925 -0.525  0.897 -0.683  0.826 -0.832  0.762 -0.957  0.628 -1.040  0.570 -1.181  0.422 -1.222  0.257 -1.222  0.092 -1.222  -0.065 -1.215  -0.139 -1.123  -0.263 -1.024
1c#app#app33#app3311/e  -0.692 -0.227  -0.553 -0.227  -0.450 -0.145  -0.343 -0.068  -0.208 -0.062  -0.110 0.035  -0.012 0.133  0.085 0.231  0.215 0.251  0.265 0.339  0.312 0.458  0.410 0.555  0.508 0.653  0.614 0.729  0.743 0.738  0.743 0.876  0.832 0.978  0.903 1.086  0.886 1.208  0.748 1.208  0.610 1.208  0.472 1.208  0.360 1.143  0.265 1.045  0.265 0.906  0.180 0.804  0.082 0.706  -0.015 0.608  -0.091 0.495  -0.153 0.371  -0.216 0.249  -0.313 0.151  -0.397 0.043  -0.459 -0.080  -0.520 -0.204  -0.532 -0.339  -0.532 -0.477  -0.532 -0.615  -0.532 -0.753  -0.532 -0.892  -0.532 -1.030  -0.532 -1.168  -0.532 -1.306  -0.431 -1.343  -0.317 -1.399  -0.219 -1.497  -0.121 -1.595  -0.011 -1.662  0.127 -1.662  0.265 -1.662
1c#app#app33#app3311/w  -1.133 0.872  -1.133 0.702  -1.133 0.531  -1.114 0.368  -1.011 0.240  -1.011 0.069  -1.011 -0.101  -0.974 -0.257  -0.890 -0.393  -0.890 -0.563  -0.768 -0.613  -0.713 -0.760  -0.647 -0.904  -0.521 -0.948  -0.404 -0.894  -0.404 -0.723  -0.404 -0.552  -0.404 -0.382  -0.346 -0.225  -0.283 -0.069  -0.283 0.102  -0.283 0.272  -0.283 0.443  -0.283 0.614  -0.283 0.475  -0.283 0.304  -0.283 0.133  -0.283 -0.037  -0.206 -0.176  -0.162 -0.328  -0.050 -0.453  0.106 -0.488  0.237 -0.584  0.408 -0.584  0.578 -0.584  0.731 -0.541  0.852 -0.420  0.972 -0.299  1.093 -0.179  1.231 -0.098  1.295 0.008  1.295 0.179  1.295 0.350  1.295 0.520  1.295 0.691  1.216 0.829  1.064 0.872  1.013 1.027  0.972 1.192  0.931 1.358
1c#app#app33#app3311/i  -0.076 0.506  -0.076 0.387  -0.076 0.269  -0.076 0.150  -0.076 0.032  -0.076 -0.086  -0.073 -0.204  -0.020 -0.310  0.033 -0.416  0.065 -0.527  0.065 -0.646  0.065 -0.764  0.065 -0.882  0.134 -0.972  0.206 -1.061  0.206 -1.179  0.206 -1.298  0.296 -1.326  0.347 -1.394  0.337 -1.423  0.312 -1.307  0.287 -1.192  0.262 -1.076  0.237 -0.960  0.212 -0.844  0.186 -0.729  0.161 -0.613  0.136 -0.497  0.111 -0.381  0.086 -0.266  0.061 -0.150  0.035 -0.034  0.010 0.082  -0.015 0.198  -0.040 0.313  -0.065 0.429  -0.090 0.545  -0.116 0.661  -0.141 0.776  -0.166 0.892  -0.191 1.008  -0.216 1.124  -0.241 1.239  -0.267 1.355  -0.292 1.471  -0.317 1.587  -0.342 1.702  -0.358 1.819  -0.358 1.938  -0.358 2.056
1c#app#app33#app3311/l  -0.314 1.681  -0.314 1.609  -0.314 1.537  -0.314 1.465  -0.314 1.394  -0.314 1.322  -0.314 1.250  -0.314 1.178  -0.299 1.109  -0.276 1.041  -0.253 0.972  -0.231 0.904  -0.208 0.836  -0.185 0.768  -0.182 0.697  -0.182 0.625  -0.182 0.553  -0.182 0.481  -0.182 0.409  -0.171 0.340  -0.138 0.276  -0.106 0.211  -0.074 0.147  -0.050 0.081  -0.050 0.009  -0.050 -0.063  -0.050 -0.134  -0.021 -0.194  0.030 -0.245  0.081 -0.296  0.082 -0.367  0.082 -0.439  0.082 -0.511  0.092 -0.580  0.124 -0.645  0.156 -0.709  0.188 -0.773  0.214 -0.839  0.214 -0.911  0.226 -0.980  0.258 -1.044  0.290 -1.108  0.322 -1.173  0.359 -1.233  0.410 -1.284  0.461 -1.335  0.477 -1.400  0.477 -1.472  0.477 -1.544  0.477 -1.615
1c#app#app33#app3311/d  -0.199 1.828  -0.053 1.828  -0.003 1.719  0.101 1.616  0.150 1.490  0.172 1.349  0.237 1.218  0.238 1.072  0.238 0.926  0.238 0.780  0.303 0.649  0.325 0.508  0.356 0.369  0.421 0.239  0.487 0.108  0.500 -0.035  0.501 -0.181  0.587 -0.291  0.587 -0.438  0.674 -0.496  0.674 -0.643  0.674 -0.618  0.674 -0.472  0.592 -0.360  0.551 -0.231  0.467 -0.114  0.412 0.020  0.353 0.141  0.250 0.245  0.108 0.257  -0.038 0.257  -0.163 0.206  -0.284 0.127  -0.406 0.050  -0.518 -0.043  -0.639 -0.124  -0.743 -0.221  -0.809 -0.352  -0.835 -0.492  -0.897 -0.623  -0.897 -0.770  -0.897 -0.916  -0.890 -1.059  -0.787 -1.163  -0.668 -1.227  -0.522 -1.227  -0.375 -1.227  -0.229 -1.227  -0.083 -1.227  0.063 -1.227
1c#app#app33#app3311/e  -1.111 0.159  -0.962 0.165  -0.855 0.272  -0.716 0.301  -0.564 0.301  -0.413 0.301  -0.261 0.301  -0.110 0.301  0.041 0.301  0.193 0.301  0.344 0.301  0.496 0.301  0.647 0.301  0.783 0.264  0.891 0.159  1.043 0.159  1.194 0.159  1.289 0.159  1.174 0.196  1.142 0.334  1.035 0.441  1.028 0.587  0.889 0.599  0.874 0.745  0.767 0.852  0.624 0.873  0.472 0.873  0.321 0.873  0.213 0.768  0.106 0.661  -0.002 0.554  -0.109 0.447  -0.216 0.340  -0.323 0.233  -0.412 0.114  -0.460 -0.029  -0.507 -0.173  -0.575 -0.305  -0.682 -0.412  -0.789 -0.519  -0.825 -0.655  -0.825 -0.807  -0.825 -0.958  -0.825 -1.110  -0.730 -1.222  -0.683 -1.353  -0.617 -1.478  -0.510 -1.585  -0.403 -1.692  -0.254 -1.698
1c#app#app33#app3311/r  -0.564 1.244  -0.564 1.096  -0.478 0.984  -0.366 0.897  -0.218 0.897  -0.217 0.750  -0.217 0.602  -0.217 0.454  -0.168 0.327  -0.063 0.222  -0.043 0.082  -0.043 -0.066  -0.043 -0.213  -0.043 -0.361  -0.043 -0.509  -0.043 -0.657  -0.043 -0.805  -0.043 -0.953  -0.043 -1.101  -0.043 -1.249  -0.043 -1.397  -0.043 -1.545  -0.043 -1.693  -0.043 -1.578  -0.118 -1.461  -0.217 -1.354  -0.217 -1.207  -0.217 -1.059  -0.217 -0.911  -0.217 -0.763  -0.217 -0.615  -0.217 -0.467  -0.216 -0.319  -0.150 -0.187  -0.084 -0.054  -0.043 0.084  -0.043 0.232  -0.043 0.380  -0.043 0.528  0.046 0.639  0.151 0.743  0.256 0.848  0.304 0.976  0.342 1.108  0.447 1.213  0.581 1.244  0.729 1.244  0.877 1.244  1.025 1.244  1.173 1.244
1c#app#app33#app3311/e  -0.525 0.239  -0.398 0.239  -0.270 0.239  -0.142 0.239  -0.014 0.239  0.112 0.244  0.227 0.301  0.341 0.359  0.467 0.364  0.583 0.417  0.697 0.474  0.821 0.489  0.852 0.586  0.952 0.614  0.977 0.716  0.977 0.844  0.977 0.972  0.868 0.990  0.740 0.990  0.612 0.990  0.484 0.990  0.392 0.905  0.280 0.865  0.153 0.865  0.047 0.811  -0.036 0.716  -0.093 0.601  -0.151 0.487  -0.242 0.397  -0.332 0.307  -0.414 0.210  -0.471 0.096  -0.528 -0.019  -0.568 -0.140  -0.608 -0.261  -0.649 -0.382  -0.651 -0.510  -0.651 -0.638  -0.651 -0.765  -0.651 -0.893  -0.651 -1.021  -0.644 -1.146  -0.553 -1.236  -0.525 -1.352  -0.461 -1.454  -0.359 -1.515  -0.244 -1.546  -0.153 -1.636  -0.027 -1.640  0.101 -1.640
1c#app#app33#app3311/d  0.170 1.748  0.210 1.598  0.280 1.461  0.289 1.298  0.390 1.173  0.390 1.007  0.390 0.840  0.390 0.674  0.452 0.522  0.527 0.373  0.601 0.224  0.611 0.060  0.675 -0.081  0.721 -0.228  0.832 -0.349  0.872 -0.499  0.942 -0.636  1.039 -0.679  0.942 -0.610  0.853 -0.480  0.813 -0.330  0.696 -0.212  0.578 -0.094  0.460 0.023  0.342 0.141  0.206 0.228  0.048 0.281  -0.095 0.358  -0.234 0.424  -0.401 0.424  -0.567 0.424  -0.732 0.415  -0.881 0.340  -1.010 0.238  -1.127 0.120  -1.245 0.002  -1.264 -0.156  -1.264 -0.323  -1.243 -0.480  -1.154 -0.610  -1.067 -0.723  -0.916 -0.789  -0.757 -0.822  -0.608 -0.897  -0.442 -0.900  -0.276 -0.900  -0.109 -0.900  0.057 -0.900  0.224 -0.900  0.390 -0.900
1c#app#app33#app3311/c  -0.039 0.802  0.032 0.873  0.080 0.954  0.080 1.054  0.080 1.154  0.148 1.226  0.199 1.306  0.188 1.395  0.087 1.395  0.080 1.302  0.027 1.224  -0.042 1.152  -0.087 1.062  -0.132 0.972  -0.176 0.882  -0.221 0.793  -0.266 0.703  -0.311 0.613  -0.356 0.523  -0.395 0.432  -0.395 0.332  -0.395 0.232  -0.449 0.154  -0.513 0.080  -0.513 -0.020  -0.513 -0.121  -0.513 -0.221  -0.513 -0.321  -0.487 -0.411  -0.416 -0.482  -0.395 -0.573  -0.395 -0.673  -0.371 -0.764  -0.300 -0.835  -0.210 -0.859  -0.123 -0.893  -0.053 -0.964  0.042 -0.978  0.124 -1.022  0.195 -1.093  0.294 -1.096  0.394 -1.096  0.495 -1.096  0.595 -1.096  0.689 -1.081  0.760 -1.010  0.847 -0.978  0.947 -0.978  1.047 -0.978  1.148 -0.978
1c#app#app33#app3311/h  -0.419 1.915  -0.419 1.764  -0.419 1.613  -0.419 1.463  -0.419 1.312  -0.419 1.161  -0.419 1.010  -0.419 0.859  -0.419 0.708  -0.419 0.558  -0.419 0.407  -0.419 0.256  -0.419 0.105  -0.419 -0.046  -0.419 -0.197  -0.362 -0.334  -0.300 -0.470  -0.300 -0.621  -0.300 -0.772  -0.300 -0.923  -0.300 -1.073  -0.300 -1.224  -0.300 -1.375  -0.419 -1.405  -0.419 -1.254  -0.419 -1.103  -0.419 -0.952  -0.361 -0.815  -0.300 -0.679  -0.279 -0.533  -0.211 -0.398  -0.144 -0.263  -0.076 -0.128  -0.009 0.007  0.056 0.142  0.056 0.293  0.119 0.405  0.254 0.472  0.400 0.492  0.551 0.492  0.686 0.454  0.793 0.347  0.886 0.235  0.922 0.099  1.029 -0.007  1.131 -0.117  1.198 -0.252  1.242 -0.393  1.242 -0.544  1.242 -0.694
1c#app#app33#app3311/a  0.660 0.017  0.684 0.158  0.801 0.206  0.801 0.371  0.801 0.536  0.801 0.701  0.801 0.866  0.774 1.004  0.660 1.055  0.607 1.198  0.479 1.286  0.314 1.286  0.149 1.286  0.096 1.175  -0.026 1.085  -0.173 1.011  -0.293 0.898  -0.379 0.760  -0.453 0.612  -0.561 0.489  -0.677 0.372  -0.778 0.244  -0.852 0.096  -0.891 -0.059  -0.962 -0.195  -1.033 -0.331  -1.033 -0.496  -1.033 -0.661  -1.033 -0.826  -1.018 -0.985  -0.901 -1.102  -0.740 -1.111  -0.575 -1.111  -0.416 -1.085  -0.269 -1.012  -0.135 -0.919  -0.018 -0.802  0.098 -0.686  0.215 -0.569  0.237 -0.413  0.386 -0.391  0.459 -0.243  0.519 -0.092  0.519 -0.039  0.519 -0.204  0.519 -0.369  0.519 -0.534  0.526 -0.696  0.643 -0.812  0.660 -0.970
1c#app#app33#app3311/r  -0.375 1.148  -0.276 1.049  -0.194 0.942  -0.194 0.801  -0.194 0.661  -0.194 0.520  -0.194 0.380  -0.194 0.240  -0.194 0.099  -0.194 -0.041  -0.194 -0.182  -0.194 -0.322  -0.194 -0.463  -0.194 -0.603  -0.194 -0.744  -0.194 -0.884  -0.194 -1.025  -0.194 -1.165  -0.088 -1.199  -0.014 -1.265  -0.014 -1.406  -0.014 -1.546  -0.014 -1.432  -0.101 -1.379  -0.194 -1.332  -0.194 -1.191  -0.194 -1.051  -0.194 -0.911  -0.194 -0.770  -0.194 -0.630  -0.194 -0.489  -0.137 -0.362  -0.074 -0.237  -0.014 -0.110  -0.014 0.030  -0.014 0.170  -0.014 0.311  -0.003 0.449  0.060 0.574  0.123 0.700  0.167 0.830  0.169 0.970  0.268 1.069  0.367 1.168  0.467 1.268  0.566 1.367  0.665 1.466  0.788 1.509  0.929 1.509  1.069 1.509
1c#app#app33#app3311/m  -0.926 1.076  -0.926 0.906  -0.926 0.736  -0.926 0.567  -0.970 0.415  -1.029 0.270  -1.029 0.100  -1.029 -0.070  -1.029 -0.240  -1.029 -0.410  -1.029 -0.580  -1.029 -0.749  -1.029 -0.842  -0.955 -0.703  -0.926 -0.545  -0.860 -0.403  -0.771 -0.261  -0.680 -0.119  -0.581 0.016  -0.505 0.168  -0.429 0.320  -0.319 0.447  -0.205 0.509  -0.087 0.561  0.059 0.503  0.106 0.353  0.207 0.225  0.207 0.055  0.207 -0.115  0.207 -0.285  0.207 -0.455  0.207 -0.624  0.207 -0.555  0.290 -0.469  0.331 -0.324  0.407 -0.172  0.523 -0.049  0.634 0.078  0.710 0.229  0.824 0.354  0.951 0.458  1.120 0.458  1.274 0.420  1.374 0.285  1.455 0.137  1.545 0.005  1.545 -0.165  1.545 -0.335  1.545 -0.505  1.545 -0.675
1c#app#app33#app3311/s  0.461 1.361  0.342 1.361  0.223 1.361  0.109 1.351  0.025 1.267  -0.086 1.248  -0.108 1.150  -0.210 1.134  -0.298 1.058  -0.382 0.974  -0.473 0.906  -0.563 0.878  -0.563 0.759  -0.602 0.679  -0.633 0.679  -0.563 0.630  -0.509 0.565  -0.396 0.539  -0.290 0.485  -0.192 0.421  -0.107 0.338  0.010 0.333  0.094 0.249  0.178 0.165  0.274 0.110  0.379 0.078  0.461 -0.007  0.467 -0.124  0.551 -0.208  0.575 -0.317  0.615 -0.426  0.668 -0.533  0.688 -0.647  0.688 -0.766  0.604 -0.800  0.575 -0.890  0.480 -0.914  0.461 -1.014  0.356 -1.028  0.270 -1.105  0.166 -1.142  0.047 -1.142  -0.072 -1.142  -0.191 -1.142  -0.310 -1.142  -0.429 -1.142  -0.548 -1.142  -0.667 -1.142  -0.785 -1.142  -0.791 -1.028
1c#app#app33#app3311/e  -0.408 -0.070  -0.270 -0.070  -0.132 -0.070  0.006 -0.070  0.144 -0.070  0.282 -0.070  0.357 -0.007  0.430 0.058  0.568 0.058  0.706 0.058  0.845 0.058  0.983 0.058  1.084 0.147  1.122 0.269  1.122 0.407  1.122 0.545  1.122 0.683  1.033 0.784  0.935 0.882  0.825 0.950  0.687 0.950  0.549 0.950  0.411 0.950  0.273 0.950  0.135 0.950  0.028 0.877  -0.081 0.795  -0.205 0.733  -0.318 0.658  -0.414 0.559  -0.491 0.444  -0.568 0.329  -0.644 0.214  -0.736 0.112  -0.791 -0.003  -0.791 -0.141  -0.849 -0.255  -0.919 -0.364  -0.919 -0.503  -0.919 -0.641  -0.887 -0.771  -0.825 -0.895  -0.791 -1.025  -0.740 -1.141  -0.642 -1.239  -0.544 -1.337  -0.410 -1.345  -0.286 -1.406  -0.163 -1.468  -0.026 -1.473
1c#app#app33#app3311/l  0.328 1.659  0.328 1.587  0.328 1.515  0.328 1.443  0.328 1.371  0.328 1.299  0.328 1.227  0.328 1.155  0.286 1.100  0.236 1.049  0.199 0.992  0.199 0.920  0.183 0.852  0.151 0.787  0.119 0.723  0.087 0.658  0.070 0.590  0.070 0.518  0.070 0.446  0.070 0.374  0.041 0.309  0.009 0.244  -0.023 0.180  -0.056 0.115  -0.060 0.044  -0.060 -0.028  -0.060 -0.100  -0.074 -0.166  -0.125 -0.217  -0.176 -0.268  -0.189 -0.334  -0.189 -0.407  -0.189 -0.479  -0.189 -0.551  -0.189 -0.623  -0.189 -0.695  -0.189 -0.767  -0.189 -0.839  -0.189 -0.911  -0.189 -0.983  -0.189 -1.055  -0.189 -1.127  -0.189 -1.199  -0.189 -1.271  -0.189 -1.343  -0.189 -1.415  -0.189 -1.488  -0.189 -1.560  -0.189 -1.632  -0.189 -1.704
1c#app#app33#app3311/l  0.481 1.606  0.431 1.555  0.380 1.504  0.332 1.453  0.332 1.381  0.332 1.309  0.332 1.238  0.332 1.166  0.332 1.094  0.332 1.023  0.307 0.957  0.275 0.893  0.243 0.829  0.211 0.765  0.182 0.700  0.182 0.628  0.181 0.556  0.149 0.492  0.117 0.428  0.085 0.364  0.053 0.300  0.015 0.241  -0.036 0.190  -0.087 0.139  -0.117 0.080  -0.117 0.009  -0.117 -0.063  -0.117 -0.135  -0.117 -0.206  -0.117 -0.278  -0.120 -0.349  -0.143 -0.417  -0.166 -0.485  -0.188 -0.553  -0.211 -0.621  -0.234 -0.689  -0.256 -0.757  -0.267 -0.827  -0.267 -0.899  -0.267 -0.971  -0.267 -1.042  -0.267 -1.114  -0.267 -1.186  -0.267 -1.257  -0.267 -1.329  -0.267 -1.401  -0.267 -1.472  -0.267 -1.544  -0.267 -1.616  -0.267 -1.687
1c#app#app33#app3311/e  -0.410 0.255  -0.379 0.374  -0.231 0.374  -0.082 0.374  0.067 0.374  0.206 0.396  0.315 0.492  0.464 0.492  0.540 0.565  0.643 0.611  0.753 0.705  0.778 0.843  0.753 0.967  0.659 1.022  0.574 1.086  0.425 1.086  0.284 1.067  0.177 0.967  0.065 0.930  -0.002 0.848  -0.134 0.794  -0.258 0.712  -0.382 0.629  -0.491 0.529  -0.596 0.424  -0.701 0.319  -0.766 0.197  -0.854 0.136  -0.884 0.018  -0.989 -0.087  -1.003 -0.230  -1.003 -0.379  -0.953 -0.507  -0.848 -0.612  -0.743 -0.717  -0.634 -0.814  -0.498 -0.844  -0.388 -0.943  -0.255 -1.009  -0.116 -1.051  0.032 -1.051  0.181 -1.051  0.330 -1.051  0.479 -1.051  0.627 -1.051  0.776 -1.051  0.925 -1.051  1.074 -1.051  1.222 -1.051  1.252 -0.932
1c#app#app33#app3311/r  -0.439 0.366  -0.439 0.502  -0.380 0.614  -0.284 0.710  -0.249 0.658  -0.249 0.522  -0.249 0.385  -0.249 0.249  -0.249 0.113  -0.253 -0.022  -0.314 -0.144  -0.375 -0.266  -0.436 -0.387  -0.439 -0.523  -0.439 -0.659  -0.439 -0.795  -0.439 -0.931  -0.439 -1.068  -0.439 -1.204  -0.439 -1.340  -0.439 -1.476  -0.439 -1.448  -0.439 -1.312  -0.439 -1.176  -0.439 -1.040  -0.439 -0.904  -0.437 -0.768  -0.376 -0.646  -0.315 -0.524  -0.254 -0.402  -0.249 -0.267  -0.217 -0.139  -0.156 -0.017  -0.095 0.105  -0.020 0.216  0.077 0.312  0.173 0.408  0.269 0.505  0.365 0.601  0.462 0.697  0.558 0.794  0.654 0.890  0.750 0.986  0.847 1.082  0.966 1.124  1.102 1.124  1.238 1.124  1.374 1.124  1.510 1.124  1.647 1.124
