2#app#app07#app0769/T  0.129 0.294  0.129 0.430  0.129 0.377  0.129 0.241  0.129 0.106  0.129 -0.030  0.108 -0.162  0.069 -0.288  0.069 -0.424  0.069 -0.560  0.069 -0.696  0.069 -0.832  0.069 -0.968  0.069 -1.104  0.069 -1.240  0.129 -1.316  0.062 -1.310  -0.042 -1.223  -0.147 -1.136  -0.251 -1.049  -0.356 -0.962  -0.460 -0.875  -0.564 -0.788  -0.669 -0.701  -0.773 -0.614  -0.878 -0.527  -0.938 -0.420  -0.938 -0.284  -0.873 -0.175  -0.784 -0.073  -0.702 0.036  -0.617 0.141  -0.520 0.237  -0.424 0.333  -0.315 0.413  -0.205 0.493  -0.109 0.589  -0.013 0.685  0.085 0.778  0.198 0.854  0.316 0.921  0.438 0.982  0.559 1.042  0.681 1.103  0.808 1.152  0.932 1.205  1.045 1.280  1.164 1.345  1.296 1.360  1.432 1.360
2#app#app07#app0769/w  -1.172 0.635  -1.172 0.497  -1.172 0.360  -1.172 0.222  -1.129 0.128  -1.003 0.116  -1.003 -0.022  -1.003 -0.159  -1.003 -0.297  -1.003 -0.434  -1.003 -0.572  -1.003 -0.709  -0.873 -0.717  -0.765 -0.647  -0.667 -0.550  -0.665 -0.413  -0.592 -0.306  -0.496 -0.208  -0.496 -0.070  -0.420 0.035  -0.327 0.121  -0.327 -0.016  -0.214 -0.041  -0.158 -0.123  -0.123 -0.246  -0.026 -0.343  0.097 -0.379  0.180 -0.434  0.203 -0.548  0.341 -0.548  0.478 -0.548  0.616 -0.548  0.753 -0.548  0.855 -0.513  0.859 -0.379  0.997 -0.379  1.024 -0.269  1.024 -0.131  1.024 0.006  1.024 0.144  1.024 0.281  1.024 0.419  1.024 0.557  1.024 0.694  1.012 0.829  0.950 0.952  0.889 1.075  0.855 1.205  0.855 1.342  0.855 1.480
2#app#app07#app0769/o  -0.028 0.439  -0.138 0.550  -0.249 0.661  -0.360 0.595  -0.471 0.484  -0.609 0.439  -0.760 0.433  -0.760 0.276  -0.836 0.195  -0.993 0.195  -1.004 0.050  -1.004 -0.107  -1.004 -0.264  -1.004 -0.421  -1.004 -0.578  -1.004 -0.734  -0.926 -0.859  -0.815 -0.970  -0.681 -1.025  -0.524 -1.025  -0.367 -1.025  -0.210 -1.025  -0.054 -1.025  0.103 -1.025  0.216 -0.981  0.216 -0.824  0.330 -0.781  0.486 -0.781  0.643 -0.781  0.704 -0.685  0.710 -0.531  0.821 -0.420  0.932 -0.309  0.949 -0.159  0.949 -0.002  0.949 0.154  0.949 0.311  0.949 0.468  0.949 0.625  0.879 0.753  0.768 0.864  0.657 0.975  0.546 1.085  0.425 1.171  0.268 1.171  0.216 1.066  0.199 0.927  0.042 0.927  -0.028 0.840  -0.028 0.683
2#app#app07#app0769/f  0.822 1.864  0.680 1.847  0.575 1.742  0.470 1.637  0.365 1.532  0.260 1.427  0.171 1.310  0.105 1.177  0.038 1.044  -0.028 0.911  -0.121 0.797  -0.174 0.671  -0.218 0.532  -0.284 0.399  -0.299 0.254  -0.299 0.105  -0.299 -0.043  -0.299 -0.192  -0.299 -0.340  -0.299 -0.489  -0.299 -0.638  -0.273 -0.776  -0.165 -0.874  -0.050 -0.908  -0.009 -1.039  0.075 -1.153  0.129 -1.248  0.199 -1.326  0.302 -1.372  0.413 -1.462  0.404 -1.408  0.338 -1.275  0.271 -1.142  0.205 -1.009  0.138 -0.876  0.072 -0.743  0.005 -0.611  -0.061 -0.478  -0.128 -0.345  -0.194 -0.212  -0.261 -0.079  -0.327 0.054  -0.394 0.187  -0.506 0.246  -0.441 0.246  -0.330 0.339  -0.195 0.371  -0.047 0.373  0.058 0.478  0.199 0.495
2#app#app07#app0769/l  -0.981 -1.429  -0.895 -1.369  -0.811 -1.258  -0.721 -1.200  -0.641 -1.088  -0.537 -0.984  -0.434 -0.881  -0.346 -0.767  -0.281 -0.636  -0.216 -0.506  -0.102 -0.424  0.002 -0.331  0.067 -0.201  0.132 -0.070  0.226 0.040  0.295 0.168  0.360 0.299  0.425 0.429  0.491 0.560  0.556 0.690  0.621 0.821  0.670 0.956  0.670 1.102  0.670 1.248  0.670 1.394  0.656 1.526  0.510 1.526  0.403 1.433  0.299 1.330  0.210 1.216  0.145 1.085  0.080 0.955  0.015 0.824  -0.051 0.694  -0.115 0.563  -0.161 0.424  -0.211 0.287  -0.276 0.156  -0.286 0.013  -0.286 -0.133  -0.286 -0.279  -0.286 -0.425  -0.286 -0.571  -0.255 -0.710  -0.184 -0.836  -0.080 -0.939  -0.026 -1.063  0.066 -1.168  0.193 -1.213  0.322 -1.255
2#app#app07#app0769/o  -0.465 0.629  -0.557 0.537  -0.648 0.446  -0.740 0.354  -0.832 0.262  -0.924 0.170  -0.993 0.069  -0.993 -0.060  -1.074 -0.156  -1.166 -0.248  -1.168 -0.377  -1.168 -0.506  -1.168 -0.636  -1.168 -0.766  -1.051 -0.778  -0.921 -0.778  -0.791 -0.778  -0.662 -0.778  -0.532 -0.778  -0.402 -0.778  -0.272 -0.778  -0.143 -0.778  -0.042 -0.707  0.049 -0.615  0.141 -0.524  0.233 -0.432  0.360 -0.426  0.490 -0.426  0.611 -0.405  0.703 -0.314  0.806 -0.250  0.936 -0.250  0.942 -0.127  0.997 -0.020  1.088 0.072  1.118 0.190  1.118 0.319  1.118 0.449  1.029 0.542  0.942 0.636  0.942 0.765  0.878 0.869  0.786 0.960  0.665 0.981  0.535 0.981  0.406 0.981  0.276 0.981  0.238 0.888  0.238 0.759  0.238 0.629
2#app#app07#app0769/w  -1.050 0.306  -1.050 0.187  -1.050 0.067  -1.050 -0.052  -1.050 -0.171  -1.118 -0.262  -1.203 -0.347  -1.217 -0.460  -1.217 -0.580  -1.212 -0.695  -1.093 -0.695  -1.050 -0.618  -1.021 -0.528  -0.902 -0.528  -0.812 -0.456  -0.727 -0.372  -0.643 -0.288  -0.558 -0.203  -0.443 -0.194  -0.383 -0.135  -0.371 -0.027  -0.251 -0.027  -0.132 -0.027  -0.012 -0.027  0.107 -0.027  0.118 -0.136  0.118 -0.255  0.131 -0.361  0.251 -0.361  0.370 -0.361  0.490 -0.361  0.609 -0.361  0.618 -0.251  0.681 -0.194  0.785 -0.179  0.785 -0.059  0.785 0.060  0.825 0.139  0.945 0.139  0.952 0.251  0.952 0.371  0.964 0.485  1.049 0.570  1.119 0.660  1.119 0.779  1.119 0.899  1.119 1.018  1.119 1.138  1.201 1.223  1.286 1.307
2#app#app07#app0769/e  -0.636 -0.529  -0.473 -0.524  -0.462 -0.366  -0.298 -0.354  -0.178 -0.235  -0.023 -0.202  0.146 -0.202  0.276 -0.107  0.416 -0.039  0.562 0.016  0.682 0.135  0.801 0.255  0.921 0.374  1.040 0.494  1.160 0.613  1.162 0.781  1.154 0.942  0.998 0.956  0.980 1.106  0.811 1.106  0.642 1.106  0.477 1.090  0.325 1.014  0.174 0.942  0.008 0.933  -0.111 0.814  -0.231 0.694  -0.357 0.583  -0.498 0.490  -0.638 0.396  -0.779 0.302  -0.901 0.187  -0.963 0.043  -1.050 -0.039  -1.127 -0.131  -1.127 -0.300  -1.054 -0.439  -0.963 -0.570  -0.917 -0.693  -0.763 -0.729  -0.644 -0.849  -0.495 -0.927  -0.344 -1.002  -0.179 -1.020  -0.010 -1.020  0.159 -1.020  0.328 -1.020  0.497 -1.020  0.666 -1.020  0.835 -1.020
2#app#app07#app0769/r  -0.812 -1.202  -0.812 -1.288  -0.812 -1.269  -0.812 -1.183  -0.812 -1.098  -0.812 -1.012  -0.812 -0.926  -0.812 -0.840  -0.812 -0.755  -0.772 -0.686  -0.711 -0.625  -0.693 -0.547  -0.693 -0.461  -0.693 -0.376  -0.638 -0.313  -0.577 -0.252  -0.574 -0.168  -0.574 -0.082  -0.574 0.004  -0.574 0.089  -0.527 0.156  -0.466 0.216  -0.454 0.297  -0.419 0.347  -0.335 0.349  -0.335 0.435  -0.281 0.466  -0.195 0.466  -0.109 0.466  -0.024 0.466  0.062 0.466  0.148 0.466  0.233 0.466  0.319 0.466  0.405 0.466  0.491 0.466  0.576 0.466  0.662 0.466  0.748 0.466  0.833 0.466  0.919 0.466  1.005 0.466  1.090 0.466  1.176 0.466  1.262 0.466  1.348 0.466  1.433 0.466  1.519 0.466  1.605 0.466  1.690 0.466
2#app#app07#app0769/h  0.558 1.960  0.558 1.852  0.541 1.747  0.507 1.645  0.473 1.543  0.439 1.441  0.405 1.339  0.395 1.233  0.395 1.126  0.370 1.026  0.310 0.936  0.250 0.847  0.208 0.748  0.174 0.646  0.128 0.552  0.052 0.476  -0.018 0.396  -0.052 0.294  -0.086 0.192  -0.139 0.099  -0.199 0.009  -0.259 -0.080  -0.335 -0.156  -0.412 -0.232  -0.463 -0.326  -0.511 -0.422  -0.559 -0.518  -0.607 -0.615  -0.655 -0.711  -0.664 -0.816  -0.664 -0.924  -0.606 -0.973  -0.580 -0.892  -0.472 -0.892  -0.381 -0.853  -0.305 -0.777  -0.229 -0.701  -0.153 -0.625  -0.076 -0.549  0.005 -0.484  0.069 -0.528  0.118 -0.615  0.151 -0.709  0.157 -0.810  0.232 -0.843  0.291 -0.892  0.317 -0.973  0.395 -1.003  0.450 -1.055  0.477 -1.136
2#app#app07#app0769/a  0.893 0.801  0.726 0.801  0.560 0.801  0.393 0.801  0.231 0.791  0.113 0.673  -0.039 0.639  -0.205 0.639  -0.336 0.551  -0.465 0.449  -0.614 0.374  -0.757 0.292  -0.875 0.174  -0.992 0.057  -1.123 -0.043  -1.272 -0.118  -1.414 -0.202  -1.531 -0.320  -1.550 -0.478  -1.449 -0.603  -1.308 -0.664  -1.141 -0.664  -0.975 -0.664  -0.808 -0.664  -0.652 -0.622  -0.503 -0.548  -0.366 -0.457  -0.248 -0.339  -0.083 -0.337  0.035 -0.219  0.153 -0.101  0.270 0.017  0.388 0.134  0.404 0.294  0.552 0.313  0.567 0.464  0.567 0.631  0.567 0.480  0.567 0.313  0.567 0.147  0.572 -0.018  0.689 -0.135  0.839 -0.176  0.893 -0.289  1.009 -0.339  1.141 -0.424  1.275 -0.501  1.441 -0.501  1.589 -0.547  1.707 -0.664
