1c#app#app12#app1254/s  0.598 1.300  0.760 1.300  0.598 1.290  0.584 1.133  0.418 1.120  0.297 0.999  0.140 0.967  0.007 0.875  -0.114 0.754  -0.235 0.633  -0.356 0.512  -0.477 0.391  -0.611 0.302  -0.782 0.302  -0.899 0.248  -0.958 0.135  -1.110 0.090  -1.231 -0.031  -1.235 -0.200  -1.355 -0.321  -1.287 -0.364  -1.116 -0.364  -0.945 -0.364  -0.774 -0.364  -0.733 -0.234  -0.598 -0.197  -0.427 -0.197  -0.298 -0.096  -0.154 -0.031  0.017 -0.031  0.162 0.032  0.290 0.135  0.461 0.135  0.632 0.135  0.803 0.135  0.974 0.135  1.097 0.087  1.097 -0.084  1.097 -0.255  1.053 -0.408  0.932 -0.529  0.928 -0.696  0.759 -0.702  0.638 -0.823  0.517 -0.944  0.382 -1.029  0.265 -1.084  0.206 -1.195  0.054 -1.241  -0.067 -1.362
1c#app#app12#app1254/c  0.949 1.174  0.949 1.278  0.941 1.373  0.837 1.373  0.738 1.362  0.665 1.289  0.592 1.215  0.518 1.142  0.445 1.069  0.372 0.996  0.299 0.922  0.225 0.849  0.152 0.776  0.079 0.703  0.006 0.629  -0.047 0.548  -0.047 0.444  -0.084 0.377  -0.188 0.377  -0.291 0.377  -0.395 0.377  -0.446 0.324  -0.446 0.221  -0.446 0.117  -0.446 0.014  -0.494 -0.070  -0.568 -0.143  -0.641 -0.216  -0.645 -0.318  -0.645 -0.422  -0.645 -0.525  -0.645 -0.629  -0.645 -0.733  -0.645 -0.836  -0.645 -0.940  -0.618 -1.017  -0.515 -1.017  -0.411 -1.017  -0.308 -1.017  -0.204 -1.017  -0.100 -1.017  0.003 -1.017  0.107 -1.017  0.210 -1.017  0.314 -1.017  0.398 -0.970  0.471 -0.897  0.545 -0.823  0.646 -0.818  0.749 -0.818
1c#app#app12#app1254/r  -0.670 0.261  -0.670 0.112  -0.670 -0.037  -0.524 -0.040  -0.375 -0.040  -0.369 -0.183  -0.369 -0.332  -0.270 -0.440  -0.165 -0.545  -0.067 -0.654  -0.067 -0.803  -0.067 -0.952  -0.067 -1.101  -0.062 -1.245  0.087 -1.245  0.234 -1.247  0.234 -1.396  0.234 -1.545  0.234 -1.398  0.234 -1.249  0.131 -1.142  0.026 -1.037  -0.067 -0.927  -0.067 -0.778  -0.067 -0.629  -0.067 -0.480  -0.067 -0.331  -0.067 -0.182  -0.067 -0.033  -0.067 0.116  -0.067 0.265  -0.067 0.414  -0.069 0.562  -0.218 0.562  -0.367 0.562  -0.369 0.709  -0.369 0.858  -0.225 0.864  -0.076 0.864  -0.067 1.004  -0.067 1.153  0.070 1.165  0.219 1.165  0.368 1.165  0.517 1.165  0.628 1.258  0.733 1.363  0.839 1.466  0.988 1.466  1.137 1.466
1c#app#app12#app1254/e  -0.792 -0.466  -0.681 -0.578  -0.557 -0.658  -0.400 -0.658  -0.243 -0.658  -0.124 -0.565  -0.013 -0.454  0.098 -0.343  0.209 -0.231  0.320 -0.120  0.431 -0.009  0.542 0.102  0.654 0.213  0.740 0.334  0.740 0.492  0.740 0.649  0.827 0.770  0.932 0.884  0.932 1.041  0.800 1.066  0.740 1.164  0.677 1.258  0.520 1.258  0.363 1.258  0.206 1.258  0.166 1.141  0.083 1.066  -0.060 1.032  -0.171 0.921  -0.218 0.783  -0.258 0.643  -0.369 0.532  -0.454 0.402  -0.525 0.261  -0.595 0.120  -0.601 -0.035  -0.601 -0.193  -0.601 -0.350  -0.601 -0.507  -0.601 -0.664  -0.601 -0.821  -0.601 -0.979  -0.506 -1.041  -0.409 -1.101  -0.386 -1.244  -0.246 -1.315  -0.105 -1.385  0.043 -1.424  0.200 -1.424  0.357 -1.424
1c#app#app12#app1254/a  -1.345 1.295  -1.174 1.295  -1.111 1.188  -1.068 1.061  -0.898 1.061  -0.728 1.061  -0.643 0.975  -0.621 0.827  -0.451 0.827  -0.318 0.736  -0.198 0.616  -0.037 0.593  0.111 0.541  0.231 0.420  0.376 0.359  0.526 0.339  0.526 0.169  0.653 0.126  0.823 0.126  0.993 0.126  0.994 0.295  0.888 0.359  0.718 0.359  0.548 0.359  0.378 0.359  0.207 0.359  0.043 0.344  -0.077 0.224  -0.197 0.104  -0.318 -0.017  -0.409 -0.149  -0.409 -0.319  -0.409 -0.489  -0.493 -0.576  -0.643 -0.596  -0.643 -0.766  -0.643 -0.936  -0.580 -1.044  -0.410 -1.044  -0.240 -1.044  -0.070 -1.044  0.100 -1.044  0.270 -1.044  0.441 -1.044  0.611 -1.044  0.760 -1.023  0.760 -0.853  0.888 -0.810  1.058 -0.810  1.228 -0.810
1c#app#app12#app1254/m  -1.500 0.909  -1.444 0.745  -1.335 0.633  -1.171 0.577  -1.171 0.356  -1.089 0.169  -1.006 -0.017  -1.006 -0.238  -0.853 -0.395  -0.842 -0.611  -0.774 -0.803  -0.678 -0.816  -0.678 -0.595  -0.678 -0.374  -0.678 -0.154  -0.678 0.067  -0.513 0.123  -0.513 0.343  -0.513 0.564  -0.473 0.745  -0.349 0.841  -0.197 0.909  -0.141 0.745  -0.020 0.645  0.136 0.581  0.166 0.374  0.265 0.176  0.309 -0.034  0.309 -0.254  0.309 -0.475  0.309 -0.695  0.309 -0.916  0.382 -1.064  0.474 -0.935  0.488 -0.721  0.638 -0.562  0.638 -0.342  0.638 -0.121  0.650 0.087  0.803 0.156  0.803 0.376  0.819 0.581  0.967 0.508  1.095 0.416  1.132 0.232  1.185 0.033  1.296 -0.142  1.296 -0.362  1.421 -0.531  1.460 -0.735
1c#app#app12#app1254/e  -1.026 -0.113  -0.856 -0.113  -0.784 -0.212  -0.757 -0.355  -0.587 -0.355  -0.542 -0.481  -0.488 -0.597  -0.318 -0.597  -0.147 -0.597  0.023 -0.597  0.191 -0.591  0.311 -0.470  0.432 -0.350  0.552 -0.229  0.673 -0.109  0.793 0.012  0.911 0.133  0.911 0.304  0.911 0.474  0.911 0.645  0.911 0.815  0.911 0.985  0.911 1.156  0.911 1.326  0.754 1.339  0.583 1.339  0.417 1.330  0.296 1.209  0.172 1.097  0.002 1.097  -0.058 0.987  -0.085 0.828  -0.206 0.707  -0.300 0.576  -0.300 0.406  -0.396 0.275  -0.516 0.155  -0.542 -0.005  -0.542 -0.176  -0.542 -0.346  -0.542 -0.516  -0.542 -0.687  -0.542 -0.857  -0.542 -1.027  -0.542 -1.198  -0.497 -1.323  -0.327 -1.323  -0.156 -1.323  0.014 -1.323  0.184 -1.323
1c#app#app12#app1254/d  -0.550 1.965  -0.442 1.857  -0.334 1.749  -0.226 1.642  -0.226 1.489  -0.226 1.337  -0.132 1.223  -0.065 1.099  -0.065 0.946  -0.037 0.805  0.071 0.698  0.097 0.556  0.097 0.403  0.166 0.279  0.274 0.172  0.381 0.064  0.489 -0.044  0.582 -0.158  0.590 -0.307  0.698 -0.415  0.832 -0.460  0.870 -0.389  0.802 -0.253  0.744 -0.114  0.730 0.025  0.582 0.029  0.582 0.181  0.435 0.187  0.282 0.187  0.130 0.187  0.012 0.102  -0.108 0.025  -0.226 -0.009  -0.244 -0.154  -0.352 -0.262  -0.460 -0.370  -0.550 -0.485  -0.566 -0.622  -0.711 -0.628  -0.711 -0.781  -0.711 -0.933  -0.711 -1.086  -0.711 -1.238  -0.589 -1.269  -0.437 -1.269  -0.284 -1.269  -0.132 -1.269  -0.004 -1.208  0.106 -1.107  0.259 -1.107
1c#app#app12#app1254/a  -1.204 1.040  -1.046 1.040  -1.017 1.169  -0.918 1.227  -0.760 1.227  -0.602 1.227  -0.444 1.227  -0.286 1.227  -0.268 1.088  -0.158 1.040  -0.081 0.960  -0.029 0.853  0.122 0.838  0.234 0.726  0.345 0.614  0.457 0.503  0.568 0.391  0.680 0.280  0.792 0.168  0.855 0.037  0.894 -0.083  1.043 -0.092  1.043 -0.250  1.043 -0.133  0.935 -0.083  0.777 -0.083  0.619 -0.083  0.462 -0.083  0.304 -0.083  0.146 -0.083  0.107 -0.202  0.017 -0.270  -0.140 -0.270  -0.289 -0.292  -0.401 -0.403  -0.455 -0.539  -0.507 -0.645  -0.642 -0.667  -0.642 -0.825  -0.642 -0.983  -0.642 -1.141  -0.550 -1.206  -0.392 -1.206  -0.235 -1.206  -0.081 -1.202  -0.081 -1.045  0.052 -1.019  0.199 -0.973  0.340 -0.903  0.481 -0.832
1c#app#app12#app1254/t  -0.330 2.202  -0.330 2.021  -0.330 1.840  -0.330 1.659  -0.330 1.477  -0.330 1.296  -0.330 1.115  -0.330 0.934  -0.330 0.753  -0.330 0.572  -0.330 0.390  -0.255 0.240  -0.127 0.112  -0.043 -0.048  0.038 -0.210  0.089 -0.379  0.116 -0.549  0.244 -0.677  0.372 -0.805  0.500 -0.934  0.628 -1.062  0.756 -1.190  0.884 -1.318  0.832 -1.287  0.689 -1.175  0.546 -1.064  0.403 -0.953  0.260 -0.842  0.117 -0.730  -0.026 -0.619  -0.169 -0.508  -0.312 -0.397  -0.455 -0.286  -0.598 -0.174  -0.741 -0.063  -0.884 0.048  -0.959 0.020  -0.901 -0.103  -0.720 -0.103  -0.539 -0.103  -0.357 -0.103  -0.176 -0.103  0.005 -0.103  0.158 -0.035  0.286 0.094  0.462 0.106  0.629 0.167  0.791 0.248  0.956 0.316  1.137 0.316
1c#app#app12#app1254/h  -0.859 1.901  -0.858 1.758  -0.756 1.656  -0.717 1.529  -0.717 1.385  -0.717 1.241  -0.717 1.097  -0.717 0.953  -0.648 0.837  -0.574 0.724  -0.574 0.580  -0.574 0.436  -0.574 0.292  -0.542 0.161  -0.440 0.059  -0.339 -0.042  -0.290 -0.166  -0.290 -0.310  -0.290 -0.454  -0.290 -0.598  -0.232 -0.718  -0.147 -0.827  -0.147 -0.971  -0.147 -1.115  -0.147 -1.201  -0.117 -1.088  -0.005 -1.056  -0.005 -0.912  -0.005 -0.768  0.021 -0.635  0.123 -0.533  0.137 -0.395  0.137 -0.251  0.137 -0.107  0.228 -0.001  0.280 0.122  0.331 0.245  0.437 0.336  0.565 0.319  0.583 0.193  0.707 0.173  0.707 0.029  0.723 -0.108  0.825 -0.210  0.927 -0.311  0.992 -0.429  1.030 -0.557  1.132 -0.658  1.134 -0.801  1.276 -0.803
