1b#tos#t1#t1081062/A  -1.368 -1.172  -1.368 -0.956  -1.299 -0.768  -1.247 -0.574  -1.094 -0.421  -0.986 -0.241  -0.941 -0.032  -0.818 0.143  -0.700 0.292  -0.625 0.477  -0.564 0.675  -0.489 0.873  -0.375 1.057  -0.225 1.166  -0.105 1.261  0.063 1.213  0.176 1.085  0.341 1.023  0.349 0.814  0.439 0.689  0.540 0.546  0.683 0.472  0.788 0.325  0.875 0.164  0.997 0.013  1.080 -0.185  1.179 -0.361  1.255 -0.528  1.351 -0.649  1.345 -0.777  1.135 -0.727  0.925 -0.677  0.715 -0.626  0.505 -0.576  0.295 -0.526  0.084 -0.476  -0.126 -0.426  -0.336 -0.375  -0.546 -0.325  -0.756 -0.275  -0.886 -0.127  -0.873 -0.122  -0.657 -0.122  -0.453 -0.084  -0.254 -0.027  -0.038 -0.027  0.178 -0.027  0.394 -0.027  0.610 -0.027  0.826 -0.027
1b#tos#t1#t1081062/B  -0.481 1.190  -0.432 1.252  -0.432 0.973  -0.432 0.695  -0.432 0.416  -0.432 0.137  -0.432 -0.142  -0.432 -0.420  -0.432 -0.699  -0.432 -0.978  -0.432 -1.256  -0.443 -1.152  -0.473 -0.875  -0.504 -0.598  -0.535 -0.321  -0.566 -0.044  -0.596 0.233  -0.627 0.510  -0.658 0.787  -0.676 1.065  -0.522 1.190  -0.243 1.190  -0.005 1.287  0.274 1.287  0.536 1.217  0.656 1.027  0.688 0.762  0.498 0.605  0.375 0.368  0.153 0.216  -0.035 0.025  -0.289 -0.077  -0.491 -0.077  -0.212 -0.077  -0.031 0.021  0.227 0.069  0.506 0.069  0.785 0.069  1.029 0.035  1.190 -0.091  1.224 -0.356  1.250 -0.609  1.126 -0.841  0.925 -0.972  0.656 -1.018  0.391 -1.061  0.166 -1.148  -0.051 -1.250  -0.320 -1.294  -0.578 -1.343
1b#tos#t1#t1081062/C  0.295 1.195  0.295 1.238  0.295 1.100  0.340 1.007  0.340 0.869  0.386 0.776  0.431 0.683  0.418 0.740  0.284 0.751  0.206 0.831  0.077 0.871  -0.015 0.922  -0.153 0.922  -0.291 0.922  -0.384 0.876  -0.478 0.805  -0.506 0.694  -0.569 0.620  -0.669 0.549  -0.783 0.474  -0.829 0.376  -0.842 0.251  -0.867 0.124  -0.888 -0.006  -0.888 -0.145  -0.888 -0.283  -0.888 -0.421  -0.785 -0.466  -0.734 -0.579  -0.660 -0.644  -0.615 -0.763  -0.520 -0.806  -0.400 -0.852  -0.281 -0.897  -0.142 -0.897  -0.040 -0.955  0.078 -0.988  0.205 -0.943  0.298 -0.897  0.437 -0.897  0.529 -0.852  0.667 -0.847  0.749 -0.760  0.843 -0.715  0.935 -0.670  1.064 -0.626  1.113 -0.536  1.159 -0.443  1.286 -0.401  1.386 -0.306
1b#tos#t1#t1081062/D  -0.588 0.878  -0.540 0.916  -0.526 0.721  -0.492 0.535  -0.492 0.334  -0.492 0.134  -0.492 -0.066  -0.449 -0.256  -0.445 -0.456  -0.445 -0.656  -0.445 -0.857  -0.414 -1.027  -0.427 -0.846  -0.460 -0.648  -0.493 -0.450  -0.526 -0.253  -0.559 -0.055  -0.592 0.143  -0.625 0.340  -0.658 0.538  -0.705 0.731  -0.730 0.925  -0.673 1.069  -0.473 1.069  -0.272 1.069  -0.072 1.069  0.127 1.067  0.250 0.926  0.430 0.892  0.588 0.799  0.787 0.783  0.844 0.640  0.984 0.524  1.031 0.371  1.127 0.266  1.174 0.113  1.174 -0.088  1.174 -0.288  1.121 -0.467  0.989 -0.593  0.934 -0.741  0.782 -0.794  0.597 -0.870  0.439 -0.984  0.244 -1.027  0.046 -1.038  -0.149 -1.074  -0.349 -1.074  -0.530 -1.122  -0.730 -1.122
1b#tos#t1#t1081062/E  -0.657 1.013  -0.651 1.092  -0.423 1.129  -0.198 1.171  0.045 1.171  0.209 1.250  0.452 1.250  0.655 1.289  0.787 1.274  0.554 1.206  0.321 1.139  0.087 1.071  -0.146 1.003  -0.379 0.936  -0.613 0.868  -0.578 0.817  -0.497 0.653  -0.460 0.419  -0.361 0.204  -0.342 -0.036  -0.342 -0.279  -0.342 -0.522  -0.381 -0.756  -0.381 -0.999  -0.413 -1.228  -0.428 -1.082  -0.475 -0.844  -0.523 -0.606  -0.571 -0.368  -0.456 -0.245  -0.284 -0.131  -0.065 -0.052  0.178 -0.052  0.395 0.027  0.622 0.066  0.596 -0.005  0.446 -0.196  0.296 -0.387  0.145 -0.577  -0.005 -0.768  -0.155 -0.959  -0.306 -1.150  -0.197 -1.156  0.046 -1.156  0.216 -0.999  0.459 -0.995  0.696 -0.959  0.920 -0.900  1.151 -0.841  1.354 -0.801
1b#tos#t1#t1081062/I  -0.068 1.211  -0.018 1.391  0.031 1.247  0.081 1.039  0.081 0.809  0.081 0.580  0.130 0.359  0.130 0.130  0.130 -0.100  0.130 -0.329  0.130 -0.558  0.180 -0.738  0.203 -0.962  0.229 -1.185  0.215 -1.111  0.154 -0.891  0.093 -0.670  0.032 -0.449  -0.030 -0.228  -0.091 -0.007  -0.152 0.214  -0.213 0.435  -0.274 0.656  -0.335 0.877  -0.396 1.098  -0.516 1.261  -0.528 1.310  -0.299 1.310  -0.069 1.310  0.160 1.310  0.389 1.310  0.368 1.128  0.298 0.910  0.228 0.691  0.158 0.473  0.088 0.255  0.018 0.037  -0.053 -0.182  -0.123 -0.400  -0.193 -0.618  -0.263 -0.836  -0.333 -1.055  -0.403 -1.273  -0.463 -1.427  -0.349 -1.311  -0.120 -1.311  0.057 -1.436  0.277 -1.460  0.494 -1.410  0.724 -1.410
1b#tos#t1#t1081062/M  -0.823 -0.796  -0.905 -0.872  -1.010 -0.872  -1.051 -0.754  -1.051 -0.595  -1.089 -0.452  -1.089 -0.293  -1.089 -0.134  -1.089 0.024  -1.076 0.180  -1.051 0.333  -1.051 0.492  -1.051 0.651  -1.007 0.758  -0.899 0.689  -0.817 0.611  -0.705 0.535  -0.661 0.421  -0.545 0.372  -0.443 0.271  -0.404 0.128  -0.290 0.083  -0.151 0.041  -0.089 -0.084  -0.024 -0.194  0.014 -0.114  0.128 -0.069  0.166 0.052  0.298 0.079  0.356 0.179  0.463 0.231  0.542 0.324  0.623 0.447  0.731 0.497  0.813 0.575  0.889 0.657  0.979 0.726  1.003 0.590  1.003 0.432  1.041 0.311  1.041 0.152  1.041 -0.007  1.041 -0.166  1.041 -0.324  1.041 -0.483  1.041 -0.642  1.003 -0.792  1.041 -0.912  1.041 -1.071  1.079 -1.214
1b#tos#t1#t1081062/N  -0.630 -0.493  -0.671 -0.656  -0.798 -0.747  -0.801 -0.914  -0.844 -0.801  -0.844 -0.633  -0.863 -0.473  -0.886 -0.314  -0.886 -0.146  -0.886 0.023  -0.886 0.191  -0.886 0.359  -0.886 0.528  -0.886 0.696  -0.886 0.864  -0.886 1.033  -0.844 1.108  -0.801 0.957  -0.715 0.874  -0.631 0.791  -0.587 0.633  -0.501 0.518  -0.416 0.435  -0.320 0.363  -0.212 0.250  -0.101 0.163  0.011 0.064  0.098 -0.043  0.158 -0.156  0.320 -0.193  0.389 -0.313  0.450 -0.450  0.568 -0.500  0.654 -0.583  0.766 -0.664  0.831 -0.792  0.910 -0.881  1.039 -0.921  1.039 -0.837  1.039 -0.669  1.039 -0.500  1.039 -0.332  1.039 -0.164  1.039 0.005  1.039 0.173  0.996 0.299  0.996 0.467  1.022 0.629  1.039 0.793  1.039 0.962
1b#tos#t1#t1081062/T  -1.072 0.611  -1.116 0.530  -1.173 0.524  -1.048 0.524  -0.924 0.524  -0.799 0.524  -0.674 0.524  -0.550 0.524  -0.425 0.524  -0.313 0.564  -0.203 0.611  -0.078 0.611  0.036 0.655  0.160 0.655  0.284 0.657  0.391 0.699  0.516 0.699  0.640 0.699  0.765 0.699  0.889 0.699  0.902 0.737  0.780 0.716  0.657 0.696  0.534 0.675  0.411 0.655  0.288 0.634  0.166 0.614  0.107 0.546  0.019 0.509  0.019 0.384  0.019 0.260  0.019 0.135  0.019 0.011  0.019 -0.114  0.019 -0.238  0.019 -0.363  0.019 -0.487  0.019 -0.612  0.019 -0.736  0.053 -0.853  0.063 -0.975  0.063 -1.100  0.063 -1.224  0.063 -1.349  0.063 -1.473  0.063 -1.598  0.063 -1.722  0.063 -1.847  0.063 -1.971  0.019 -1.965
1b#tos#t1#t1081062/U  -0.713 1.154  -0.829 1.113  -0.829 0.989  -0.829 0.865  -0.829 0.740  -0.829 0.616  -0.790 0.530  -0.790 0.406  -0.790 0.281  -0.790 0.157  -0.752 0.048  -0.752 -0.076  -0.752 -0.200  -0.752 -0.325  -0.675 -0.395  -0.675 -0.519  -0.636 -0.605  -0.597 -0.691  -0.543 -0.793  -0.481 -0.869  -0.404 -0.916  -0.296 -0.932  -0.249 -1.010  -0.124 -1.010  0.000 -1.010  0.108 -0.971  0.214 -0.952  0.277 -0.873  0.360 -0.816  0.445 -0.778  0.488 -0.693  0.530 -0.584  0.562 -0.492  0.601 -0.406  0.627 -0.285  0.639 -0.162  0.678 -0.076  0.678 0.048  0.678 0.173  0.678 0.297  0.700 0.415  0.755 0.523  0.794 0.609  0.794 0.733  0.794 0.857  0.794 0.982  0.832 1.068  0.871 1.176  0.901 1.270  0.910 1.386
1b#tos#t1#t1081062/W  -1.157 0.945  -1.262 0.917  -1.227 0.860  -1.217 0.715  -1.192 0.574  -1.157 0.433  -1.125 0.290  -1.087 0.158  -1.017 0.040  -0.947 -0.078  -0.936 -0.221  -0.848 -0.337  -0.842 -0.483  -0.772 -0.601  -0.724 -0.700  -0.667 -0.750  -0.647 -0.611  -0.527 -0.548  -0.442 -0.462  -0.372 -0.360  -0.332 -0.245  -0.282 -0.148  -0.248 -0.035  -0.158 0.054  -0.122 0.175  -0.072 0.218  0.025 0.144  0.103 0.072  0.108 -0.070  0.255 -0.070  0.292 -0.189  0.358 -0.295  0.467 -0.350  0.593 -0.371  0.613 -0.510  0.733 -0.546  0.796 -0.630  0.836 -0.495  0.908 -0.391  0.938 -0.260  1.013 -0.153  1.095 -0.035  1.119 0.105  1.188 0.224  1.203 0.365  1.292 0.455  1.328 0.596  1.328 0.743  1.351 0.885  1.433 0.980
