3#apa#apa09#app0959/A  -0.373 0.861  -0.373 0.974  -0.373 0.741  -0.429 0.517  -0.503 0.296  -0.546 0.070  -0.546 -0.163  -0.546 -0.396  -0.546 -0.629  -0.597 -0.854  -0.671 -1.075  -0.720 -1.300  -0.720 -1.254  -0.720 -1.021  -0.720 -0.788  -0.720 -0.555  -0.655 -0.332  -0.581 -0.111  -0.501 0.108  -0.414 0.324  -0.328 0.540  -0.241 0.757  -0.103 0.933  0.084 1.073  0.270 1.213  0.457 1.353  0.626 1.512  0.841 1.553  0.915 1.332  0.988 1.111  1.014 0.882  1.014 0.649  0.990 0.419  0.934 0.193  0.877 -0.033  0.804 -0.253  0.700 -0.461  0.596 -0.670  0.494 -0.879  0.494 -1.112  0.494 -1.095  0.350 -0.931  0.168 -0.786  -0.014 -0.640  -0.196 -0.495  -0.379 -0.353  -0.480 -0.353  -0.247 -0.353  -0.017 -0.344  0.147 -0.180
3#apa#apa09#app0959/B  -0.445 0.883  -0.445 0.658  -0.445 0.433  -0.445 0.208  -0.445 -0.017  -0.445 -0.242  -0.445 -0.467  -0.445 -0.692  -0.449 -0.818  -0.468 -0.594  -0.487 -0.370  -0.505 -0.145  -0.524 0.079  -0.543 0.303  -0.561 0.527  -0.580 0.751  -0.591 0.976  -0.566 1.183  -0.353 1.254  -0.138 1.321  0.087 1.321  0.303 1.266  0.516 1.195  0.690 1.060  0.850 0.901  0.823 0.708  0.636 0.583  0.449 0.458  0.262 0.333  0.075 0.208  -0.134 0.154  0.052 0.154  0.275 0.126  0.495 0.082  0.716 0.038  0.917 -0.042  1.014 -0.227  1.014 -0.452  1.014 -0.677  0.983 -0.883  0.782 -0.983  0.572 -1.063  0.358 -1.134  0.145 -1.206  -0.068 -1.277  -0.286 -1.278  -0.507 -1.234  -0.728 -1.190  -0.949 -1.159  -1.029 -1.013
3#apa#apa09#app0959/C  0.705 0.956  0.705 1.059  0.722 1.089  0.768 0.997  0.814 0.905  0.860 0.814  0.947 0.789  1.029 0.789  0.926 0.789  0.823 0.789  0.721 0.789  0.618 0.789  0.515 0.789  0.412 0.789  0.309 0.789  0.207 0.789  0.120 0.734  0.035 0.677  -0.051 0.620  -0.136 0.563  -0.222 0.506  -0.306 0.447  -0.379 0.375  -0.452 0.302  -0.524 0.229  -0.597 0.157  -0.670 0.084  -0.742 0.011  -0.802 -0.067  -0.802 -0.170  -0.802 -0.272  -0.802 -0.375  -0.802 -0.478  -0.786 -0.576  -0.729 -0.661  -0.672 -0.747  -0.615 -0.832  -0.557 -0.918  -0.500 -1.003  -0.424 -1.053  -0.321 -1.053  -0.223 -1.079  -0.125 -1.111  -0.028 -1.144  0.070 -1.176  0.167 -1.209  0.261 -1.191  0.353 -1.145  0.445 -1.099  0.537 -1.053
3#apa#apa09#app0959/D  0.218 0.568  0.120 0.764  0.031 0.925  0.031 0.706  0.031 0.487  0.031 0.268  0.031 0.049  0.031 -0.170  0.031 -0.389  -0.005 -0.593  -0.157 -0.749  -0.157 -0.968  -0.173 -1.055  -0.226 -0.842  -0.279 -0.630  -0.332 -0.417  -0.386 -0.205  -0.439 0.008  -0.492 0.220  -0.545 0.433  -0.598 0.645  -0.651 0.858  -0.704 1.070  -0.564 1.131  -0.345 1.131  -0.126 1.131  0.093 1.131  0.309 1.109  0.522 1.055  0.734 1.002  0.947 0.949  1.108 0.805  1.156 0.606  1.156 0.387  1.156 0.168  1.112 -0.030  0.941 -0.167  0.770 -0.303  0.599 -0.440  0.428 -0.577  0.257 -0.714  0.099 -0.865  -0.056 -1.019  -0.234 -1.120  -0.453 -1.120  -0.672 -1.120  -0.891 -1.120  -1.105 -1.109  -1.260 -0.955  -1.095 -0.932
3#apa#apa09#app0959/E  -0.261 0.205  -0.261 -0.047  -0.321 -0.290  -0.400 -0.529  -0.420 -0.778  -0.420 -1.030  -0.518 -0.866  -0.578 -0.628  -0.578 -0.376  -0.578 -0.124  -0.578 0.128  -0.578 0.380  -0.578 0.632  -0.535 0.853  -0.296 0.933  -0.056 1.012  0.183 1.092  0.409 1.192  0.611 1.314  0.863 1.314  1.115 1.314  1.368 1.314  1.384 1.216  1.188 1.057  0.984 0.909  0.781 0.761  0.577 0.613  0.373 0.464  0.169 0.316  -0.035 0.168  -0.239 0.019  -0.391 -0.112  -0.139 -0.112  0.113 -0.112  0.365 -0.112  0.457 -0.157  0.241 -0.286  0.024 -0.416  -0.192 -0.546  -0.408 -0.675  -0.624 -0.805  -0.840 -0.935  -1.050 -1.063  -0.798 -1.063  -0.546 -1.063  -0.294 -1.063  -0.041 -1.063  0.211 -1.063  0.450 -0.984  0.689 -0.904
3#apa#apa09#app0959/F  -0.491 -0.182  -0.491 0.034  -0.491 0.169  -0.476 -0.046  -0.424 -0.256  -0.371 -0.466  -0.319 -0.675  -0.295 -0.889  -0.295 -1.105  -0.295 -1.322  -0.295 -1.538  -0.491 -1.547  -0.491 -1.331  -0.491 -1.114  -0.491 -0.898  -0.491 -0.682  -0.491 -0.465  -0.491 -0.249  -0.491 -0.033  -0.491 0.184  -0.491 0.400  -0.342 0.555  -0.189 0.708  -0.036 0.861  0.123 1.006  0.316 1.103  0.512 1.189  0.728 1.189  0.945 1.189  1.161 1.189  1.377 1.189  1.468 1.063  1.468 0.846  1.321 0.717  1.131 0.614  0.941 0.510  0.751 0.406  0.561 0.303  0.371 0.199  0.181 0.096  -0.009 -0.008  -0.199 -0.112  -0.389 -0.215  -0.579 -0.319  -0.780 -0.378  -0.769 -0.378  -0.552 -0.378  -0.336 -0.378  -0.120 -0.378  0.097 -0.378
3#apa#apa09#app0959/G  1.093 1.311  0.983 1.421  0.866 1.511  0.711 1.511  0.556 1.511  0.416 1.459  0.287 1.373  0.158 1.287  0.029 1.201  -0.099 1.115  -0.171 0.979  -0.241 0.840  -0.310 0.702  -0.379 0.563  -0.449 0.424  -0.518 0.286  -0.587 0.147  -0.657 0.008  -0.704 -0.135  -0.704 -0.290  -0.704 -0.445  -0.704 -0.600  -0.704 -0.755  -0.683 -0.897  -0.544 -0.966  -0.405 -1.035  -0.275 -1.116  -0.165 -1.226  -0.056 -1.236  0.054 -1.126  0.094 -0.988  0.071 -0.838  0.001 -0.700  -0.068 -0.561  -0.177 -0.486  -0.305 -0.460  -0.305 -0.305  -0.442 -0.287  -0.412 -0.287  -0.257 -0.287  -0.102 -0.287  0.053 -0.287  0.208 -0.287  0.363 -0.287  0.518 -0.287  0.673 -0.287  0.828 -0.287  0.983 -0.287  1.093 -0.242  1.093 -0.087
3#apa#apa09#app0959/H  -0.062 1.203  -0.219 1.361  -0.257 1.229  -0.296 1.010  -0.339 0.791  -0.383 0.573  -0.427 0.354  -0.475 0.136  -0.529 -0.080  -0.583 -0.296  -0.637 -0.512  -0.648 -0.734  -0.653 -0.956  -0.752 -1.155  -0.843 -1.318  -0.864 -1.100  -0.964 -0.900  -0.999 -0.711  -0.841 -0.556  -0.618 -0.556  -0.395 -0.556  -0.172 -0.556  0.051 -0.556  0.233 -0.456  0.391 -0.422  0.528 -0.522  0.553 -0.301  0.578 -0.079  0.602 0.143  0.627 0.364  0.652 0.586  0.676 0.807  0.701 1.029  0.699 1.246  0.599 1.445  0.525 1.538  0.525 1.315  0.525 1.092  0.525 0.869  0.525 0.646  0.463 0.433  0.393 0.221  0.325 0.009  0.281 -0.210  0.237 -0.428  0.194 -0.647  0.150 -0.865  0.134 -1.087  0.134 -1.310  0.134 -1.533
3#apa#apa09#app0959/I  0.482 1.010  0.428 1.064  0.375 1.117  0.321 1.171  0.285 1.231  0.285 1.307  0.285 1.382  0.285 1.350  0.285 1.274  0.283 1.199  0.265 1.125  0.246 1.052  0.228 0.979  0.210 0.906  0.191 0.832  0.173 0.759  0.155 0.686  0.136 0.612  0.118 0.539  0.100 0.466  0.081 0.392  0.063 0.319  0.045 0.246  0.026 0.172  0.008 0.099  -0.010 0.026  -0.029 -0.048  -0.047 -0.121  -0.065 -0.194  -0.084 -0.268  -0.102 -0.341  -0.124 -0.413  -0.148 -0.485  -0.172 -0.557  -0.196 -0.628  -0.220 -0.700  -0.243 -0.772  -0.267 -0.843  -0.291 -0.915  -0.305 -0.988  -0.305 -1.064  -0.305 -1.140  -0.305 -1.215  -0.305 -1.291  -0.305 -1.366  -0.305 -1.442  -0.305 -1.517  -0.305 -1.593  -0.305 -1.669  -0.305 -1.744
3#apa#apa09#app0959/J  0.217 0.201  0.219 0.356  0.294 0.207  0.369 0.058  0.459 -0.083  0.552 -0.222  0.645 -0.361  0.747 -0.491  0.859 -0.611  0.784 -0.760  0.709 -0.909  0.596 -1.031  0.478 -1.149  0.353 -1.250  0.186 -1.250  0.018 -1.250  -0.136 -1.219  -0.254 -1.101  -0.333 -0.955  -0.408 -0.806  -0.428 -0.643  -0.299 -0.605  -0.348 -0.497  -0.448 -0.364  -0.548 -0.230  -0.648 -0.096  -0.748 0.037  -0.849 0.171  -0.949 0.305  -1.049 0.438  -1.149 0.572  -1.233 0.711  -1.210 0.822  -1.092 0.704  -0.933 0.684  -0.766 0.684  -0.599 0.684  -0.432 0.684  -0.265 0.684  -0.098 0.684  0.069 0.684  0.236 0.684  0.403 0.684  0.570 0.684  0.737 0.684  0.904 0.684  1.071 0.684  1.222 0.723  1.340 0.841  1.183 0.845
3#apa#apa09#app0959/K  -0.814 0.699  -0.944 0.829  -0.955 0.766  -0.897 0.591  -0.839 0.416  -0.814 0.236  -0.814 0.052  -0.814 -0.132  -0.814 -0.316  -0.814 -0.501  -0.814 -0.685  -0.814 -0.869  -0.814 -1.053  -0.814 -1.237  -0.723 -1.120  -0.621 -0.967  -0.519 -0.814  -0.405 -0.670  -0.275 -0.540  -0.145 -0.410  -0.047 -0.256  0.035 -0.091  0.118 0.074  0.200 0.238  0.293 0.397  0.403 0.544  0.514 0.691  0.624 0.839  0.735 0.986  0.786 1.153  0.860 1.307  0.964 1.372  0.938 1.196  0.831 1.046  0.724 0.896  0.617 0.746  0.510 0.597  0.403 0.447  0.296 0.297  0.189 0.147  0.082 -0.003  0.075 -0.185  0.174 -0.339  0.276 -0.492  0.378 -0.645  0.471 -0.804  0.553 -0.969  0.669 -1.079  0.833 -1.127  0.964 -1.257
