2#app#app08#app0897/w  -1.221 0.758  -1.221 0.639  -1.221 0.519  -1.207 0.403  -1.153 0.296  -1.139 0.180  -1.108 0.073  -1.057 -0.026  -1.056 -0.145  -1.002 -0.252  -0.976 -0.365  -0.906 -0.456  -0.894 -0.571  -0.853 -0.673  -0.756 -0.741  -0.649 -0.795  -0.530 -0.795  -0.410 -0.795  -0.324 -0.716  -0.239 -0.631  -0.132 -0.578  -0.076 -0.493  -0.034 -0.383  0.038 -0.305  0.087 -0.235  0.087 -0.115  0.087 0.004  0.087 -0.079  0.087 -0.199  0.101 -0.305  0.221 -0.305  0.340 -0.305  0.460 -0.305  0.571 -0.267  0.674 -0.209  0.763 -0.130  0.870 -0.077  0.962 -0.003  1.024 0.098  1.068 0.207  1.095 0.320  1.148 0.427  1.150 0.547  1.150 0.666  1.150 0.786  1.121 0.898  1.067 1.005  0.987 1.091  0.943 1.167  0.823 1.167
2#app#app08#app0897/a  0.409 1.350  0.248 1.350  0.086 1.350  -0.067 1.330  -0.182 1.215  -0.296 1.101  -0.411 0.986  -0.525 0.872  -0.639 0.757  -0.655 0.602  -0.655 0.440  -0.768 0.325  -0.854 0.191  -0.927 0.046  -0.959 -0.108  -0.959 -0.270  -0.959 -0.432  -0.959 -0.594  -0.959 -0.755  -0.959 -0.917  -0.825 -0.996  -0.680 -1.069  -0.522 -1.082  -0.402 -0.981  -0.287 -0.866  -0.173 -0.752  -0.058 -0.638  0.056 -0.523  0.105 -0.382  0.177 -0.250  0.257 -0.121  0.257 0.041  0.306 0.182  0.409 0.301  0.409 0.463  0.409 0.625  0.409 0.698  0.409 0.536  0.409 0.374  0.462 0.234  0.571 0.116  0.643 -0.029  0.716 -0.173  0.831 -0.287  0.945 -0.402  1.044 -0.527  1.117 -0.672  1.200 -0.808  1.315 -0.923  1.474 -0.930
2#app#app08#app0897/r  -0.612 0.530  -0.612 0.397  -0.559 0.276  -0.499 0.158  -0.466 0.033  -0.466 -0.100  -0.444 -0.225  -0.350 -0.319  -0.319 -0.439  -0.319 -0.572  -0.276 -0.687  -0.182 -0.781  -0.172 -0.910  -0.097 -1.012  -0.026 -1.115  -0.026 -1.248  -0.026 -1.381  -0.026 -1.514  -0.026 -1.400  -0.026 -1.267  -0.069 -1.144  -0.128 -1.025  -0.172 -0.902  -0.187 -0.775  -0.281 -0.681  -0.319 -0.564  -0.319 -0.431  -0.319 -0.298  -0.319 -0.165  -0.319 -0.032  -0.314 0.099  -0.255 0.218  -0.195 0.337  -0.172 0.465  -0.104 0.530  -0.026 0.584  0.003 0.705  0.097 0.799  0.121 0.922  0.206 0.970  0.318 1.021  0.412 1.115  0.545 1.116  0.665 1.169  0.784 1.228  0.909 1.263  1.042 1.263  1.175 1.263  1.308 1.263  1.441 1.263
2#app#app08#app0897/t  -0.317 2.098  -0.317 1.921  -0.317 1.744  -0.317 1.567  -0.317 1.391  -0.317 1.214  -0.317 1.037  -0.317 0.861  -0.261 0.693  -0.206 0.526  -0.163 0.356  -0.163 0.179  -0.103 0.027  -0.008 -0.110  0.038 -0.268  0.147 -0.400  0.178 -0.563  0.301 -0.689  0.319 -0.858  0.444 -0.983  0.460 -1.153  0.584 -1.278  0.611 -1.444  0.490 -1.351  0.359 -1.233  0.228 -1.114  0.096 -0.996  -0.035 -0.878  -0.166 -0.760  -0.298 -0.642  -0.429 -0.523  -0.560 -0.405  -0.692 -0.287  -0.823 -0.169  -0.936 -0.092  -0.902 -0.189  -0.776 -0.067  -0.599 -0.067  -0.437 -0.033  -0.310 0.087  -0.136 0.100  0.022 0.179  0.183 0.242  0.360 0.242  0.537 0.242  0.703 0.288  0.861 0.367  1.030 0.397  1.207 0.397  1.384 0.397
2#app#app08#app0897/y  -0.898 1.189  -0.898 1.056  -0.898 0.922  -0.898 0.788  -0.898 0.654  -0.898 0.520  -0.838 0.411  -0.744 0.317  -0.659 0.218  -0.611 0.104  -0.570 -0.008  -0.437 -0.008  -0.303 -0.008  -0.169 -0.008  -0.054 0.038  0.018 0.149  0.082 0.266  0.157 0.377  0.234 0.486  0.299 0.593  0.299 0.726  0.299 0.860  0.299 0.994  0.299 1.128  0.227 1.189  0.219 1.063  0.219 0.929  0.219 0.796  0.219 0.662  0.219 0.528  0.219 0.394  0.219 0.260  0.219 0.127  0.219 -0.007  0.219 -0.141  0.219 -0.275  0.220 -0.408  0.262 -0.535  0.299 -0.663  0.299 -0.797  0.299 -0.931  0.308 -1.063  0.367 -1.182  0.379 -1.313  0.379 -1.447  0.379 -1.581  0.401 -1.706  0.459 -1.815  0.484 -1.923  0.618 -1.923
2#app#app08#app0897/h  -0.701 1.687  -0.807 1.776  -0.807 1.607  -0.743 1.453  -0.701 1.294  -0.701 1.126  -0.701 0.957  -0.632 0.804  -0.594 0.644  -0.581 0.478  -0.528 0.318  -0.488 0.155  -0.488 -0.013  -0.413 -0.165  -0.381 -0.326  -0.344 -0.479  -0.275 -0.619  -0.256 -0.780  -0.168 -0.913  -0.168 -1.082  -0.140 -1.244  -0.065 -1.395  -0.062 -1.239  -0.062 -1.070  -0.062 -0.901  -0.062 -0.733  -0.062 -0.564  -0.024 -0.400  0.017 -0.236  0.045 -0.070  0.045 0.098  0.045 0.267  0.045 0.436  0.045 0.605  0.076 0.760  0.214 0.835  0.314 0.724  0.404 0.583  0.471 0.442  0.567 0.313  0.646 0.165  0.684 0.005  0.788 -0.121  0.790 -0.289  0.801 -0.453  0.897 -0.582  0.939 -0.741  1.003 -0.894  1.066 -1.037  1.110 -1.188
2#app#app08#app0897/u  -0.746 1.333  -0.880 1.333  -0.891 1.211  -0.891 1.077  -0.891 0.944  -0.891 0.810  -0.891 0.677  -0.891 0.543  -0.891 0.410  -0.891 0.277  -0.891 0.143  -0.891 0.010  -0.884 -0.121  -0.790 -0.215  -0.746 -0.331  -0.746 -0.464  -0.746 -0.598  -0.746 -0.731  -0.727 -0.856  -0.633 -0.951  -0.512 -0.982  -0.379 -0.982  -0.252 -0.951  -0.133 -0.892  -0.023 -0.826  -0.023 -0.693  0.071 -0.598  0.165 -0.504  0.260 -0.410  0.354 -0.315  0.448 -0.221  0.543 -0.127  0.555 0.002  0.629 0.105  0.715 0.205  0.774 0.324  0.834 0.444  0.845 0.575  0.845 0.708  0.845 0.667  0.845 0.533  0.891 0.419  0.985 0.325  0.989 0.193  0.989 0.060  0.989 -0.074  0.989 -0.207  1.048 -0.317  1.134 -0.414  1.134 -0.548
2#app#app08#app0897/m  -1.163 0.430  -1.120 0.279  -1.054 0.138  -1.054 -0.030  -0.993 -0.174  -0.945 -0.322  -0.945 -0.491  -0.945 -0.660  -0.901 -0.810  -0.837 -0.952  -0.837 -0.845  -0.837 -0.677  -0.837 -0.508  -0.837 -0.340  -0.837 -0.171  -0.837 -0.002  -0.837 0.166  -0.837 0.335  -0.764 0.430  -0.711 0.556  -0.580 0.648  -0.412 0.648  -0.258 0.612  -0.184 0.474  -0.096 0.342  0.023 0.223  0.142 0.104  0.185 -0.047  0.284 -0.181  0.359 -0.331  0.359 -0.500  0.359 -0.427  0.359 -0.259  0.359 -0.090  0.396 0.070  0.468 0.221  0.468 0.390  0.559 0.521  0.611 0.648  0.769 0.606  0.903 0.520  0.959 0.374  1.096 0.280  1.243 0.199  1.362 0.080  1.481 -0.039  1.601 -0.159  1.664 -0.301  1.762 -0.429  1.881 -0.548
2#app#app08#app0897/a  0.426 1.135  0.381 1.279  0.192 1.279  0.043 1.182  -0.126 1.135  -0.266 1.017  -0.399 0.883  -0.533 0.750  -0.634 0.593  -0.718 0.424  -0.749 0.247  -0.864 0.106  -0.864 -0.083  -0.946 -0.237  -1.008 -0.401  -1.008 -0.590  -1.008 -0.778  -1.008 -0.967  -0.867 -1.015  -0.822 -1.159  -0.633 -1.159  -0.577 -1.025  -0.409 -0.990  -0.275 -0.857  -0.143 -0.722  -0.038 -0.565  0.066 -0.408  0.180 -0.258  0.283 -0.112  0.283 0.077  0.377 0.226  0.426 0.395  0.426 0.584  0.426 0.772  0.426 0.961  0.426 1.121  0.426 0.932  0.426 0.743  0.426 0.554  0.426 0.365  0.426 0.177  0.491 0.003  0.570 -0.167  0.610 -0.339  0.713 -0.485  0.753 -0.665  0.837 -0.834  0.987 -0.937  1.153 -1.025  1.287 -1.159
2#app#app08#app0897/n  -0.901 0.579  -0.901 0.439  -0.901 0.299  -0.901 0.160  -0.901 0.020  -0.901 -0.120  -0.901 -0.259  -0.890 -0.394  -0.792 -0.493  -0.764 -0.621  -0.764 -0.761  -0.764 -0.901  -0.764 -1.040  -0.655 -1.071  -0.548 -0.993  -0.489 -0.877  -0.489 -0.738  -0.489 -0.598  -0.489 -0.458  -0.443 -0.338  -0.351 -0.236  -0.351 -0.096  -0.351 0.043  -0.346 0.182  -0.302 0.314  -0.258 0.447  -0.214 0.579  -0.212 0.718  -0.113 0.817  -0.076 0.941  0.014 0.991  0.153 0.991  0.293 0.991  0.336 0.894  0.435 0.853  0.519 0.763  0.581 0.638  0.662 0.527  0.761 0.428  0.860 0.329  0.932 0.211  0.994 0.086  1.076 -0.024  1.175 -0.123  1.274 -0.222  1.298 -0.351  1.374 -0.460  1.436 -0.574  1.474 -0.697  1.573 -0.796
2#app#app08#app0897/o  -0.107 1.104  -0.107 0.951  -0.259 0.950  -0.368 0.843  -0.454 0.719  -0.522 0.582  -0.570 0.440  -0.602 0.301  -0.710 0.192  -0.724 0.045  -0.724 -0.108  -0.724 -0.261  -0.724 -0.414  -0.724 -0.567  -0.724 -0.720  -0.668 -0.860  -0.599 -0.997  -0.508 -1.117  -0.394 -1.210  -0.241 -1.210  -0.088 -1.210  0.065 -1.210  0.218 -1.210  0.367 -1.199  0.475 -1.091  0.613 -1.056  0.737 -0.983  0.819 -0.864  0.819 -0.711  0.819 -0.558  0.819 -0.405  0.819 -0.252  0.819 -0.099  0.819 0.054  0.819 0.207  0.806 0.357  0.738 0.494  0.669 0.631  0.664 0.783  0.565 0.895  0.435 0.950  0.282 0.950  0.129 0.950  -0.024 0.950  -0.177 0.950  -0.330 0.950  -0.416 0.882  -0.482 0.795  -0.616 0.749  -0.724 0.641
