1c#apa#apa03#app0358/g  0.149 0.823  0.262 0.886  0.262 1.062  0.186 1.162  0.017 1.144  -0.120 1.049  -0.191 0.944  -0.343 0.897  -0.468 0.773  -0.530 0.622  -0.643 0.559  -0.643 0.383  -0.757 0.254  -0.690 0.144  -0.514 0.144  -0.337 0.144  -0.161 0.144  0.015 0.144  0.146 0.254  0.274 0.370  0.375 0.445  0.488 0.509  0.576 0.597  0.639 0.710  0.714 0.811  0.714 0.885  0.601 0.822  0.601 0.646  0.587 0.484  0.488 0.407  0.488 0.230  0.488 0.054  0.488 -0.122  0.488 -0.298  0.375 -0.428  0.375 -0.604  0.375 -0.780  0.375 -0.956  0.343 -1.101  0.262 -1.196  0.149 -1.259  0.041 -1.327  -0.136 -1.327  -0.312 -1.327  -0.488 -1.327  -0.664 -1.327  -0.841 -1.327  -1.017 -1.327  -1.165 -1.258  -1.322 -1.214
1c#apb#apb06#app0607/g  0.588 0.671  0.630 0.811  0.497 0.843  0.346 0.826  0.199 0.783  0.054 0.733  -0.082 0.662  -0.218 0.591  -0.333 0.490  -0.442 0.384  -0.511 0.249  -0.444 0.142  -0.301 0.104  -0.148 0.105  -0.001 0.151  0.142 0.204  0.279 0.273  0.405 0.360  0.496 0.482  0.550 0.625  0.573 0.775  0.640 0.856  0.641 0.872  0.631 0.895  0.641 0.908  0.640 0.974  0.582 0.880  0.527 0.737  0.462 0.598  0.396 0.460  0.323 0.325  0.250 0.191  0.182 0.053  0.116 -0.085  0.050 -0.223  -0.012 -0.363  -0.075 -0.503  -0.129 -0.646  -0.179 -0.791  -0.229 -0.936  -0.286 -1.078  -0.345 -1.220  -0.435 -1.344  -0.534 -1.459  -0.657 -1.550  -0.798 -1.597  -0.951 -1.608  -1.104 -1.597  -1.249 -1.548  -1.378 -1.466
1c#apb#apb06#app0607/g  0.494 0.985  0.408 0.947  0.292 0.890  0.177 0.831  0.068 0.763  -0.042 0.695  -0.132 0.604  -0.218 0.508  -0.262 0.398  -0.183 0.310  -0.066 0.265  0.063 0.265  0.192 0.268  0.319 0.289  0.446 0.310  0.563 0.365  0.679 0.420  0.781 0.499  0.876 0.584  0.921 0.705  0.929 0.830  0.867 0.920  0.748 0.912  0.636 0.850  0.557 0.748  0.478 0.646  0.402 0.541  0.328 0.436  0.254 0.330  0.186 0.221  0.125 0.107  0.065 -0.007  0.005 -0.121  -0.055 -0.235  -0.116 -0.349  -0.176 -0.463  -0.237 -0.576  -0.300 -0.688  -0.364 -0.801  -0.427 -0.913  -0.496 -1.022  -0.564 -1.132  -0.646 -1.230  -0.737 -1.321  -0.840 -1.398  -0.951 -1.462  -1.079 -1.478  -1.205 -1.464  -1.326 -1.424  -1.438 -1.359
1c#apb#apb09#app0910/g  0.358 0.603  0.418 0.722  0.443 0.852  0.424 0.980  0.361 1.098  0.255 1.179  0.137 1.241  0.013 1.263  -0.115 1.227  -0.233 1.163  -0.312 1.058  -0.377 0.943  -0.393 0.810  -0.375 0.681  -0.336 0.553  -0.255 0.451  -0.157 0.361  -0.035 0.306  0.092 0.270  0.224 0.267  0.346 0.322  0.429 0.427  0.485 0.548  0.489 0.678  0.379 0.630  0.333 0.504  0.319 0.372  0.312 0.239  0.319 0.105  0.343 -0.026  0.374 -0.156  0.403 -0.286  0.431 -0.417  0.431 -0.551  0.421 -0.683  0.391 -0.813  0.319 -0.922  0.232 -1.023  0.120 -1.096  0.006 -1.166  -0.124 -1.196  -0.254 -1.225  -0.386 -1.247  -0.519 -1.260  -0.652 -1.273  -0.785 -1.284  -0.918 -1.295  -1.052 -1.305  -1.185 -1.314  -1.144 -1.314
3#apa#apa04#app0433/g  0.132 0.981  0.126 1.094  0.006 1.094  -0.113 1.094  -0.232 1.094  -0.352 1.094  -0.471 1.094  -0.578 1.064  -0.662 0.979  -0.746 0.895  -0.774 0.787  -0.774 0.668  -0.681 0.641  -0.562 0.641  -0.547 0.536  -0.436 0.528  -0.318 0.531  -0.234 0.615  -0.125 0.641  -0.006 0.641  0.086 0.708  0.186 0.754  0.245 0.694  0.245 0.575  0.296 0.477  0.358 0.383  0.358 0.264  0.358 0.145  0.374 0.028  0.412 -0.085  0.449 -0.198  0.471 -0.314  0.471 -0.433  0.471 -0.553  0.471 -0.672  0.471 -0.791  0.471 -0.911  0.471 -1.030  0.471 -1.149  0.471 -1.268  0.366 -1.283  0.358 -1.394  0.241 -1.396  0.122 -1.396  0.002 -1.396  -0.117 -1.396  -0.208 -1.367  -0.242 -1.283  -0.350 -1.254  -0.434 -1.169
1c#app#app18#app1895/g  -0.524 1.203  -0.556 1.264  -0.588 1.326  -0.681 1.326  -0.713 1.264  -0.770 1.228  -0.770 1.134  -0.770 1.041  -0.702 1.012  -0.631 0.957  -0.585 0.909  -0.511 0.882  -0.438 0.834  -0.361 0.794  -0.276 0.772  -0.193 0.730  -0.119 0.675  -0.053 0.609  0.013 0.543  0.079 0.477  0.145 0.411  0.162 0.322  0.204 0.239  0.264 0.169  0.310 0.088  0.348 0.003  0.377 -0.086  0.410 -0.173  0.452 -0.257  0.460 -0.348  0.480 -0.437  0.522 -0.521  0.522 -0.614  0.523 -0.707  0.565 -0.791  0.583 -0.880  0.583 -0.973  0.583 -1.067  0.522 -1.135  0.499 -1.218  0.421 -1.257  0.328 -1.257  0.234 -1.257  0.162 -1.205  0.081 -1.160  0.004 -1.109  -0.062 -1.043  -0.128 -0.977  -0.194 -0.911  -0.216 -0.826
3#app#app13#app1396/g  -0.233 1.009  -0.329 1.009  -0.421 0.998  -0.489 0.930  -0.557 0.862  -0.641 0.832  -0.738 0.832  -0.834 0.832  -0.930 0.832  -0.941 0.747  -0.937 0.655  -0.840 0.655  -0.744 0.655  -0.648 0.655  -0.551 0.655  -0.455 0.655  -0.359 0.655  -0.263 0.655  -0.166 0.655  -0.070 0.655  0.026 0.655  0.122 0.654  0.190 0.586  0.258 0.518  0.298 0.438  0.298 0.342  0.298 0.245  0.298 0.149  0.349 0.074  0.417 0.006  0.475 -0.067  0.475 -0.163  0.475 -0.259  0.475 -0.356  0.475 -0.452  0.475 -0.548  0.475 -0.644  0.475 -0.741  0.475 -0.837  0.475 -0.933  0.475 -1.030  0.475 -1.126  0.475 -1.222  0.475 -1.319  0.475 -1.415  0.445 -1.499  0.377 -1.567  0.309 -1.635  0.217 -1.646  0.121 -1.646
1c#apa#apa09#app0950/g  0.360 1.002  0.263 1.099  0.202 1.222  0.106 1.290  -0.001 1.217  -0.098 1.120  -0.215 1.050  -0.312 0.973  -0.242 0.906  -0.106 0.913  0.017 0.974  0.140 1.036  0.263 1.097  0.378 1.062  0.439 0.939  0.501 0.816  0.555 0.691  0.572 0.555  0.589 0.419  0.606 0.282  0.623 0.146  0.640 0.009  0.636 -0.127  0.614 -0.262  0.591 -0.398  0.568 -0.533  0.552 -0.669  0.552 -0.807  0.467 -0.909  0.369 -1.006  0.272 -1.103  0.175 -1.200  0.043 -1.232  -0.092 -1.259  -0.227 -1.286  -0.348 -1.268  -0.445 -1.171  -0.542 -1.074  -0.639 -0.977  -0.736 -0.879  -0.834 -0.782  -0.889 -0.668  -0.889 -0.530  -0.889 -0.393  -0.849 -0.265  -0.784 -0.146  -0.666 -0.075  -0.548 -0.004  -0.430 0.067  -0.312 0.137
2#lav#lav2#mp_0005/g  0.531 0.829  0.521 1.025  0.503 1.220  0.437 1.389  0.282 1.502  0.090 1.455  -0.063 1.332  -0.196 1.187  -0.303 1.021  -0.397 0.848  -0.484 0.671  -0.563 0.490  -0.606 0.300  -0.546 0.128  -0.376 0.065  -0.180 0.088  0.004 0.148  0.159 0.268  0.282 0.421  0.331 0.606  0.339 0.803  0.368 0.998  0.374 0.867  0.384 0.670  0.402 0.474  0.408 0.277  0.405 0.080  0.398 -0.118  0.371 -0.312  0.335 -0.507  0.293 -0.699  0.249 -0.892  0.182 -1.077  0.109 -1.260  0.032 -1.442  -0.060 -1.614  -0.182 -1.769  -0.337 -1.800  -0.443 -1.637  -0.479 -1.446  -0.479 -1.249  -0.483 -1.052  -0.488 -0.854  -0.463 -0.661  -0.412 -0.470  -0.334 -0.291  -0.232 -0.122  -0.082 0.003  0.099 0.063  0.295 0.043
2#lav#lav2#mp_0005/g  0.430 0.781  0.550 0.878  0.603 1.037  0.645 1.200  0.586 1.337  0.419 1.343  0.252 1.340  0.090 1.298  -0.058 1.220  -0.168 1.092  -0.290 0.976  -0.408 0.855  -0.503 0.720  -0.504 0.554  -0.445 0.395  -0.304 0.306  -0.139 0.325  0.025 0.366  0.185 0.417  0.302 0.539  0.345 0.695  0.314 0.861  0.333 0.725  0.356 0.557  0.358 0.389  0.358 0.220  0.358 0.051  0.340 -0.117  0.315 -0.284  0.266 -0.445  0.218 -0.607  0.166 -0.768  0.115 -0.929  0.040 -1.080  -0.038 -1.230  -0.119 -1.378  -0.203 -1.524  -0.312 -1.646  -0.463 -1.690  -0.560 -1.551  -0.621 -1.402  -0.612 -1.234  -0.574 -1.069  -0.526 -0.908  -0.461 -0.752  -0.366 -0.613  -0.257 -0.484  -0.140 -0.362  -0.004 -0.264  0.107 -0.139
2#lav#lav2#mp_0005/g  0.613 0.922  0.643 1.095  0.648 1.270  0.582 1.429  0.412 1.447  0.265 1.364  0.141 1.241  0.024 1.110  -0.083 0.971  -0.182 0.826  -0.275 0.677  -0.385 0.541  -0.453 0.385  -0.329 0.318  -0.160 0.338  -0.005 0.421  0.148 0.507  0.265 0.638  0.367 0.780  0.459 0.929  0.532 0.898  0.539 0.722  0.515 0.550  0.473 0.380  0.438 0.208  0.395 0.038  0.336 -0.128  0.276 -0.293  0.214 -0.457  0.153 -0.621  0.090 -0.786  0.028 -0.950  -0.062 -1.100  -0.154 -1.250  -0.240 -1.403  -0.338 -1.548  -0.458 -1.669  -0.585 -1.584  -0.661 -1.426  -0.714 -1.261  -0.720 -1.086  -0.712 -0.911  -0.685 -0.738  -0.633 -0.571  -0.537 -0.432  -0.386 -0.359  -0.211 -0.365  -0.035 -0.356  0.138 -0.378  0.308 -0.332
