3#app#app07#app0721/p  0.078 0.767  0.078 0.743  -0.010 0.579  -0.010 0.380  -0.010 0.180  -0.010 -0.019  -0.097 -0.198  -0.103 -0.397  -0.151 -0.591  -0.228 -0.768  -0.273 -0.949  -0.273 -1.149  -0.316 -1.338  -0.360 -1.527  -0.360 -1.727  -0.355 -1.804  -0.339 -1.605  -0.322 -1.406  -0.306 -1.208  -0.289 -1.009  -0.272 -0.810  -0.256 -0.611  -0.239 -0.412  -0.223 -0.213  -0.206 -0.014  -0.190 0.184  -0.273 0.348  -0.273 0.547  -0.273 0.747  -0.360 0.910  -0.360 1.109  -0.345 1.293  -0.244 1.409  -0.069 1.469  0.130 1.469  0.330 1.469  0.429 1.317  0.586 1.215  0.633 1.031  0.702 0.845  0.780 0.678  0.780 0.478  0.745 0.293  0.666 0.126  0.605 -0.048  0.504 -0.198  0.341 -0.286  0.178 -0.374  0.015 -0.461  -0.185 -0.461
3#app#app07#app0721/l  -0.959 -1.205  -0.878 -1.134  -0.754 -1.081  -0.647 -0.974  -0.539 -0.867  -0.432 -0.760  -0.325 -0.652  -0.193 -0.579  -0.103 -0.466  -0.035 -0.330  0.044 -0.203  0.130 -0.080  0.198 0.055  0.271 0.187  0.363 0.305  0.439 0.435  0.529 0.555  0.580 0.695  0.588 0.845  0.636 0.989  0.661 1.136  0.661 1.288  0.661 1.440  0.569 1.547  0.418 1.547  0.316 1.435  0.232 1.309  0.148 1.183  0.064 1.057  -0.030 0.938  -0.137 0.831  -0.209 0.698  -0.263 0.557  -0.311 0.413  -0.311 0.262  -0.356 0.117  -0.392 -0.029  -0.392 -0.180  -0.392 -0.332  -0.392 -0.483  -0.392 -0.635  -0.345 -0.779  -0.280 -0.912  -0.173 -1.020  -0.064 -1.124  0.066 -1.177  0.206 -1.205  0.357 -1.205  0.509 -1.205  0.661 -1.205
3#app#app07#app0721/e  -0.159 -0.032  -0.143 0.087  -0.018 0.109  0.076 0.203  0.171 0.298  0.295 0.323  0.395 0.404  0.490 0.499  0.598 0.560  0.669 0.623  0.748 0.678  0.787 0.773  0.787 0.907  0.781 1.038  0.687 1.133  0.560 1.151  0.426 1.151  0.292 1.151  0.158 1.151  0.040 1.113  -0.055 1.018  -0.149 0.924  -0.244 0.829  -0.316 0.718  -0.376 0.598  -0.436 0.478  -0.496 0.359  -0.580 0.256  -0.659 0.150  -0.719 0.031  -0.750 -0.096  -0.750 -0.230  -0.750 -0.364  -0.750 -0.498  -0.750 -0.632  -0.733 -0.758  -0.638 -0.853  -0.626 -0.981  -0.506 -1.041  -0.388 -1.103  -0.293 -1.198  -0.166 -1.214  -0.032 -1.214  0.102 -1.214  0.236 -1.214  0.370 -1.214  0.503 -1.214  0.637 -1.214  0.771 -1.214  0.905 -1.214
3#app#app07#app0721/a  0.522 1.476  0.342 1.468  0.329 1.288  0.173 1.184  0.017 1.080  -0.139 0.976  -0.249 0.831  -0.333 0.664  -0.441 0.513  -0.574 0.381  -0.707 0.248  -0.839 0.116  -0.950 -0.032  -1.034 -0.200  -1.093 -0.374  -1.093 -0.561  -1.093 -0.749  -1.012 -0.856  -0.825 -0.856  -0.666 -0.787  -0.524 -0.676  -0.375 -0.637  -0.342 -0.464  -0.209 -0.331  -0.077 -0.199  -0.017 -0.036  0.061 0.119  0.163 0.265  0.200 0.437  0.332 0.570  0.342 0.753  0.342 0.941  0.342 1.107  0.342 0.920  0.342 0.732  0.342 0.545  0.342 0.357  0.342 0.170  0.342 -0.018  0.342 -0.206  0.342 -0.393  0.342 -0.581  0.407 -0.741  0.540 -0.874  0.672 -1.006  0.701 -1.182  0.856 -1.215  0.880 -1.378  1.052 -1.394  1.239 -1.394
3#app#app07#app0721/s  0.788 1.375  0.788 1.275  0.730 1.233  0.630 1.233  0.530 1.233  0.430 1.233  0.339 1.212  0.269 1.141  0.190 1.090  0.090 1.090  0.015 1.030  -0.056 0.959  -0.151 0.948  -0.239 0.918  -0.310 0.847  -0.380 0.777  -0.451 0.706  -0.495 0.624  -0.495 0.524  -0.495 0.424  -0.495 0.324  -0.487 0.227  -0.416 0.157  -0.345 0.086  -0.275 0.015  -0.204 -0.055  -0.133 -0.126  -0.063 -0.197  0.008 -0.267  0.075 -0.339  0.075 -0.439  0.137 -0.477  0.232 -0.491  0.302 -0.562  0.360 -0.638  0.360 -0.738  0.360 -0.838  0.360 -0.938  0.360 -1.038  0.280 -1.088  0.190 -1.132  0.101 -1.177  0.004 -1.190  -0.096 -1.190  -0.196 -1.190  -0.271 -1.251  -0.342 -1.322  -0.437 -1.332  -0.537 -1.332  -0.637 -1.332
3#app#app07#app0721/e  -0.765 -0.328  -0.607 -0.328  -0.451 -0.321  -0.309 -0.250  -0.168 -0.179  -0.159 -0.029  -0.006 -0.018  0.106 0.094  0.253 0.120  0.373 0.212  0.431 0.347  0.491 0.480  0.613 0.569  0.730 0.610  0.730 0.768  0.730 0.926  0.730 1.084  0.730 1.242  0.646 1.316  0.488 1.316  0.329 1.316  0.171 1.316  0.048 1.232  -0.064 1.121  -0.173 1.007  -0.243 0.865  -0.314 0.724  -0.365 0.574  -0.415 0.424  -0.465 0.274  -0.575 0.161  -0.661 0.030  -0.732 -0.111  -0.765 -0.262  -0.765 -0.420  -0.765 -0.578  -0.689 -0.704  -0.616 -0.832  -0.571 -0.972  -0.456 -1.076  -0.303 -1.090  -0.191 -1.202  -0.043 -1.225  0.115 -1.225  0.273 -1.225  0.432 -1.225  0.589 -1.221  0.730 -1.151  0.872 -1.080  1.029 -1.076
3#app#app07#app0721/c  0.868 1.644  0.868 1.543  0.785 1.525  0.704 1.479  0.632 1.408  0.587 1.318  0.542 1.228  0.480 1.153  0.390 1.108  0.300 1.063  0.243 0.985  0.197 0.895  0.150 0.807  0.078 0.735  0.007 0.664  -0.064 0.593  -0.105 0.503  -0.137 0.407  -0.169 0.311  -0.202 0.216  -0.247 0.125  -0.292 0.035  -0.342 -0.052  -0.398 -0.136  -0.453 -0.220  -0.509 -0.304  -0.563 -0.389  -0.609 -0.480  -0.654 -0.570  -0.674 -0.666  -0.674 -0.767  -0.674 -0.868  -0.671 -0.966  -0.570 -0.966  -0.555 -1.052  -0.487 -1.085  -0.386 -1.085  -0.289 -1.070  -0.199 -1.025  -0.108 -0.980  -0.011 -0.966  0.075 -0.929  0.146 -0.858  0.218 -0.786  0.289 -0.715  0.360 -0.644  0.447 -0.610  0.513 -0.575  0.530 -0.491  0.631 -0.491
3#app#app07#app0721/a  0.359 0.931  0.215 0.786  0.070 0.642  -0.074 0.497  -0.219 0.353  -0.363 0.208  -0.508 0.064  -0.652 -0.080  -0.797 -0.225  -0.941 -0.369  -1.107 -0.462  -1.233 -0.540  -1.233 -0.745  -1.233 -0.949  -1.139 -1.060  -0.964 -0.989  -0.817 -0.848  -0.647 -0.735  -0.477 -0.622  -0.307 -0.508  -0.152 -0.377  -0.008 -0.232  0.137 -0.088  0.160 0.107  0.285 0.260  0.359 0.433  0.433 0.607  0.578 0.751  0.722 0.896  0.757 1.086  0.757 1.290  0.640 1.446  0.558 1.440  0.492 1.263  0.352 1.115  0.261 0.933  0.169 0.750  0.160 0.548  0.160 0.343  0.160 0.139  0.160 -0.065  0.160 -0.270  0.168 -0.470  0.313 -0.615  0.359 -0.800  0.461 -0.962  0.605 -1.107  0.750 -1.251  0.951 -1.259  1.155 -1.259
3#app#app07#app0721/l  -0.958 -1.231  -0.835 -1.183  -0.778 -1.080  -0.663 -1.012  -0.562 -0.910  -0.461 -0.809  -0.359 -0.708  -0.258 -0.606  -0.157 -0.505  -0.056 -0.404  0.037 -0.296  0.101 -0.168  0.165 -0.040  0.262 0.065  0.349 0.177  0.421 0.299  0.504 0.413  0.568 0.541  0.633 0.669  0.697 0.797  0.761 0.926  0.775 1.065  0.775 1.209  0.775 1.352  0.761 1.482  0.620 1.477  0.519 1.376  0.438 1.260  0.360 1.142  0.258 1.041  0.177 0.923  0.097 0.804  0.018 0.685  -0.060 0.565  -0.124 0.437  -0.171 0.301  -0.216 0.165  -0.262 0.029  -0.307 -0.106  -0.352 -0.242  -0.355 -0.385  -0.355 -0.528  -0.355 -0.672  -0.405 -0.803  -0.431 -0.940  -0.431 -1.084  -0.399 -1.219  -0.355 -1.353  -0.273 -1.457  -0.129 -1.457
3#app#app07#app0721/l  -0.946 -1.072  -0.813 -1.006  -0.700 -0.914  -0.595 -0.810  -0.491 -0.705  -0.375 -0.629  -0.282 -0.541  -0.203 -0.418  -0.099 -0.313  -0.019 -0.191  0.059 -0.067  0.163 0.037  0.244 0.158  0.320 0.283  0.409 0.399  0.478 0.529  0.558 0.643  0.560 0.790  0.626 0.922  0.719 1.035  0.735 1.176  0.735 1.324  0.735 1.471  0.611 1.494  0.552 1.403  0.420 1.337  0.335 1.224  0.269 1.092  0.202 0.960  0.097 0.856  0.006 0.742  -0.060 0.610  -0.107 0.470  -0.155 0.331  -0.209 0.194  -0.264 0.056  -0.319 -0.081  -0.384 -0.213  -0.415 -0.354  -0.415 -0.501  -0.415 -0.649  -0.415 -0.797  -0.415 -0.944  -0.415 -1.092  -0.358 -1.216  -0.254 -1.321  -0.150 -1.425  -0.002 -1.425  0.145 -1.425  0.293 -1.425
3#app#app07#app0721/1  0.545 1.512  0.473 1.512  0.421 1.493  0.421 1.421  0.394 1.361  0.344 1.311  0.298 1.259  0.298 1.188  0.286 1.119  0.255 1.055  0.223 0.992  0.191 0.928  0.164 0.862  0.141 0.795  0.118 0.727  0.096 0.660  0.073 0.592  0.051 0.524  0.019 0.461  -0.013 0.397  -0.045 0.333  -0.072 0.269  -0.072 0.197  -0.072 0.126  -0.072 0.055  -0.072 -0.016  -0.072 -0.087  -0.102 -0.152  -0.134 -0.215  -0.166 -0.279  -0.196 -0.343  -0.196 -0.414  -0.196 -0.486  -0.196 -0.557  -0.196 -0.628  -0.196 -0.699  -0.196 -0.771  -0.196 -0.842  -0.196 -0.913  -0.196 -0.984  -0.196 -1.056  -0.196 -1.127  -0.196 -1.198  -0.196 -1.269  -0.196 -1.340  -0.196 -1.412  -0.196 -1.483  -0.196 -1.554  -0.196 -1.625  -0.196 -1.697
