1b#tos#f3#f3047059/C  0.598 1.163  0.511 1.163  0.424 1.163  0.337 1.163  0.268 1.207  0.181 1.207  0.095 1.207  0.008 1.207  -0.044 1.149  -0.109 1.112  -0.171 1.051  -0.250 1.032  -0.321 1.016  -0.321 0.929  -0.347 0.849  -0.365 0.766  -0.386 0.684  -0.425 0.606  -0.453 0.526  -0.453 0.439  -0.453 0.352  -0.453 0.265  -0.453 0.178  -0.453 0.091  -0.453 0.004  -0.453 -0.083  -0.448 -0.169  -0.427 -0.253  -0.403 -0.337  -0.364 -0.414  -0.325 -0.492  -0.278 -0.565  -0.231 -0.638  -0.204 -0.721  -0.152 -0.782  -0.074 -0.821  -0.000 -0.865  0.061 -0.926  0.123 -0.988  0.191 -1.040  0.268 -1.079  0.347 -1.117  0.429 -1.144  0.514 -1.157  0.601 -1.157  0.688 -1.157  0.775 -1.157  0.862 -1.157  0.949 -1.157  1.036 -1.157
1b#tos#f3#f3047059/F  -1.309 0.687  -1.096 0.687  -0.888 0.725  -0.680 0.764  -0.471 0.800  -0.260 0.815  -0.068 0.900  0.139 0.918  0.337 0.965  0.542 0.994  0.754 0.994  0.719 0.968  0.511 0.922  0.303 0.877  0.096 0.831  -0.112 0.786  -0.320 0.740  -0.442 0.596  -0.502 0.400  -0.502 0.187  -0.502 -0.026  -0.483 -0.236  -0.464 -0.447  -0.435 -0.656  -0.426 -0.868  -0.388 -1.077  -0.352 -1.283  -0.310 -1.488  -0.270 -1.676  -0.193 -1.762  -0.183 -1.549  -0.173 -1.336  -0.162 -1.124  -0.152 -0.911  -0.142 -0.699  -0.132 -0.486  -0.122 -0.273  -0.254 -0.196  -0.154 -0.196  0.024 -0.106  0.228 -0.050  0.435 -0.012  0.636 0.021  0.826 0.111  0.968 0.248  1.063 0.439  1.034 0.302  1.072 0.128  1.111 -0.076  1.149 -0.273
1b#tos#f3#f3047059/H  -0.744 1.274  -0.825 1.184  -0.825 1.012  -0.825 0.840  -0.825 0.668  -0.825 0.496  -0.807 0.327  -0.753 0.164  -0.744 -0.006  -0.744 -0.178  -0.744 -0.350  -0.704 -0.517  -0.704 -0.689  -0.668 -0.856  -0.663 -1.028  -0.579 -1.164  -0.504 -1.283  -0.501 -1.114  -0.501 -0.942  -0.501 -0.770  -0.501 -0.598  -0.501 -0.427  -0.501 -0.255  -0.564 -0.147  -0.590 -0.147  -0.427 -0.110  -0.273 -0.033  -0.103 -0.025  0.062 0.016  0.231 0.037  0.359 0.132  0.452 0.277  0.545 0.422  0.637 0.566  0.730 0.711  0.823 0.856  0.915 1.001  0.879 1.064  0.879 0.893  0.886 0.721  0.927 0.555  0.961 0.387  0.961 0.215  0.961 0.043  0.961 -0.129  1.023 -0.281  1.042 -0.448  1.048 -0.619  1.082 -0.786  1.082 -0.958
1b#tos#f3#f3047059/I  -0.616 1.089  -0.729 1.066  -0.765 1.000  -0.643 1.000  -0.520 1.000  -0.398 1.000  -0.275 1.000  -0.153 1.000  -0.030 1.000  0.092 1.000  0.215 1.000  0.307 1.009  0.205 1.077  0.103 1.145  -0.010 1.178  -0.104 1.132  -0.126 1.015  -0.126 0.893  -0.126 0.770  -0.126 0.648  -0.126 0.525  -0.126 0.403  -0.126 0.280  -0.126 0.157  -0.113 0.038  -0.081 -0.077  -0.054 -0.195  -0.036 -0.315  -0.036 -0.437  -0.036 -0.560  -0.029 -0.681  0.001 -0.800  -0.039 -0.882  -0.160 -0.902  -0.275 -0.934  -0.365 -1.016  -0.397 -1.053  -0.275 -1.053  -0.152 -1.053  -0.030 -1.053  0.093 -1.053  0.215 -1.053  0.338 -1.053  0.460 -1.053  0.583 -1.053  0.705 -1.053  0.828 -1.053  0.950 -1.053  1.066 -1.031  1.168 -0.963
1b#tos#f3#f3047059/J  -0.705 1.176  -0.738 1.107  -0.648 1.075  -0.604 1.015  -0.509 1.007  -0.419 0.974  -0.318 0.957  -0.216 0.940  -0.115 0.919  -0.014 0.901  0.084 0.872  0.188 0.872  0.286 0.845  0.384 0.813  0.487 0.805  0.590 0.805  0.595 0.797  0.493 0.780  0.391 0.763  0.289 0.746  0.239 0.685  0.239 0.582  0.239 0.478  0.257 0.378  0.297 0.283  0.340 0.190  0.340 0.087  0.340 -0.017  0.340 -0.120  0.340 -0.223  0.340 -0.327  0.340 -0.430  0.340 -0.533  0.326 -0.632  0.270 -0.719  0.237 -0.817  0.180 -0.903  0.171 -1.003  0.107 -1.080  0.034 -1.153  -0.059 -1.199  -0.151 -1.245  -0.243 -1.291  -0.340 -1.320  -0.431 -1.349  -0.532 -1.354  -0.636 -1.354  -0.732 -1.323  -0.821 -1.272  -0.874 -1.185
1b#tos#f3#f3047059/K  -0.591 1.663  -0.710 1.525  -0.698 1.300  -0.670 1.077  -0.670 0.851  -0.670 0.624  -0.670 0.397  -0.670 0.171  -0.670 -0.056  -0.670 -0.282  -0.670 -0.509  -0.670 -0.735  -0.670 -0.962  -0.670 -1.188  -0.631 -1.375  -0.505 -1.215  -0.373 -1.031  -0.240 -0.847  -0.108 -0.663  0.025 -0.480  0.157 -0.296  0.290 -0.112  0.422 0.072  0.555 0.255  0.687 0.439  0.820 0.623  0.952 0.806  1.085 0.990  0.994 0.970  0.827 0.910  0.624 0.827  0.437 0.709  0.276 0.572  0.085 0.465  -0.120 0.379  -0.274 0.223  -0.486 0.144  -0.659 0.039  -0.669 -0.041  -0.459 -0.080  -0.256 -0.137  -0.088 -0.239  0.073 -0.355  0.243 -0.485  0.446 -0.586  0.634 -0.712  0.852 -0.773  1.065 -0.849  1.262 -0.952  1.430 -1.071
1b#tos#f3#f3047059/M  -1.086 -0.809  -1.195 -0.885  -1.222 -1.035  -1.195 -0.954  -1.113 -0.826  -1.086 -0.677  -1.040 -0.561  -1.014 -0.411  -0.977 -0.262  -0.919 -0.119  -0.901 0.032  -0.832 0.165  -0.799 0.312  -0.759 0.457  -0.724 0.605  -0.686 0.751  -0.616 0.863  -0.546 0.727  -0.463 0.599  -0.405 0.456  -0.336 0.319  -0.287 0.179  -0.243 0.034  -0.183 -0.097  -0.110 -0.207  0.003 -0.264  0.117 -0.220  0.207 -0.097  0.304 0.019  0.331 0.169  0.421 0.293  0.527 0.396  0.576 0.542  0.659 0.663  0.724 0.783  0.804 0.884  0.876 0.833  0.876 0.679  0.936 0.549  0.949 0.400  0.949 0.246  0.949 0.091  0.964 -0.062  0.985 -0.214  1.019 -0.364  1.058 -0.512  1.058 -0.666  1.073 -0.818  1.167 -0.924  1.204 -1.063
1b#tos#f3#f3047059/N  -1.170 -0.816  -1.238 -0.991  -1.249 -0.846  -1.249 -0.654  -1.214 -0.470  -1.170 -0.289  -1.149 -0.100  -1.094 0.083  -1.045 0.269  -1.001 0.454  -0.972 0.642  -0.933 0.817  -0.876 0.996  -0.752 1.080  -0.667 0.933  -0.523 0.814  -0.425 0.651  -0.354 0.475  -0.278 0.299  -0.184 0.134  -0.087 -0.031  0.010 -0.196  0.090 -0.369  0.212 -0.497  0.340 -0.637  0.466 -0.769  0.568 -0.923  0.699 -1.013  0.767 -0.967  0.771 -0.775  0.774 -0.583  0.778 -0.392  0.782 -0.200  0.785 -0.008  0.789 0.184  0.793 0.375  0.797 0.567  0.800 0.759  0.804 0.950  0.664 1.001  0.607 0.866  0.607 0.674  0.607 0.482  0.607 0.290  0.607 0.099  0.607 -0.093  0.592 -0.283  0.568 -0.472  0.568 -0.664  0.568 -0.855
1b#tos#f3#f3047059/P  -0.197 1.136  -0.243 0.944  -0.243 0.733  -0.243 0.522  -0.243 0.312  -0.243 0.101  -0.243 -0.110  -0.243 -0.321  -0.243 -0.531  -0.243 -0.742  -0.243 -0.953  -0.243 -1.164  -0.243 -1.375  -0.243 -1.585  -0.243 -1.796  -0.248 -1.719  -0.255 -1.509  -0.262 -1.298  -0.269 -1.088  -0.276 -0.877  -0.283 -0.666  -0.290 -0.456  -0.297 -0.245  -0.304 -0.034  -0.311 0.176  -0.318 0.387  -0.325 0.598  -0.332 0.808  -0.416 0.986  -0.467 1.143  -0.299 1.265  -0.092 1.274  0.119 1.274  0.330 1.274  0.500 1.176  0.689 1.098  0.831 0.956  0.966 0.825  1.094 0.668  1.094 0.457  1.061 0.252  0.909 0.119  0.804 -0.048  0.616 -0.142  0.419 -0.202  0.252 -0.307  0.055 -0.341  -0.156 -0.341  -0.366 -0.341  -0.566 -0.295
1b#tos#f3#f3047059/Q  0.081 -0.465  -0.125 -0.544  -0.326 -0.642  -0.556 -0.642  -0.739 -0.569  -0.935 -0.462  -1.007 -0.261  -1.156 -0.111  -1.156 0.120  -1.156 0.350  -1.136 0.572  -0.941 0.682  -0.803 0.838  -0.696 1.001  -0.483 1.087  -0.262 1.126  -0.069 1.223  0.155 1.259  0.386 1.259  0.561 1.170  0.736 1.028  0.875 0.876  0.963 0.689  0.965 0.459  0.965 0.229  0.935 0.005  0.874 -0.202  0.677 -0.322  0.561 -0.515  0.365 -0.598  0.162 -0.686  -0.069 -0.686  -0.299 -0.686  -0.529 -0.686  -0.749 -0.642  -0.847 -0.484  -0.822 -0.263  -0.663 -0.152  -0.495 -0.026  -0.289 0.049  -0.069 0.052  0.134 -0.040  0.276 -0.218  0.457 -0.355  0.572 -0.509  0.684 -0.670  0.907 -0.686  1.138 -0.686  1.365 -0.670  1.584 -0.598
1b#tos#f3#f3047059/T  -1.779 0.402  -1.647 0.402  -1.515 0.402  -1.383 0.402  -1.252 0.402  -1.120 0.402  -0.988 0.402  -0.856 0.402  -0.724 0.402  -0.593 0.402  -0.461 0.402  -0.329 0.402  -0.197 0.402  -0.066 0.402  0.066 0.402  0.198 0.402  0.330 0.402  0.461 0.402  0.593 0.402  0.725 0.404  0.846 0.453  0.969 0.493  1.090 0.519  1.095 0.556  0.964 0.550  0.832 0.545  0.700 0.539  0.569 0.534  0.437 0.528  0.305 0.523  0.174 0.519  0.093 0.436  0.057 0.312  0.057 0.181  0.057 0.049  0.057 -0.083  0.091 -0.209  0.096 -0.340  0.096 -0.472  0.113 -0.602  0.135 -0.731  0.135 -0.862  0.161 -0.991  0.174 -1.121  0.174 -1.253  0.174 -1.385  0.174 -1.517  0.213 -1.609  0.246 -1.733  0.252 -1.864
